"dates","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"2010-01-04",78.989998,79.68,78.260002,78.599998,1793200,64.859245
"2010-01-05",78.400002,78.720001,77.769997,77.870003,1122200,64.256844
"2010-01-06",77.989998,78.080002,77.279999,77.660004,1208000,64.083572
"2010-01-07",77.449997,77.889999,77.019997,77.639999,2266900,64.067062
"2010-01-08",77.669998,78.309998,77.379997,77.910004,1185000,64.289848
"2010-01-11",78.349998,78.599998,77.769997,78.410004,1535600,64.702477
"2010-01-12",78.279999,78.279999,77.139999,77.25,1412800,63.745239
"2010-01-13",77.32,77.989998,77.32,77.5,1393000,63.95153
"2010-01-14",76.5,77.25,76.110001,77.040001,2099900,63.571945
"2010-01-15",76.760002,76.940002,75.68,76.290001,1382400,62.953083
"2010-01-19",76.419998,77.669998,76.360001,77.290001,1692300,63.778252
"2010-01-20",77.400002,77.599998,76.010002,76.790001,1382100,63.365662
"2010-01-21",77.199997,77.309998,76.080002,76.150002,1203200,62.837559
"2010-01-22",75.099998,76.400002,74.760002,75.080002,1535200,61.954613
"2010-01-25",75.260002,76.389999,75.120003,75.779999,864000,62.532238
"2010-01-26",75.470001,75.800003,75.029999,75.57,745500,62.358948
"2010-01-27",75.300003,76.339996,74.75,76,1180000,62.713783
"2010-01-28",78.629997,78.629997,75.599998,76.480003,1577100,63.109871
"2010-01-29",76.739998,76.82,75.110001,75.370003,1090300,62.193886
"2010-02-01",75.43,76.120003,74.809998,75.709999,806200,62.474472
"2010-02-02",75.93,77.059998,75.379997,77.019997,1388600,63.555443
"2010-02-03",76.940002,76.940002,76.120003,76.639999,1458700,63.241875
"2010-02-04",76.110001,76.379997,74.68,74.709999,1470200,61.649277
"2010-02-05",74.559998,74.93,73.849998,74.889999,1913100,61.797821
"2010-02-08",74.690002,75.139999,74.07,74.68,1284700,61.624523
"2010-02-09",75.470001,75.660004,74.330002,75.260002,1185900,62.103138
"2010-02-10",75.110001,75.25,74.279999,74.639999,1249400,61.59153
"2010-02-11",74.709999,75.290001,74.269997,75.220001,1832500,62.070152
"2010-02-12",74.75,75.93,74.139999,75.839996,1726600,62.58173
"2010-02-16",75.93,76.959999,75.330002,76.910004,1384300,63.464684
"2010-02-17",77.220001,77.739998,76.93,77.360001,1282700,63.836014
"2010-02-18",77.639999,78,76.959999,77.959999,1156000,64.331123
"2010-02-19",77.419998,77.900002,76.68,77.540001,1618700,63.98455
