"dates","KSU.Open","KSU.High","KSU.Low","KSU.Close","KSU.Volume","KSU.Adjusted"
"2010-01-04",33.490002,33.869999,33.419998,33.650002,613500,30.160593
"2010-01-05",33.639999,34.439999,33.5,34.310001,1129300,30.752153
"2010-01-06",33.240002,33.59,31.870001,32.049999,2627400,28.726509
"2010-01-07",32.040001,32.799999,31.799999,32.41,1076500,29.049181
"2010-01-08",32.290001,34.02,32.290001,33.860001,1005000,30.348816
"2010-01-11",34.130001,34.240002,33.41,34.009998,1036500,30.483259
"2010-01-12",33.630001,33.860001,33.23,33.52,694000,30.044069
"2010-01-13",33.689999,33.759998,33,33.529999,615800,30.05303
"2010-01-14",33.509998,33.860001,33.169998,33.419998,457700,29.954435
"2010-01-15",33.240002,33.380001,32.549999,32.919998,785100,29.506292
"2010-01-19",32.959999,32.970001,32.610001,32.779999,518000,29.380814
"2010-01-20",32.23,32.360001,31.4,32.189999,1091100,28.851986
"2010-01-21",32.139999,32.860001,31.51,31.52,1046700,28.251467
"2010-01-22",31.059999,31.9,30.969999,31.01,770900,27.794355
"2010-01-25",31.43,31.43,30.780001,30.790001,1149100,27.597164
"2010-01-26",30.719999,31.27,30.360001,31.129999,666800,27.901911
"2010-01-27",30.959999,31.459999,30.719999,31.35,682000,28.099092
"2010-01-28",31.4,32,31.190001,31.190001,1993500,27.955687
"2010-01-29",31.32,31.559999,29.540001,29.700001,2066100,26.620192
"2010-02-01",29.870001,30.879999,29.870001,30.780001,819600,27.588207
"2010-02-02",30.790001,31.030001,30.52,30.790001,816300,27.597164
"2010-02-03",30.639999,31.4,30.4,31.120001,1521900,27.89295
"2010-02-04",30.870001,30.870001,29.790001,29.860001,1249800,26.763603
"2010-02-05",29.959999,30.379999,29.52,30.27,1704900,27.131088
"2010-02-08",30.25,30.76,29.77,29.959999,682800,26.853233
"2010-02-09",30.52,30.67,30.07,30.33,607500,27.184862
"2010-02-10",30.23,30.610001,30.09,30.440001,764800,27.283461
"2010-02-11",30.42,32.34,30.42,31.93,1970600,28.61895
"2010-02-12",31.6,32.84,31.17,32.389999,2512700,29.031242
"2010-02-16",32.810001,33.32,32.279999,33.080002,1318000,29.649704
"2010-02-17",33.27,33.400002,32.599998,33.060001,690800,29.631783
"2010-02-18",33.150002,33.169998,32.790001,33.150002,665100,29.71244
