"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2010-02-24",4.217284,4.25284,4.19358,4.219259,581175,3.582132
"2010-02-25",4.175802,4.239012,4.175802,4.233086,478406,3.593871
"2010-02-26",4.22716,4.22716,4.177778,4.197531,773044,3.563685
"2010-03-01",4.246914,4.266667,4.191605,4.264691,912769,3.620703
"2010-03-02",4.282469,4.321975,4.25284,4.304198,1088944,3.654245
"2010-03-03",4.318025,4.343704,4.298272,4.314074,623700,3.662628
"2010-03-04",4.329877,4.335802,4.294321,4.300247,412088,3.65089
"2010-03-05",4.325926,4.436543,4.323951,4.420741,1030219,3.753188
"2010-03-08",4.428642,4.464198,4.408889,4.41284,562950,3.746481
"2010-03-09",4.406914,4.478025,4.402963,4.456296,713813,3.783376
