"dates","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2011-01-26",37.719131,38.086712,37.266731,37.370403,4783731,32.999329
"2011-01-27",37.521206,38.020737,37.276154,37.888783,2665444,33.457073
"2011-01-28",37.606033,38.039585,36.324223,36.380772,3135892,32.12545
"2011-01-31",36.465599,37.351555,36.418472,37.219604,3482839,32.866169
"2011-02-01",37.28558,38.133835,37.28558,38.049011,2848255,33.598553
"2011-02-02",37.813385,38.10556,37.719131,37.87936,3189897,33.448761
"2011-02-03",37.97361,38.520264,37.436382,37.728558,4284530,33.315605
"2011-02-04",37.84166,37.87936,37.342129,37.700283,2867353,33.290627
"2011-02-07",37.84166,38.049011,37.474079,37.662582,3753181,33.257332
"2011-02-08",37.737984,37.756832,36.983978,37.464657,5534600,33.082561
"2011-02-09",37.379829,38.030159,37.219604,37.41753,3758911,33.040943
"2011-02-10",37.219604,37.74741,37.087654,37.700283,2244439,33.290627
"2011-02-11",37.426956,38.88784,37.295006,38.85014,2782048,34.305988
"2011-02-14",38.718189,39.114044,38.322338,38.642792,3553607,34.12289
"2011-02-15",40.065975,40.320454,38.963242,39.076344,6524620,34.505733
"2011-02-16",38.680489,39.509895,38.671066,39.019794,3781510,34.455791
"2011-02-17",38.765316,38.85014,38.133835,38.605091,2830324,34.089592
"2011-02-18",38.605091,38.831291,38.341187,38.56739,2565498,34.056316
"2011-02-22",37.964184,38.049011,36.597549,36.786053,5586165,32.48333
"2011-02-23",36.710651,37.106503,35.645618,36.098022,5020228,31.947805
"2011-02-24",36.069744,36.295948,35.645618,36.258247,3799653,32.089611
"2011-02-25",36.409046,37.125355,36.286522,37.049953,2732075,32.790291
"2011-02-28",37.172478,37.172478,36.786053,36.955704,3740449,32.706882
"2011-03-01",37.05938,37.106503,35.551369,35.758717,5260862,31.647507
"2011-03-02",35.673893,36.182846,35.334591,35.843544,4026495,31.722593
"2011-03-03",36.192272,36.569275,36.126297,36.5033,3426924,32.306492
"2011-03-04",36.427898,36.512726,35.504242,35.815269,4079863,31.697557
"2011-03-07",36.060322,36.145145,35.475967,35.768143,3568992,31.655853
"2011-03-08",35.909519,36.852028,35.673893,36.720074,3347455,32.498344
"2011-03-09",36.531574,37.031101,36.286522,36.955704,2541413,32.706882
"2011-03-10",36.314796,36.672951,36.192272,36.277096,2438496,32.106297
"2011-03-11",36.050896,36.314796,35.777569,35.956646,3357535,31.82268
"2011-03-14",35.607918,35.909519,35.39114,35.749294,3527825,31.639175
