"dates","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2010-01-04",54.740002,56.200001,54.34,56.060001,3974600,43.951317
"2010-01-05",56.189999,56.560001,55.599998,55.849998,3007400,43.786686
"2010-01-06",55.57,56.040001,55.220001,55.700001,2854500,43.669086
"2010-01-07",55.380001,56.130001,55.169998,56.099998,2694000,43.982685
"2010-01-08",55.779999,57.75,55.299999,57.630001,4165500,45.182217
"2010-01-11",58.259998,60.16,58.16,59.950001,8119900,47.00111
"2010-01-12",58.889999,58.970001,56.459999,57.389999,8129400,44.994045
"2010-01-13",57.75,58.540001,55.889999,58.290001,6647000,45.699654
"2010-01-14",58.700001,58.869999,57.779999,58.349998,4170800,45.746685
"2010-01-15",58.360001,58.59,55.959999,56.330002,6654200,44.163002
"2010-01-19",56.369999,57.689999,56.139999,57.66,3618800,45.205734
"2010-01-20",57.07,57.099998,55.610001,56.110001,3804200,43.990513
"2010-01-21",55.93,56.470001,54.66,55.450001,5413200,43.473083
"2010-01-22",55.200001,55.200001,52.869999,53.02,6205900,41.567947
"2010-01-25",53.73,58,53.060001,53.689999,4313400,42.093239
"2010-01-26",53.48,54.330002,52.779999,53.41,3479300,41.873718
"2010-01-27",52.529999,53.41,50.619999,52.389999,6772900,41.07402
"2010-01-28",52.32,52.52,50.18,51.110001,4456300,40.070496
"2010-01-29",51.400002,52.330002,49.689999,49.950001,5507600,39.161053
"2010-02-01",50.369999,51.860001,50.240002,51.349998,3836700,40.258656
"2010-02-02",51.799999,52.860001,51.610001,52.450001,3678000,41.121067
"2010-02-03",52.169998,53.169998,51.75,51.84,2497200,40.642818
"2010-02-04",51.349998,51.450001,49.68,49.869999,4636500,39.098343
"2010-02-05",49.759998,50.169998,48.330002,49.82,5771500,39.059132
"2010-02-08",49.84,50.59,48.84,48.959999,3775400,38.384888
"2010-02-09",49.900002,51.360001,49.73,50.32,5841600,39.451134
"2010-02-10",50.439999,50.650002,49.43,50.049999,3155300,39.239449
"2010-02-11",49.91,52.509998,49.849998,52.32,5045200,41.019138
"2010-02-12",51.470001,53.16,51.110001,53.110001,5683500,41.638508
"2010-02-16",53.759998,54.549999,53.540001,53.779999,6325800,42.163792
"2010-02-17",57.689999,58.049999,56.049999,56.48,17375400,44.280605
"2010-02-18",56.919998,57.52,56.450001,57.259998,6090000,44.89212
"2010-02-19",57.110001,57.720001,56.599998,57.279999,4262100,44.90781
"2010-02-22",57.599998,57.75,56.490002,56.700001,4127600,44.453087
"2010-02-23",56.580002,57.439999,55.450001,56.09,4890200,43.97485
"2010-02-24",56.299999,56.990002,55.740002,56.18,3982800,44.045395
"2010-02-25",55.27,57.119999,54.599998,56.959999,5749000,44.656929
"2010-02-26",57.34,57.490002,56.240002,57.299999,4068600,44.9235
"2010-03-01",57.450001,58.459999,57.450001,58.290001,3529600,45.699654
"2010-03-02",58.580002,58.990002,57.66,58.209999,3547700,45.63694
"2010-03-03",58.349998,59.700001,58.330002,58.66,3921600,45.98975
"2010-03-04",58.779999,59.330002,58.07,58.5,3374900,45.864307
"2010-03-05",59.290001,59.849998,59.009998,59.540001,3086000,46.679661
"2010-03-08",59.59,59.779999,58.779999,59.200001,2429700,46.413101
"2010-03-09",58.849998,59.73,58.759998,59.279999,3370400,46.475807
"2010-03-10",59.279999,59.349998,58.110001,58.490002,4794100,45.856457
"2010-03-11",58.16,58.290001,56.709999,57.73,7502500,45.260612
"2010-03-12",58.310001,58.939999,57.959999,58.639999,4650900,45.974056
"2010-03-15",58.43,58.599998,57.599998,58.130001,3531100,45.574207
"2010-03-16",58.389999,59,57.75,58.919998,3566600,46.193573
"2010-03-17",59.02,59.959999,58.959999,59.59,3866700,46.718876
"2010-03-18",59.32,59.91,58.959999,59.25,3415000,46.452297
"2010-03-19",58.990002,59.639999,58.639999,58.990002,5244000,46.248463
"2010-03-22",58.330002,60.040001,58.279999,60.02,5205800,47.055996
"2010-03-23",60.200001,62.080002,60.099998,61.959999,8971600,48.576962
"2010-03-24",61.639999,61.650002,60.310001,60.490002,6149600,47.424469
"2010-03-25",61.060001,61.830002,60.07,60.200001,5452100,47.197109
"2010-03-26",60.52,61.200001,60.110001,60.560001,4195800,47.47934
"2010-03-29",60.830002,61.419998,60.73,61.349998,3364400,48.32214
"2010-03-30",61.560001,62,60.990002,61.110001,3932400,48.133102
"2010-03-31",60.619999,61.139999,59.200001,59.459999,5567300,46.833477
"2010-04-01",59.990002,60.700001,59.099998,59.740002,5010400,47.054028
"2010-04-05",60.380001,60.799999,60.099998,60.639999,3515000,47.762909
"2010-04-06",60.48,60.849998,60.27,60.68,2270100,47.794392
"2010-04-07",60.66,60.959999,59.939999,60.400002,3690600,47.573872
"2010-04-08",60.220001,60.779999,59.709999,60.619999,2714000,47.747139
"2010-04-09",60.860001,61.68,60.740002,61.68,2807200,48.582058
"2010-04-12",61.759998,62.389999,61.580002,62.040001,3805100,48.865604
"2010-04-13",61.73,62.200001,61.09,61.540001,2381200,48.471779
"2010-04-14",61.810001,62.029999,60.639999,61.77,3581700,48.652946
"2010-04-15",61.52,62.73,61.259998,61.759998,2546300,48.645077
"2010-04-16",61.509998,61.939999,59.889999,60.509998,4345700,47.660503
"2010-04-19",60.060001,61,59.240002,60.470001,3536600,47.628994
"2010-04-20",60.849998,61.5,60.029999,60.200001,3187300,47.416351
"2010-04-21",60.330002,61,59.889999,60.5,3533600,47.652641
"2010-04-22",59.889999,61.09,59.09,60.959999,2832900,48.014965
"2010-04-23",60.990002,61.830002,60.669998,61.790001,3838700,48.668694
"2010-04-26",62.470001,63.68,62.02,62.209999,4530700,48.999512
"2010-04-27",61.779999,62.09,59.009998,59.32,4932200,46.723206
"2010-04-28",59.959999,60.27,59.27,59.580002,2948700,46.927979
"2010-04-29",60.16,60.799999,59.75,60.610001,2662500,47.739277
"2010-04-30",61.029999,61.650002,59.77,59.82,3984700,47.117027
"2010-05-03",60.41,61.599998,59.82,61.32,4745500,48.298489
"2010-05-04",60.23,60.610001,57.869999,58.419998,6055300,46.01432
"2010-05-05",57.290001,58.77,55.82,57.509998,6720400,45.297554
"2010-05-06",56.970001,58.139999,52.73,56.389999,9057800,44.415398
"2010-05-07",56.119999,57.380001,54.630001,56.380001,7929700,44.40752
"2010-05-10",58.779999,59.669998,57.32,59.43,4719600,46.809837
"2010-05-11",58.720001,60.41,58.5,59.459999,3394500,46.833477
"2010-05-12",59.860001,61.310001,59.84,61.139999,4043000,48.156727
"2010-05-13",61.040001,61.169998,59.799999,59.880001,3299400,47.164291
"2010-05-14",59.119999,59.490002,57.299999,58.360001,4523800,45.967056
"2010-05-17",58.57,58.869999,56.77,57.950001,4221700,45.644138
"2010-05-18",58.470001,59.599998,57,57.16,4433600,45.021889
"2010-05-19",59.470001,59.52,56,58.869999,11276800,46.368755
"2010-05-20",57.040001,58.560001,56.349998,56.669998,8009300,44.635933
"2010-05-21",55.52,59.049999,55.23,58.73,7004500,46.258484
"2010-05-24",58.189999,58.869999,56.189999,56.330002,5300400,44.368141
"2010-05-25",54.869999,55.900002,53.200001,55.889999,8849200,44.021568
"2010-05-26",56.700001,57.610001,55.919998,56.139999,5225500,44.218491
"2010-05-27",57.240002,59.490002,57.240002,59.439999,5068200,46.817715
"2010-05-28",59.400002,59.57,57.029999,57.68,5162100,45.431461
"2010-06-01",57.220001,58.68,56.580002,57.130001,4939800,44.998264
"2010-06-02",58.099998,60.099998,57,60.07,7109000,47.31395
"2010-06-03",60.41,60.860001,59.209999,59.669998,5281500,46.99889
"2010-06-04",58.369999,59.330002,56.5,56.880001,5196200,44.801353
"2010-06-07",57.139999,57.150002,54.709999,54.779999,5371700,43.147289
"2010-06-08",55.009998,55.720001,53.950001,55.060001,6148700,43.367836
"2010-06-09",55.759998,57.450001,54.939999,55.27,4816100,43.533237
"2010-06-10",56.84,58,56.549999,57.869999,4373400,45.58112
"2010-06-11",57.23,58.970001,56.950001,58.860001,3544000,46.360901
"2010-06-14",59.450001,59.689999,57.27,57.639999,6107200,45.39996
"2010-06-15",58.459999,59.509998,57.400002,59.5,6232800,46.86499
"2010-06-16",59.009998,59.68,58.619999,59.34,3372400,46.738964
"2010-06-17",59.830002,59.959999,58.259998,59.419998,4043800,46.801968
"2010-06-18",59.5,59.849998,58.75,59.259998,5729700,46.675941
