"dates","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
"2010-01-04",31.09,31.15,30.77,30.809999,2353000,28.015366
"2010-01-05",30.76,30.9,30.41,30.809999,3142100,28.015366
"2010-01-06",30.66,30.85,30.32,30.379999,2884400,27.624369
"2010-01-07",30.290001,30.6,30.120001,30.280001,3100300,27.533443
"2010-01-08",30.33,31.120001,30.120001,31.08,4249700,28.260878
"2010-01-11",30.93,31.41,30.93,31.219999,4011700,28.388178
"2010-01-12",30.99,31.41,30.879999,31.219999,2969100,28.388178
"2010-01-13",31.35,31.690001,31.200001,31.58,2618300,28.715527
"2010-01-14",31.690001,31.879999,31.42,31.780001,2617000,28.897388
"2010-01-15",31.719999,31.969999,31.09,31.459999,3835100,28.606413
"2010-01-19",31.379999,31.92,31.299999,31.73,2161500,28.851913
"2010-01-20",31.530001,31.629999,30.75,31.219999,2720100,28.388178
"2010-01-21",31.209999,31.41,30.66,30.84,3110400,28.042645
"2010-01-22",30.799999,30.98,30.059999,30.1,2590200,27.369768
"2010-01-25",30.200001,30.549999,30.059999,30.360001,2774200,27.606188
"2010-01-26",30.280001,30.49,29.98,30.030001,4020100,27.306118
"2010-01-27",29.889999,30.08,29.620001,30.01,4070400,27.287933
"2010-01-28",29.809999,30.07,29.4,29.66,3816100,26.969673
"2010-01-29",29.889999,30,29.530001,29.610001,3805600,26.924213
"2010-02-01",29.51,30.1,29.51,29.91,2725100,27.196999
"2010-02-02",29.879999,30.030001,29.639999,29.959999,3239300,27.24246
"2010-02-03",29.780001,30.15,29.719999,29.99,2128300,27.269749
"2010-02-04",29.9,29.950001,29.26,29.26,3174200,26.605959
"2010-02-05",29.379999,29.700001,29.030001,29.440001,4337100,26.769638
"2010-02-08",29.4,29.549999,29.110001,29.360001,2227700,26.69689
"2010-02-09",29.540001,29.709999,29.02,29.309999,3877000,26.651417
"2010-02-10",29.200001,29.450001,29.07,29.389999,2102700,26.724167
"2010-02-11",29.299999,29.68,29,29.6,2460700,26.915127
"2010-02-12",29.059999,29.450001,29.040001,29.389999,2794600,26.724167
"2010-02-16",29.469999,29.799999,29.26,29.790001,2013900,27.087891
"2010-02-17",29.84,29.99,29.57,29.91,2483500,27.196999
"2010-02-18",29.959999,30.35,29.879999,30.32,2737500,27.569813
"2010-02-19",32.25,33.150002,32.200001,32.720001,9866000,29.752119
"2010-02-22",32.599998,32.830002,32.189999,32.360001,4738500,29.424772
"2010-02-23",32.240002,32.48,31.58,31.870001,5932500,28.979219
"2010-02-24",31.940001,32.389999,31.92,32.27,4724600,29.342934
"2010-02-25",31.799999,32.619999,31.709999,32.459999,5224800,29.515705
"2010-02-26",32.490002,32.490002,32.16,32.360001,3049700,29.424772
"2010-03-01",32.330002,32.950001,32.290001,32.900002,2811000,29.915792
"2010-03-02",32.77,33.290001,32.75,33.130001,4445000,30.124935
"2010-03-03",33.07,33.459999,33.029999,33.209999,3484000,30.197674
"2010-03-04",33.279999,33.490002,32.959999,33.43,3097000,30.397718
"2010-03-05",33.360001,33.93,33.360001,33.91,3588200,30.834181
"2010-03-08",33.790001,34,33.740002,33.98,2938800,30.89784
"2010-03-09",33.75,34.009998,33.75,33.950001,3283200,30.870548
"2010-03-10",33.950001,34.549999,33.860001,34.470001,4693900,31.343397
"2010-03-11",34.25,34.549999,34.25,34.540001,2652700,31.407043
"2010-03-12",34.380001,34.669998,34.32,34.610001,2660700,31.470688
"2010-03-15",34.439999,34.669998,34.439999,34.639999,1812400,31.497959
"2010-03-16",34.650002,34.75,34.48,34.639999,2495800,31.497959
"2010-03-17",34.509998,34.84,34.279999,34.529999,3349800,31.397959
"2010-03-18",34.41,34.810001,34.400002,34.650002,2769500,31.507057
"2010-03-19",34.75,34.970001,34.349998,34.610001,4131100,31.470688
"2010-03-22",34.34,34.93,34.34,34.900002,2891400,31.734385
"2010-03-23",34.77,34.84,34.419998,34.599998,2440300,31.461588
"2010-03-24",34.560001,34.860001,34.560001,34.740002,3436200,31.588896
"2010-03-25",34.799999,34.889999,34.400002,34.400002,3036900,31.279739
"2010-03-26",34.41,34.630001,34.060001,34.240002,2977400,31.134241
"2010-03-29",34.23,34.490002,34.110001,34.32,2821200,31.206984
"2010-03-30",34.41,34.509998,34.189999,34.360001,2092900,31.243362
"2010-03-31",34.220001,34.57,34.169998,34.32,2393700,31.206984
"2010-04-01",34.369999,34.900002,34.150002,34.509998,2344700,31.379759
"2010-04-05",34.549999,34.919998,34.43,34.880001,1537200,31.716185
"2010-04-06",34.860001,35,34.779999,34.970001,2368600,31.79804
"2010-04-07",34.889999,34.889999,34.419998,34.580002,2212600,31.443417
"2010-04-08",34.580002,34.580002,34.139999,34.509998,2332100,31.379759
"2010-04-09",34.459999,34.529999,34.27,34.529999,2233000,31.397959
"2010-04-12",34.490002,34.650002,34.380001,34.529999,2696200,31.397959
"2010-04-13",34.25,35.09,34.25,35.049999,3396700,31.870779
"2010-04-14",34.950001,35.189999,34.869999,35.169998,2817100,31.979893
"2010-04-15",34.98,35.43,34.889999,35.349998,3241800,32.143555
"2010-04-16",35.25,35.59,35.209999,35.470001,4682100,32.252693
"2010-04-19",35.310001,35.470001,35.139999,35.310001,4472000,32.107197
"2010-04-20",35.34,35.5,35.25,35.43,3612100,32.216312
"2010-04-21",35.43,35.75,35.27,35.720001,2578600,32.48
"2010-04-22",35.549999,36,35.23,35.990002,2582200,32.725521
"2010-04-23",35.849998,36.220001,35.580002,36.189999,2419600,32.907364
"2010-04-26",36.119999,36.330002,35.959999,36.18,1745600,32.898285
"2010-04-27",36.150002,36.43,35.709999,35.759998,3503800,32.516365
"2010-04-28",35.869999,36.119999,35.689999,35.779999,2416900,32.534561
"2010-04-29",35.849998,36.32,35.650002,36.169998,1943700,32.889191
"2010-04-30",36.349998,36.41,35.970001,36.189999,3356800,32.907364
"2010-05-03",36.759998,37.52,36.700001,37.349998,6140100,33.962147
"2010-05-04",36.950001,37.07,35.75,36.09,3862500,32.816448
"2010-05-05",36.349998,36.689999,36.139999,36.639999,3792800,33.316563
"2010-05-06",36.439999,36.599998,34,35.209999,5085200,32.016258
"2010-05-07",35.18,35.360001,34.009998,34.009998,6592200,30.925108
"2010-05-10",35.049999,35.91,34.889999,35.709999,3542800,32.470901
"2010-05-11",35.549999,36.419998,35.18,35.959999,3662300,32.698231
"2010-05-12",35.93,37.130001,35.779999,37.060001,3502600,33.698456
"2010-05-13",36.759998,37.049999,36.310001,36.349998,3268000,33.052864
"2010-05-14",36.169998,36.189999,35.299999,35.529999,5117900,32.307232
"2010-05-17",35.75,36.200001,35.439999,36.07,4826400,32.798252
"2010-05-18",37.060001,37.240002,36.52,36.599998,6251900,33.280186
"2010-05-19",36.59,36.82,35.389999,35.57,6399200,32.343624
"2010-05-20",34.990002,35.209999,33.610001,33.75,8803700,30.688698
"2010-05-21",33.299999,35.27,33.240002,35.009998,10993000,31.834396
"2010-05-24",34.860001,35.130001,34.029999,34.52,5291500,31.388853
"2010-05-25",33.389999,34.82,33.389999,34.82,6815500,31.661636
"2010-05-26",34.880001,35.040001,34.299999,34.419998,6399800,31.297922
"2010-05-27",34.860001,35.709999,34.75,35.669998,5422000,32.434528
"2010-05-28",35.470001,36.049999,35.240002,35.740002,5660300,32.498203
"2010-06-01",35.509998,35.91,35.150002,35.240002,4620600,32.043549
"2010-06-02",35.330002,36.490002,34.990002,36.43,5704300,33.125603
"2010-06-03",36.34,37,36.16,36.869999,3919600,33.525673
"2010-06-04",36.34,36.360001,35.349998,35.41,5076800,32.198105
"2010-06-07",35.52,35.830002,34.779999,34.810001,3738200,31.652542
"2010-06-08",34.799999,35.349998,34.509998,35.25,5037800,32.052643
"2010-06-09",35.450001,35.759998,35.040001,35.139999,3473400,31.952614
"2010-06-10",35.450001,36.110001,35.220001,36.09,3520600,32.816448
"2010-06-11",35.560001,36.369999,35.560001,36.32,2958600,33.025585
"2010-06-14",36.43,36.98,36.310001,36.549999,3092300,33.234715
"2010-06-15",36.700001,37.450001,36.700001,37.439999,3390000,34.043987
"2010-06-16",37.080002,37.919998,37.060001,37.540001,3889900,34.134922
"2010-06-17",37.5,37.759998,37.240002,37.73,3130000,34.307682
"2010-06-18",37.740002,37.880001,37.330002,37.560001,3905600,34.153118
"2010-06-21",37.66,37.900002,37.02,37.200001,2898200,33.825756
"2010-06-22",37.200001,37.810001,36.689999,36.77,3182900,33.434757
"2010-06-23",36.900002,37.060001,36.5,36.740002,2722500,33.407486
"2010-06-24",36.5,36.700001,35.990002,36.25,2975300,32.961941
"2010-06-25",36.27,36.73,36.029999,36.349998,6615600,33.052864
"2010-06-28",36.299999,36.310001,35.830002,36.029999,3782800,32.761879
"2010-06-29",35.740002,35.740002,34.759998,34.98,5837900,31.807125
