"dates","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2010-02-11",77.790001,79.339996,77.769997,79.029999,1194100,67.453987
"2010-02-12",78.050003,78.779999,77.75,78.690002,908400,67.163765
"2010-02-16",79.029999,79.769997,78,79.720001,1097400,68.042908
"2010-02-17",79.739998,80.720001,79.739998,80.300003,885700,68.537933
"2010-02-18",79.760002,80.660004,79.559998,80.57,562500,68.768387
"2010-02-19",80.480003,81.18,80,80.599998,1147000,68.794006
"2010-02-22",80.75,81.699997,80.279999,81.309998,1112600,69.400009
"2010-02-23",80.959999,81.309998,79.889999,80.279999,1175000,68.520866
"2010-02-24",80.550003,80.669998,79.870003,80.150002,1887400,68.409935
"2010-02-25",79.580002,79.889999,78.730003,79.639999,1833800,67.974632
"2010-02-26",79.699997,80.919998,79.300003,79.93,1103000,68.222153
"2010-03-01",79.230003,81.050003,79.160004,80.760002,740500,68.93058
"2010-03-02",81.120003,81.730003,80.410004,80.629997,1398800,68.819611
"2010-03-03",80.639999,80.940002,80.019997,80.349998,834100,68.58062
"2010-03-04",80.800003,81.910004,80.68,80.989998,1528200,69.126884
"2010-03-05",81.43,82.760002,81.089996,82.629997,984500,70.526642
"2010-03-08",82.809998,83.739998,82.449997,82.779999,662900,70.654686
"2010-03-09",82.400002,83.449997,82.190002,82.93,704100,70.78273
"2010-03-10",82.690002,83.07,81.889999,82.349998,1066800,70.287689
"2010-03-11",81.75,82.760002,81.389999,82.669998,869900,70.560791
"2010-03-12",83.089996,83.169998,81.940002,82.160004,721500,70.125542
"2010-03-15",82,82.050003,79.919998,81.120003,1813500,69.237839
"2010-03-16",81.110001,81.5,80.690002,81.370003,671800,69.451233
"2010-03-17",81.419998,82.470001,81.269997,81.989998,608900,69.9804
"2010-03-18",81.910004,83.480003,81.629997,83.32,1050900,71.115578
"2010-03-19",82.860001,83.949997,82.43,82.860001,1056700,70.722977
"2010-03-22",82.050003,84.279999,81.860001,83.860001,676100,71.5765
"2010-03-23",84.330002,85.480003,84.190002,84.900002,951500,72.464165
"2010-03-24",84.699997,85.150002,84.110001,84.720001,717900,72.310516
"2010-03-25",85.279999,85.830002,84.57,84.650002,671600,72.250778
"2010-03-26",84.639999,86.699997,84.639999,86.07,972700,73.462791
"2010-03-29",86.5,86.669998,84.879997,85.690002,680200,73.138466
"2010-03-30",85.669998,86.379997,85.220001,85.769997,443500,73.292252
"2010-03-31",85.349998,85.839996,84.739998,85.040001,396500,72.668457
"2010-04-01",85.599998,86.830002,85.589996,86.529999,1655900,73.941689
"2010-04-05",86.860001,88.379997,86.660004,88.139999,624200,75.317474
"2010-04-06",87.940002,88.220001,87.419998,88.089996,519900,75.274727
"2010-04-07",88.540001,89.839996,88.339996,88.860001,1105400,75.932747
"2010-04-08",88.489998,89.209999,87.620003,88.839996,465300,75.915627
"2010-04-09",89.019997,89.760002,88.400002,89.730003,430700,76.676147
"2010-04-12",89.75,89.940002,88.910004,89.470001,429200,76.453957
"2010-04-13",89.360001,90.889999,88.610001,90.389999,758200,77.240143
"2010-04-14",90.629997,91.360001,90.080002,91.18,1186800,77.915222
"2010-04-15",91.279999,91.279999,89.970001,90.620003,740200,77.436684
"2010-04-16",90.440002,90.949997,89.290001,90.010002,1225100,76.915421
"2010-04-19",89.620003,90.879997,88.699997,90.760002,982100,77.556343
"2010-04-20",91.169998,91.800003,90.919998,91.360001,867800,78.069046
"2010-04-21",91.300003,93.080002,91.139999,92.900002,795800,79.384979
"2010-04-22",91.839996,95.449997,91.809998,94.940002,927600,81.12822
"2010-04-23",94.800003,95.550003,94,95,592300,81.179466
"2010-04-26",94.699997,95.589996,94.300003,94.489998,367700,80.743675
"2010-04-27",94.220001,94.68,91.650002,92.019997,752500,78.633034
"2010-04-28",92.620003,93.419998,91.889999,92.349998,554000,78.914986
"2010-04-29",92.82,94.129997,92.82,93.849998,418900,80.196785
"2010-04-30",93.980003,94.879997,89.830002,89.900002,1040800,76.821426
