"dates","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2010-01-04",67.629997,67.650002,66.32,67.010002,721000,49.329403
"2010-01-05",66.800003,68.389999,66.699997,68.209999,779200,50.212772
"2010-01-06",68.43,70.900002,68.150002,70.489998,1355100,51.89119
"2010-01-07",70.580002,73.669998,70.129997,73.120003,1827000,53.827271
"2010-01-08",72.559998,74.349998,72.43,73.839996,1381700,54.357277
"2010-01-11",73.940002,74.18,72.970001,73.139999,550400,53.841969
"2010-01-12",72.720001,73,71.300003,71.690002,779500,52.77457
"2010-01-13",71.75,74.150002,70.889999,73.620003,1475700,54.195324
"2010-01-14",73.610001,75.68,73.470001,75.339996,942900,55.461514
"2010-01-15",74.900002,75.279999,72.940002,73.160004,1404200,53.856716
"2010-01-19",73.209999,75.150002,72.459999,74.699997,1286100,54.990383
"2010-01-20",73.650002,78.32,73.650002,77.690002,3381000,57.191467
"2010-01-21",77.800003,80.309998,77.800003,78.589996,2716300,57.854008
"2010-01-22",78.370003,78.599998,75.269997,75.589996,1646200,55.645561
"2010-01-25",76.370003,76.839996,73.779999,75,1181900,55.211235
"2010-01-26",74.459999,75.519997,73.269997,73.730003,1468300,54.276302
"2010-01-27",73.830002,76.650002,73.519997,76.300003,1356600,56.168232
"2010-01-28",76.339996,77.099998,75.25,75.720001,1040700,55.741283
"2010-01-29",75.900002,76.040001,73.5,73.75,1837500,54.291061
"2010-02-01",74.230003,75.260002,74.230003,74.900002,857400,55.137608
"2010-02-02",75.129997,75.800003,74.449997,75,667400,55.211235
"2010-02-03",74.459999,74.489998,72.080002,72.169998,1246000,53.127941
"2010-02-04",71.779999,71.910004,69.910004,70.639999,2136400,52.001625
"2010-02-05",70.650002,72.75,70.089996,72.669998,1775800,53.496006
"2010-02-08",72.309998,72.639999,71.080002,71.290001,853000,52.480106
"2010-02-09",71.989998,72.989998,71.370003,71.989998,595900,52.995411
"2010-02-10",72,73.370003,71.709999,72.669998,574100,53.496006
"2010-02-11",72.790001,72.870003,71.889999,72.400002,429900,53.297249
"2010-02-12",71.75,72.190002,70.889999,72.07,830700,53.054306
"2010-02-16",73.040001,75.339996,72.769997,75.120003,1116600,55.299561
"2010-02-17",75.370003,75.639999,73.800003,74.489998,1018500,54.835793
"2010-02-18",74.650002,75.5,74.410004,75.43,1454200,55.527779
"2010-02-19",75.370003,76.650002,75.230003,76.599998,1711800,56.389069
"2010-02-22",77.080002,78.32,76.989998,78.089996,1179800,57.485916
"2010-02-23",78.089996,78.089996,75.910004,77.220001,1805100,56.845482
"2010-02-24",76.989998,78.970001,76.809998,78.199997,1590300,58.093529
"2010-02-25",77.330002,77.330002,75.550003,76.580002,1080300,56.890057
"2010-02-26",76.540001,77.639999,75.760002,77.43,1042000,57.521523
"2010-03-01",77.349998,78.120003,77,77.800003,829200,57.796375
"2010-03-02",77.970001,79.089996,77.860001,78.459999,694500,58.286694
"2010-03-03",78.540001,78.68,76.139999,76.599998,832000,56.904915
"2010-03-04",75.870003,76.589996,75.269997,76.160004,1004500,56.578049
"2010-03-05",76.68,78.629997,76.68,78.550003,708100,58.353535
"2010-03-08",78.449997,78.910004,78,78.730003,906200,58.487263
"2010-03-09",78.349998,79.169998,77.589996,78.790001,1177500,58.53183
"2010-03-10",78.790001,80,78.440002,79.559998,1067500,59.103848
"2010-03-11",79.360001,80.5,79.129997,80.300003,490800,59.653587
"2010-03-12",80.93,81.330002,79.779999,80,849900,59.430729
"2010-03-15",79.900002,80.480003,79.720001,80.309998,709900,59.660999
"2010-03-16",82,82,80.150002,81.449997,852000,60.5079
"2010-03-17",81.639999,82.919998,81.519997,82.790001,621100,61.503391
"2010-03-18",82.599998,84.099998,82.489998,84,1273700,62.402252
"2010-03-19",83.279999,85,83.019997,83.279999,1057600,61.867413
