"dates","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2010-01-04",19.595556,19.911112,19.462221,19.893333,1734975,17.913528
"2010-01-05",19.84,20.364445,19.826668,20.346666,1419075,18.321749
"2010-01-06",20.293333,20.573334,20.208889,20.493334,888525,18.453823
"2010-01-07",20.386667,20.586666,20.200001,20.48889,1296225,18.449812
"2010-01-08",20.440001,20.537779,20.32,20.484444,1071900,18.445812
"2010-01-11",20.675556,20.782223,20.440001,20.515556,969525,18.473835
"2010-01-12",20.364445,20.768888,20.364445,20.564444,1168650,18.517851
"2010-01-13",20.684444,20.817778,20.484444,20.742222,1151325,18.677938
"2010-01-14",20.617779,20.791111,20.546667,20.746668,1016325,18.681944
"2010-01-15",20.697779,20.697779,20.444445,20.533333,1131750,18.489836
"2010-01-19",20.51111,21.044443,20.51111,20.853333,1055475,18.777985
"2010-01-20",20.657778,20.777779,20.51111,20.675556,1056150,18.617907
"2010-01-21",20.724443,20.835556,20.142221,20.24,1629450,18.225697
"2010-01-22",20.173332,20.271111,19.493334,19.662222,1940400,17.705412
"2010-01-25",19.875557,20.297777,19.875557,20.133333,1313550,18.129644
"2010-01-26",20.022223,20.373333,19.875557,19.928888,1118925,17.945547
"2010-01-27",19.928888,20.4,19.862223,20.35111,1153575,18.32575
"2010-01-28",20.346666,20.444445,19.915556,20.075556,841500,18.077614
"2010-01-29",20.137777,20.453333,19.928888,19.955557,994275,17.969559
"2010-02-01",20.124443,20.493334,20.062222,20.195557,906525,18.185675
"2010-02-02",20.306667,20.542221,20.137777,20.533333,906750,18.489836
"2010-02-03",20.364445,20.493334,20.111111,20.186666,842400,18.17767
"2010-02-04",20.004444,20.577778,19.64889,19.64889,2167425,17.693413
"2010-02-05",19.626667,19.76,18.964443,19.595556,1950975,17.645386
"2010-02-08",19.875557,20.102222,19.493334,19.573334,2055825,17.625383
"2010-02-09",19.822222,20.017778,19.297777,19.68,1892700,17.721426
"2010-02-10",19.586666,20.062222,19.43111,19.719999,1346850,17.757448
"2010-02-11",19.768888,19.884443,19.413334,19.795555,2922075,17.825487
"2010-02-12",19.639999,19.724443,19.306667,19.724443,1618200,17.761452
"2010-02-16",19.902222,19.911112,19.417778,19.862223,1752525,17.885519
"2010-02-17",19.986668,20.182222,19.937778,20.177778,1326825,18.169662
"2010-02-18",20.133333,20.604445,20.066668,20.497778,1393200,18.457819
"2010-02-19",20.435556,20.826668,20.382221,20.68,1295775,18.62191
"2010-02-22",20.68,20.884443,20.537779,20.831112,1279350,18.757984
"2010-02-23",20.684444,20.684444,20.044443,20.057777,2943225,18.061605
"2010-02-24",20.066668,20.453333,20.044443,20.373333,1429200,18.34576
"2010-02-25",20.120001,20.639999,19.973333,20.582222,1686825,18.533865
"2010-02-26",20.666668,20.737778,20.395555,20.666668,1343700,18.609905
