"dates","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"2010-01-04",16.725,17.014999,16.715,16.889999,1286000,15.149241
"2010-01-05",16.889999,17.77,16.865,17.695,2654000,15.871278
"2010-01-06",17.695,18.389999,17.65,18.344999,4171000,16.454279
"2010-01-07",18.25,18.635,18.030001,18.594999,2592200,16.67852
"2010-01-08",18.49,18.594999,18.200001,18.254999,2500600,16.373562
"2010-01-11",18.405001,18.52,18.115,18.225,2885200,16.346655
"2010-01-12",18.120001,18.295,17.705,17.754999,3873200,15.925087
"2010-01-13",17.809999,18,17.700001,17.879999,3943800,16.03721
"2010-01-14",17.879999,19.040001,17.85,18.940001,4483800,16.987959
"2010-01-15",18.99,19.18,18.445,18.674999,3369600,16.750275
"2010-01-19",18.690001,18.959999,18.530001,18.84,2778000,16.898266
"2010-01-20",18.57,18.65,18.405001,18.584999,1999400,16.66955
"2010-01-21",18.655001,18.915001,18.280001,18.42,3701400,16.521561
"2010-01-22",18.465,18.735001,18.165001,18.235001,2183800,16.355625
"2010-01-25",18.375,18.950001,18.165001,18.514999,2195800,16.606764
"2010-01-26",18.465,18.68,18.09,18.115,1936200,16.24799
"2010-01-27",17.98,18.115,17.184999,17.629999,3824800,15.812977
"2010-01-28",17.674999,17.76,16.995001,17.200001,3062000,15.427298
"2010-01-29",17.225,17.995001,17.225,17.545,4052400,15.736732
"2010-02-01",17.645,17.98,17.584999,17.950001,2172200,16.099997
"2010-02-02",17.924999,18.23,17.674999,18.110001,2000400,16.243502
"2010-02-03",18,18.715,18,18.525,2900200,16.615736
"2010-02-04",18.305,18.305,17.655001,17.66,1750800,15.839881
"2010-02-05",17.615,17.66,16.934999,17.355,3925800,15.566319
"2010-02-08",17.445,17.945,17.290001,17.68,2833400,15.857827
"2010-02-09",17.92,18.344999,17.75,17.985001,5739000,16.131388
"2010-02-10",17.875,18.299999,17.684999,18.115,3087600,16.24799
"2010-02-11",18.424999,18.49,17.725,17.83,4811400,15.992364
"2010-02-12",17.625,18.325001,17.625,18.32,3554600,16.43186
"2010-02-16",18.559999,18.615,18.305,18.51,2195000,16.602282
"2010-02-17",18.620001,18.85,18.52,18.594999,2330200,16.67852
"2010-02-18",18.530001,18.690001,18.450001,18.540001,2791400,16.629189
"2010-02-19",18.565001,18.775,18.475,18.674999,2360600,16.750275
"2010-02-22",18.790001,19.25,18.735001,19.129999,2798800,17.158375
"2010-02-23",19.115,19.450001,18.620001,18.735001,3614000,16.80409
"2010-02-24",18.735001,19.25,18.735001,19.07,2378800,17.104568
"2010-02-25",18.73,19.065001,18.5,19.01,2490000,17.050747
"2010-02-26",19.075001,19.129999,18.684999,18.73,2433200,16.799601
"2010-03-01",18.844999,19,18.73,18.985001,2416400,17.02832
"2010-03-02",19.17,19.605,19.110001,19.33,5275800,17.337769
"2010-03-03",19.43,19.469999,19.245001,19.290001,4319600,17.301889
"2010-03-04",19.02,19.295,18.99,19.09,2692400,17.122505
"2010-03-05",19.254999,19.27,18.795,18.825001,4825600,16.884821
"2010-03-08",18.75,18.92,18.75,18.875,5467800,16.929665
"2010-03-09",18.83,18.875,18.49,18.625,3114800,16.705425
"2010-03-10",18.545,18.75,18.285,18.355,2663000,16.463253
"2010-03-11",18.264999,18.465,17.84,18.445,5567200,16.543982
"2010-03-12",18.565001,18.77,18.48,18.540001,1406800,16.629189
"2010-03-15",18.504999,18.655001,18.23,18.434999,1476800,16.535011
"2010-03-16",18.450001,18.65,18.395,18.6,2191200,16.683006
"2010-03-17",18.625,18.715,18.41,18.445,2572600,16.543982
"2010-03-18",18.475,18.5,18.290001,18.33,3279200,16.44083
"2010-03-19",18.27,18.555,18.105,18.27,4999400,16.387014
"2010-03-22",18.15,19.084999,18.15,18.965,4152200,17.010389
"2010-03-23",18.915001,19.030001,18.719999,19,3365200,17.041779
"2010-03-24",18.885,19.049999,18.809999,18.924999,3532600,16.974506
"2010-03-25",19.094999,19.129999,18.690001,18.695,4697800,16.768209
"2010-03-26",18.705,18.809999,18.42,18.514999,3365800,16.606764
"2010-03-29",18.555,18.735001,18.389999,18.535,2908400,16.624701
"2010-03-30",18.52,18.719999,18.5,18.615,4429400,16.696461
"2010-03-31",18.525,19.235001,18.504999,19.09,6954400,17.122505
"2010-04-01",19.245001,19.610001,19.23,19.610001,4654600,17.588907
"2010-04-05",19.620001,19.700001,19.145,19.184999,4801200,17.207706
"2010-04-06",19.115,19.24,18.834999,19.025,4271400,17.064198
"2010-04-07",19.035,19.035,18.57,18.735001,2845800,16.80409
"2010-04-08",18.67,19.084999,18.52,19.014999,3600000,17.055233
