"dates","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"2010-01-04",24.344999,24.445,24.115,24.27,3508400,21.434698
"2010-01-05",24.195,24.245001,23.825001,24.174999,3246000,21.3508
"2010-01-06",24.309999,24.445,24.08,24.25,4447200,21.417036
"2010-01-07",24.209999,24.6,23.940001,24.555,3864800,21.686405
"2010-01-08",24.434999,24.684999,24.275,24.655001,2221600,21.774727
"2010-01-11",24.74,24.915001,24.27,24.889999,3271600,21.982271
"2010-01-12",24.795,25.209999,24.674999,24.780001,3761000,21.885118
"2010-01-13",24.844999,25.049999,24.684999,24.985001,3205800,22.066175
"2010-01-14",24.975,25.084999,24.709999,24.950001,3004000,22.035261
"2010-01-15",25.025,25.200001,24.754999,24.879999,4555600,21.97344
"2010-01-19",24.895,25.235001,24.709999,24.995001,3195800,22.075001
"2010-01-20",24.764999,24.870001,24.4,24.52,3143400,21.655495
"2010-01-21",26.275,26.885,26.145,26.764999,17290600,23.63822
"2010-01-22",26.745001,26.99,26.440001,26.584999,5699200,23.479256
"2010-01-25",26.805,26.915001,26.475,26.584999,4302400,23.479256
"2010-01-26",26.565001,26.985001,26.424999,26.775,4617800,23.647058
"2010-01-27",26.719999,26.875,26.375,26.82,3802800,23.6868
"2010-01-28",26.584999,26.870001,26.395,26.52,5303000,23.421848
"2010-01-29",26.635,26.655001,26.055,26.26,5374800,23.192219
"2010-02-01",26.42,26.969999,26.225,26.9,5915800,23.757462
"2010-02-02",26.77,28.145,26.76,28,7339800,24.728949
"2010-02-03",27.790001,28.459999,27.655001,28.285,5416200,24.980656
"2010-02-04",28.035,28.190001,27.709999,27.92,5238000,24.658297
"2010-02-05",27.815001,27.85,27.105,27.700001,4525400,24.464003
"2010-02-08",27.705,28.49,27.684999,27.834999,4760600,24.583231
"2010-02-09",28.059999,28.309999,27.780001,28.125,5144200,24.839344
"2010-02-10",27.955,28.27,27.75,28.030001,3846200,24.755442
"2010-02-11",28.035,28.475,27.82,28.434999,3272600,25.113127
"2010-02-12",28.094999,28.424999,27.92,28.33,3844800,25.020395
"2010-02-16",28.469999,29.225,28.469999,29.18,3086200,25.771097
"2010-02-17",29.254999,29.504999,29.145,29.43,2646800,25.991894
"2010-02-18",29.379999,29.825001,29.32,29.754999,3067600,26.278923
"2010-02-19",29.695,29.700001,29.344999,29.415001,2963200,25.978645
"2010-02-22",29.42,29.65,29.41,29.545,2258400,26.093454
"2010-02-23",29.485001,29.745001,29.295,29.33,2486000,25.903572
"2010-02-24",29.450001,30.035,29.450001,30.004999,4780200,26.499712
"2010-02-25",29.809999,30.344999,29.495001,30.285,4276800,26.747005
"2010-02-26",30.370001,30.370001,30,30.065001,2507800,26.552713
"2010-03-01",30.225,31.115,30.145,31.08,6075200,27.449139
"2010-03-02",31.059999,31.1,30.719999,30.855,5706000,27.250418
"2010-03-03",30.809999,30.940001,30.535,30.59,2958400,27.016376
"2010-03-04",30.674999,30.799999,30.5,30.540001,3211200,26.972214
"2010-03-05",30.715,30.975,30.184999,30.83,2567800,27.228342
"2010-03-08",31,31.174999,30.645,31.17,2747200,27.528624
"2010-03-09",31,31.09,30.725,30.825001,2561000,27.223919
"2010-03-10",30.74,31.030001,30.66,30.93,2232000,27.316662
"2010-03-11",30.870001,31.639999,30.85,31.594999,3195600,27.903973
"2010-03-12",31.68,31.795,31.475,31.754999,2061000,28.045279
"2010-03-15",31.76,31.764999,31.254999,31.555,3338000,27.868649
"2010-03-16",31.540001,31.754999,31.434999,31.719999,2054000,28.014368
"2010-03-17",31.735001,32.095001,31.690001,31.965,1851200,28.230749
"2010-03-18",32,32.139999,31.700001,31.9,1728800,28.17334
