"dates","HSIC.Open","HSIC.High","HSIC.Low","HSIC.Close","HSIC.Volume","HSIC.Adjusted"
"2010-01-04",20.890196,21.176472,20.74902,20.952942,2026740,20.952942
"2010-01-05",20.956863,21.070587,20.870588,20.894117,1299225,20.894117
"2010-01-06",20.839216,21.09804,20.835295,20.960785,1685295,20.960785
"2010-01-07",20.956863,21.152941,20.858824,21.035294,1089360,21.035294
"2010-01-08",20.976471,21.301962,20.968628,21.160784,1841610,21.160784
"2010-01-11",21.117647,21.905882,21.094118,21.858824,2591565,21.858824
"2010-01-12",21.819609,21.894117,21.47451,21.55294,1902045,21.55294
"2010-01-13",21.576471,22.168627,21.576471,22.121569,2184330,22.121569
"2010-01-14",21.988235,22.054901,21.568626,22.015686,1001640,22.015686
"2010-01-15",22.094118,22.22353,21.607843,21.803923,1467015,21.803923
"2010-01-19",21.870588,22.219608,21.74902,22.011765,1444575,22.011765
"2010-01-20",21.913725,22.047058,21.603922,21.847059,1493790,21.847059
"2010-01-21",21.815685,22.019608,21.521568,21.799999,3079635,21.799999
"2010-01-22",21.850981,21.937256,21.392157,21.4,1876290,21.4
"2010-01-25",21.423529,21.627451,21.254902,21.529411,1191870,21.529411
"2010-01-26",21.44706,21.568626,21.317648,21.384314,1070745,21.384314
"2010-01-27",21.309805,21.345098,21.035294,21.145098,2613750,21.145098
"2010-01-28",21.137255,21.274509,20.780392,20.913725,2090745,20.913725
"2010-01-29",21.07843,21.4,21.07843,21.196077,2423265,21.196077
"2010-02-01",21.317648,21.521568,21.023529,21.513725,2369205,21.513725
"2010-02-02",21.486275,21.94902,21.407843,21.905882,2142000,21.905882
"2010-02-03",21.764706,21.956863,21.6,21.662745,1395360,21.662745
"2010-02-04",21.568626,21.607843,21.094118,21.094118,1559070,21.094118
"2010-02-05",21.12549,21.298038,20.898039,21.203922,1750575,21.203922
"2010-02-08",21.298038,21.345098,21.058825,21.121569,1679430,21.121569
"2010-02-09",21.337255,21.647058,21.05098,21.533333,2624970,21.533333
"2010-02-10",21.176472,21.6,21.176472,21.568626,1588650,21.568626
"2010-02-11",21.462746,21.929413,21.42745,21.909803,2017050,21.909803
"2010-02-12",21.799999,22.027451,21.623529,22.027451,2064480,22.027451
"2010-02-16",22.058825,22.25098,21.952942,22.247059,1028160,22.247059
"2010-02-17",22.247059,22.372549,22.176472,22.372549,1221195,22.372549
"2010-02-18",22.388235,22.454903,22.243137,22.392157,2546430,22.392157
"2010-02-19",22.352942,22.466667,22.298038,22.439217,2861610,22.439217
"2010-02-22",22.454903,22.529411,22.333332,22.423529,3874980,22.423529
"2010-02-23",22.443136,22.678431,22.380392,22.392157,3519510,22.392157
"2010-02-24",22.403921,22.545097,22.290195,22.392157,1603185,22.392157
"2010-02-25",22.133333,22.34902,22.031372,22.298038,1562640,22.298038
"2010-02-26",22.321569,22.411764,22.176472,22.286276,1529235,22.286276
"2010-03-01",22.396078,22.396078,22.039215,22.309805,4292670,22.309805
"2010-03-02",22.207844,22.450979,22.129412,22.341175,4567305,22.341175
"2010-03-03",22.247059,22.341175,22.156862,22.180391,2182290,22.180391
"2010-03-04",22.180391,22.180391,22.031372,22.09804,1989000,22.09804
"2010-03-05",22.133333,22.317648,22.105883,22.305882,2183310,22.305882
"2010-03-08",22.203922,22.286276,22.117647,22.200001,1692435,22.200001
"2010-03-09",22.062744,22.094118,21.925489,21.956863,2308770,21.956863
"2010-03-10",21.850981,22.058825,21.839216,21.972549,1969620,21.972549
"2010-03-11",21.956863,22.113726,21.827452,22.113726,1812030,22.113726
"2010-03-12",22.105883,22.207844,22,22.207844,1138065,22.207844
"2010-03-15",22.196077,22.313725,22.109804,22.301962,1214310,22.301962
"2010-03-16",22.321569,22.423529,22.247059,22.403921,959310,22.403921
"2010-03-17",22.341175,22.545097,22.270588,22.494118,881790,22.494118
"2010-03-18",22.501961,22.615686,22.501961,22.584314,1109250,22.584314
"2010-03-19",22.698038,22.77647,22.450979,22.6,2093805,22.6
"2010-03-22",22.580393,22.839216,22.266666,22.827452,1219155,22.827452
"2010-03-23",22.807842,22.913725,22.623529,22.882353,1521840,22.882353
"2010-03-24",22.898039,22.917646,22.792156,22.878431,1173765,22.878431
"2010-03-25",22.941175,22.941175,22.654902,22.666668,1703910,22.666668
"2010-03-26",22.701962,22.878431,22.568626,22.670588,1612110,22.670588
"2010-03-29",22.77647,22.90196,22.74902,22.823528,1318605,22.823528
"2010-03-30",22.843138,23.243137,22.682352,23.219608,1619505,23.219608
"2010-03-31",23.09804,23.243137,23.07843,23.09804,1123785,23.09804
"2010-04-01",23.247059,23.282352,22.933332,23.086275,893775,23.086275
"2010-04-05",23.090197,23.388235,23,23.364706,2043825,23.364706
"2010-04-06",23.188234,23.356863,23.188234,23.239216,1598850,23.239216
"2010-04-07",23.184315,23.274509,23.101961,23.219608,903975,23.219608
"2010-04-08",23.090197,23.262745,22.988235,23.184315,774690,23.184315
"2010-04-09",23.25098,23.294119,23.129412,23.278431,675750,23.278431
"2010-04-12",23.305882,23.329412,23.156862,23.239216,787950,23.239216
"2010-04-13",23.149019,23.396078,22.980392,23.388235,911115,23.388235
"2010-04-14",23.592157,23.917646,23.44706,23.835295,3522060,23.835295
"2010-04-15",23.839216,23.968628,23.807842,23.913725,1566975,23.913725
"2010-04-16",23.894117,24.05098,23.678431,23.866667,1562130,23.866667
"2010-04-19",23.858824,23.960785,23.733334,23.784313,1512405,23.784313
"2010-04-20",23.835295,24.074511,23.835295,24.011765,1336200,24.011765
"2010-04-21",23.937256,24.007843,23.678431,23.752941,1228590,23.752941
"2010-04-22",23.674509,24.011765,23.478432,23.968628,1295400,23.968628
"2010-04-23",24.101961,24.486275,23.980392,24.466667,1899495,24.466667
"2010-04-26",24.505882,24.560783,24,24.015686,1730685,24.015686
"2010-04-27",24.039215,24.266666,23.917646,23.984314,1768935,23.984314
"2010-04-28",24.145098,24.352942,24.066668,24.133333,1011075,24.133333
"2010-04-29",24.117647,24.486275,24.003922,24.294119,1834725,24.294119
"2010-04-30",24.266666,24.450979,23.698038,23.725491,1934940,23.725491
"2010-05-03",23.752941,24.203922,23.603922,23.960785,2355945,23.960785
"2010-05-04",23.698038,23.886274,23.505882,23.745098,2268990,23.745098
"2010-05-05",23.745098,24.117647,23.603922,23.674509,2001495,23.674509
"2010-05-06",23.690195,23.764706,22.215687,23.047058,2798370,23.047058
"2010-05-07",23.047058,23.678431,22.305882,22.352942,2899860,22.352942
"2010-05-10",22.917646,23.239216,22.564707,23.22353,2783835,23.22353
"2010-05-11",23.12549,23.298038,22.992157,23.019608,1416525,23.019608
"2010-05-12",22.980392,23.44706,22.862745,23.345098,1393320,23.345098
"2010-05-13",23.258823,23.329412,22.972549,23.039215,984555,23.039215
"2010-05-14",22.980392,23.105883,22.466667,22.603922,1412700,22.603922
"2010-05-17",22.678431,22.807842,22.372549,22.721569,1340025,22.721569
"2010-05-18",22.819609,22.956863,22.4,22.454903,972570,22.454903
"2010-05-19",22.494118,22.529411,22.211765,22.435293,1597575,22.435293
"2010-05-20",22.160784,22.22353,21.619608,21.674509,1733235,21.674509
"2010-05-21",21.392157,21.945099,21.196077,21.937256,1995375,21.937256
"2010-05-24",21.701962,21.964706,21.576471,21.717648,1448145,21.717648
"2010-05-25",21.431374,21.694118,20.996078,21.545097,1901025,21.545097
"2010-05-26",21.623529,21.866667,21.392157,21.619608,2074935,21.619608
"2010-05-27",21.964706,22.278431,21.580393,22.278431,1086810,22.278431
"2010-05-28",22.215687,22.286276,21.980392,22.121569,1351755,22.121569
"2010-06-01",22.027451,22.152941,21.705881,21.733334,1179885,21.733334
"2010-06-02",21.850981,22.380392,21.568626,22.376471,4328880,22.376471
"2010-06-03",22.337255,22.494118,22.164705,22.42745,1001895,22.42745
"2010-06-04",21.960785,22.239216,21.521568,21.568626,1358895,21.568626
"2010-06-07",21.52549,21.737255,21.317648,21.345098,1395105,21.345098
"2010-06-08",21.286276,21.403921,20.945099,21.168627,1739355,21.168627
"2010-06-09",21.298038,21.482353,21.066668,21.09804,993990,21.09804
"2010-06-10",21.298038,21.47451,21.239216,21.376471,1489710,21.376471
"2010-06-11",21.180391,21.611765,21.180391,21.596079,799935,21.596079
"2010-06-14",21.635294,22.070587,21.623529,21.858824,1052895,21.858824
"2010-06-15",21.847059,22.011765,21.576471,21.909803,1149030,21.909803
"2010-06-16",21.854902,22.141176,21.839216,21.917646,928455,21.917646
"2010-06-17",22.086275,22.133333,21.847059,21.925489,846855,21.925489
"2010-06-18",21.925489,22.137255,21.878431,22.12549,3090855,22.12549
"2010-06-21",22.266666,22.403921,22.121569,22.278431,2038725,22.278431
"2010-06-22",22.321569,22.52549,22.168627,22.192158,1991805,22.192158
"2010-06-23",22.164705,22.282352,21.956863,22.145098,1594515,22.145098
"2010-06-24",21.996078,22.129412,21.725491,21.772549,2016285,21.772549
"2010-06-25",21.882353,21.92157,21.643137,21.850981,1607775,21.850981
"2010-06-28",21.92157,22.337255,21.607843,22.25098,1188555,22.25098
"2010-06-29",22.074511,22.086275,21.592157,21.690195,1726860,21.690195
"2010-06-30",21.705881,21.788235,21.44706,21.529411,1406580,21.529411
"2010-07-01",21.521568,21.819609,21.09804,21.384314,2234310,21.384314
"2010-07-02",21.470589,21.470589,21.121569,21.274509,635715,21.274509
"2010-07-06",21.431374,21.627451,21.137255,21.243137,1415505,21.243137
"2010-07-07",21.298038,21.505882,21.062744,21.462746,1394340,21.462746
"2010-07-08",21.509804,21.729412,21.372549,21.537254,1576155,21.537254
