"dates","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2010-01-04",64.709999,64.989998,64.410004,64.68,9506200,46.298389
"2010-01-05",64.580002,64.620003,63.82,63.93,10673100,45.761547
"2010-01-06",63.900002,64.540001,63.830002,64.449997,13171500,46.133747
"2010-01-07",64.25,64.349998,63.740002,63.990002,10901600,45.804497
"2010-01-08",63.919998,64.260002,63.630001,64.209999,7898000,45.961971
"2010-01-11",64.75,64.75,64.010002,64.220001,7975700,45.969124
"2010-01-12",64.129997,64.720001,64.019997,64.559998,10820700,46.212498
"2010-01-13",64.540001,65.230003,64.540001,64.970001,13023800,46.505974
"2010-01-14",65.199997,65.269997,64.75,65.099998,7899000,46.59903
"2010-01-15",65.139999,65.199997,63.98,64.559998,20995000,46.212498
"2010-01-19",64.139999,65.75,64.110001,65.349998,15181800,46.777988
"2010-01-20",65.470001,65.949997,64.470001,65.150002,13033000,46.634827
"2010-01-21",65.07,65.470001,63.799999,63.970001,14473900,45.790154
"2010-01-22",63.91,64.190002,63.09,63.200001,14017200,45.239002
"2010-01-25",63.669998,63.700001,63.049999,63.220001,10001700,45.253311
"2010-01-26",62.639999,63.009998,62.220001,62.790001,15630300,44.945511
"2010-01-27",62.779999,63.720001,62.700001,63.439999,14982400,45.410782
"2010-01-28",63.57,64.07,63.040001,63.799999,17096000,45.668468
"2010-01-29",63.950001,64.269997,62.82,62.860001,17844400,44.995621
"2010-02-01",63.259998,63.259998,62.77,63.09,10153400,45.160259
"2010-02-02",63.200001,64.199997,62.630001,63.990002,13609300,45.804497
"2010-02-03",63.869999,63.869999,63.290001,63.630001,9255900,45.546795
"2010-02-04",63.490002,63.619999,62.619999,62.639999,18397000,44.838142
"2010-02-05",62.689999,63.599998,61.889999,62.639999,16775200,44.838142
"2010-02-08",62.5,62.98,62.259998,62.369999,10081200,44.644875
"2010-02-09",62.549999,63.470001,62.470001,62.759998,11356400,44.924042
"2010-02-10",62.790001,63.07,62.209999,62.73,10115800,44.902561
"2010-02-11",62.619999,63.209999,62.259998,62.91,8353600,45.031418
"2010-02-12",62.610001,63,62.110001,62.720001,12335800,44.895405
"2010-02-16",63.25,63.709999,62.82,63.610001,10212400,45.532482
"2010-02-17",63.630001,64.360001,63.610001,63.98,9485500,45.797318
"2010-02-18",63.98,64.699997,63.950001,64.529999,8260600,46.19101
"2010-02-19",64.150002,64.459999,63.619999,63.810001,14222300,46.025131
"2010-02-22",63.810001,64.099998,63.389999,63.490002,9839700,45.794308
"2010-02-23",63.560001,63.849998,63.23,63.310001,12481400,45.66449
"2010-02-24",63.549999,63.849998,63.25,63.450001,8519300,45.765461
"2010-02-25",62.790001,63.349998,62.52,63.279999,10528900,45.642857
"2010-02-26",63.459999,63.59,63,63,9357800,45.44091
"2010-03-01",63.27,63.459999,63.169998,63.389999,9219400,45.722187
"2010-03-02",63.310001,63.639999,63.02,63.439999,9014000,45.758244
"2010-03-03",63.59,63.75,63.220001,63.400002,9360400,45.729401
"2010-03-04",63.529999,63.700001,63.369999,63.57,8067200,45.852028
"2010-03-05",63.66,64.07,63.549999,64.040001,10633600,46.191029
"2010-03-08",64.080002,64.410004,64.019997,64.199997,33380500,46.306423
"2010-03-09",64.550003,64.550003,64.089996,64.269997,8827100,46.356911
"2010-03-10",64.489998,64.559998,64.150002,64.290001,8436600,46.371357
"2010-03-11",64.150002,64.220001,63.599998,64.220001,9957800,46.320858
"2010-03-12",64.260002,64.260002,63.849998,64.18,8223000,46.292007
"2010-03-15",64.139999,64.57,64.07,64.57,7444700,46.573307
"2010-03-16",64.699997,64.720001,64.230003,64.529999,8882000,46.544441
"2010-03-17",64.720001,64.739998,64.480003,64.650002,8060700,46.631001
"2010-03-18",64.580002,65.150002,64.370003,65.059998,11742100,46.926731
"2010-03-19",65.110001,65.489998,64.809998,65.110001,23117600,46.962788
"2010-03-22",65.07,65.440002,64.980003,65.099998,8803800,46.955582
"2010-03-23",65.18,65.389999,64.870003,65.360001,9453900,47.143127
"2010-03-24",65.309998,65.309998,64.75,64.75,9312500,46.703136
"2010-03-25",65.040001,65.25,64.529999,64.57,10496600,46.573307
"2010-03-26",64.68,64.720001,64.330002,64.379997,9450400,46.436256
"2010-03-29",64.459999,64.93,64.400002,64.82,7812900,46.753616
"2010-03-30",64.949997,64.980003,64.559998,64.900002,8311600,46.811329
"2010-03-31",64.839996,65.309998,64.699997,65.199997,11939100,47.027702
"2010-04-01",65.370003,65.769997,65.239998,65.769997,10600600,47.438843
