"dates","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2010-01-04",47.610001,47.959999,47.009998,47.73,904000,37.338791
"2010-01-05",47.650002,47.82,47.139999,47.349998,964900,37.041519
"2010-01-06",47.349998,48.279999,47.23,48.25,893200,37.745583
"2010-01-07",48.220001,48.869999,47.799999,48.779999,673800,38.160202
"2010-01-08",48.630001,49.509998,48.349998,49.459999,664400,38.692158
"2010-01-11",48.360001,49.029999,48.240002,49,1416900,38.332298
"2010-01-12",48.470001,48.799999,48.009998,48.220001,1765400,37.722111
"2010-01-13",48.310001,48.639999,47.970001,48.450001,777400,37.902035
"2010-01-14",48.200001,48.860001,48.200001,48.599998,627400,38.019394
"2010-01-15",48.5,48.529999,47.259998,47.689999,877200,37.307487
"2010-01-19",47.73,49.169998,47.450001,49.169998,1150700,38.465286
"2010-01-20",48.48,48.5,47.959999,48.360001,1094300,37.831631
"2010-01-21",48.200001,48.700001,47.5,47.68,1406400,37.299683
"2010-01-22",47.419998,47.57,45.919998,46.02,989900,36.001083
"2010-01-25",46.619999,46.869999,46.09,46.630001,687500,36.478287
"2010-01-26",46.34,46.889999,45.720001,46.16,1920600,36.110584
"2010-01-27",50.25,51.860001,49.029999,50.84,8160200,39.771721
"2010-01-28",51.09,51.360001,49.73,49.939999,3284300,39.067654
"2010-01-29",50.200001,50.41,48.240002,48.240002,2637200,37.737762
"2010-02-01",48.459999,49.75,48.439999,49.75,1363300,38.919018
"2010-02-02",50,50.599998,49.580002,49.68,2382200,38.864265
"2010-02-03",49.59,49.93,48.93,49.23,1512400,38.51223
"2010-02-04",48.700001,48.700001,47.150002,47.91,1962700,37.479614
"2010-02-05",48,48.549999,47.509998,48.509998,3071100,37.948978
"2010-02-08",48.200001,48.34,47.25,47.709999,2016000,37.323147
"2010-02-09",48.889999,50.07,48.299999,49.5,1899100,38.72345
"2010-02-10",49.27,49.990002,48.84,49.709999,1867700,38.887733
"2010-02-11",49.439999,50.84,49.049999,50.720001,1303700,39.910675
"2010-02-12",49.740002,51.48,49.360001,51.43,1826700,40.469364
"2010-02-16",51.720001,53,51.720001,52.830002,1509800,41.571003
"2010-02-17",52.959999,53.580002,52.860001,53.09,1191100,41.775604
"2010-02-18",53.080002,53.799999,53.009998,53.779999,726400,42.318539
"2010-02-19",53.52,54.52,53.290001,54.310001,1207900,42.735596
"2010-02-22",54.380001,54.490002,53.639999,54.040001,737000,42.523132
"2010-02-23",53.970001,54.259998,52.810001,53.25,926700,41.901482
"2010-02-24",53.360001,53.799999,53,53.779999,785500,42.318539
"2010-02-25",53.099998,53.630001,52.110001,53.52,1060500,42.113945
"2010-02-26",53.48,54.209999,53.240002,54.09,790700,42.562469
"2010-03-01",54.450001,55.220001,54.41,55.130001,864300,43.380833
"2010-03-02",55.5,55.91,55.299999,55.650002,765700,43.79002
"2010-03-03",55.709999,56.139999,55.099998,55.259998,993700,43.483135
"2010-03-04",55.459999,55.619999,54.860001,55,684400,43.278534
"2010-03-05",55.310001,56.049999,55.310001,55.98,2167200,44.049679
"2010-03-08",56.130001,56.880001,55.950001,56.139999,1171200,44.175587
"2010-03-09",56.009998,56.259998,55.709999,56.049999,804400,44.104755
"2010-03-10",56.029999,56.490002,55.849998,56.16,858500,44.191315
"2010-03-11",56.029999,56.049999,55.41,55.84,1240400,43.939514
"2010-03-12",56.09,56.09,55.200001,55.360001,1413700,43.561813
"2010-03-15",55.470001,55.470001,54.509998,54.990002,1045500,43.270668
"2010-03-16",55.080002,55.5,54.790001,55.330002,1228000,43.538212
"2010-03-17",55.32,55.82,55.16,55.23,852800,43.459518
"2010-03-18",55.400002,55.400002,54.939999,55.130001,797300,43.380833
"2010-03-19",55.369999,55.580002,54.900002,55.369999,1785400,43.569687
"2010-03-22",55.07,56.169998,54.860001,55.860001,1201500,43.955265
"2010-03-23",55.919998,57,55.799999,56.779999,1913300,44.679192
"2010-03-24",56.720001,56.77,55.77,55.82,796600,43.923786
"2010-03-25",56.139999,56.700001,55.860001,55.919998,1108400,44.00246
"2010-03-26",56.189999,56.650002,55.290001,55.43,1276600,43.616898
"2010-03-29",55.720001,56.110001,55.52,55.549999,1078000,43.711311
"2010-03-30",55.740002,56.5,55.5,56.16,1121000,44.191315
"2010-03-31",55.830002,56.75,55.630001,56.360001,1057700,44.34869
"2010-04-01",56.639999,57.279999,56.279999,56.639999,876600,44.569019
"2010-04-05",56.869999,57.720001,56.599998,57.32,696400,45.104103
"2010-04-06",57.110001,58.049999,56.939999,58.040001,1085600,45.670647
"2010-04-07",57.860001,58.060001,57.299999,57.610001,976100,45.332314
"2010-04-08",57.299999,59.009998,57.27,58.98,1257600,46.410332
"2010-04-09",59,59.349998,58.860001,59.139999,842300,46.536228
"2010-04-12",59.290001,59.75,59.209999,59.610001,891700,46.906071
"2010-04-13",59.560001,59.68,58.810001,59.130001,1586000,46.528378
"2010-04-14",59.290001,60.41,59.16,60.380001,821500,47.511974
"2010-04-15",59.939999,60.880001,59.939999,60.799999,824300,47.842453
"2010-04-16",60.560001,60.75,59.490002,60.009998,1287400,47.22081
"2010-04-19",59.790001,59.939999,58.580002,59.27,998600,46.638531
"2010-04-20",59.830002,60.73,59.830002,60.689999,827900,47.755894
"2010-04-21",60.630001,60.830002,59.849998,60.419998,1061500,47.543434
"2010-04-22",59.869999,62.200001,59.419998,62.07,1530000,48.841797
"2010-04-23",62.209999,62.720001,61.580002,62.709999,663300,49.345402
"2010-04-26",62.939999,63.84,62.700001,62.830002,662100,49.439831
"2010-04-27",62.419998,63.110001,61.07,61.27,1094300,48.212292
"2010-04-28",63.790001,63.900002,61,61.169998,2339900,48.133595
"2010-04-29",61.880001,62.259998,61.360001,61.900002,2015100,48.708019
"2010-04-30",61.810001,61.98,60.23,60.720001,2014700,47.77951
"2010-05-03",61.209999,62.740002,61.18,62.619999,841200,49.27459
"2010-05-04",61.599998,61.599998,59.5,59.93,1261900,47.157871
"2010-05-05",59.450001,60.700001,58.540001,59.549999,1345100,46.858852
"2010-05-06",58.939999,60.16,53.619999,57.349998,1896900,45.127712
"2010-05-07",57.41,58.189999,55.630001,56.540001,1724300,44.490349
"2010-05-10",59.25,60.639999,58.720001,60.040001,1760200,47.244427
"2010-05-11",59.25,60.720001,58.77,60.080002,1332000,47.275898
"2010-05-12",60.52,62.470001,60.43,62.380001,1105800,49.08572
"2010-05-13",61.84,62.34,60.900002,61.150002,832600,48.342598
"2010-05-14",60.279999,61,58.709999,59.299999,1118400,46.880074
"2010-05-17",59.439999,59.830002,58.029999,59.310001,1529100,46.887978
"2010-05-18",59.779999,60.259998,57.82,57.970001,1069400,45.828636
"2010-05-19",57.709999,58.049999,55.459999,56.700001,1366900,44.824615
"2010-05-20",54.189999,54.619999,51.66,52.16,2691300,41.23547
"2010-05-21",51.150002,53.720001,50.799999,53.450001,2180400,42.255306
"2010-05-24",52.950001,54.080002,52.73,52.82,1022000,41.757271
"2010-05-25",51.18,52.02,50.700001,51.84,2630300,40.982517
"2010-05-26",52.259998,53.669998,52.169998,52.450001,1494000,41.464756
"2010-05-27",53.299999,54.279999,53.299999,54.27,973900,42.903561
"2010-05-28",53.959999,54.23,52.900002,53.43,987300,42.239498
"2010-06-01",52.919998,53.93,52.150002,52.220001,776600,41.282925
"2010-06-02",52.41,54.110001,51.959999,54.099998,774100,42.76918
"2010-06-03",53.82,54.880001,53.82,54.75,991900,43.283039
"2010-06-04",53.200001,53.75,51.049999,51.459999,1084500,40.682095
"2010-06-07",51.400002,51.540001,49.5,49.59,1511800,39.203751
"2010-06-08",49.599998,50.580002,48.869999,50.43,1511600,39.867813
"2010-06-09",50.599998,51.950001,50.18,50.279999,1411500,39.749245
"2010-06-10",51.27,52.830002,51.27,52.700001,1302600,41.662395
