"dates","PRGO.Open","PRGO.High","PRGO.Low","PRGO.Close","PRGO.Volume","PRGO.Adjusted"
"2010-01-04",40.259998,40.630001,40.259998,40.349998,546500,37.086922
"2010-01-05",40.200001,40.200001,38.540001,38.790001,1387400,35.653091
"2010-01-06",38.98,39.200001,37.880001,38.299999,1742200,35.202728
"2010-01-07",38.139999,38.240002,37.740002,37.990002,601300,34.917774
"2010-01-08",38.02,38.150002,37.459999,37.779999,631700,34.724758
"2010-01-11",38.59,39.509998,38.23,39.439999,1289800,36.250519
"2010-01-12",39.860001,41.529999,39.860001,41.110001,1353800,37.785477
"2010-01-13",41.290001,42.200001,41.220001,41.91,885400,38.520779
"2010-01-14",41.700001,42.150002,41.650002,42.130001,550800,38.722988
"2010-01-15",42.16,42.32,41.82,42.150002,762500,38.741375
"2010-01-19",42.139999,43.110001,42.02,43.009998,1044200,39.531826
"2010-01-20",42.740002,42.880001,42.150002,42.779999,581100,39.320415
"2010-01-21",42.869999,43.099998,42.169998,42.549999,725900,39.109013
"2010-01-22",42.48,43.060001,42.259998,42.560001,959300,39.118214
"2010-01-25",42.650002,42.689999,41.540001,41.580002,847100,38.217464
"2010-01-26",41.369999,42.799999,41.25,42.5,1191600,39.063076
"2010-01-27",42.439999,43.169998,42.439999,43.049999,838500,39.568577
"2010-01-28",43.060001,43.82,42.82,43.529999,764200,40.009769
"2010-01-29",43.700001,44.59,43.48,44.279999,1116100,40.69912
"2010-02-01",44.459999,44.830002,43.709999,44.200001,1243000,40.625584
"2010-02-02",43.279999,46.099998,43.099998,45.919998,3031500,42.20649
"2010-02-03",45.290001,46.900002,45.049999,46.27,1630200,42.528187
"2010-02-04",46.099998,46.48,45.77,45.779999,1229800,42.077808
"2010-02-05",45.880001,45.91,44.700001,45.290001,1243000,41.627422
"2010-02-08",45.41,46.18,45.200001,45.740002,1015800,42.041042
"2010-02-09",46.25,46.669998,46.040001,46.32,1032700,42.574142
"2010-02-10",46.27,46.27,45.700001,45.810001,439300,42.105385
"2010-02-11",45.68,47.259998,45.009998,47.060001,1323100,43.254299
"2010-02-12",46.91,48.630001,46.360001,48.549999,2082100,44.623806
"2010-02-16",48.98,48.98,48.349998,48.470001,991400,44.550274
