"dates","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"2010-01-04",19.646297,20.00963,19.646297,19.952723,1759673,11.217557
"2010-01-05",19.917704,20.027142,19.519348,19.777622,3324944,11.119115
"2010-01-06",19.81702,19.930836,19.698828,19.891438,1769496,11.183105
"2010-01-07",19.922079,19.922079,19.628786,19.760113,1609817,11.109273
"2010-01-08",19.746981,19.895815,19.598145,19.873928,1061332,11.17326
"2010-01-11",19.996498,20.359833,19.891438,20.316057,1793026,11.421827
"2010-01-12",20.228506,20.298548,19.943968,20.018387,1631290,11.254475
"2010-01-13",20.1322,20.1322,19.93959,20.101559,876981,11.301238
"2010-01-14",20.014008,20.13658,19.917704,19.983364,1537630,11.234791
"2010-01-15",19.922079,19.922079,19.541237,19.663807,1220783,11.05513
"2010-01-19",19.598145,20.162844,19.554369,20.123446,1614385,11.313543
"2010-01-20",20.022762,20.13658,19.698828,20.123446,1684060,11.313543
"2010-01-21",20.158466,20.359833,19.790754,19.952723,1651164,11.217557
"2010-01-22",19.935213,19.965855,19.567501,19.606899,910105,11.023135
"2010-01-25",19.71196,19.90457,19.598145,19.795132,1318556,11.128963
"2010-01-26",19.707582,20.005253,19.685694,19.843285,678010,11.156032
"2010-01-27",19.563124,19.598145,18.985292,19.221678,1484403,10.912487
"2010-01-28",19.300472,19.326738,18.967781,19.015934,867158,10.79568
"2010-01-29",19.064087,19.125372,18.468744,18.468744,2032888,10.48503
"2010-02-01",18.569427,18.888987,18.451235,18.858343,1332034,10.706218
"2010-02-02",18.836456,18.98967,18.74015,18.954649,1398053,10.760887
"2010-02-03",18.823322,18.924006,18.718264,18.797058,971555,10.671419
"2010-02-04",18.670111,18.670111,18.114166,18.114166,1161389,10.283731
"2010-02-05",18.122921,18.122921,17.48818,17.838383,1771324,10.127163
"2010-02-08",17.917177,18.030993,17.728945,17.781473,870356,10.094858
"2010-02-09",18.096657,18.249868,17.908422,18.101032,1080293,10.276274
"2010-02-10",18.109789,18.201715,17.798985,17.991594,962646,10.214144
"2010-02-11",17.930309,18.219227,17.851515,18.219227,753852,10.343375
"2010-02-12",18.000351,18.241114,17.851515,18.241114,1504506,10.355798
"2010-02-16",18.385572,18.578182,18.350552,18.578182,1426379,10.547158
"2010-02-17",18.61758,18.700752,18.530029,18.700752,2041340,10.616749
"2010-02-18",18.63509,18.68762,18.51252,18.68762,1192457,10.609292
"2010-02-19",18.648224,18.840834,18.595694,18.823322,1731804,10.686328
"2010-02-22",18.893364,19.046577,18.783926,19.029066,1776349,10.803139
"2010-02-23",19.160393,19.160393,18.604448,18.805813,1790513,10.676389
"2010-02-24",18.888987,19.221678,18.792681,19.221678,1343913,10.912487
"2010-02-25",18.998425,19.33987,18.888987,19.335493,850254,10.977101
"2010-02-26",19.366137,19.523726,19.265453,19.405533,1512044,11.016861
"2010-03-01",19.506216,19.808266,19.453686,19.808266,1043285,11.245501
"2010-03-02",19.869551,19.983364,19.808266,19.948345,1003994,11.325028
"2010-03-03",20.018387,20.145334,19.983364,20.084047,1202737,11.402066
"2010-03-04",20.565575,20.62686,20.140957,20.508667,3209582,11.643131
"2010-03-05",20.578709,20.578709,20.425495,20.526178,1418612,11.65307
"2010-03-08",20.316057,20.508667,20.237261,20.302923,1826378,11.526326
"2010-03-09",20.175976,20.447382,20.167221,20.412361,2058701,11.588457
"2010-03-10",20.346699,20.53931,20.316057,20.526178,1583089,11.65307
"2010-03-11",20.43425,20.648748,20.394852,20.639994,1667612,11.71769
"2010-03-12",20.723166,20.723166,20.337944,20.425495,53092197,11.595911
"2010-03-15",20.368587,20.412361,20.105936,20.386097,3636765,11.573545
"2010-03-16",20.421118,20.495535,20.276659,20.41674,2400676,11.590939
"2010-03-17",20.508667,20.53931,20.294168,20.469271,2482686,11.620767
"2010-03-18",20.482403,20.565575,20.38172,20.48678,2187085,11.630705
"2010-03-19",20.114691,20.521799,19.952723,20.114691,2966979,11.419465
"2010-03-22",19.908949,20.092802,19.786377,20.070915,1676978,11.394613
