"dates","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2010-01-04",75.719658,76.340546,73.800568,74.242706,3450498,48.637043
"2010-01-05",74.327377,74.355598,72.596428,73.734711,4342568,48.304245
"2010-01-06",73.49012,74.515518,72.596428,72.906868,3476223,47.761925
"2010-01-07",73.02916,74.769524,71.552208,73.85701,3986356,48.384361
"2010-01-08",73.612419,73.668861,70.997177,72.088432,4005809,47.225758
"2010-01-11",72.427094,72.897461,71.655693,72.154282,2662602,47.268883
"2010-01-12",71.683914,72.069611,70.319847,70.733772,4696653,46.338306
"2010-01-13",70.658516,72.154282,70.658516,71.44873,4540392,46.806679
"2010-01-14",71.13829,72.013168,70.573845,71.768578,2790269,47.016212
"2010-01-15",71.307617,71.505173,70.329254,70.451553,3910458,46.153423
"2010-01-19",70.329254,72.19191,69.887115,72.116653,4324709,47.244244
"2010-01-20",71.401695,71.966133,69.727188,70.442146,3554778,46.147263
"2010-01-21",70.479774,70.950142,68.015053,68.212608,4807099,44.686676
"2010-01-22",68.222015,68.711197,66.218246,66.406395,4963147,43.503418
"2010-01-25",67.187202,68.325493,66.001884,67.826904,3799375,44.43399
"2010-01-26",67.412979,68.64534,66.933205,67.554092,2804407,44.255264
"2010-01-27",67.601128,68.165565,66.50988,68.109123,4314186,44.61887
"2010-01-28",68.532455,68.532455,66.848541,67.80809,3146586,44.421677
"2010-01-29",68.015053,69.285042,67.102539,67.732834,4296221,44.372368
"2010-02-01",68.080902,69.219193,67.996239,69.209785,3030507,45.339931
"2010-02-02",69.444969,70.225777,68.391342,70.056442,3776733,45.894569
"2010-02-03",69.736595,69.736595,68.11853,68.48542,3140315,44.865402
"2010-02-04",68.203201,68.203201,65.296333,65.333961,5638152,42.80085
"2010-02-05",66.095955,69.125114,65.973656,69.01223,7971862,45.21051
"2010-02-08",68.626526,68.918159,66.284103,66.528694,5343170,43.583523
"2010-02-09",67.196609,67.601128,66.086548,66.406395,5293953,43.503418
"2010-02-10",66.302917,67.13076,64.985886,66.105362,3747713,43.306194
"2010-02-11",65.390404,67.111946,64.684853,67.046097,3888879,44.300739
"2010-02-12",66.378174,67.883347,65.851364,67.732834,4004002,44.754505
"2010-02-16",68.617119,70.498589,68.381935,70.385704,6032312,46.507393
"2010-02-17",70.404518,72.097839,70.357475,71.35466,5226133,47.147621
"2010-02-18",71.006584,73.104424,71.006584,72.643463,4296646,47.999199
"2010-02-19",72.389465,73.301979,71.777985,73.113831,4001238,48.309986
"2010-02-22",73.292564,74.47789,72.690498,73.979301,3667244,48.881863
"2010-02-23",73.433678,73.941673,72.577614,73.292564,4121995,48.428101
"2010-02-24",73.367828,73.885231,72.577614,72.935089,5580963,48.191902
"2010-02-25",72.624649,73.885231,71.674507,73.85701,3765146,48.801048
"2010-02-26",73.678268,74.609596,73.095016,73.650047,4256784,48.664291
"2010-03-01",74.223892,74.402634,73.396049,73.753525,2061476,48.732674
"2010-03-02",73.988708,74.637817,73.113831,73.386642,2288320,48.490265
