"dates","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"2010-01-04",21.752853,22.64607,21.746138,22.41773,1060913,17.930199
"2010-01-05",22.303558,22.404299,21.786434,21.994627,1031728,17.591795
"2010-01-06",21.934183,22.075218,21.813297,22.061787,720527,17.645514
"2010-01-07",22.014774,22.693083,21.947617,22.659504,846050,18.123581
"2010-01-08",22.558764,22.968435,22.471457,22.8274,722314,18.257864
"2010-01-11",22.934856,22.934856,22.59906,22.753527,535147,18.198774
"2010-01-12",22.538616,22.59906,22.175957,22.330423,1008649,17.860371
"2010-01-13",22.431162,22.451309,22.115515,22.444593,531871,17.951683
"2010-01-14",22.330423,22.538616,22.276695,22.505037,779789,18.000027
"2010-01-15",22.397581,22.518469,21.947617,21.981195,686727,17.581051
"2010-01-19",22.001343,22.59906,22.001343,22.357286,974699,17.881853
"2010-01-20",22.115515,22.229685,21.773003,21.90732,1001501,17.521957
"2010-01-21",21.954332,21.994627,21.470785,21.732706,787085,17.382299
"2010-01-22",21.625252,21.72599,21.242445,21.28274,616744,17.022406
"2010-01-25",21.423775,21.497648,20.967093,21.087978,659776,16.866632
"2010-01-26",21.081263,21.208864,20.913364,20.953659,300927,16.759201
"2010-01-27",20.73875,20.852921,20.503695,20.785763,620169,16.726782
"2010-01-28",20.792479,20.866352,20.402954,20.678308,560013,16.640305
"2010-01-29",20.812626,21.10141,20.47683,20.51041,881786,16.50519
"2010-02-01",20.631296,21.10141,20.517126,21.054399,882530,16.942949
"2010-02-02",21.141706,21.799866,20.711887,20.832773,1811220,16.764608
"2010-02-03",20.80591,21.014103,20.664877,20.980524,867640,16.883507
"2010-02-04",20.852921,21.027534,20.47683,20.47683,909481,16.478168
"2010-02-05",20.436535,20.436535,19.845533,20.362659,679877,16.386297
"2010-02-08",20.429819,20.765615,20.073875,20.349228,894293,16.375484
"2010-02-09",20.604433,20.899933,20.456682,20.678308,849028,16.640305
"2010-02-10",20.557421,20.745466,20.248489,20.389523,704893,16.407917
"2010-02-11",20.282068,20.671593,20.100739,20.617865,757305,16.591671
"2010-02-12",20.456682,20.92008,20.22834,20.906649,1243762,16.824057
"2010-02-16",21.121557,21.262592,20.940228,21.255877,452656,17.105082
"2010-02-17",21.323036,21.343184,21.175285,21.323036,762517,17.159134
"2010-02-18",21.336468,21.504366,21.182001,21.443922,496284,17.256422
"2010-02-19",21.349899,21.820013,21.349899,21.752853,821035,17.505011
"2010-02-22",21.752853,21.934183,21.558092,21.914036,566267,17.634729
"2010-02-23",21.880457,22.028208,21.584955,21.618536,861833,17.396921
"2010-02-24",21.638683,21.799866,21.524513,21.759569,442829,17.51042
"2010-02-25",21.390196,21.799866,21.182001,21.779718,541549,17.526632
"2010-02-26",21.79315,21.920752,21.571526,21.867025,584433,17.596897
"2010-03-01",22.659504,23.425117,22.437878,23.049026,2384038,18.548077
"2010-03-02",23.002014,23.210209,22.914707,22.988583,969190,18.499432
"2010-03-03",23.102755,23.176628,22.746811,22.881128,1001353,18.412966
"2010-03-04",22.995298,23.230356,22.78039,22.941572,1382983,18.461607
"2010-03-05",23.129618,23.183346,22.887844,23.062458,766388,18.558893
"2010-03-08",23.008732,23.109468,22.8274,22.860981,836520,18.396757
"2010-03-09",22.800537,23.136333,22.726662,22.995298,489137,18.504839
"2010-03-10",22.975151,23.122902,22.881128,23.055742,452805,18.553482
"2010-03-11",22.881128,23.055742,22.693083,23.035595,448636,18.53727
"2010-03-12",23.055742,23.055742,22.686367,22.941572,488988,18.461607
"2010-03-15",22.881128,23.237072,22.686367,23.237072,908141,18.699396
"2010-03-16",23.237072,23.673607,23.149765,23.646744,962936,19.029078
"2010-03-17",23.680323,23.935528,23.646744,23.720617,521895,19.088524
"2010-03-18",23.687038,23.935528,23.619879,23.734051,531424,19.099325
"2010-03-19",22.921425,23.774345,22.914707,22.921425,1385812,18.445391
"2010-03-22",22.807253,23.250504,22.538616,23.002014,906652,18.510244
"2010-03-23",23.116184,23.834787,22.847549,23.754196,1068953,19.11554
"2010-03-24",23.720617,24.150436,23.324379,23.324379,584135,18.769665
"2010-03-25",23.525856,23.807924,23.196775,23.216925,668114,18.683186
"2010-03-26",23.310947,23.505709,23.07589,23.263935,604236,18.721022
"2010-03-29",23.324379,23.525856,23.290798,23.492277,596940,18.904768
"2010-03-30",23.572868,23.915379,23.465412,23.908665,1272351,19.239843
"2010-03-31",23.888515,24.39221,23.861652,23.922094,1260141,19.250652
"2010-04-01",24.110142,24.445936,24.009401,24.231028,724994,19.499264
"2010-04-05",24.264606,24.586971,24.184015,24.492949,366294,19.710039
"2010-04-06",24.425789,24.43922,24.237743,24.365347,446700,19.607346
"2010-04-07",24.251175,24.304903,24.002686,24.130289,476480,19.418194
"2010-04-08",23.962391,24.27804,23.754196,24.264606,334132,19.526285
"2010-04-09",24.271322,24.667562,24.103424,24.580256,957427,19.780294
"2010-04-12",24.57354,24.580256,24.110142,24.271322,1129407,19.531687
"2010-04-13",24.163868,24.331766,23.895231,24.264606,669454,19.526285
"2010-04-14",24.432505,24.526527,24.231028,24.513096,870023,19.726246
"2010-04-15",24.385494,24.848892,24.338482,24.68771,627465,19.866764
"2010-04-16",24.513096,24.748154,24.197449,24.486233,420940,19.704632
"2010-04-19",24.345198,24.445936,23.955675,24.331766,747180,19.580332
"2010-04-20",24.372063,24.963062,24.372063,24.701141,979464,19.877575
"2010-04-21",24.680994,25.177973,24.680994,25.177973,769366,20.26129
"2010-04-22",24.922768,25.439894,24.680994,25.419744,529786,20.455847
"2010-04-23",25.37945,26.037609,25.211552,25.983883,982442,20.909826
"2010-04-26",26.010744,26.406984,26.010744,26.178642,1057786,21.066547
"2010-04-27",25.513767,25.513767,24.39221,24.647413,3250338,19.834337
"2010-04-28",24.788448,24.916052,24.39221,24.45937,1763721,19.78544
"2010-04-29",24.68771,25.110813,24.533243,24.942915,1023688,20.176586
"2010-04-30",25.010075,25.238415,24.251175,24.284756,1107965,19.644197
"2010-05-03",24.452654,24.922768,24.43922,24.822027,633123,20.078796
"2010-05-04",24.372063,24.513096,23.51914,23.599731,1075207,19.090071
"2010-05-05",23.384823,23.512424,22.948286,23.082605,1450584,18.671761
"2010-05-06",22.941572,23.263935,21.061115,22.169241,1929893,17.932934
"2010-05-07",22.08865,22.189388,21.329752,21.517797,4480997,17.405972
"2010-05-10",22.726662,23.002014,22.484888,22.813969,1663511,18.45446
"2010-05-11",22.552048,23.176628,22.511753,22.975151,2116762,18.584846
"2010-05-12",23.015448,23.975822,23.015448,23.868368,1104838,19.307377
"2010-05-13",23.740767,24.009401,23.546003,23.787777,822821,19.242182
"2010-05-14",23.572868,23.626595,22.995298,23.22364,1597101,18.785849
"2010-05-17",23.445265,23.532572,22.733377,23.19006,1172736,18.75869
"2010-05-18",23.418402,23.51914,22.914707,22.941572,886997,18.557682
"2010-05-19",22.78039,22.881128,22.196104,22.464741,916033,18.171965
"2010-05-20",21.84016,21.947617,21.255877,21.262592,1701480,17.199537
"2010-05-21",20.967093,21.826729,20.564137,21.820013,1784864,17.65044
"2010-05-24",21.719275,22.175957,21.605104,21.914036,1392364,17.7265
"2010-05-25",21.289455,22.034924,20.98724,22.034924,1814495,17.824274
"2010-05-26",22.196104,22.59906,22.001343,22.128946,1809880,17.900341
"2010-05-27",22.686367,23.257219,22.672935,23.257219,1483342,18.813002
"2010-05-28",23.210209,23.250504,22.8274,23.07589,1863484,18.666328
"2010-06-01",22.881128,23.196775,22.484888,22.505037,1440012,18.204567
"2010-06-02",22.578913,22.941572,22.330423,22.941572,1038280,18.557682
"2010-06-03",23.055742,23.169912,22.740093,22.854265,1392215,18.487055
"2010-06-04",22.337139,22.679651,21.994627,22.075218,1551687,17.856874
"2010-06-07",22.182673,22.182673,21.222298,21.235729,1257907,17.177807
"2010-06-08",21.323036,21.497648,20.98724,21.390196,904121,17.302755
"2010-06-09",21.598389,22.061787,21.262592,21.349899,630443,17.270159
"2010-06-10",21.813297,22.303558,21.806581,22.303558,693874,18.041584
"2010-06-11",21.97448,22.538616,21.920752,22.484888,687025,18.188267
"2010-06-14",22.652786,23.169912,22.625923,22.71323,626869,18.372972
"2010-06-15",22.860981,23.40497,22.807253,23.384823,562544,18.916229
"2010-06-16",23.324379,23.451981,23.022163,23.143049,866449,18.720659
"2010-06-17",23.196775,23.250504,22.773674,22.934856,929434,18.552256
"2010-06-18",22.96172,23.210209,22.800537,23.042311,555397,18.63917
"2010-06-21",23.391539,23.485561,22.753527,22.854265,508345,18.487055
