"dates","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2010-01-04",236.050003,239.600006,233.520004,238.580002,238700,177.456573
"2010-01-05",239.050003,239.669998,236.759995,239.610001,198800,178.222595
"2010-01-06",238.509995,238.649994,234.059998,234.669998,278500,174.548233
"2010-01-07",234.660004,237.699997,234,237.25,218300,176.467255
"2010-01-08",237.460007,239.410004,236.75,238.919998,224400,177.709381
"2010-01-11",239.949997,243.800003,239.949997,242.809998,207900,180.602783
"2010-01-12",241.240005,243.190002,238.470001,238.470001,208100,177.374664
"2010-01-13",234.220001,239.949997,234.220001,239.419998,203400,178.081329
"2010-01-14",239.169998,240.289993,237,237.899994,163900,176.950729
"2010-01-15",237.850006,238.699997,236.160004,238.089996,197000,177.092026
"2010-01-19",237.690002,240.860001,234.229996,240.009995,187600,178.520142
"2010-01-20",239,239.389999,235.330002,238.259995,203000,177.218506
"2010-01-21",240.020004,240.020004,229.880005,230.240005,354700,171.253204
"2010-01-22",229.490005,235.679993,222.610001,225,282600,167.355667
"2010-01-25",225.440002,228.289993,223.860001,226.460007,195600,168.441589
"2010-01-26",224.550003,228.889999,223.5,224.710007,203100,167.14003
"2010-01-27",228.360001,231.130005,218.550003,226.770004,560200,168.672195
"2010-01-28",227,228.449997,215.740005,219.639999,632900,163.368912
"2010-01-29",224.809998,224.809998,212.660004,213.820007,483100,159.039963
"2010-02-01",215.25,219.229996,215.020004,216.570007,426400,161.085434
"2010-02-02",212.850006,216.380005,209.289993,216,716700,160.661438
"2010-02-03",215.809998,221.889999,215.050003,220.639999,601700,164.112701
"2010-02-04",216.789993,217.619995,210.5,211.25,540500,157.128387
"2010-02-05",210.440002,212.5,200.559998,208.789993,884900,155.298615
"2010-02-08",209.399994,209.960007,204.610001,204.660004,356400,152.226746
"2010-02-09",206.869995,209.369995,205.149994,208.880005,564800,155.365555
"2010-02-10",208.130005,212.910004,208.130005,211.130005,619400,157.039093
"2010-02-11",210.770004,211.25,206.110001,207.300003,437100,154.190384
"2010-02-12",205.380005,207.160004,202.820007,207.160004,396400,154.086227
"2010-02-16",208.300003,210.410004,207,210.410004,277100,156.503601
"2010-02-17",210.399994,213.679993,209.949997,213.089996,372500,158.496964
"2010-02-18",214.399994,215.240005,211.259995,213.729996,350900,158.972977
"2010-02-19",214.25,216.190002,213.600006,215.509995,294800,160.296982
"2010-02-22",217.520004,219.300003,216.039993,217.229996,374900,161.576324
"2010-02-23",217.559998,219.210007,214.770004,214.869995,276000,159.820938
"2010-02-24",217.25,218.979996,216.5,218.360001,280500,162.416809
"2010-02-25",216.5,219.119995,214.589996,218.300003,359100,162.372192
"2010-02-26",217.5,219.850006,217.5,218.800003,302500,162.744034
"2010-03-01",217.910004,219.809998,216.360001,218,389700,162.149033
"2010-03-02",219.889999,220.320007,216.410004,216.410004,568200,160.966415
"2010-03-03",218.160004,219.220001,214.589996,216.080002,500900,160.720932
"2010-03-04",217.910004,217.910004,212.279999,215.839996,300600,161.288849
"2010-03-05",217,219.880005,215.460007,219.830002,557200,164.270447
"2010-03-08",219.830002,219.830002,216.440002,218.119995,293900,162.99263
"2010-03-09",216.990005,218.880005,215.860001,216.970001,323100,162.133224
"2010-03-10",217.800003,218.880005,215.389999,215.699997,502000,161.184235
"2010-03-11",214.289993,215.460007,209.649994,210.410004,730900,157.231277
"2010-03-12",211.979996,213.740005,208.350006,210,601600,156.924866
"2010-03-15",209.020004,213.210007,208.649994,212.169998,384800,158.546448
"2010-03-16",213.509995,213.509995,210.589996,212.350006,290400,158.680954
"2010-03-17",220,226.649994,219.490005,222.800003,895300,166.489807
"2010-03-18",223.009995,227,222.270004,225.660004,406000,168.626984
"2010-03-19",224.350006,225.990005,221.160004,224.350006,514700,167.648102
"2010-03-22",223,225.800003,222.009995,225.699997,296900,168.65686
"2010-03-23",225.679993,227.770004,224.800003,227,301200,169.628235
