"dates","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2010-02-10",108.946671,109.136665,106.036667,107.316666,1120500,107.316666
"2010-02-11",106.93,110,106.886665,109.923332,1267500,109.923332
"2010-02-12",108.669998,110.98333,108.166664,110.606667,1264500,110.606667
"2010-02-16",111.160004,111.763336,110.133331,111.433334,1126800,111.433334
"2010-02-17",112.256668,113.726669,111.83667,113.716667,1859100,113.716667
"2010-02-18",113.650002,114.966667,113.053329,114.916664,1305000,114.916664
"2010-02-19",114.059998,116.5,114.059998,115.506668,1817100,115.506668
"2010-02-22",116.330002,116.41333,114.673332,115.66333,1150500,115.66333
"2010-02-23",115.830002,116.333336,113.886665,114.226669,1145700,114.226669
"2010-02-24",114.43,115.089996,113.669998,114.736664,994200,114.736664
"2010-02-25",113.23333,114.713333,111.823334,114.603333,1120800,114.603333
"2010-02-26",115.059998,116.333336,113.893333,115.713333,1040400,115.713333
"2010-03-01",116.660004,119.716667,116.360001,119.543335,1642200,119.543335
"2010-03-02",119.26667,122.166664,118.589996,120.433334,1964100,120.433334
"2010-03-03",121.123337,122.333336,120.339996,120.933334,1362000,120.933334
"2010-03-04",119.453331,119.826668,116.833336,118.16333,1743000,118.16333
"2010-03-05",117.699997,119.879997,117.503334,119.466667,1023300,119.466667
"2010-03-08",118.873337,119.75,118.540001,118.65667,662700,118.65667
"2010-03-09",117.886665,119.626663,117.416664,118.553329,765000,118.553329
"2010-03-10",118.666664,120,118.193336,119.146667,908400,119.146667
"2010-03-11",119,119.559998,118,119.26667,717300,119.26667
"2010-03-12",119.306664,120.76667,118.58667,119.633331,1196700,119.633331
"2010-03-15",119.166664,120.66333,117.91333,118.666664,945600,118.666664
"2010-03-16",119.230003,119.51667,118.050003,118.503334,866400,118.503334
"2010-03-17",118.833336,119.666664,118.076668,118.726669,1207200,118.726669
"2010-03-18",118.893333,119.16333,117.563332,117.863335,897600,117.863335
"2010-03-19",118.900002,120,115.730003,116.393333,2625000,116.393333
"2010-03-22",115.333336,116.660004,113.559998,115.933334,1741500,115.933334
"2010-03-23",116.176666,116.589996,114.739998,116.323334,1331100,116.323334
"2010-03-24",116.370003,116.436668,114.476669,115.373337,1371300,115.373337
"2010-03-25",115.790001,115.896667,113.826668,114.019997,1551300,114.019997
"2010-03-26",114.019997,115.066666,112.839996,114,1392600,114
"2010-03-29",114.033333,116.166664,113.400002,115.93,1331400,115.93
"2010-03-30",116.476669,117,113.966667,116.303329,1108200,116.303329
"2010-03-31",116.26667,116.666664,115.01667,116.043335,810900,116.043335
"2010-04-01",117.263336,117.446671,115.323334,116.533333,831900,116.533333
