"dates","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2010-08-16",35.291172,36.247646,35.183903,35.943718,1284484,25.834293
"2010-08-17",36.292339,37.105789,36.059925,36.623081,1939031,26.32258
"2010-08-18",36.676716,37.579556,36.408546,37.150482,2036246,26.701637
"2010-08-19",36.935947,37.204117,36.426426,36.703533,1232017,26.380394
"2010-08-20",36.560509,36.980644,36.497936,36.891254,1442443,26.515329
"2010-08-23",37.08791,37.534863,36.810802,36.846558,875042,26.483204
"2010-08-24",36.435364,36.515816,35.800694,36.122498,1132341,25.962788
"2010-08-25",35.86327,36.676716,35.800694,36.506878,2117910,26.239052
"2010-08-26",36.605206,37.302448,36.596268,37.096851,1956035,26.663097
"2010-08-27",37.338203,38.080139,36.864437,37.981812,1627028,27.29916
"2010-08-30",37.892422,38.330433,36.989582,36.989582,1741134,26.585989
"2010-08-31",36.83762,37.213058,36.676716,36.882313,1541783,26.508896
"2010-09-01",37.266689,38.348309,37.266689,38.187408,1925831,27.446932
"2010-09-02",38.115894,39.751732,38.115894,39.528259,2525450,28.410641
"2010-09-03",39.778549,40.466854,39.564014,39.832184,1409330,28.629101
"2010-09-07",39.984146,40.466854,39.590832,39.671284,1565835,28.513453
"2010-09-08",40.002026,40.082478,39.42099,39.662342,2081329,28.507025
"2010-09-09",39.617649,39.662342,39.108124,39.233273,1784540,28.198631
"2010-09-10",39.295845,40.21656,39.251148,40.002026,1729612,28.751163
"2010-09-13",40.225498,40.761841,39.796429,40.690327,2394004,29.245876
"2010-09-14",40.654572,41.289242,40.404282,40.779716,1356080,29.310129
"2010-09-15",40.672451,40.913803,40.377464,40.824413,1295671,29.342241
"2010-09-16",40.57412,40.726086,39.841122,40.225498,2040049,28.911789
"2010-09-17",40.645634,40.726086,39.867939,39.984146,2351717,28.738312
"2010-09-20",40.23444,40.493671,40.002026,40.252316,2093523,28.931059
"2010-09-21",40.225498,40.314892,39.304783,39.34948,3447477,28.282146
"2010-09-22",38.437698,38.911469,38.071201,38.822079,4562479,27.903086
"2010-09-23",38.491333,39.117065,38.384068,38.51815,2158854,27.684641
"2010-09-24",39.036613,39.501442,38.661175,38.982979,2656897,28.018734
"2010-09-27",38.822079,39.197514,38.687992,38.768444,2356080,27.864544
"2010-09-28",38.714809,39.036613,38.187408,38.991917,1678040,28.02516
"2010-09-29",38.795261,39.000858,38.348309,38.491333,2720103,27.665363
"2010-09-30",38.634357,38.938286,37.874542,38.241043,3914084,27.485472
"2010-10-01",38.589664,38.741627,37.990749,38.428761,2074841,27.620398
"2010-10-04",38.384068,38.589664,38.035446,38.437698,1657120,27.626818
"2010-10-05",38.839954,39.555077,38.741627,39.340538,1898087,28.27573
"2010-10-06",39.054489,39.34948,38.750565,38.991917,2003132,28.230423
"2010-10-07",39.072369,39.608707,38.911469,39.608707,2380579,28.676989
"2010-10-08",39.644466,39.644466,39.108124,39.438869,1741246,28.55402
"2010-10-11",39.438869,39.724915,39.206455,39.483562,1288287,28.586382
"2010-10-12",39.403111,39.483562,39.054489,39.340538,1160532,28.482832
"2010-10-13",39.528259,39.59977,38.455578,39.447807,2818212,28.560497
"2010-10-14",39.438869,40.100353,39.376293,40.073536,2193422,29.013521
"2010-10-15",40.448975,40.448975,39.769611,39.993088,2333147,28.955278
"2010-10-18",40.136108,40.21656,39.4925,39.742794,1261215,28.774073
"2010-10-19",39.269028,39.850063,39.045551,39.188576,1267591,28.372808
"2010-10-20",39.385235,40.082478,39.179638,39.984146,1917105,28.948799
"2010-10-21",40.243378,40.431095,39.671284,39.823246,1848193,28.832317
"2010-10-22",39.930511,41.995422,39.626587,41.897095,3543685,30.333796
"2010-10-25",42.057995,42.352982,41.485901,41.700436,2143864,30.191414
"2010-10-26",41.619984,41.84346,41.324997,41.485901,1532722,30.036087
"2010-10-27",40.860168,40.860168,39.921574,40.341705,2438640,29.207687
"2010-10-28",40.654572,40.851231,40.118233,40.618816,1093075,29.408308
"2010-10-29",40.520489,40.967438,40.341705,40.860168,1188500,29.583046
"2010-11-01",41.13728,41.557411,40.904865,41.146217,1985793,29.790148
"2010-11-02",41.378632,41.780888,41.199852,41.271362,992952,29.880758
"2010-11-03",41.271362,41.923908,41.271362,41.816643,1304285,30.275551
"2010-11-04",42.281471,42.853565,42.138447,42.790993,1526345,30.980974
"2010-11-05",42.88932,43.220066,42.844627,43.077042,1383488,31.188091
"2010-11-08",42.880383,43.363091,42.7463,42.934017,1072156,31.084536
"2010-11-09",43.068104,43.068104,42.147385,42.344044,664951,30.657381
"2010-11-10",42.120567,43.121735,41.93285,43.103859,1507775,31.207493
"2010-11-11",42.81781,44.230171,42.603275,44.078209,2067457,31.912941
"2010-11-12",43.604443,43.79216,43.050224,43.488235,2397695,31.48579
"2010-11-15",43.783222,44.346378,43.783222,43.836857,1733192,31.738195
"2010-11-16",43.54187,44.006699,42.370861,42.522823,2206511,30.786819
"2010-11-17",42.674786,43.908367,42.612213,43.818977,2213670,31.725237
"2010-11-18",44.105026,44.373196,43.550808,43.675953,1428571,31.621704
"2010-11-19",43.667015,44.033512,43.559746,43.836857,1288958,31.738195
"2010-11-22",43.756405,44.140781,43.559746,43.979881,1734087,31.841742
"2010-11-23",43.54187,44.248051,43.354149,43.935184,2682067,31.809383
"2010-11-24",44.301685,44.686062,44.203354,44.408951,1314688,32.15239
"2010-11-26",44.167599,44.569855,43.935184,44.239113,381698,32.029434
"2010-11-29",43.854733,44.203354,43.506111,44.033512,1471417,31.880568
"2010-11-30",43.693832,44.149719,43.515053,43.756405,1521087,31.679947
"2010-12-01",44.489403,44.909534,44.069271,44.087147,2586978,31.919409
"2010-12-02",44.078209,44.954231,43.917309,44.712879,1711042,32.372437
"2010-12-03",44.578793,45.016804,44.400013,44.981049,1146996,32.566589
"2010-12-06",44.882717,44.918476,44.480465,44.793327,629489,32.430683
"2010-12-07",45.115131,45.445877,44.936352,44.963169,1355744,32.55365
"2010-12-08",44.900597,45.115131,44.248051,44.33744,1487638,32.100628
"2010-12-09",44.623489,44.855904,44.239113,44.364258,1094865,32.120041
"2010-12-10",44.507282,44.5341,44.006699,44.230171,1211321,32.022957
"2010-12-13",44.346378,44.44471,43.354149,43.389908,1805235,31.414595
"2010-12-14",43.45248,43.604443,42.612213,43.220066,2249469,31.291639
"2010-12-15",43.148552,44.015636,43.130676,43.79216,4001007,31.705826
"2010-12-16",43.979881,44.551975,43.61338,44.435768,1743819,32.171799
"2010-12-17",44.435768,44.695,44.042454,44.596672,1935004,32.2883
"2010-12-20",44.846962,45.293915,44.551975,45.079376,2762613,32.637794
"2010-12-21",43.818977,44.051392,41.834518,42.496006,7879293,30.767406
"2010-12-22",42.433434,42.710541,42.040115,42.192081,2372413,30.547365
"2010-12-23",42.227837,42.460251,41.709373,41.789825,1436850,30.256134
"2010-12-27",41.745129,41.986485,41.360752,41.906033,1217474,30.340263
"2010-12-28",41.897095,42.245712,41.441204,41.637863,1613156,30.146105
"2010-12-29",41.798763,42.254654,41.718311,41.977543,1104822,30.39204
"2010-12-30",41.852398,42.102692,41.798763,41.879215,1012082,30.320839
"2010-12-31",41.780888,41.950726,41.485901,41.512714,948316,30.055489
"2011-01-03",41.763008,42.111629,41.637863,41.736191,1994407,30.217285
"2011-01-04",41.91497,41.923908,41.1194,41.745129,2623783,30.223764
"2011-01-05",41.691498,41.789825,40.994255,41.262424,2413245,29.87429
"2011-01-06",41.110462,41.771946,41.074703,41.503777,2219152,30.258795
"2011-01-07",41.548473,42.111629,41.101521,41.575291,1617854,30.310926
"2011-01-10",41.333935,41.512714,40.967438,41.351814,1694932,30.147995
"2011-01-11",41.530594,41.530594,40.681389,40.735023,2149905,29.69833
"2011-01-12",41.003193,41.181973,40.770779,41.1194,1855465,29.978552
"2011-01-13",41.021072,41.262424,40.94062,41.20879,1847075,30.043734
"2011-01-14",41.110462,41.396507,40.994255,41.253487,1106164,30.076313
"2011-01-18",41.342876,41.342876,40.609879,40.851231,1762278,29.783049
"2011-01-19",40.869106,41.101521,40.583061,41.056828,2159302,29.932943
"2011-01-20",40.904865,42.040115,40.904865,41.512714,2203602,30.265306
"2011-01-21",41.75407,41.763008,41.1194,41.476959,1589104,30.239239
"2011-01-24",41.387569,41.593166,40.913803,41.423325,1768542,30.20014
"2011-01-25",41.360752,42.317226,41.360752,42.308289,2250923,30.845335
"2011-01-26",41.66468,41.977543,40.332767,40.895924,4571093,29.815636
"2011-01-27",40.797596,41.164097,40.511547,41.065765,2124287,29.939451
"2011-01-28",41.128338,41.199852,40.288074,40.386402,1493903,29.444166
"2011-01-31",41.745129,42.120567,40.985313,42.111629,3988142,30.70196
"2011-02-01",42.236774,43.684895,42.236774,43.211124,2953574,31.50355
"2011-02-02",43.139614,43.827915,43.041286,43.443539,2707574,31.673006
"2011-02-03",43.497173,44.230171,43.380966,44.069271,1929522,32.1292
"2011-02-04",43.962002,44.176537,43.443539,43.79216,1677145,31.927156
"2011-02-07",43.801102,44.105026,43.085979,43.112797,1642689,31.431858
"2011-02-08",43.220066,43.693832,43.085979,43.54187,1643808,31.74469
"2011-02-09",43.523991,44.194416,43.434601,43.765343,1730171,31.90761
"2011-02-10",43.640198,43.81004,43.470356,43.70277,1213782,31.862
"2011-02-11",43.649136,44.33744,43.407784,44.239113,1816646,32.253021
"2011-02-14",44.113964,44.212296,43.729588,44.185478,935340,32.213924
"2011-02-15",44.042454,44.194416,43.693832,44.087147,846739,32.14222
"2011-02-16",44.248051,44.954231,44.158661,44.382133,1334713,32.357285
"2011-02-17",44.203354,44.703938,44.131844,44.641365,1373308,32.546284
"2011-02-18",44.641365,44.918476,44.292744,44.784389,1531044,32.65057
"2011-02-22",44.382133,44.507282,43.237942,43.363091,2097998,31.614342
"2011-02-23",43.246883,43.309456,41.503777,42.209957,2723235,30.773642
"2011-02-24",42.102692,42.218899,41.012131,41.852398,2706007,30.512962
"2011-02-25",42.084812,42.898262,41.941788,42.263592,1135586,30.812742
"2011-02-28",42.487068,42.737358,41.771946,42.129505,2024947,30.714996
"2011-03-01",42.209957,42.567516,41.673618,41.879215,1866652,30.532509
"2011-03-02",41.771946,42.02224,40.708206,41.512714,1863967,30.265306
"2011-03-03",41.968605,42.665848,41.950726,42.084812,1638886,30.682402
"2011-03-04",41.986485,42.308289,41.217728,41.405449,2427229,30.18712
"2011-03-07",41.691498,42.83569,41.342876,41.441204,2664392,30.213173
