"dates","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2010-01-04",49.674999,50.220001,49.619999,50.189999,4110000,45.067131
"2010-01-05",49.505001,50,48.895,49.575001,4450000,44.514904
"2010-01-06",49.419998,49.845001,48.834999,49.740002,3650400,44.663067
"2010-01-07",49.445,49.525002,48.720001,49.275002,4496800,44.245525
"2010-01-08",48.865002,49.645,48.145,49.525002,5911400,44.470001
"2010-01-11",49.790001,49.904999,48.509998,49.07,3030800,44.061455
"2010-01-12",47.880001,48.549999,47.580002,47.709999,4477000,42.84026
"2010-01-13",47.59,49.080002,47.025002,48.880001,4303600,43.957642
"2010-01-14",48.84,49.355,48.724998,49,3175800,44.065556
"2010-01-15",49,49.445,48.345001,48.435001,5931000,43.557449
"2010-01-19",48.16,48.794998,48.035,48.674999,4412200,43.773296
"2010-01-20",47.91,48.264999,47.625,48.165001,4049600,43.314655
"2010-01-21",48.285,48.785,47.650002,48.294998,6386400,43.431572
"2010-01-22",48.134998,48.595001,46.884998,47.025002,5838200,42.28944
"2010-01-25",47.43,48.07,47.310001,47.485001,2796400,42.703129
"2010-01-26",46.98,47.535,46.220001,46.57,3936800,41.88026
"2010-01-27",46.115002,46.91,45.049999,46.195,6554400,41.543037
"2010-01-28",46.505001,46.669998,44.785,45.755001,5442800,41.147335
"2010-01-29",45.884998,47.014999,44.685001,45.209999,6351400,40.657223
"2010-02-01",45.630001,47.830002,45.625,47.775002,4456800,42.963921
"2010-02-02",47.919998,48.610001,47.130001,48.514999,3776200,43.629391
"2010-02-03",48.080002,49.110001,48.029999,48.599998,4281200,43.705845
"2010-02-04",47.884998,48.02,46.389999,46.450001,4853200,41.772354
"2010-02-05",46.450001,46.689999,45.009998,46.43,5978600,41.75436
"2010-02-08",46.27,46.875,45.445,45.790001,4260600,41.178829
"2010-02-09",46.514999,47.650002,46.189999,47.27,5327800,42.509781
"2010-02-10",45.314999,45.494999,43.389999,44.119999,15979600,39.676994
"2010-02-11",43.959999,45.575001,43.884998,45.529999,7156400,40.945004
"2010-02-12",44.740002,45.619999,44.299999,45.490002,5837000,40.909027
"2010-02-16",46.325001,46.935001,46.134998,46.41,5396400,41.736385
"2010-02-17",46.549999,46.634998,46.095001,46.43,4310600,41.75436
"2010-02-18",46.209999,47.41,46.055,47.169998,4983600,42.419846
"2010-02-19",46.935001,47.52,46.494999,47.32,3841200,42.554749
"2010-02-22",47.610001,47.610001,45.900002,46.055,3793400,41.417137
"2010-02-23",45.700001,45.974998,44.799999,44.955002,4300000,40.427898
"2010-02-24",45.705002,46.490002,45.41,46.34,5405400,41.67342
"2010-02-25",45.330002,46.665001,44.974998,46.610001,3998800,41.916237
"2010-02-26",46.77,47.189999,46.200001,47.025002,3510200,42.28944
"2010-03-01",47.235001,47.775002,47.115002,47.325001,4078400,42.559231
