"dates","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2010-01-04",24.522984,24.670425,24.228102,24.640068,2063178,21.613676
"2010-01-05",24.674761,24.713791,24.323503,24.557676,1226792,21.541403
"2010-01-06",24.579357,24.991327,24.418907,24.796185,1713127,21.750614
"2010-01-07",24.752819,24.917606,24.397224,24.488291,1985697,21.480545
"2010-01-08",24.392887,24.514311,23.937553,24.271465,2846526,21.290346
"2010-01-11",24.405897,24.562012,23.52125,23.607979,2484715,20.708349
"2010-01-12",23.356461,23.594971,23.117952,23.525585,1593677,20.636072
"2010-01-13",23.564613,23.742411,23.330442,23.616652,950303,20.71596
"2010-01-14",23.486557,23.651344,23.200348,23.265394,1507202,20.407846
"2010-01-15",23.169991,23.191673,22.814398,23.074589,3512499,20.240479
"2010-01-19",23.070251,23.486557,22.996531,23.434519,1557011,20.556196
"2010-01-20",23.14831,23.430182,22.836081,23.347788,2131897,20.480114
"2010-01-21",23.417173,24.032957,23.165655,23.352125,2424759,20.483923
"2010-01-22",23.269732,23.447529,22.771032,22.857761,2221600,20.05028
"2010-01-25",23.161318,23.330442,22.953165,23.113617,1247777,20.274704
"2010-01-26",22.953165,23.126625,22.692974,22.77537,953300,19.978006
"2010-01-27",22.688639,22.79705,22.324371,22.710321,1368380,19.92095
"2010-01-28",22.73634,22.792715,22.111881,22.181267,1688453,19.456869
"2010-01-29",22.445793,22.792715,22.059843,22.090199,1559317,19.376989
"2010-02-01",22.324371,22.818733,22.22463,22.818733,1567619,20.016047
"2010-02-02",22.849089,23.32177,22.584562,23.078924,1543406,20.244278
"2010-02-03",22.953165,23.191673,22.705984,22.909801,955837,20.095924
"2010-02-04",22.662619,22.74935,22.007807,22.029488,1750946,19.323738
"2010-02-05",22.146574,23.551605,22.146574,23.031223,4100990,20.202435
"2010-02-08",23.14831,23.438854,22.740677,23.1353,3298733,20.293732
"2010-02-09",23.503902,23.963573,23.274069,23.811794,2281556,20.88714
"2010-02-10",23.820469,23.954901,23.360798,23.716393,1825891,20.803452
"2010-02-11",23.70772,24.353859,23.586296,24.323503,2009218,21.335989
"2010-02-12",24.006939,24.470945,23.716393,24.145706,2536831,21.180037
"2010-02-16",24.397224,24.518646,24.119688,24.492628,3480676,21.484343
"2010-02-17",24.666088,24.826538,24.410234,24.709454,1762937,21.674534
"2010-02-18",24.605377,24.913271,24.557676,24.835213,1518732,21.784847
"2010-02-19",24.718126,24.960972,24.700781,24.887251,1837882,21.830496
"2010-02-22",25.01301,25.01301,24.384214,24.62706,1742183,21.602259
"2010-02-23",24.449263,24.679098,24.176062,24.258455,1687992,21.278934
"2010-02-24",24.418907,24.674761,24.145706,24.423244,1673695,21.423481
"2010-02-25",23.993929,24.319166,23.85516,24.297485,1747717,21.313169
