"dates","FRT.Open","FRT.High","FRT.Low","FRT.Close","FRT.Volume","FRT.Adjusted"
"2010-01-04",68.059998,68.349998,66.470001,67.029999,662400,47.014851
"2010-01-05",66.57,67.029999,65.480003,66.949997,778800,46.958733
"2010-01-06",67,67.559998,66.120003,66.769997,578300,46.832489
"2010-01-07",66.550003,67.489998,65.879997,66.75,689700,46.818462
"2010-01-08",66.589996,66.75,65.489998,66.330002,770900,46.523869
"2010-01-11",66.900002,67.220001,66.650002,67.160004,373900,47.106041
"2010-01-12",66.68,67,65.309998,66.010002,763400,46.299423
"2010-01-13",66.309998,67.529999,66.139999,67.32,737000,47.218266
"2010-01-14",67.290001,67.470001,66.589996,67.050003,522800,47.028881
"2010-01-15",66.940002,67.699997,66.379997,67.589996,916500,47.407631
"2010-01-19",67.550003,69.599998,67.269997,69.260002,943600,48.578976
"2010-01-20",68.559998,68.809998,68.089996,68.360001,665900,47.947716
"2010-01-21",68.449997,68.919998,66.830002,66.980003,810300,46.979782
"2010-01-22",66.860001,67.800003,65.330002,65.5,730100,45.941723
"2010-01-25",66.089996,66.220001,64.470001,65.629997,597100,46.03289
"2010-01-26",65.360001,66.489998,65.059998,65.370003,452600,45.850525
"2010-01-27",65.07,65.620003,64.199997,65.07,660600,45.64011
"2010-01-28",65.209999,65.260002,63.68,64.540001,537800,45.268368
"2010-01-29",64.919998,65.400002,64.239998,64.379997,653900,45.156136
"2010-02-01",64.830002,65.959999,64.629997,65.879997,680600,46.208244
"2010-02-02",66.209999,67.940002,65.589996,67.809998,1016300,47.561943
"2010-02-03",67.489998,67.809998,66.290001,66.75,451500,46.818462
"2010-02-04",66.190002,66.419998,63.619999,63.73,1122200,44.700226
"2010-02-05",63.880001,65.209999,63.360001,65.019997,612600,45.605049
"2010-02-08",65.050003,65.440002,63.419998,63.580002,659000,44.59502
"2010-02-09",64.489998,64.489998,62.43,63.099998,1325900,44.258347
"2010-02-10",63,64.040001,61.93,63.07,604700,44.237301
"2010-02-11",62.790001,64.010002,62.43,63.740002,740900,44.707245
"2010-02-12",62.889999,64.580002,62.68,64.459999,601500,45.21225
"2010-02-16",65.029999,66.400002,64.940002,66.220001,547300,46.446716
"2010-02-17",66.43,67.139999,66.209999,67.129997,6e+05,47.084988
"2010-02-18",67.260002,68.110001,66.660004,68.080002,659400,47.751324
"2010-02-19",67.959999,68.959999,67.57,68.489998,567500,48.038895
"2010-02-22",68.730003,68.980003,68.220001,68.580002,543100,48.102013
"2010-02-23",68.410004,68.730003,68.07,68.269997,1038800,47.884579
"2010-02-24",68.269997,68.779999,68.190002,68.620003,554500,48.13007
"2010-02-25",67.580002,69.150002,67.339996,69.050003,410900,48.431675
"2010-02-26",69.089996,69.629997,68.519997,68.959999,596000,48.368557
"2010-03-01",69.150002,69.580002,68.650002,69.57,378500,48.79641
"2010-03-02",69.639999,70.029999,69.389999,69.959999,390500,49.069954
"2010-03-03",70.080002,70.080002,69.480003,69.779999,544400,48.94371
"2010-03-04",69.839996,70.050003,69.57,69.910004,319500,49.034885
"2010-03-05",70.279999,71.57,69.650002,71.449997,1113800,50.11504
"2010-03-08",71.370003,72.370003,71.050003,72.209999,434000,50.648094
"2010-03-09",71.959999,72.540001,71.589996,71.809998,1127300,50.367523
"2010-03-10",71.669998,72.220001,71.400002,71.870003,501300,50.409634
"2010-03-11",71.470001,71.889999,71.209999,71.779999,559800,50.346493
"2010-03-12",71.959999,72.370003,71.75,72.360001,400400,50.753315
"2010-03-15",71.75,72.139999,71.290001,71.599998,598800,50.682518
"2010-03-16",71.849998,73.199997,71.559998,73.089996,631200,51.737225
"2010-03-17",73.43,74,73.040001,73.669998,805000,52.147785
"2010-03-18",73.660004,73.769997,73.230003,73.5,646300,52.027466
"2010-03-19",72.779999,73.57,72.629997,72.779999,682600,51.517792
"2010-03-22",72.300003,73.879997,72.150002,73.550003,434400,52.062851
"2010-03-23",73.68,73.730003,72.849998,73.559998,407900,52.069935
"2010-03-24",73.150002,74.309998,73.150002,73.82,443300,52.253971
"2010-03-25",74.269997,75.639999,74.019997,74.110001,740100,52.459263
"2010-03-26",74.559998,74.849998,73.199997,73.43,408000,51.977898
"2010-03-29",73.68,73.68,72.93,73.599998,431200,52.098236
"2010-03-30",73.75,73.860001,72.589996,72.910004,386400,51.609837
"2010-03-31",72.709999,73.389999,72.25,72.809998,628600,51.539032
"2010-04-01",73.230003,73.400002,72,72.669998,363100,51.439926
"2010-04-05",72.849998,74.589996,72.660004,74.589996,589100,52.799007
"2010-04-06",74.43,76.440002,73.989998,76.07,554700,53.846638
"2010-04-07",75.75,76.410004,73.769997,74.07,711800,52.430943
"2010-04-08",73.75,74.160004,73.389999,74.059998,370800,52.42387
"2010-04-09",74.029999,75.370003,73.769997,75.150002,505700,53.195419
"2010-04-12",75.120003,75.290001,74.330002,74.529999,461700,52.756546
"2010-04-13",74.290001,76.190002,74.290001,75.870003,424300,53.70509
"2010-04-14",76.43,76.459999,74.660004,75.150002,569600,53.195419
"2010-04-15",74.82,75.260002,73.290001,73.620003,901800,52.112404
"2010-04-16",73.209999,74.279999,72.709999,73.279999,1329600,51.871716
"2010-04-19",73.139999,74.230003,72.779999,73.43,549300,51.977898
"2010-04-20",73.769997,74.580002,72.919998,74.559998,554400,52.777794
"2010-04-21",74.580002,76.339996,74.260002,76.07,780300,53.846638
"2010-04-22",75.370003,78.010002,75.150002,77.830002,492100,55.092484
"2010-04-23",77.68,78.93,77.110001,78.550003,747200,55.602127
"2010-04-26",78.589996,79.080002,78.18,78.599998,639000,55.63752
"2010-04-27",78.080002,78.790001,75.959999,76.07,545400,53.846638
"2010-04-28",76.68,77.029999,75.860001,76.169998,405900,53.917435
"2010-04-29",77.080002,78.93,76.720001,78.800003,537500,55.779076
"2010-04-30",78.779999,79.790001,77.099998,77.389999,512400,54.781033
"2010-05-03",77.970001,79.669998,77.970001,79.519997,499500,56.288746
"2010-05-04",78.089996,79.419998,77.43,77.959999,585700,55.184502
"2010-05-05",78.330002,78.489998,76.669998,76.839996,511200,54.391697
"2010-05-06",76.540001,76.879997,69.870003,74.25,827200,52.558342
"2010-05-07",74.300003,75.75,72.089996,73.529999,871300,52.048691
"2010-05-10",76.639999,78.349998,75.959999,78.300003,883800,55.425152
"2010-05-11",77.120003,78.790001,76.410004,78.239998,528100,55.382687
"2010-05-12",78.440002,78.949997,77.970001,78.860001,516400,55.821571
"2010-05-13",78.660004,78.849998,77.239998,77.43,739400,54.809326
"2010-05-14",76.940002,77.040001,74.940002,75.489998,548000,53.436089
"2010-05-17",75.849998,76.660004,72.809998,74.870003,461500,52.997223
"2010-05-18",75.650002,75.919998,72.510002,72.790001,570900,51.524868
"2010-05-19",72.389999,73.449997,70.669998,71.889999,525200,50.887798
"2010-05-20",70.050003,71.120003,68.239998,68.349998,1248000,48.381996
"2010-05-21",67.830002,70.849998,67.5,70.720001,1008400,50.059612
"2010-05-24",70.650002,71.209999,69.650002,69.669998,628100,49.316364
"2010-05-25",67.949997,70.790001,67.440002,70.57,704100,49.953434
"2010-05-26",71.160004,72.290001,70.269997,70.449997,828700,49.868481
"2010-05-27",71.910004,74.360001,71.169998,74.230003,839600,52.544205
"2010-05-28",73.870003,74.540001,73.150002,73.699997,639300,52.169037
"2010-06-01",73.290001,74.160004,72.410004,72.529999,596000,51.340839
"2010-06-02",73.190002,74.309998,71.879997,74.269997,698600,52.572506
"2010-06-03",74.629997,74.650002,73.379997,73.580002,382700,52.084084
"2010-06-04",72.059998,73.309998,69.809998,70.080002,812000,49.60659
"2010-06-07",70.510002,71.589996,69.970001,70.32,662200,49.776482
"2010-06-08",70.32,71.120003,69.099998,70.93,874900,50.208271
"2010-06-09",71.660004,73.309998,71.150002,71.470001,564600,50.5905
"2010-06-10",72.169998,73.839996,72.089996,73.699997,549100,52.169037
"2010-06-11",73.07,74.559998,72.699997,74.5,330200,52.735317
"2010-06-14",75,75.779999,74.480003,75.260002,595100,53.273296
"2010-06-15",75.5,76.610001,75.050003,76.470001,499600,54.12978
"2010-06-16",76.199997,76.629997,75.559998,75.989998,305400,53.790028
"2010-06-17",76.019997,76.669998,75.480003,76.150002,239100,53.903275
"2010-06-18",76.209999,76.709999,75.190002,75.309998,721600,53.308659
"2010-06-21",76.099998,76.459999,74.370003,74.650002,377100,52.841507
"2010-06-22",74.029999,74.769997,72.059998,72.089996,577400,51.484566
"2010-06-23",72.099998,73.540001,71.18,72.760002,397800,51.963058
"2010-06-24",72.379997,73.040001,71.300003,71.389999,473100,50.98465
"2010-06-25",71.720001,73.580002,71.529999,73.550003,926000,52.527256
"2010-06-28",73.650002,73.959999,72.540001,72.900002,366900,52.063042
"2010-06-29",72.050003,72.370003,70.68,71.029999,695800,50.727539
"2010-06-30",71.059998,72.150002,70.269997,70.269997,677400,50.184792
"2010-07-01",70.559998,70.889999,68.550003,70.540001,457600,50.377598
"2010-07-02",70.879997,71.010002,69.190002,69.889999,570000,49.913376
"2010-07-06",70.459999,71.239998,68.419998,68.910004,1007400,49.213501
"2010-07-07",68.93,72.279999,68.93,72.269997,1126600,51.613102
"2010-07-08",72.629997,73.400002,72.010002,73.080002,1220400,52.191578
"2010-07-09",72.93,73.599998,72.410004,73.410004,385200,52.427261
"2010-07-12",73.050003,73.82,72.610001,73.43,230800,52.441551
"2010-07-13",74.209999,74.779999,73.860001,74.529999,415700,53.227142
"2010-07-14",73.980003,74.510002,73.110001,73.900002,358900,52.77721
"2010-07-15",74.029999,74.089996,72.410004,73.870003,286700,52.755802
"2010-07-16",73.389999,73.459999,71.919998,72.349998,582300,51.670242
"2010-07-19",72.620003,73.349998,71.459999,73.220001,775400,52.291569
"2010-07-20",72.330002,74.669998,71.68,74.589996,652800,53.269989
"2010-07-21",74.980003,74.980003,73.010002,73.120003,524300,52.22015
"2010-07-22",73.919998,75.959999,73.919998,75.639999,897900,54.01989
"2010-07-23",75.419998,77.209999,74.629997,77.139999,666700,55.091125
"2010-07-26",77.230003,78.910004,76.68,78.879997,510700,56.333782
"2010-07-27",79.160004,79.589996,77.580002,78.160004,476400,55.819584
"2010-07-28",78.110001,79.260002,77.650002,78.68,520300,56.190948
"2010-07-29",79.160004,79.540001,77.290001,77.910004,444100,55.641048
"2010-07-30",77.470001,78.629997,76.940002,78.190002,805200,55.840992
"2010-08-02",79.449997,81.349998,78.870003,81.349998,595100,58.097782
"2010-08-03",80.709999,81.989998,80.709999,80.959999,735500,57.819248
"2010-08-04",81.209999,81.760002,80.769997,81.540001,395400,58.233494
"2010-08-05",81.190002,81.540001,79.269997,79.279999,855200,56.619457
"2010-08-06",78.769997,79.230003,77.93,78.989998,717700,56.41235
"2010-08-09",79.629997,80.470001,78.82,80.32,366400,57.362209
"2010-08-10",79.580002,80.82,79.300003,79.730003,554500,56.940838
"2010-08-11",78.279999,79.230003,77.650002,78.040001,555200,55.733891
