"dates","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume","TDG.Adjusted"
"2010-01-04",48.16,49.400002,48,49.400002,791400,25.519728
"2010-01-05",49.400002,50.16,49.27,49.869999,235700,25.762529
"2010-01-06",49.66,50.419998,49.66,50.220001,337100,25.943335
"2010-01-07",50.220001,51.009998,49.919998,50.869999,346100,26.279121
"2010-01-08",51,51.880001,50.82,51.450001,238600,26.578749
"2010-01-11",51.889999,51.889999,50.849998,51.459999,193400,26.583912
"2010-01-12",51.200001,51.200001,50.110001,50.279999,270900,25.974333
"2010-01-13",50.470001,50.779999,50.080002,50.450001,378500,26.062151
"2010-01-14",50.150002,50.830002,50,50.759998,340500,26.222296
"2010-01-15",50.580002,50.700001,50.209999,50.380001,336000,26.025991
"2010-01-19",50.59,50.700001,50.290001,50.419998,325800,26.046654
"2010-01-20",50.860001,51.09,50.009998,50.75,455000,26.217133
"2010-01-21",50.830002,51.130001,49.610001,50.07,355700,25.865847
"2010-01-22",49.790001,49.939999,48.77,49.049999,446000,25.338923
"2010-01-25",49.400002,49.720001,48.650002,48.75,345300,25.183941
"2010-01-26",48.75,49.080002,48.509998,48.77,233000,25.194275
"2010-01-27",48.849998,49.009998,48.049999,48.990002,338300,25.307922
"2010-01-28",48.959999,49.169998,48.41,48.790001,244200,25.204609
"2010-01-29",49.02,49.169998,48.240002,48.27,317800,24.935978
"2010-02-01",48.5,48.540001,48,48.439999,230900,25.023798
"2010-02-02",48.389999,49.540001,48.25,49.509998,285600,25.576551
"2010-02-03",49.459999,49.790001,49.009998,49.639999,253200,25.643711
"2010-02-04",49.419998,49.549999,47.689999,47.700001,177900,24.64152
"2010-02-05",47.830002,47.950001,46.540001,47.599998,209700,24.589859
"2010-02-08",47.77,48.060001,47.349998,47.5,201000,24.5382
"2010-02-09",47.98,48.630001,47.470001,48.349998,297400,24.977304
"2010-02-10",47.5,48.259998,47.349998,47.919998,333200,24.755167
"2010-02-11",48.029999,48.080002,47.200001,47.950001,419300,24.770668
"2010-02-12",47.290001,48.049999,47.200001,48.029999,317700,24.811995
"2010-02-16",48.259998,48.639999,47.84,48.57,182500,25.090954
"2010-02-17",48.57,48.650002,48.110001,48.360001,192900,24.982471
"2010-02-18",48.099998,49.290001,48.060001,49.189999,193900,25.411245
"2010-02-19",49.189999,49.59,49.040001,49.299999,194200,25.468071
"2010-02-22",49.279999,49.59,48.560001,49.400002,251000,25.519728
"2010-02-23",49.43,49.68,48.939999,49,208400,25.313093
"2010-02-24",49.02,49.439999,48.759998,49.400002,146200,25.519728
"2010-02-25",48.810001,49.639999,48.5,49.59,270200,25.617882
"2010-02-26",49.700001,50.259998,49.560001,50.220001,528300,25.943335
"2010-03-01",50.810001,52.700001,50.66,52.599998,397200,27.172829
"2010-03-02",52.98,53.52,52.790001,52.869999,220500,27.312307
"2010-03-03",52.799999,53.209999,52.650002,52.709999,167800,27.229654
"2010-03-04",52.77,52.779999,52.389999,52.66,137800,27.203825
"2010-03-05",52.77,53.169998,52.68,52.849998,390500,27.301973
"2010-03-08",53.060001,53.060001,51.830002,51.919998,368700,26.821545
"2010-03-09",51.990002,52.990002,51.919998,52.509998,263200,27.126333
"2010-03-10",52.360001,52.93,52.360001,52.610001,212200,27.177994
"2010-03-11",52.380001,53.009998,52.299999,52.84,280200,27.296814
"2010-03-12",52.860001,52.950001,52.169998,52.599998,323200,27.172829
"2010-03-15",52.360001,52.5,51.66,52.439999,188800,27.09017
"2010-03-16",52.529999,52.529999,51.950001,52.25,170500,26.992022
"2010-03-17",52.25,52.57,52.16,52.360001,70800,27.048847
"2010-03-18",52.490002,52.490002,52,52.220001,102400,26.976524
"2010-03-19",52.41,52.540001,52.220001,52.41,191200,27.074673
"2010-03-22",52.029999,52.400002,52,52.27,77500,27.002356
"2010-03-23",52.169998,52.5,51.939999,52.139999,181500,26.935196
"2010-03-24",52.169998,52.25,51.849998,52.119999,187200,26.924862
"2010-03-25",52.25,52.639999,52.029999,52.209999,259900,26.971357
"2010-03-26",52.200001,52.900002,52.200001,52.560001,303900,27.152164
"2010-03-29",52.57,53.82,52.490002,53.450001,403700,27.611935
"2010-03-30",53.610001,54.48,53.57,53.77,451100,27.777245
"2010-03-31",53.75,53.75,52.66,53.040001,352500,27.400131
"2010-04-01",53.25,53.400002,52.25,52.779999,357600,27.265816
"2010-04-05",54.57,55,54.169998,54.599998,675300,28.206015
"2010-04-06",54.709999,55.07,54.330002,54.849998,704600,28.335163
"2010-04-07",54.450001,54.970001,53.950001,54.41,272800,28.107861
"2010-04-08",54.169998,54.700001,54.169998,54.599998,236500,28.206015
"2010-04-09",54.970001,54.970001,54.419998,54.700001,201200,28.257675
"2010-04-12",54.84,55.040001,54.66,54.75,151400,28.283506
"2010-04-13",54.77,54.799999,53.650002,54.200001,218800,27.999378
"2010-04-14",54.610001,54.610001,53.82,54.59,171200,28.20085
"2010-04-15",54.59,54.73,54.150002,54.470001,155100,28.138859
"2010-04-16",54.25,54.360001,52.73,53.919998,253700,27.854731
"2010-04-19",53.540001,53.790001,53.16,53.560001,147200,27.668756
"2010-04-20",53.59,54.5,53.59,54.48,175500,28.144024
"2010-04-21",54.290001,55.290001,54.290001,54.84,150100,28.329998
"2010-04-22",54.380001,57.119999,54.240002,56.860001,477500,29.373518
"2010-04-23",56.740002,56.869999,55.869999,56.709999,192900,29.296028
"2010-04-26",56.779999,57.139999,56.310001,56.369999,177000,29.120386
"2010-04-27",55.970001,56.509998,54.939999,55.049999,189000,28.438482
"2010-04-28",55.419998,55.5,54.779999,55.16,161100,28.495308
"2010-04-29",55.240002,55.57,54.939999,55.57,318000,28.707111
"2010-04-30",55.759998,55.900002,55.099998,55.27,272900,28.552135
"2010-05-03",55.389999,56.650002,55.27,56.59,221300,29.234034
"2010-05-04",55.849998,56.279999,54.290001,54.549999,343300,28.180185
"2010-05-05",53.77,54.189999,52.830002,53.240002,506600,27.50345
"2010-05-06",52.869999,53.810001,48.740002,52.540001,753300,27.141838
"2010-05-07",52.540001,52.540001,50.009998,50.849998,612100,26.268787
"2010-05-10",53.540001,54.52,52.82,54.099998,816700,27.947721
"2010-05-11",53.959999,56.16,53.82,54.810001,950000,28.314501
"2010-05-12",55.139999,56.700001,54.900002,56.080002,438000,28.970577
"2010-05-13",55.869999,57.310001,55.869999,56.540001,390100,29.20821
"2010-05-14",56.41,56.41,54.599998,55.509998,337700,28.676119
"2010-05-17",55.939999,56.150002,54.529999,55.25,407800,28.541801
"2010-05-18",55.509998,55.82,54.009998,54.02,517200,27.906395
"2010-05-19",53.959999,53.959999,52.790001,53.549999,614700,27.663591
"2010-05-20",52.25,53.080002,51.41,51.82,833800,26.769882
"2010-05-21",51.299999,53.110001,51.150002,52.869999,303700,27.312307
"2010-05-24",52.540001,52.849998,51.77,51.869999,259700,26.795715
"2010-05-25",50.549999,51.900002,49.540001,51.73,591200,26.723389
"2010-05-26",51.91,52.540001,51.25,51.349998,471900,26.527086
"2010-05-27",52.290001,53.110001,52.080002,53.110001,355600,27.436295
"2010-05-28",53.119999,53.200001,52.279999,52.759998,188000,27.255484
"2010-06-01",49.18,52.880001,49.18,50.900002,512300,26.294619
"2010-06-02",50.959999,51.650002,50.16,51.650002,704300,26.682066
"2010-06-03",52.119999,52.43,51.32,51.860001,293200,26.790552
"2010-06-04",51.009998,51.18,49.790001,49.880001,368200,25.767694
"2010-06-07",49.869999,49.93,48.720001,48.849998,460000,25.235601
"2010-06-08",48.880001,49.610001,48.68,49.5,502200,25.571388
"2010-06-09",49.900002,51.740002,49.900002,50.419998,754500,26.046654
"2010-06-10",51.259998,51.619999,50.639999,51.599998,368700,26.656237
"2010-06-11",51.049999,51.880001,51,51.720001,366300,26.718227
"2010-06-14",52.599998,53.43,51.84,52.27,466500,27.002356
"2010-06-15",52.509998,53.349998,52.43,53.310001,354100,27.539612
"2010-06-16",53.099998,53.599998,52.889999,53.540001,441400,27.658428
"2010-06-17",53.459999,53.639999,52.599998,53.150002,233900,27.456955
"2010-06-18",53.23,53.549999,52.959999,53.369999,203000,27.570604
"2010-06-21",53.900002,53.91,53.009998,53.240002,170500,27.50345
"2010-06-22",53.27,53.740002,52.18,52.200001,264200,26.96619
"2010-06-23",52.169998,53.360001,52.009998,53.07,368100,27.415627
"2010-06-24",52.77,53.689999,52.610001,52.799999,356900,27.276146
"2010-06-25",52.849998,53.709999,52.630001,53.279999,674000,27.524111
"2010-06-28",53.540001,54.27,53.209999,53.599998,343800,27.689421
"2010-06-29",52.950001,52.950001,51.450001,51.869999,377400,26.795715
