"dates","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2010-03-16",74.150002,75.93,74.040001,75.690002,1194700,52.890495
"2010-03-17",76.07,77.349998,75.860001,77.139999,1353200,53.903748
"2010-03-18",77.010002,77.730003,76.639999,76.739998,1433900,53.624233
"2010-03-19",75.889999,77.599998,75.879997,75.889999,1896000,53.030254
"2010-03-22",75.040001,76.519997,75.040001,76.260002,1348000,53.288807
"2010-03-23",76.260002,76.470001,75.330002,76.029999,1053300,53.128071
"2010-03-24",75.910004,76.959999,75.809998,76.150002,1046000,53.211956
"2010-03-25",76.760002,78.220001,76.620003,76.730003,1353700,53.617249
"2010-03-26",77.199997,77.199997,75.690002,76.190002,1192300,53.239891
"2010-03-29",75.629997,76.25,75.43,76.25,901500,53.633785
"2010-03-30",76.129997,76.779999,75.93,76.239998,791200,53.626751
"2010-03-31",75.690002,76.18,75.18,75.440002,998800,53.064041
"2010-04-01",75.849998,75.949997,74.870003,75.470001,867300,53.085152
"2010-04-05",75.760002,77.790001,75.519997,77.790001,971500,54.71703
"2010-04-06",77.470001,79.610001,76.980003,79.410004,1309000,55.856537
"2010-04-07",79.370003,79.519997,77,77.239998,1242000,54.330154
"2010-04-08",76.860001,77.139999,76.559998,76.949997,1122200,54.12616
"2010-04-09",77.129997,78.43,76.949997,78.349998,1022300,55.110924
"2010-04-12",78.339996,78.459999,77.260002,77.449997,1231700,54.477856
"2010-04-13",77.379997,80.279999,77.220001,79.970001,1152100,56.250397
"2010-04-14",80.68,80.709999,79.589996,80.129997,952400,56.362972
"2010-04-15",79.839996,80.239998,77.949997,78.040001,1230100,54.892876
"2010-04-16",77.959999,78.489998,75.519997,75.589996,1753700,53.169556
"2010-04-19",75.150002,76.610001,74.870003,76.089996,922100,53.521233
"2010-04-20",76.629997,77.010002,75.199997,77,1110100,54.161346
"2010-04-21",76.93,78.410004,76.589996,77.940002,1113500,54.822525
"2010-04-22",77.169998,79.769997,76.650002,79.370003,1264500,55.828403
"2010-04-23",79.529999,81,79.040001,80.110001,1567800,56.348881
"2010-04-26",80.120003,81.489998,79.739998,80.690002,1314900,56.756863
"2010-04-27",79.959999,80.410004,78.099998,78.120003,2652700,54.949135
"2010-04-28",78.949997,79.449997,77.669998,78.800003,1629500,55.427448
"2010-04-29",79.480003,83.419998,79.410004,83.389999,2198800,58.656025
"2010-04-30",83.010002,83.300003,78.75,78.860001,1811600,55.469666
"2010-05-03",79.870003,82.339996,79.419998,81.510002,1942400,57.333656
"2010-05-04",80.519997,81.580002,79.970001,81.129997,2726500,57.066364
"2010-05-05",79.669998,81.870003,78.949997,80.720001,2138200,56.777958
"2010-05-06",80.010002,80.769997,73.809998,78.029999,3534500,54.885818
"2010-05-07",78.309998,79.559998,75.379997,76.089996,2984100,53.521233
"2010-05-10",80.190002,80.769997,78.669998,80.730003,2647600,56.785019
"2010-05-11",79.639999,82.480003,79.269997,81.160004,1804800,57.087456
"2010-05-12",81.169998,81.860001,80.400002,81.730003,1799500,57.488384
"2010-05-13",81.370003,82.330002,80.650002,80.760002,1273700,56.806095
"2010-05-14",79.790001,80.269997,77.370003,78.199997,2042500,55.005409
"2010-05-17",78.709999,79.839996,76.040001,78.449997,1628900,55.181278
"2010-05-18",79.449997,79.970001,76.209999,76.57,1737700,53.858891
"2010-05-19",76.18,77.860001,74.18,76.050003,1869400,53.493118
"2010-05-20",74.360001,75.110001,72.669998,72.720001,2579000,51.150818
"2010-05-21",71.309998,75.599998,71.309998,75.5,2679900,53.106243
"2010-05-24",75.620003,75.949997,73.610001,73.629997,1332300,51.79089
"2010-05-25",71.690002,74.889999,70.940002,74.830002,2491100,52.634987
"2010-05-26",75.669998,76.720001,73.519997,73.839996,1769200,51.938618
"2010-05-27",75.550003,78.230003,74.900002,78.120003,1833500,54.949135
"2010-05-28",77.900002,78.239998,76.190002,76.68,1752700,53.936256
"2010-06-01",76.150002,77.75,75.669998,75.910004,1714800,53.394642
"2010-06-02",76.309998,76.459999,74.440002,76.18,2739500,53.584545
"2010-06-03",76.529999,76.550003,75.040001,75.660004,1913700,53.2188
"2010-06-04",73.599998,74.760002,71.519997,71.809998,2811500,50.510708
"2010-06-07",72.339996,73.949997,71.839996,72.120003,1998500,50.72876
"2010-06-08",72.269997,74.050003,70.910004,73.800003,1986700,51.910492
