"dates","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"2010-08-30",47.200001,47.34,46.459999,46.459999,1876600,39.34127
"2010-08-31",46.119999,47.040001,46.080002,46.860001,2600600,39.679981
"2010-09-01",47.32,47.599998,47.040001,47.25,3516600,40.01022
"2010-09-02",47.220001,47.849998,47.220001,47.84,2298400,40.509815
"2010-09-03",48.169998,48.349998,47.639999,48.220001,2833100,40.831596
"2010-09-07",48.200001,48.52,47.73,48.369999,2557500,40.958611
"2010-09-08",48.41,49.619999,48.259998,49.360001,4380200,41.796925
"2010-09-09",49.900002,49.950001,48.709999,49.09,2177400,41.568279
"2010-09-10",49.110001,49.279999,48.650002,49.07,1902300,41.55135
"2010-09-13",49.360001,49.549999,48.990002,49,2643800,41.492073
"2010-09-14",48.880001,49.220001,48.650002,48.73,2959600,41.263454
"2010-09-15",48.669998,49.18,48.380001,48.880001,2461800,41.390469
"2010-09-16",48.84,49.049999,48.349998,48.360001,2167100,40.950153
"2010-09-17",48.73,49.290001,48.619999,49.27,4652700,41.720703
"2010-09-20",49.5,50.18,49.310001,50.07,2898400,42.398136
"2010-09-21",50.099998,51.02,49.93,50.48,2990900,42.745296
"2010-09-22",50.509998,50.880001,50.23,50.5,3362700,42.762241
"2010-09-23",50.040001,50.849998,49.84,50.580002,3174400,42.82999
"2010-09-24",51.119999,51.759998,50.84,51.689999,2466500,43.769913
"2010-09-27",51.630001,52.09,51.209999,51.82,3329200,43.880009
"2010-09-28",51.849998,52.220001,51.209999,52.110001,2479300,44.125565
"2010-09-29",51.810001,52.200001,51.549999,51.790001,3816400,43.854595
"2010-09-30",52.099998,52.32,51.240002,51.259998,3634100,43.4058
"2010-10-01",51.450001,51.73,51.150002,51.619999,3002200,43.710625
"2010-10-04",51.59,51.84,50.860001,51.060001,2930300,43.236443
"2010-10-05",51.43,52.34,51.389999,51.880001,2522800,43.930805
"2010-10-06",51.939999,52.049999,50.310001,50.75,3685500,42.973938
"2010-10-07",51.029999,51.630001,50.310001,50.41,3782400,42.686035
"2010-10-08",50.529999,50.560001,50.130001,50.369999,2161800,42.652161
"2010-10-11",50.360001,50.459999,49.860001,50.009998,2055200,42.347328
"2010-10-12",49.799999,50.849998,49.380001,50.619999,3888700,42.863857
"2010-10-13",50.919998,51.169998,50.650002,50.759998,4293400,42.98241
"2010-10-14",50.73,51.57,50.73,51.380001,3536100,43.507401
"2010-10-15",51.790001,51.869999,50.380001,50.810001,3338400,43.024742
"2010-10-18",50.740002,50.869999,50.279999,50.490002,1889300,42.75378
"2010-10-19",50.060001,50.349998,49.470001,49.790001,2137900,42.161034
"2010-10-20",49.950001,50.84,49.82,50.450001,2106100,42.719898
"2010-10-21",50.810001,50.810001,49.400002,50.02,2899600,42.355808
"2010-10-22",50.110001,50.349998,49.900002,50.220001,1896400,42.52515
"2010-10-25",50.5,51.029999,50.439999,50.810001,1895700,43.024742
"2010-10-26",50.57,50.98,50.290001,50.84,1928600,43.050152
"2010-10-27",50.549999,50.830002,50.169998,50.700001,2658400,42.931602
"2010-10-28",50.93,51.91,50.93,51.740002,2616600,43.812244
"2010-10-29",51.529999,51.880001,51.150002,51.610001,2203700,43.702164
"2010-11-01",51.790001,51.849998,51.34,51.790001,1803200,43.854595
"2010-11-02",52.18,52.25,51.599998,51.880001,2147200,43.930805
"2010-11-03",52.080002,52.18,51.5,52.130001,2327400,44.14249
"2010-11-04",52.549999,52.610001,51.959999,52.41,2944300,44.379585
"2010-11-05",52.080002,52.490002,50,51.919998,5325900,43.964661
"2010-11-08",51.939999,52.419998,51.549999,52.369999,3017700,44.345722
"2010-11-09",52.900002,53.080002,52.07,52.189999,4204300,44.193298
"2010-11-10",52.299999,53.52,52.25,53.110001,3343200,44.972324
"2010-11-11",52.900002,53.220001,52.619999,53.139999,2576600,44.99773
"2010-11-12",52.869999,53.009998,52.099998,52.360001,2153400,44.33725
"2010-11-15",52.400002,52.490002,51.299999,51.459999,2541200,43.575165
"2010-11-16",51.119999,51.18,50.360001,50.540001,2302200,42.796112
"2010-11-17",50.59,51.209999,50.5,51.040001,1985800,43.219509
"2010-11-18",51.529999,51.860001,51.41,51.59,1894400,43.685219
"2010-11-19",51.52,52.16,51.139999,51.939999,3328000,43.981602
"2010-11-22",51.720001,51.939999,51.110001,51.830002,3490100,43.88847
"2010-11-23",51.130001,51.560001,50.77,51.150002,3091100,43.312649
"2010-11-24",51.380001,52.130001,51.16,52.040001,1957300,44.066288
"2010-11-26",51.599998,52.099998,51.509998,51.77,582700,43.83765
"2010-11-29",51.52,51.540001,50.5,50.82,2482400,43.033218
"2010-11-30",50.349998,51,50.150002,50.57,2829100,42.821526
"2010-12-01",51.490002,51.490002,51.009998,51.029999,2814400,43.211037
"2010-12-02",51.5,52.130001,51.25,51.810001,2359000,43.871529
"2010-12-03",51.720001,52.48,51.380001,51.580002,1976500,43.676754
"2010-12-06",51.560001,51.849998,51.209999,51.77,1891800,43.83765
"2010-12-07",52.25,52.369999,51.639999,51.759998,2738700,43.829182
"2010-12-08",51.700001,51.990002,50.799999,51.07,2338800,43.244904
"2010-12-09",51.349998,51.349998,50.369999,50.849998,2269900,43.058628
"2010-12-10",51,51,50.41,50.459999,2204700,42.728378
"2010-12-13",50.639999,50.830002,50.009998,50.009998,3082900,42.347328
"2010-12-14",50.16,50.77,50.110001,50.439999,2537800,42.711449
"2010-12-15",50.389999,50.549999,50.049999,50.130001,2225400,42.448944
"2010-12-16",50.110001,50.18,48.830002,49.990002,4905700,42.330395
"2010-12-17",49.939999,49.939999,49.509998,49.610001,3097600,42.008617
"2010-12-20",49.77,51.18,49.75,51.049999,3022100,43.227966
"2010-12-21",51.110001,51.259998,50.59,50.720001,2624700,42.948536
"2010-12-22",50.830002,51,50.619999,50.790001,1408800,43.007809
