"dates","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"2010-01-04",51.68084,52.266129,50.927284,51.227242,2307518,33.224514
"2010-01-05",51.263824,51.263824,50.232254,50.839493,2752017,32.973019
"2010-01-06",50.905334,51.358932,50.276154,50.63464,2105087,32.840164
"2010-01-07",50.481003,52.01738,50.188358,51.417461,2492179,33.347874
"2010-01-08",51.007759,51.234558,50.363945,50.846806,1730023,32.977768
"2010-01-11",51.044342,51.315037,50.590744,51.007759,1449682,33.082157
"2010-01-12",50.649273,51.000446,49.749393,50.305416,2121216,32.626637
"2010-01-13",50.473686,51.64426,50.151779,51.549152,2809835,33.433292
"2010-01-14",51.380882,51.863743,51.132133,51.761318,2268972,33.5709
"2010-01-15",51.585732,51.812531,51.022392,51.28577,2863689,33.262486
"2010-01-19",51.315037,51.980801,51.080921,51.710106,3320491,33.537682
"2010-01-20",51.366249,51.366249,50.378578,50.590744,2609318,32.811687
"2010-01-21",50.612694,50.934601,48.593452,48.651981,3954163,31.554264
"2010-01-22",48.637348,49.215321,47.122917,47.3424,3469067,30.704901
"2010-01-25",48.110592,48.110592,46.815643,47.488724,3221257,30.79981
"2010-01-26",46.82296,47.70089,46.640057,46.94733,2659072,30.756678
"2010-01-27",46.786377,47.70089,46.193775,47.620411,2940096,31.197634
"2010-01-28",47.905739,48.022797,47.013176,47.32777,2597973,31.005913
"2010-01-29",47.532619,48.264229,47.013176,47.320454,3825815,31.001114
"2010-02-01",47.67894,48.330074,47.583832,48.330074,3043293,31.662556
"2010-02-02",48.483711,49.032417,47.832581,48.922676,3185856,32.050793
"2010-02-03",48.600769,48.615398,47.642361,47.942322,2344423,31.408541
"2010-02-04",47.642361,47.803314,46.120613,46.186459,4845896,30.2582
"2010-02-05",46.332783,47.335087,45.549961,47.020493,4194045,30.804602
"2010-02-08",46.903435,47.532619,45.871868,45.996243,2840589,30.133589
"2010-02-09",46.559582,46.859539,45.345108,46.098667,3291103,30.200695
"2010-02-10",46.032822,46.603477,45.184155,45.915764,3038783,30.080856
"2010-02-11",45.857235,46.084034,45.27195,45.718231,3228228,29.951454
"2010-02-12",45.242683,46.003555,44.811035,45.871868,3342634,30.052111
"2010-02-16",46.208408,47.174129,45.966976,47.130234,3627759,30.876501
"2010-02-17",47.51067,47.51067,46.193775,46.705902,3262946,30.598509
"2010-02-18",46.588844,47.649677,46.2962,47.430195,2513092,31.073008
"2010-02-19",47.203396,48.278858,46.910751,48.008163,2870387,31.45167
"2010-02-22",48.234962,48.388599,47.832581,48.052059,2155660,31.480421
"2010-02-23",47.225346,48.030113,47.181446,47.239975,2368206,30.948402
"2010-02-24",47.620411,48.022797,47.042442,47.781364,2223456,31.303078
"2010-02-25",47.261925,48.103275,47.035126,48.05938,1689428,31.485203
"2010-02-26",48.030113,48.593452,47.452141,48.081326,3436810,31.49959
"2010-03-01",48.278858,48.856831,48.008163,48.425182,1730160,31.724865
"2010-03-02",48.637348,49.017784,48.417866,48.54224,1814768,31.80155
"2010-03-03",48.659298,49.017784,48.249596,48.615398,1557527,31.84948
"2010-03-04",48.600769,49.237267,48.491028,49.112892,1991638,32.175411
"2010-03-05",49.368958,50.780964,49.164108,50.671223,2285238,33.196316
"2010-03-08",50.678535,51.797897,50.671223,51.600365,1721959,33.805012
"2010-03-09",51.351616,52.646564,51.234558,52.266129,2177393,34.241184
"2010-03-10",52.244179,53.246483,52.119804,53.239166,2195299,34.878651
"2010-03-11",52.851414,53.524494,52.697777,53.509865,1886801,35.056
"2010-03-12",53.94883,54.197575,53.370857,53.992725,2195162,35.372334
"2010-03-15",53.875668,54.190258,53.180637,53.861034,1696535,35.286064
"2010-03-16",54.065884,55.338882,53.817139,55.170612,2471950,36.144012
"2010-03-17",55.294987,56.129021,55.126717,55.79248,2272800,36.551414
"2010-03-18",55.887592,56.246078,55.47789,55.660793,1740274,36.465141
"2010-03-19",55.185246,56.099758,54.958447,55.185246,2654014,36.153599
"2010-03-22",54.724335,55.880276,54.724335,55.507153,1760777,36.364487
"2010-03-23",55.616898,55.682739,54.892605,55.572998,1656623,36.407623
"2010-03-24",55.404728,56.370453,55.353516,55.887592,1875866,36.613728
"2010-03-25",56.282661,57.358124,56.107075,56.180233,2359868,36.805439
"2010-03-26",56.407032,56.531406,55.660793,55.997334,2354811,36.685616
"2010-03-29",56.209499,56.311924,55.660793,56.289974,1775676,36.877331
"2010-03-30",56.224133,56.597252,55.748585,56.15097,1507090,36.786266
"2010-03-31",55.79248,56.107075,55.346199,55.382782,2429851,36.283005
"2010-04-01",55.763218,56.136337,55.068188,55.492523,2120396,36.354912
"2010-04-05",55.741268,57.343491,55.631527,57.336178,2104677,37.562737
"2010-04-06",56.948425,58.762814,56.919159,58.228741,3199934,38.14748
"2010-04-07",58.192158,58.397011,56.260712,56.516773,2583895,37.025906
"2010-04-08",56.246078,56.721626,56.165604,56.35582,1807387,36.920464
"2010-04-09",56.531406,57.958042,56.487511,57.943413,1894182,37.960556
"2010-04-12",57.855618,58.206791,57.17522,57.241066,1573109,37.50042
"2010-04-13",57.263016,59.991917,57.241066,59.633427,3179568,39.067738
"2010-04-14",59.948017,60.160187,58.850605,59.289574,2747507,38.842472
"2010-04-15",59.055458,59.377365,57.204487,57.241066,3230962,37.50042
"2010-04-16",57.080112,58.301899,55.931488,56.033913,3275658,36.709572
"2010-04-19",55.697372,56.699677,55.30962,56.209499,1527182,36.824627
"2010-04-20",56.597252,57.17522,55.843693,57.131325,1744102,37.428524
"2010-04-21",57.065479,58.660389,56.919159,58.26532,1833767,38.171455
"2010-04-22",57.680031,59.896809,57.431286,59.574898,2270203,39.029396
"2010-04-23",59.743168,60.511356,58.945717,60.365036,2160581,39.547031
"2010-04-26",60.15287,61.542927,60.138237,61.191753,2452540,40.088657
"2010-04-27",60.716209,60.913742,59.187145,59.27494,3015410,38.832878
"2010-04-28",59.582214,59.918755,59.077404,59.604164,2629274,39.048561
"2010-04-29",60.299191,63.218311,60.079708,63.181728,3190093,41.392345
"2010-04-30",62.889088,63.467056,60.782055,60.994221,3468794,39.95924
"2010-05-03",61.506348,63.496323,61.118591,62.954929,2988209,41.243752
"2010-05-04",62.384277,62.662289,60.657681,61.089329,3263903,40.021542
"2010-05-05",60.065079,61.147858,58.448223,60.365036,2751881,39.547031
"2010-05-06",59.296886,60.072392,53.04895,57.336178,4795323,37.861
"2010-05-07",57.116695,58.609177,55.294987,55.997334,4361758,36.976913
"2010-05-10",58.506748,59.9846,57.943413,59.918755,3842081,39.566357
"2010-05-11",59.004246,60.511356,58.755497,59.904121,2314762,39.556694
"2010-05-12",60.226032,61.140541,59.64806,60.88448,2316812,40.204056
"2010-05-13",60.782055,60.928375,59.677322,59.904121,1996422,39.556694
"2010-05-14",59.450523,59.509052,57.526394,58.199474,2560795,38.431061
"2010-05-17",58.28727,59.238358,56.289974,58.133629,2556011,38.387585
"2010-05-18",58.872555,59.194462,56.202183,56.363136,3126535,37.218468
"2010-05-19",56.070492,57.263016,54.321949,55.894909,3093593,36.909275
"2010-05-20",54.746281,55.616898,53.597656,53.765926,3776335,35.503445
"2010-05-21",52.807518,55.748585,52.456345,55.609581,5130065,36.720871
"2010-05-24",55.704689,55.953438,53.868351,53.90493,2622713,35.59523
"2010-05-25",52.37587,54.621906,51.980801,54.512169,2985886,35.996208
"2010-05-26",55.251091,55.79248,53.861034,54.1171,3353432,35.735336
"2010-05-27",55.243774,57.950729,55.053558,57.855618,3140203,38.203995
"2010-05-28",58.375061,58.375061,56.663097,56.831367,2582391,37.527653
"2010-06-01",56.35582,57.102062,55.360832,55.49984,2565716,36.648396
"2010-06-02",55.829063,57.014267,55.002342,56.963055,2939823,37.614613
"2010-06-03",56.963055,57.05085,55.697372,56.282661,2063261,37.165329
"2010-06-04",54.995029,55.66811,52.529507,52.748989,3789184,34.831928
"2010-06-07",52.961155,54.051254,52.478294,52.52219,2802318,34.682167
"2010-06-08",52.566086,53.517178,51.256508,53.246483,3361633,35.160423
"2010-06-09",53.656185,55.192562,53.166004,53.436703,2411398,35.286053
"2010-06-10",54.26342,56.143654,54.058571,55.931488,2649640,36.93343
"2010-06-11",55.338882,56.407032,55.134033,56.289974,2302734,37.170162
"2010-06-14",56.809418,57.709297,56.363136,57.021584,3241897,37.653252
"2010-06-15",57.541027,58.404324,56.904526,58.236053,2919183,38.455212
"2010-06-16",57.797089,58.462852,57.445919,58.192158,2310661,38.426235
"2010-06-17",58.250687,58.565277,57.511761,58.338482,1689564,38.522842
"2010-06-18",58.521381,58.843288,57.8922,58.0751,3346051,38.348942
"2010-06-21",58.814026,59.626114,58.133629,58.316532,2406341,38.508366
"2010-06-22",58.404324,58.872555,56.487511,56.619202,2886652,37.387554
"2010-06-23",56.626514,57.314228,55.609581,56.802101,2601527,37.508335
"2010-06-24",56.333874,57.189854,55.616898,55.79248,3134052,36.841644
"2010-06-25",56.414349,57.72393,55.990017,57.562977,3343044,38.010769
"2010-06-28",57.943413,57.943413,56.392403,56.54604,1840328,37.339245
"2010-06-29",55.719322,56.304607,53.685448,54.1171,3244494,35.735336
"2010-06-30",54.26342,55.119404,53.195271,53.370857,3163030,35.242569
"2010-07-01",53.546444,53.956142,52.119804,53.392803,2502841,35.257046
"2010-07-02",53.407436,53.795189,51.922272,52.03933,2264462,34.363319
"2010-07-06",53.297695,53.509865,50.181042,50.846806,3839484,33.575851
"2010-07-07",51.102871,53.312328,50.876072,53.305012,3227818,35.199089
"2010-07-08",53.934196,54.278053,52.741673,53.692764,2307108,35.455135
"2010-07-09",53.502544,54.921867,53.458649,54.870655,2030594,36.232941
"2010-07-12",54.695068,55.338882,54.190258,55.324253,2097706,36.532452
"2010-07-13",55.975384,56.728943,55.507153,56.553356,2240132,37.344074
"2010-07-14",55.843693,56.582619,55.316936,56.099758,1147608,37.044548
"2010-07-15",56.224133,56.407032,54.753597,56.246078,1363024,37.141163
"2010-07-16",55.572998,55.858326,54.124413,54.629223,2645676,36.073505
"2010-07-19",54.870655,55.704689,54.043938,55.419361,1900333,36.595264
"2010-07-20",54.541431,56.502144,54.212208,56.443615,1899513,37.271614
"2010-07-21",57.131325,57.314228,55.046242,55.280357,2100303,36.503468
"2010-07-22",55.719322,58.294582,55.719322,57.870251,2705134,38.213669
"2010-07-23",57.797089,58.675018,56.926476,58.616493,1626963,38.706432
"2010-07-26",58.762814,60.760105,58.177525,60.621098,2224140,40.030136
"2010-07-27",61.17712,61.411236,59.830963,60.474777,2354947,39.933517
"2010-07-28",60.328457,61.330761,59.823647,60.796684,1866708,40.146088
"2010-07-29",61.286861,61.286861,59.626114,60.291878,1291947,39.81274
"2010-07-30",59.428577,60.738155,59.406628,60.562572,2291935,39.991497
"2010-08-02",61.455132,63.335369,60.774738,63.218311,2498603,41.745167
"2010-08-03",62.523281,62.874454,61.777042,62.033104,1989588,40.962532
"2010-08-04",62.303799,62.845188,62.120895,62.669605,1321608,41.382832
"2010-08-05",62.179424,62.713501,61.608772,62.150162,1537707,41.039829
"2010-08-06",61.455132,62.150162,60.921059,62.077,1610834,40.99152
"2010-08-09",61.791672,62.669605,61.586823,62.611076,1329809,41.663357
"2010-08-10",62.069687,62.179424,60.708893,61.425869,1832537,40.87468
"2010-08-11",60.591835,61.023483,59.96265,60.262611,2325970,40.100613
"2010-08-12",59.457844,60.226032,59.304203,59.472473,1796315,39.574837
"2010-08-13",59.443211,60.13092,59.252991,59.260307,1665371,39.433655
"2010-08-16",59.026192,59.83828,58.857922,59.362732,1277049,39.501797
"2010-08-17",60.094341,61.923363,59.721222,61.484398,2525940,40.913639
"2010-08-18",61.484398,62.011154,61.023483,61.469765,1696809,40.903889
