"dates","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2010-01-04",61.189999,61.52,60.639999,61.240002,6585900,43.941441
"2010-01-05",61,62.099998,60.900002,61.98,8886000,44.472408
"2010-01-06",61.990002,62.470001,61.23,61.360001,9998000,44.027542
"2010-01-07",61.349998,61.380001,60.529999,60.970001,10792000,43.747704
"2010-01-08",60.759998,60.82,60.27,60.77,8674700,43.604195
"2010-01-11",60.68,60.810001,60.099998,60.700001,6461200,43.553978
"2010-01-12",60.52,61.68,60.5,61.549999,9081800,44.163876
"2010-01-13",61.41,62.34,61.41,62.049999,7380100,44.522636
"2010-01-14",62.02,62.919998,61.759998,62.799999,7211600,45.06078
"2010-01-15",62.610001,62.91,61.82,62.290001,8361200,44.694836
"2010-01-19",62.23,62.41,61.970001,62.330002,5615800,44.723545
"2010-01-20",62.09,62.150002,61.439999,61.950001,5606000,44.450874
"2010-01-21",62.009998,62.16,60.740002,60.939999,7121500,43.726166
"2010-01-22",60.75,61.240002,60.310001,60.389999,7229000,43.331543
"2010-01-25",60.700001,60.700001,60.080002,60.23,4903800,43.216728
"2010-01-26",60.099998,60.529999,59.82,60.25,5001700,43.231087
"2010-01-27",60.049999,60.389999,59.599998,60.290001,6145900,43.259796
"2010-01-28",60.299999,60.5,59.5,59.740002,9285900,42.865143
"2010-01-29",59.84,60.360001,59.119999,59.619999,8127200,42.779045
"2010-02-01",59.93,60.75,59.52,60.700001,7303200,43.553978
"2010-02-02",60.68,61.279999,60.34,61.150002,6296700,43.876858
"2010-02-03",60.919998,61.400002,60.560001,61.290001,4863000,43.977306
"2010-02-04",60.830002,60.93,59.619999,59.639999,6920300,42.793392
"2010-02-05",59.509998,59.790001,58.950001,59.509998,7347800,42.700104
"2010-02-08",59.599998,59.66,58.75,58.959999,7047700,42.305473
"2010-02-09",59.290001,60.48,59.290001,60.049999,7940200,43.087574
"2010-02-10",59.959999,60.669998,59.509998,60.380001,10917200,43.324364
"2010-02-11",60.869999,61.700001,60.5,61.189999,14391100,43.905556
"2010-02-12",61.060001,61.220001,60.490002,60.919998,8566800,43.711823
"2010-02-16",61.029999,61.450001,60.5,61.310001,6930800,43.991673
"2010-02-17",61.48,62.200001,61.25,62.110001,6703500,44.565689
"2010-02-18",61.970001,62.720001,61.970001,62.529999,6942900,44.867043
"2010-02-19",62.32,62.919998,61.98,62.66,6416500,44.96032
"2010-02-22",62.689999,62.869999,62.099998,62.41,4709500,44.780937
"2010-02-23",62.220001,62.48,61.700001,61.779999,5159400,44.328903
"2010-02-24",61.98,62.16,61.580002,62.080002,6888100,44.54417
"2010-02-25",61.509998,62.34,61.02,62.299999,8074100,44.702011
"2010-02-26",62.5,62.59,61.91,62.470001,14785800,44.823986
"2010-03-01",62.650002,63.580002,62.470001,63.43,9016500,45.512821
"2010-03-02",63.610001,64,63.419998,63.799999,9527200,45.778301
"2010-03-03",63.82,64.269997,63.799999,63.98,8486300,46.233562
"2010-03-04",64.43,64.5,63.959999,64.110001,7830600,46.327507
"2010-03-05",64.300003,64.480003,63.91,64.370003,8448600,46.515392
"2010-03-08",64.269997,64.459999,63.799999,64.150002,5086300,46.356403
"2010-03-09",63.880001,64.650002,63.799999,64.360001,7655400,46.508167
"2010-03-10",64.300003,64.589996,64.010002,64.43,6450000,46.558735
"2010-03-11",64.199997,65,63.900002,64.970001,7536900,46.948952
"2010-03-12",64.919998,65.25,64.68,65.099998,6896400,47.042892
"2010-03-15",65.690002,66.260002,65.400002,66.150002,10468000,47.80167
"2010-03-16",66.25,66.300003,65.830002,66.07,7474500,47.743847
"2010-03-17",66.150002,66.580002,66.019997,66.57,6922300,48.10516
"2010-03-18",66.57,66.730003,66.160004,66.519997,6961900,48.069035
"2010-03-19",66.559998,66.980003,66.260002,66.559998,10947400,48.097939
"2010-03-22",66.43,66.559998,66.150002,66.309998,6763000,47.917282
"2010-03-23",66.389999,67,66.239998,66.860001,6412800,48.31472
"2010-03-24",66.620003,67,66.25,66.260002,7661200,47.881153
"2010-03-25",66.370003,67,66.349998,66.550003,6246600,48.09071
"2010-03-26",66.639999,66.809998,66.339996,66.589996,5313400,48.119606
"2010-03-29",66.610001,66.870003,66.300003,66.550003,6825600,48.09071
"2010-03-30",66.519997,67,66.360001,66.769997,5733800,48.249676
"2010-03-31",66.68,66.709999,66.059998,66.160004,8123900,47.808884
"2010-04-01",66.32,66.68,66.25,66.68,5074100,48.184658
"2010-04-05",66.68,66.68,65.830002,65.980003,6732600,47.678825
"2010-04-06",65.790001,66.629997,65.790001,66.389999,6734700,47.97509
"2010-04-07",66.389999,66.519997,65.75,65.989998,8204200,47.686035
"2010-04-08",65.75,66.190002,65.620003,65.970001,6646300,47.671597
"2010-04-09",65.93,66.43,65.860001,66.360001,4757700,47.953407
"2010-04-12",66.349998,66.669998,66.260002,66.32,5074000,47.924503
"2010-04-13",66.160004,66.5,66.019997,66.389999,5190800,47.97509
"2010-04-14",66.199997,66.300003,65.830002,66.290001,5202300,47.902821
"2010-04-15",65.970001,66.5,65.800003,66.269997,5968500,47.888374
"2010-04-16",66.010002,66.650002,65.959999,66.139999,7374400,47.794441
"2010-04-19",66.080002,66.389999,65.699997,66.120003,6354600,47.779984
"2010-04-20",66.169998,66.400002,65.720001,65.900002,6780900,47.621002
"2010-04-21",65.82,66.309998,65.610001,65.980003,6534300,47.678825
"2010-04-22",65.75,65.790001,64.5,64.760002,9689700,46.797211
"2010-04-23",64.849998,64.849998,64.169998,64.709999,9008900,46.761086
"2010-04-26",64.839996,65.440002,64.610001,65.019997,8096900,46.9851
"2010-04-27",64.93,65.199997,64.07,64.230003,8615300,46.41423
"2010-04-28",64.279999,64.82,63.599998,64.75,10229300,46.789982
"2010-04-29",64.949997,65.5,64.830002,65.199997,7714000,47.115166
"2010-04-30",65.330002,65.980003,65.18,65.220001,8274200,47.129623
"2010-05-03",65.279999,66,64.889999,65.690002,5807900,47.469261
"2010-05-04",65.300003,65.980003,65.050003,65.43,8383100,47.281368
"2010-05-05",65.099998,65.949997,65.019997,65.199997,7658800,47.115166
"2010-05-06",65.160004,66.199997,61.91,64.699997,14046200,46.753857
"2010-05-07",64.459999,65.040001,63.66,64.57,13221500,46.659908
"2010-05-10",65.800003,66.489998,65.660004,66.410004,10833800,47.989536
"2010-05-11",66.160004,67,66.019997,66.550003,7240800,48.09071
"2010-05-12",67.239998,67.610001,66.809998,66.940002,13170400,48.372524
"2010-05-13",67.019997,67.080002,66.459999,66.480003,7800500,48.040119
"2010-05-14",66.410004,66.599998,65.769997,66.07,9731800,47.743847
"2010-05-17",66.110001,66.959999,66.07,66.75,6943800,48.235249
"2010-05-18",66.919998,67.300003,66.400002,66.529999,7237500,48.076248
"2010-05-19",66.300003,66.379997,65.5,66.040001,7867800,47.722145
"2010-05-20",65.230003,65.230003,63.860001,63.860001,11587400,46.146847
"2010-05-21",63.209999,63.639999,62.139999,63.580002,14586400,45.944504
"2010-05-24",63.09,64.010002,62.599998,63.32,6334000,45.756641
"2010-05-25",61.93,62.919998,61.650002,62.889999,9156900,45.445904
"2010-05-26",63.060001,63.060001,61.040001,61.23,15152900,44.246346
"2010-05-27",61.970001,62.93,61.52,62.900002,9428400,45.453121
"2010-05-28",62.919998,63.459999,62.73,62.889999,7546700,45.445904
"2010-06-01",62.66,63.59,61.900002,62.759998,7180000,45.351959
"2010-06-02",62.599998,63.459999,61.830002,63.459999,10023900,46.211227
"2010-06-03",63.5,63.650002,63,63.369999,6448400,46.145695
"2010-06-04",62.459999,62.459999,61.290001,61.439999,10309800,44.740276
"2010-06-07",61.369999,62.560001,61.290001,61.73,7694100,44.951447
"2010-06-08",61.439999,62.799999,61.400002,62.650002,7538300,45.621387
"2010-06-09",62.860001,63.07,62.330002,62.490002,7056300,45.504887
"2010-06-10",63.029999,63.900002,63.029999,63.84,6567800,46.487926
"2010-06-11",63.5,63.560001,62.939999,63.560001,5466100,46.284042
"2010-06-14",63.900002,64.230003,63.240002,63.849998,4941800,46.495228
"2010-06-15",63.880001,64.290001,63.84,64.239998,6249100,46.779213
"2010-06-16",63.790001,64.050003,63.560001,63.91,5960000,46.538921
"2010-06-17",63.959999,64.559998,63.75,64.489998,5179300,46.961266
"2010-06-18",64.610001,64.669998,64.029999,64.080002,8947600,46.662712
"2010-06-21",64.540001,64.790001,63.740002,64.019997,5158800,46.619022
"2010-06-22",64.029999,64.25,63.18,63.299999,5978900,46.094711
"2010-06-23",63.220001,63.220001,62.310001,62.73,6509700,45.679642
"2010-06-24",62.369999,62.990002,62.25,62.400002,6185400,45.43935
"2010-06-25",62.490002,62.490002,60.77,60.77,22934200,44.252384
"2010-06-28",61.119999,62.169998,61,61.959999,8532400,45.118938
"2010-06-29",61.459999,61.77,60.889999,61.23,9054500,44.587357
"2010-06-30",61.279999,61.73,60.5,60.950001,8760700,44.383469
"2010-07-01",61.130001,61.66,60.32,61.52,10852500,44.798531
"2010-07-02",61.540001,62.150002,61.380001,61.529999,5987800,44.805813
"2010-07-06",61.740002,61.889999,60.950001,61.639999,6950100,44.885902
"2010-07-07",61.599998,63.080002,61.27,62.93,7296200,45.825287
"2010-07-08",63.209999,64,62.91,64,6660800,46.604446
"2010-07-09",64.029999,64.110001,63.299999,63.5,5020500,46.240353
"2010-07-12",63.25,63.75,63.049999,63.740002,4205300,46.415131
"2010-07-13",64.25,64.260002,63.349998,63.43,7312300,46.189377
"2010-07-14",63.23,63.700001,63.060001,63.560001,5687500,46.284042
"2010-07-15",63.580002,63.709999,62.990002,63.16,8124100,45.992771
"2010-07-16",63.049999,63.529999,62.240002,62.450001,9510200,45.475754
"2010-07-19",62.389999,62.52,62,62.049999,5969400,45.184475
"2010-07-20",61.77,64.870003,61.709999,64.730003,11243100,47.136047
"2010-07-21",64.779999,64.980003,63.669998,63.950001,8690200,46.568047
"2010-07-22",64.459999,64.860001,64,64.209999,7032800,46.757374
"2010-07-23",64.050003,64.75,64.050003,64.449997,5187700,46.932144
"2010-07-26",64.360001,65.029999,64.190002,64.980003,4029100,47.318089
"2010-07-27",65.300003,65.790001,64.709999,65.690002,6032200,47.83511
"2010-07-28",65.510002,65.690002,65,65.199997,4321400,47.478291
"2010-07-29",65.330002,65.589996,64.709999,64.889999,5579600,47.252544
"2010-07-30",64.449997,65.18,64.309998,64.910004,5337400,47.267105
"2010-08-02",65.470001,65.470001,64.879997,65.269997,6479700,47.529251
"2010-08-03",65.110001,65.919998,65,65.769997,5577200,47.893349
"2010-08-04",65.720001,66.349998,65.370003,66.169998,6663800,48.184639
"2010-08-05",65.68,65.870003,65.059998,65.580002,5143100,47.755009
"2010-08-06",65.129997,65.970001,65.129997,65.900002,5500700,47.988026
"2010-08-09",66,66.599998,65.93,66.419998,5492700,48.366684
"2010-08-10",66.050003,66.830002,66,66.529999,7411000,48.446777
"2010-08-11",65.980003,66.07,65.449997,65.449997,5544600,47.660339
"2010-08-12",64.910004,65.349998,64.779999,65.18,4924700,47.463722
"2010-08-13",65.07,65.709999,64.860001,65.559998,4516700,47.740437
"2010-08-16",65.300003,65.5,64.800003,65.43,3564500,47.645771
"2010-08-17",65.68,66,65.220001,65.550003,4357200,47.733162
"2010-08-18",65.660004,65.839996,65.25,65.519997,3857900,47.711319
"2010-08-19",65.5,65.519997,64.260002,64.660004,4549600,47.085068
"2010-08-20",64.300003,65.279999,64.300003,64.800003,5655000,47.187016
"2010-08-23",65.139999,65.400002,64.779999,64.82,3263900,47.20158
"2010-08-24",64.5,65.239998,64.209999,64.779999,5442800,47.172462
"2010-08-25",64.370003,64.849998,64.199997,64.57,5322700,47.01952
"2010-08-26",64.82,64.82,63.849998,64.129997,4604900,46.69912
