"dates","UA.Open","UA.High","UA.Low","UA.Close","UA.Volume","UA.Adjusted"
"2016-03-23",41.406097,41.406097,41.207508,41.207508,201,41.207508
"2016-03-24",40.581947,40.581947,40.581947,40.581947,100,40.581947
"2016-03-28",40.581947,40.581947,40.581947,40.581947,0,40.581947
"2016-03-29",40.581947,40.581947,40.581947,40.581947,0,40.581947
"2016-03-30",41.187649,41.703983,41.177719,41.703983,3751,41.703983
"2016-03-31",41.703983,41.703983,41.425957,41.425957,604,41.425957
"2016-04-01",40.8004,40.8004,40.8004,40.8004,100,40.8004
"2016-04-04",40.482655,41.862858,40.462795,40.462795,956,40.462795
"2016-04-05",40.214558,41.733772,40.214558,40.8004,1712,40.8004
"2016-04-06",41.058567,41.703983,40.770611,41.505394,721,41.505394
"2016-04-07",41.79335,41.833069,41.267086,41.267086,5958,41.267086
"2016-04-08",41.316734,44.037422,41.030167,43.709747,3627837,43.709747
"2016-04-11",43.332424,43.372143,40.681244,41.167789,4123776,41.167789
"2016-04-12",40.95927,41.366383,39.946461,41.356449,3638832,41.356449
"2016-04-13",41.038708,42.379192,41.038708,41.505394,4456798,41.505394
"2016-04-14",41.694054,42.557922,41.61462,41.932365,2543924,41.932365
"2016-04-15",41.525253,41.753632,40.899792,41.703983,2360721,41.703983
"2016-04-18",41.098286,42.240177,41.098286,42.121025,2559765,42.121025
"2016-04-19",42.250107,43.054398,41.952225,42.696938,1656225,42.696938
"2016-04-20",42.557922,43.26292,42.4487,42.45863,2283437,42.45863
"2016-04-21",46.023327,46.202057,43.679958,45.407696,3294175,45.407696
"2016-04-22",45.159458,45.854523,43.779255,44.742416,2415549,44.742416
"2016-04-25",44.573616,44.583546,43.799114,43.948055,2122494,43.948055
"2016-04-26",43.898411,44.573616,43.540947,43.64024,2196556,43.64024
"2016-04-27",43.878551,43.898411,41.455746,41.862858,1289967,41.862858
"2016-04-28",41.81321,42.786301,41.545113,41.594761,1456095,41.594761
"2016-04-29",41.416031,41.594761,40.184769,40.512444,1978337,40.512444
"2016-05-02",40.284061,40.532303,39.598927,39.986179,1464117,39.986179
"2016-05-03",39.142166,40.184769,39.142166,39.837234,1550133,39.837234
"2016-05-04",38.576187,38.625832,36.778942,37.126476,4548211,37.126476
"2016-05-05",37.136406,37.900978,36.81876,37.225773,1129592,37.225773
"2016-05-06",36.739223,37.086758,36.01437,36.123592,1356498,36.123592
"2016-05-09",36.054089,36.461197,35.711323,36.054089,1717732,36.054089
"2016-05-10",36.332115,37.01725,36.143452,36.292397,1291895,36.292397
"2016-05-11",35.746273,35.864334,34.559696,34.981701,1955208,34.981701
"2016-05-12",35.319302,35.408669,34.564659,34.941982,1646057,34.941982
"2016-05-13",34.723534,34.981701,34.236984,34.465363,1921686,34.465363
"2016-05-16",34.336281,34.658989,34.207195,34.296562,1707830,34.296562
"2016-05-17",34.207195,34.495152,33.854698,34.227055,1908909,34.227055
"2016-05-18",34.088043,34.157551,33.462482,33.978817,987918,33.978817
"2016-05-19",33.54192,34.753319,33.54192,34.604378,1064906,34.604378
"2016-05-20",34.644096,35.398739,34.485222,35.329231,1060326,35.329231
"2016-05-23",35.279587,35.746273,34.505081,34.584518,688688,34.584518
"2016-05-24",34.763248,35.835636,34.743389,35.329231,1151210,35.329231
"2016-05-25",35.656906,35.746273,35.100853,35.229939,1332346,35.229939
"2016-05-26",35.259727,35.259727,34.663956,34.673885,881217,34.673885
"2016-05-27",34.723534,34.961842,34.594448,34.812897,1113360,34.812897
"2016-05-31",34.991631,35.150501,34.405788,34.723534,6356162,34.723534
"2016-06-01",33.154667,33.517094,32.395954,33.482342,3102853,33.482342
"2016-06-02",33.432693,34.078114,33.422764,33.978817,2805181,33.978817
"2016-06-03",33.54192,34.078114,33.54192,33.919243,974731,33.919243
"2016-06-06",33.929169,34.326351,33.879524,34.157551,1970351,34.157551
"2016-06-07",34.554729,35.031345,33.968887,34.951912,1451375,34.951912
"2016-06-08",35.418598,36.292397,35.031445,36.18317,1296498,36.18317
"2016-06-09",35.974651,36.059052,35.587399,35.885284,1233659,35.885284
"2016-06-10",35.498035,36.153381,35.448387,35.537754,621265,35.537754
"2016-06-13",35.619999,35.740002,34.619999,34.68,1254294,34.68
"2016-06-14",34.66,34.75,34,34.400002,1086008,34.400002
"2016-06-15",34.450001,35.470001,34.450001,34.77,1062818,34.77
"2016-06-16",34.220001,34.27,33.16,33.48,1215871,33.48
"2016-06-17",33.720001,34.25,33.599998,34.139999,1302234,34.139999
"2016-06-20",34.709999,35.169998,34.650002,34.77,845879,34.77
"2016-06-21",34.91,35.48,34.75,34.919998,585531,34.919998
"2016-06-22",34.950001,35.009899,34.259998,34.32,635385,34.32
"2016-06-23",34.549999,34.775002,34.400002,34.669998,1260783,34.669998
"2016-06-24",32.849998,33.9132,32.849998,33.5,1992297,33.5
"2016-06-27",32.959999,33.075001,31.309999,31.9,1417621,31.9
"2016-06-28",32.25,33.970001,32.115002,33.900002,1570613,33.900002
"2016-06-29",34.595001,36.110001,34.580002,35.91,1750614,35.91
"2016-06-30",35.91,36.419998,35.2201,36.400002,853283,36.400002
"2016-07-01",36.264999,36.9799,36.261101,36.84,922536,36.84
"2016-07-05",36.5,36.619999,35.119999,35.509998,613245,35.509998
"2016-07-06",35.345001,36.27,35.259998,36.259998,558256,36.259998
"2016-07-07",36.200001,36.880001,36.139999,36.880001,592469,36.880001
"2016-07-08",36.82,37.099998,36.373001,36.779999,700295,36.779999
"2016-07-11",36.869999,36.955002,36.389999,36.57,547215,36.57
"2016-07-12",36.619999,38.07,36.619999,37.869999,1145476,37.869999
"2016-07-13",37.610001,38,36.932999,37.220001,956793,37.220001
"2016-07-14",37.380001,37.66,36.860001,37.02,862302,37.02
"2016-07-15",37.130001,37.395,36.98,37.23,872239,37.23
"2016-07-18",37.220001,37.5,37.145,37.200001,472422,37.200001
"2016-07-19",36.91,37.318401,36.810001,36.950001,752065,36.950001
"2016-07-20",37.169998,37.27,36.700001,36.790001,1092535,36.790001
"2016-07-21",36.540001,37.439999,36.540001,37.27,621696,37.27
"2016-07-22",37.02,37.669998,36.799999,37.48,564229,37.48
"2016-07-25",37.400002,38.779999,36.919998,38.779999,1865516,38.779999
"2016-07-26",38.43,39.419998,36.509998,37.5,3664292,37.5
"2016-07-27",37.5,37.52,35.43,35.93,1135565,35.93
"2016-07-28",35.73,36.049999,35.180099,35.75,577543,35.75
"2016-07-29",35.389999,35.889999,35.139999,35.700001,1040839,35.700001
"2016-08-01",35.66,36.130001,35.360001,35.5,614412,35.5
"2016-08-02",35.360001,35.41,34.139999,34.389999,882696,34.389999
"2016-08-03",33.700001,35.450001,33.66,35.27,795669,35.27
"2016-08-04",35.099998,35.639999,34.98,35.139999,629520,35.139999
"2016-08-05",35.299999,36.395,35.299999,36.169998,646783,36.169998
"2016-08-08",36.220001,36.873001,35.689999,35.93,514122,35.93
"2016-08-09",35.75,36.259998,35.470001,35.57,568616,35.57
"2016-08-10",35.889999,36.389999,35.380001,35.43,491077,35.43
"2016-08-11",35.709999,37.380001,35.709999,37.02,925013,37.02
"2016-08-12",36.950001,37.5,36.730999,37.099998,900174,37.099998
"2016-08-15",37.200001,38.470001,37.139999,38.040001,681308,38.040001
"2016-08-16",38.330002,38.779999,38.150002,38.650002,1134121,38.650002
"2016-08-17",38.5,38.610001,37.720001,37.919998,688512,37.919998
"2016-08-18",37.75,38.25,37.73,37.950001,468424,37.950001
"2016-08-19",38.119999,39.080002,37.970001,38.759998,736540,38.759998
"2016-08-22",38.689999,42.943501,38.369999,38.799999,745420,38.799999
"2016-08-23",38.799999,39.450001,38.759998,39.279999,793594,39.279999
"2016-08-24",39.150002,39.5,38.66,38.880001,790866,38.880001
"2016-08-25",38.900002,39.139999,38.029999,38.259998,652949,38.259998
"2016-08-26",38.41,38.529999,37.759998,38,585499,38
"2016-08-29",38.02,38.4613,37.700001,37.900002,520620,37.900002
"2016-08-30",37.740002,37.82,37.139999,37.360001,633191,37.360001
"2016-08-31",36.849998,36.950001,35.560001,35.650002,1211708,35.650002
"2016-09-01",35.540001,35.810001,35.23,35.700001,640605,35.700001
"2016-09-02",35.75,35.75,34.509998,34.580002,904905,34.580002
"2016-09-06",34.689999,35.09,34.43,34.759998,751348,34.759998
"2016-09-07",34.860001,35.709999,34.647598,35.580002,1029920,35.580002
"2016-09-08",35.23,35.7799,34.890301,35.049999,480753,35.049999
"2016-09-09",34.689999,34.990002,34.005001,34.009998,731750,34.009998
"2016-09-12",33.860001,34.860001,33.761299,34.799999,1058864,34.799999
"2016-09-13",34.34,34.630001,33.540001,33.889999,663327,33.889999
"2016-09-14",33.790001,34.369999,33.560001,33.790001,557953,33.790001
"2016-09-15",33.560001,33.970001,33.360001,33.860001,817903,33.860001
"2016-09-16",33.84,34.376999,33.529999,34.209999,1048059,34.209999
"2016-09-19",34.299999,34.419998,33.75,33.830002,834715,33.830002
"2016-09-20",33.900002,34.029999,33.400002,33.459999,755835,33.459999
"2016-09-21",33.610001,34.439999,33.400002,34.299999,560546,34.299999
"2016-09-22",34.490002,34.759998,34.330002,34.700001,500236,34.700001
"2016-09-23",34.759998,34.935001,34.259201,34.279999,454105,34.279999
"2016-09-26",34,34.049198,33.450001,33.580002,462474,33.580002
"2016-09-27",33.450001,34.009998,33.16,33.970001,832673,33.970001
"2016-09-28",34.049999,34.630001,33.860001,34.369999,977311,34.369999
"2016-09-29",34.23,34.68,33.669998,33.68,457026,33.68
"2016-09-30",33.990002,34.16,33.641399,33.860001,814210,33.860001
"2016-10-03",33.630001,34.139999,33.48,34.049999,814176,34.049999
"2016-10-04",33.91,34.290001,33.490002,33.700001,957626,33.700001
"2016-10-05",33.709999,33.990002,33.34,33.380001,1140184,33.380001
"2016-10-06",33.240002,33.259998,32.627998,32.900002,587518,32.900002
"2016-10-07",33.009998,33.09,32.669998,32.849998,485301,32.849998
"2016-10-10",33.400002,33.488998,33.169998,33.27,626684,33.27
"2016-10-11",33.310001,33.849998,33.040001,33.209999,615770,33.209999
"2016-10-12",33.169998,33.990002,33.099998,33.759998,720596,33.759998
"2016-10-13",33.23,33.459999,32.779999,33.389999,588463,33.389999
"2016-10-14",33.990002,34.200001,33.509998,33.619999,543863,33.619999
"2016-10-17",33.5,33.619999,32.689999,32.759998,387916,32.759998
"2016-10-18",33.169998,33.450001,32.990002,33.310001,516782,33.310001
"2016-10-19",33.34,34.16,33.34,34.02,598530,34.02
"2016-10-20",33.830002,33.880001,33.290001,33.419998,925543,33.419998
"2016-10-21",33.150002,33.23,32.779999,32.959999,870825,32.959999
"2016-10-24",33.119999,33.400002,32.745201,32.900002,726299,32.900002
"2016-10-25",28.09,28.74,27.579901,28.370001,6816045,28.370001
"2016-10-26",28.280001,28.370001,27.42,27.459999,6654762,27.459999
"2016-10-27",27.639999,27.690001,25.959999,26.49,3365416,26.49
"2016-10-28",26.639999,26.719999,25.91,25.91,2192129,25.91
"2016-10-31",25.889999,26.139999,25.530001,25.860001,1483557,25.860001
"2016-11-01",26.01,26.0984,25.02,25.51,1917801,25.51
"2016-11-02",25.360001,26.09,25.180099,25.35,1637801,25.35
"2016-11-03",25.309999,25.700001,24.93,25.299999,1557421,25.299999
"2016-11-04",25.219999,25.65,25.219999,25.610001,1293341,25.610001
"2016-11-07",25.98,26.15,25.82,25.940001,1151279,25.940001
"2016-11-08",25.98,26.120001,25.690001,26.09,764567,26.09
"2016-11-09",25.110001,26.15,24.629999,25.9,1353072,25.9
"2016-11-10",26.08,26.73,25.610001,25.610001,860885,25.610001
"2016-11-11",25.639999,26.129999,25.450001,25.610001,938829,25.610001
"2016-11-14",25.73,25.85,24.83,24.879999,1067024,24.879999
"2016-11-15",25.01,25.57,24.799999,25.360001,1148414,25.360001
"2016-11-16",25.280001,25.42,24.98,25.32,1324180,25.32
"2016-11-17",25.48,25.49,24.83,25.27,803381,25.27
"2016-11-18",25.23,25.23,23.565001,23.75,1805063,23.75
"2016-11-21",23.84,24.179001,23.799999,23.799999,1138437,23.799999
"2016-11-22",23.93,24.09,23.51,24.01,1845647,24.01
"2016-11-23",24.190001,24.23,23.721201,23.93,1308133,23.93
"2016-11-25",24.1,24.24,23.809999,24.139999,479124,24.139999
"2016-11-28",25.040001,26.629999,24.76,26.290001,7457436,26.290001
"2016-11-29",26.77,26.940001,25.639999,25.860001,3222311,25.860001
"2016-11-30",25.82,26.219999,25.66,25.780001,2199829,25.780001
