"dates","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2010-01-04",22,22.192499,21.865,22.035,20180000,20.339539
"2010-01-05",21.825001,21.8825,21.5,21.782499,25833600,20.106466
"2010-01-06",21.752501,21.77,21.475,21.49,16254000,19.836475
"2010-01-07",21.4925,21.75,21.387501,21.690001,27841200,20.021082
"2010-01-08",21.705,21.8475,21.557501,21.75,11907200,20.07646
"2010-01-11",21.877501,21.985001,21.5425,21.6875,12912000,20.018778
"2010-01-12",21.645,21.762501,21.4625,21.584999,12842000,19.92416
"2010-01-13",21.615,21.799999,21.487499,21.785,13428800,20.108774
"2010-01-14",21.7425,21.8825,21.625,21.860001,18379600,20.178003
"2010-01-15",21.870001,21.885,21.48,21.535,21295200,19.878014
"2010-01-19",21.5425,22.102501,21.424999,21.9625,15239600,20.272625
"2010-01-20",21.92,21.934999,21.577499,21.855,12771200,20.173388
"2010-01-21",21.862499,21.975,21.030001,21.112499,28140800,19.488026
"2010-01-22",21.0075,21.0975,20.41,20.682501,29776400,19.091103
"2010-01-25",20.85,20.952499,20.352501,20.5075,16147200,18.929573
"2010-01-26",20.3375,20.635,20.247499,20.2875,12437600,18.726498
"2010-01-27",20.219999,21.032499,20.1525,20.977501,19335200,19.363403
"2010-01-28",21.09,21.120001,20.352501,20.6625,13070800,19.072639
"2010-01-29",20.65,21.245001,20.467501,20.5075,20281600,18.929573
"2010-02-01",20.5725,21.1875,20.549999,20.915001,16098000,19.305719
"2010-02-02",21.065001,21.1175,20.875,21.002501,14441600,19.386488
"2010-02-03",21.059999,21.122499,20.525,20.879999,32197600,19.273407
"2010-02-04",21.3125,21.545,20.700001,20.762501,66486800,19.164948
"2010-02-05",20.83,20.965,20.135,20.639999,38687200,19.051878
"2010-02-08",20.725,21.094999,20.639999,20.762501,23966800,19.164948
"2010-02-09",20.922501,21.032499,20.674999,20.817499,17968000,19.215719
"2010-02-10",20.872499,20.977501,20.7225,20.91,14572800,19.330116
"2010-02-11",20.9475,21.3025,20.8125,21.285,18044800,19.676788
"2010-02-12",21.125,21.235001,20.9125,21.195,22114800,19.593588
"2010-02-16",21.307501,21.485001,21.299999,21.469999,16065600,19.847809
"2010-02-17",21.502501,21.635,21.440001,21.605,14976800,19.972605
"2010-02-18",21.5,21.862499,21.5,21.74,15289200,20.097404
"2010-02-19",21.5,21.745001,21.372499,21.702499,13672000,20.06274
"2010-02-22",21.762501,21.940001,21.702499,21.727501,11572800,20.085852
"2010-02-23",21.754999,21.897499,21.514999,21.530001,19129200,19.903271
"2010-02-24",21.555,21.6525,21.1875,21.407499,16210000,19.79003
"2010-02-25",21.1875,21.360001,20.934999,21.307501,14140800,19.697584
"2010-02-26",21.395,21.43,21.254999,21.32,12476400,19.709135
"2010-03-01",21.375,21.735001,21.32,21.705,13495200,20.065054
"2010-03-02",21.705,21.745001,21.5625,21.612499,12901200,19.979538
"2010-03-03",21.65,21.8025,21.559999,21.700001,13658000,20.060434
"2010-03-04",21.75,21.862499,21.532499,21.76,14576800,20.115889
