"dates","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2010-03-26",25.480896,25.928854,25.401846,25.559946,2746366,16.209723
"2010-03-29",25.428196,25.6917,25.375494,25.639,2680560,16.332258
"2010-03-30",25.428196,25.744402,25.375494,25.533598,2370661,16.265114
"2010-03-31",25.559946,25.770752,25.296444,25.6917,4413775,16.365826
"2010-04-01",25.849802,26.35046,25.770752,26.324112,3869837,16.768675
"2010-04-05",26.35046,27.40448,26.086958,27.35178,6606184,17.423313
"2010-04-06",27.325428,27.325428,26.824768,27.061924,4457228,17.23867
"2010-04-07",26.85112,27.114626,26.35046,26.77207,4759917,17.054028
"2010-04-08",26.613966,27.483532,26.192358,27.457182,5687529,17.49045
"2010-04-09",27.457182,27.667984,27.246378,27.50988,5549998,17.524021
"2010-04-12",27.694336,27.799736,27.43083,27.641634,2994824,17.60795
"2010-04-13",27.378128,27.667984,27.35178,27.536232,7144543,17.54081
"2010-04-14",27.43083,27.98419,27.35178,27.799736,4770391,17.708664
"2010-04-15",27.799736,27.799736,27.40448,27.641634,4907580,17.60795
"2010-04-16",27.483532,27.773386,27.061924,27.193676,5957277,17.322598
"2010-04-19",27.088274,28.379448,26.824768,28.221344,9450764,17.977228
"2010-04-20",28.300394,29.16996,27.826088,28.300394,7390535,18.027582
"2010-04-21",28.458498,28.695652,27.799736,27.93149,5176608,17.792589
"2010-04-22",27.641634,27.852436,26.903822,27.536232,5323095,17.54081
"2010-04-23",29.77602,30.88274,28.405796,29.828722,30089037,19.001144
"2010-04-26",29.301714,30.27668,29.249012,29.907772,10595754,19.0515
"2010-04-27",29.802372,29.802372,28.405796,28.484848,9471030,18.145084
"2010-04-28",28.669302,29.565216,28.326746,29.249012,9007167,18.631865
"2010-04-29",29.617918,29.69697,28.959158,29.565216,7044241,18.833286
"2010-04-30",29.565216,29.64427,28.5639,28.722004,7185415,18.296154
"2010-05-03",28.959158,29.354414,28.484848,29.11726,5496944,18.547935
"2010-05-04",28.326746,28.379448,27.457182,27.93149,7485903,17.792589
"2010-05-05",27.667984,28.221344,26.956522,27.457182,8345850,17.49045
"2010-05-06",27.299078,27.50988,24.00527,26.455864,11159311,16.852606
"2010-05-07",26.455864,26.85112,24.901186,25.639,10297543,16.332258
"2010-05-10",27.272726,27.799736,26.561266,26.719368,9936335,17.020458
"2010-05-11",26.693016,27.299078,26.192358,26.613966,6762994,16.953316
"2010-05-12",26.719368,27.193676,26.640316,26.85112,5165906,17.104385
"2010-05-13",26.85112,27.852436,26.693016,27.140976,7576831,17.289028
"2010-05-14",26.903822,27.272726,26.086958,26.403162,5538347,16.819029
"2010-05-17",26.35046,26.85112,25.744402,26.613966,6110823,16.953316
"2010-05-18",26.79842,27.114626,26.21871,26.376812,6762045,16.802246
"2010-05-19",26.113308,26.324112,25.191042,25.270092,7948476,16.097256
"2010-05-20",24.690382,24.690382,23.610012,24.031622,13223981,15.308343
"2010-05-21",23.662714,24.63768,23.214756,24.295124,6553851,15.476192
"2010-05-24",23.530962,24.347826,23.241108,23.583664,7526775,15.022986
"2010-05-25",22.951252,24.05797,22.29249,23.952568,11159994,15.257977
"2010-05-26",24.163374,24.321476,23.530962,23.689066,7805594,15.09013
"2010-05-27",24.321476,24.980236,23.873518,24.927536,7430155,15.879045
"2010-05-28",25.006588,25.032938,24.321476,24.532278,7189590,15.62726
"2010-06-01",24.901186,25.6917,23.530962,23.583664,9645638,15.022986
"2010-06-02",23.741764,24.295124,23.399208,24.295124,7096574,15.476192
"2010-06-03",24.295124,24.743082,24.216074,24.426876,5078052,15.560121
"2010-06-04",23.794466,23.97892,23.320158,23.399208,6511309,14.905485
"2010-06-07",23.42556,23.610012,22.661398,22.714096,7644079,14.469071
"2010-06-08",22.79315,22.84585,21.897232,22.555996,9302721,14.368353
"2010-06-09",22.661398,23.188406,22.160738,22.371542,11002312,14.250859
"2010-06-10",22.687746,23.873518,22.687746,23.768116,12306350,15.140488
"2010-06-11",23.557312,24.031622,23.293808,23.768116,6048509,15.140488
"2010-06-14",24.00527,24.664032,23.873518,24.110672,4474495,15.3587
"2010-06-15",24.216074,24.953888,24.137022,24.927536,5375997,15.879045
"2010-06-16",24.743082,25.05929,24.63768,24.874834,3317134,15.845478
"2010-06-17",25.08564,25.243742,24.611332,24.927536,4362353,15.879045
"2010-06-18",24.901186,25.270092,24.690382,24.848486,5021392,15.828691
"2010-06-21",25.322792,25.71805,24.347826,24.63768,4685838,15.694409
"2010-06-22",24.664032,24.874834,24.00527,24.05797,4792212,15.325121
"2010-06-23",24.08432,24.347826,23.583664,23.768116,5002000,15.140488
"2010-06-24",23.715414,23.715414,22.9249,23.109354,3956743,14.720849
"2010-06-25",23.214756,23.293808,22.661398,23.030302,5944640,14.670492
"2010-06-28",22.951252,23.214756,22.714096,22.951252,3309126,14.692419
"2010-06-29",22.661398,22.661398,21.765482,21.976286,5625404,14.068291
"2010-06-30",21.870884,21.923584,20.895916,21.185772,13422004,13.562235
"2010-07-01",21.238472,21.475626,20.210804,21.001318,13671032,13.444157
"2010-07-02",20.974966,21.238472,20.737814,21.054018,6534117,13.477891
"2010-07-06",21.317522,21.607378,20.63241,20.843216,6559316,13.342945
"2010-07-07",20.843216,21.449274,20.790514,21.396574,7328107,13.697186
"2010-07-08",21.63373,21.660078,21.264822,21.528328,7392850,13.781525
"2010-07-09",21.581028,21.818182,21.370224,21.660078,6459849,13.865869
"2010-07-12",21.71278,22.26614,21.660078,22.134386,6146382,14.169495
"2010-07-13",22.397892,22.977602,22.397892,22.740448,5511744,14.557474
"2010-07-14",22.687746,22.951252,22.318842,22.687746,5481574,14.523738
"2010-07-15",22.661398,22.84585,22.108038,22.687746,4580451,14.523738
"2010-07-16",22.608696,22.661398,21.68643,21.870884,5170612,14.000813
"2010-07-19",21.949934,22.34519,21.73913,22.239788,4187555,14.236971
"2010-07-20",21.79183,22.397892,21.291174,22.318842,7335052,14.287578
"2010-07-21",22.476942,22.819498,21.870884,22.160738,7349701,14.186368
"2010-07-22",23.241108,24.611332,23.241108,23.794466,12470028,15.23221
"2010-07-23",23.636364,24.400526,23.34651,24.374178,7776372,15.603316
"2010-07-26",24.58498,25.111988,24.110672,25.111988,8523798,16.075632
"2010-07-27",25.270092,25.586298,24.953888,25.21739,9613911,16.14311
"2010-07-28",25.21739,25.296444,24.664032,25.08564,5720431,16.058767
"2010-07-29",25.16469,25.559946,25.16469,25.375494,8456436,16.244318
"2010-07-30",25.05929,25.981556,24.953888,25.665348,7476188,16.429873
"2010-08-02",25.665348,26.324112,25.428196,25.876154,7038207,16.564821
"2010-08-03",25.823452,25.955204,25.08564,25.428196,5972723,16.278055
"2010-08-04",25.586298,25.744402,25.21739,25.665348,4743750,16.429873
"2010-08-05",25.533598,25.533598,25.032938,25.401846,3587224,16.261189
"2010-08-06",25.05929,25.349144,24.611332,25.270092,3333566,16.176844
"2010-08-09",25.375494,25.849802,25.375494,25.6917,3500091,16.446739
"2010-08-10",25.454544,25.612648,24.716734,25.349144,5586468,16.227453
"2010-08-11",24.848486,24.980236,24.163374,24.426876,6605805,15.637054
"2010-08-12",24.163374,24.163374,23.557312,23.97892,4964733,15.350294
"2010-08-13",23.847166,24.295124,23.662714,23.741764,3378537,15.198478
"2010-08-16",23.583664,23.847166,23.399208,23.768116,2466788,15.215347
"2010-08-17",23.847166,24.611332,23.820818,24.347826,3699708,15.586452
"2010-08-18",24.400526,24.58498,24.137022,24.400526,3971733,15.620184
"2010-08-19",24.242424,24.400526,23.320158,23.847166,2343299,15.265946
"2010-08-20",23.478262,23.899868,23.320158,23.636364,3720087,15.131002
"2010-08-23",23.794466,23.794466,23.188406,23.188406,3606920,14.844238
"2010-08-24",22.84585,22.84585,22.055336,22.29249,7847225,14.270706
"2010-08-25",22.134386,22.766798,21.923584,22.635046,4272335,14.489997
"2010-08-26",22.79315,23.109354,22.21344,22.318842,4993385,14.287578
"2010-08-27",22.450594,22.819498,21.923584,22.766798,5545102,14.574337
"2010-08-30",22.661398,22.977602,22.26614,22.29249,3038657,14.270706
"2010-08-31",22.21344,22.476942,21.923584,22.26614,5081619,14.253847
"2010-09-01",22.661398,23.372858,22.635046,23.241108,4247933,14.877978
"2010-09-02",23.267456,23.610012,22.740448,23.530962,3035583,15.063533
"2010-09-03",23.847166,24.242424,23.610012,23.952568,4036210,15.333418
"2010-09-07",23.847166,23.92622,23.399208,23.45191,2043911,15.012926
"2010-09-08",23.636364,23.715414,23.45191,23.583664,3111027,15.097263
"2010-09-09",23.899868,24.268776,23.741764,24.08432,3949419,15.417765
"2010-09-10",24.163374,24.50593,23.952568,24.00527,3784488,15.367158
"2010-09-13",25.823452,26.324112,25.243742,25.849802,10204793,16.547953
"2010-09-14",25.876154,26.060606,25.296444,25.296444,6116060,16.193716
"2010-09-15",25.428196,25.955204,25.270092,25.6917,4755135,16.446739
"2010-09-16",25.744402,26.956522,25.639,26.482212,10519285,16.952797
"2010-09-17",26.745718,26.824768,26.245058,26.613966,6946899,17.037138
"2010-09-20",26.93017,27.457182,26.534914,27.299078,5548556,17.475721
"2010-09-21",27.40448,27.457182,26.745718,27.061924,5322032,17.3239
"2010-09-22",27.061924,27.167324,26.693016,26.87747,3398726,17.205818
"2010-09-23",26.666668,27.457182,26.534914,26.77207,4087822,17.138344
"2010-09-24",27.325428,28.01054,27.272726,27.720684,4847391,17.745611
"2010-09-27",27.667984,27.826088,27.378128,27.667984,4846860,17.711876
"2010-09-28",27.667984,27.93149,27.009224,27.799736,4300342,17.869398
"2010-09-29",27.799736,28.036892,26.956522,27.114626,5677396,17.429018
"2010-09-30",27.40448,27.852436,26.93017,27.272726,4428689,17.530636
"2010-10-01",27.43083,27.720684,27.140976,27.667984,3724944,17.784708
"2010-10-04",27.536232,28.036892,27.193676,27.50988,3524986,17.683081
"2010-10-05",27.747036,28.405796,27.720684,28.247694,5241312,18.157339
"2010-10-06",28.194992,28.484848,27.93149,28.300394,3660278,18.191212
"2010-10-07",28.432148,28.537548,27.957838,28.300394,4594796,18.191212
"2010-10-08",28.353096,29.14361,28.247694,28.853756,5001468,18.546913
"2010-10-11",28.932806,29.538868,28.906456,29.090908,5312127,18.699352
"2010-10-12",28.985506,29.459816,28.748352,29.407116,4057614,18.902601
"2010-10-13",29.64427,29.72332,29.16996,29.196312,4558934,18.767103
"2010-10-14",29.14361,29.301714,28.722004,29.06456,4730392,18.682413
"2010-10-15",29.196312,29.433464,28.853756,29.14361,4303113,18.733223
"2010-10-18",29.11726,29.670618,29.011858,29.565216,4326034,19.00423
"2010-10-19",29.196312,29.354414,28.484848,28.827404,4913083,18.529972
"2010-10-20",28.932806,29.77602,28.827404,29.22266,7522563,18.784033
