"dates","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"2010-01-04",33.476669,34.137604,33.37315,34.113712,2110623,33.076084
"2010-01-05",34.065933,34.177418,33.811115,34.137604,2699593,33.099243
"2010-01-06",34.026119,34.503902,33.890747,34.002232,3825795,32.967991
"2010-01-07",33.97834,34.272972,33.675743,33.970379,3150174,32.937103
"2010-01-08",34.145565,34.989647,33.882786,34.894093,4004118,33.832726
"2010-01-11",34.91798,34.973721,33.81908,33.835007,3842246,32.805855
"2010-01-12",33.659817,33.731487,32.990921,33.444817,3498156,32.427532
"2010-01-13",33.962414,34.193344,33.540375,33.835007,4071680,32.805855
"2010-01-14",33.755375,34.384457,33.627968,34.296864,2271114,33.253662
"2010-01-15",34.328716,34.647236,33.803154,34.416309,3740651,33.369473
"2010-01-19",34.288898,35.037426,34.185379,34.973721,2524786,33.909927
"2010-01-20",34.416309,34.456123,33.317406,34.169453,2928651,33.130131
"2010-01-21",34.169453,35.045387,33.755375,34.089825,3285926,33.052921
"2010-01-22",33.954453,34.065933,32.967033,32.967033,4394798,31.964275
"2010-01-25",33.205925,33.205925,32.608696,32.767956,3296475,31.771261
"2010-01-26",33.874821,34.233158,33.189999,33.508518,7996181,32.489296
"2010-01-27",33.436852,33.64389,32.87944,33.42889,5347448,32.41209
"2010-01-28",32.234432,35.0215,32.234432,34.010193,8863813,32.975716
"2010-01-29",33.707596,33.747414,32.664436,33.086479,7874871,32.080101
"2010-02-01",33.229813,33.723522,33.158146,33.691669,5646077,32.666878
"2010-02-02",33.452778,33.842968,33.166107,33.723522,3293084,32.697762
"2010-02-03",33.325371,33.97834,33.229813,33.811115,4769026,32.782684
"2010-02-04",33.460743,33.548336,32.943146,32.951107,4382240,31.948839
"2010-02-05",32.919254,33.277592,32.385731,33.277592,5166487,32.265388
"2010-02-08",33.325371,33.9226,32.919254,33.53241,4136605,32.512463
"2010-02-09",33.787228,34.567608,33.58815,34.392418,5564575,33.346306
"2010-02-10",34.336678,34.591496,34.010193,34.161491,5705602,33.122406
"2010-02-11",34.089825,34.36853,33.811115,34.296864,4415016,33.253662
"2010-02-12",33.771301,34.519829,33.715561,34.36853,3573630,33.323147
"2010-02-16",34.52779,34.734829,34.280937,34.734829,2370950,33.678307
"2010-02-17",34.424271,35.013538,34.376492,34.949833,4459346,33.886772
"2010-02-18",34.933907,36.064659,34.886127,35.96114,6721670,34.867317
"2010-02-19",35.969105,36.303551,35.531136,35.626694,8353330,34.543045
"2010-02-22",35.594841,35.738174,35.029465,35.125019,4522638,34.056629
"2010-02-23",35.148911,35.324097,34.75872,34.965759,5163724,33.902214
"2010-02-24",35.148911,35.403728,34.679089,34.838348,6120141,33.778679
"2010-02-25",34.400383,34.400383,32.64851,34.097786,8371665,33.060642
"2010-02-26",34.097786,34.336678,33.9226,34.249084,6079453,33.20734
"2010-03-01",34.328716,34.949833,34.257046,34.838348,4077959,33.778679
"2010-03-02",34.838348,35.013538,34.400383,34.495937,4124675,33.446682
"2010-03-03",34.639275,35.196686,34.52779,34.925945,4578396,33.863609
"2010-03-04",34.925945,35.085205,34.702976,35.029465,3375842,33.963985
"2010-03-05",35.069279,35.833733,35.069279,35.52317,5115627,34.442665
"2010-03-08",35.666508,36.319477,35.610767,35.825768,5530418,34.736061
"2010-03-09",35.865585,36.677814,35.833733,36.614113,5737750,35.500423
"2010-03-10",36.693741,37.585602,36.638,37.123745,5321327,35.99456
"2010-03-11",36.860966,37.633381,36.725594,37.633381,4550391,36.488697
"2010-03-12",37.283009,38.437649,37.171524,38.28635,7957251,37.121799
"2010-03-15",38.294315,39.130436,38.23061,39.018951,8538184,37.832111
"2010-03-16",39.06673,39.122471,38.580982,38.979137,5987529,37.79351
"2010-03-17",38.12709,38.445614,37.402454,37.768753,18308559,36.619949
"2010-03-18",37.689121,38.604874,37.689121,38.270424,8333238,37.106361
"2010-03-19",38.509315,38.899506,38.111164,38.493389,9478025,37.322544
"2010-03-22",38.28635,38.811913,38.28635,38.373943,3539472,37.20673
"2010-03-23",38.365982,38.588947,37.776714,38.222649,4479564,37.06004
"2010-03-24",38.190796,38.732281,38.055424,38.644688,3538844,37.469242
"2010-03-25",38.795986,38.979137,38.206722,38.254498,4671074,37.090919
"2010-03-26",38.294315,38.56506,38.07135,38.294315,3581793,37.129532
"2010-03-29",38.318203,38.445614,38.01561,38.206722,2696831,37.044594
"2010-03-30",38.166904,38.310242,37.800606,38.214684,2921242,37.052319
"2010-03-31",38.007645,38.421722,37.697086,37.800606,5373066,36.650829
"2010-04-01",37.983753,38.166904,36.892818,37.34671,5103320,36.210751
"2010-04-05",37.34671,37.89616,37.267082,37.68116,3302754,36.535019
"2010-04-06",37.633381,37.816532,37.275043,37.62542,2615580,36.480976
"2010-04-07",37.633381,37.84042,37.386528,37.593567,2971851,36.450089
"2010-04-08",37.62542,37.62542,36.908745,37.442268,3094040,36.303398
"2010-04-09",37.553753,38.453575,37.529861,38.421722,2640696,37.253056
"2010-04-12",38.421722,38.907471,38.254498,38.8358,3239838,37.654541
"2010-04-13",38.78006,38.875618,38.166904,38.270424,3353991,37.106361
"2010-04-14",38.198757,38.445614,37.912086,38.262463,3405478,37.09864
"2010-04-15",38.254498,38.788025,37.99968,38.724319,4014541,37.546448
"2010-04-16",38.692467,38.947285,38.38987,38.596909,4087503,37.422916
"2010-04-19",38.342094,38.612835,37.856346,37.99968,4334268,36.843853
"2010-04-20",38.031532,39.480808,37.888199,39.369328,5091264,38.171841
"2010-04-21",39.178211,39.799332,39.090618,39.679886,5358122,38.472954
"2010-04-22",38.119125,38.596909,37.012264,38.461536,11663870,37.291664
"2010-04-23",38.421722,38.987099,38.143017,38.580982,5979617,37.407475
"2010-04-26",38.381908,39.082657,38.23061,38.923393,2865233,37.739471
"2010-04-27",38.708393,39.003025,37.760792,37.832458,4690287,36.681725
"2010-04-28",38.007645,38.047459,37.545788,38.007645,6541462,36.851578
"2010-04-29",38.079311,38.079311,37.466156,38.047459,4756719,36.890175
"2010-04-30",38.047459,38.047459,37.227264,37.45023,3742158,36.311119
"2010-05-03",37.418381,38.246536,37.362637,38.143017,3761121,36.98283
"2010-05-04",37.824493,37.824493,36.805225,37.243191,3433608,36.110371
"2010-05-05",37.13171,37.537823,36.486702,36.622074,5277625,35.508148
"2010-05-06",36.534481,36.884853,33.651855,35.395763,6422538,34.319134
"2010-05-07",35.172798,35.706322,33.930561,34.734829,5768141,33.678307
"2010-05-10",36.582256,37.418381,36.255772,37.394489,6159322,36.257065
"2010-05-11",37.18745,37.426342,36.829113,37.147636,4484085,36.017719
"2010-05-12",37.083931,37.951904,36.964485,37.935978,4223255,36.782089
"2010-05-13",38.039497,38.748207,37.832458,38.246536,7692528,37.083195
"2010-05-14",37.983753,38.007645,36.630035,37.036152,4670195,35.909637
"2010-05-17",37.155598,37.418381,36.160217,36.868927,4087001,35.747494
"2010-05-18",37.012264,37.235229,35.762066,36.048733,4556921,34.952248
"2010-05-19",35.849659,36.303551,35.340023,35.634655,5294327,34.55077
"2010-05-20",35.324097,35.777988,34.838348,35.037426,5062507,33.971699
"2010-05-21",34.320751,35.85762,34.272972,35.57095,3877534,34.488998
"2010-05-24",35.300205,35.722248,35.085205,35.140945,2534204,34.072067
"2010-05-25",34.352604,34.58353,33.771301,34.36853,5406847,33.323147
"2010-05-26",34.519829,35.188725,33.962414,34.113712,5498018,33.076084
"2010-05-27",34.822426,35.156872,34.599461,35.077244,5898618,34.010303
"2010-05-28",34.941872,35.204651,34.607422,34.726868,4837970,33.670593
"2010-06-01",34.511864,35.037426,34.31279,34.36853,2789509,33.323147
"2010-06-02",34.272972,35.363911,33.954453,35.363911,4518996,34.28825
"2010-06-03",35.25243,35.865585,35.228539,35.722248,4095666,34.635689
"2010-06-04",35.132984,35.666508,34.376492,34.480015,4531554,33.431244
"2010-06-07",34.336678,34.973721,33.874821,33.930561,3567853,32.898499
"2010-06-08",33.739449,33.739449,32.114986,33.381111,10235147,32.365765
"2010-06-09",33.564262,34.559643,33.389076,33.986305,6102686,32.952545
"2010-06-10",34.52779,34.886127,34.225197,34.86224,3501673,33.801842
"2010-06-11",34.376492,35.013538,34.241119,35.013538,2877666,33.94854
"2010-06-14",35.25243,35.642616,34.886127,34.933907,3265206,33.871323
"2010-06-15",35.188725,35.921326,35.132984,35.849659,3263071,34.759228
"2010-06-16",35.738174,36.064659,35.46743,35.897434,2179818,34.805546
"2010-06-17",35.913361,36.598183,35.85762,36.422997,5536948,35.315128
"2010-06-18",36.35133,36.892818,36.295589,36.701702,4527285,35.58535
"2010-06-21",37.13171,37.426342,36.606148,36.79726,3650987,35.678005
"2010-06-22",36.948559,37.306896,36.168179,36.24781,3476306,35.145271
"2010-06-23",36.319477,36.68578,35.80188,36.24781,2695198,35.145271
"2010-06-24",36.096512,36.223923,35.220577,35.324097,4116638,34.249649
"2010-06-25",35.602802,36.024845,35.276318,35.929287,3447297,34.836437
"2010-06-28",36.016884,36.016884,35.483356,35.539101,2245245,34.458115
"2010-06-29",35.188725,35.188725,33.898708,34.121674,3513226,33.083801
"2010-06-30",34.20927,34.535755,33.564262,33.627968,2605157,32.605118
"2010-07-01",33.691669,34.233158,33.301479,34.073898,4657637,33.037479
"2010-07-02",33.452778,34.257046,33.14222,33.53241,3080477,32.512463
"2010-07-06",34.20927,35.196686,33.914635,34.36853,4931652,33.323147
"2010-07-07",34.352604,35.443542,34.352604,35.427616,3965314,34.350025
"2010-07-08",35.74614,36.200031,35.292244,35.594841,4584675,34.512157
