"dates","TDY.Open","TDY.High","TDY.Low","TDY.Close","TDY.Volume","TDY.Adjusted"
"2010-01-04",38.700001,39.75,38.66,39.5,146900,39.5
"2010-01-05",39.580002,39.669998,39.009998,39.299999,144400,39.299999
"2010-01-06",39.279999,39.75,39.150002,39.369999,131400,39.369999
"2010-01-07",39.419998,40.080002,38.619999,39.880001,144200,39.880001
"2010-01-08",39.689999,40.380001,39.68,40.299999,136500,40.299999
"2010-01-11",40.380001,41.049999,40.060001,40.959999,101400,40.959999
"2010-01-12",40.610001,41.189999,40.580002,41.09,153900,41.09
"2010-01-13",41.330002,42.25,41.119999,42.099998,172700,42.099998
"2010-01-14",41.990002,42.689999,41.919998,42.52,84500,42.52
"2010-01-15",42.580002,42.869999,41.139999,41.470001,246200,41.470001
"2010-01-19",41.41,42.400002,40.52,42.09,183100,42.09
"2010-01-20",41.869999,41.869999,41.130001,41.639999,138300,41.639999
"2010-01-21",41.580002,42.119999,40.09,40.119999,302300,40.119999
"2010-01-22",40.009998,40.66,39.200001,39.450001,141600,39.450001
"2010-01-25",39.560001,40.009998,38.740002,39.91,203300,39.91
"2010-01-26",39.68,39.869999,39.02,39.240002,112900,39.240002
"2010-01-27",39,39.849998,38.75,39.810001,112000,39.810001
"2010-01-28",38.75,38.82,38.09,38.509998,339900,38.509998
"2010-01-29",38.529999,38.650002,37.259998,37.259998,377200,37.259998
"2010-02-01",37.310001,37.48,36.68,37.48,360300,37.48
"2010-02-02",37.470001,38.110001,37.32,37.59,291600,37.59
"2010-02-03",37.48,37.669998,37.040001,37.490002,135100,37.490002
"2010-02-04",37.209999,37.209999,35.93,35.98,140100,35.98
"2010-02-05",35.959999,36.549999,35.639999,36.439999,186600,36.439999
"2010-02-08",36.299999,36.549999,35.849998,36.220001,235500,36.220001
"2010-02-09",36.650002,36.91,36.220001,36.700001,153400,36.700001
"2010-02-10",36.650002,36.939999,36.029999,36.919998,304800,36.919998
"2010-02-11",36.91,37.32,36.330002,37.310001,122800,37.310001
"2010-02-12",36.830002,37.5,36.599998,37.48,216800,37.48
"2010-02-16",37.91,37.91,37.330002,37.810001,114300,37.810001
"2010-02-17",37.98,38.139999,37.720001,37.869999,124300,37.869999
"2010-02-18",37.880001,38.470001,37.75,38.470001,185200,38.470001
"2010-02-19",38.400002,38.849998,38.32,38.439999,151800,38.439999
"2010-02-22",38.459999,38.73,38,38.27,120000,38.27
"2010-02-23",38.299999,38.310001,37.639999,37.669998,101900,37.669998
"2010-02-24",37.75,38.560001,37.75,38.110001,117500,38.110001
"2010-02-25",37.5,38.029999,37.209999,38.029999,89000,38.029999
"2010-02-26",38.02,38.040001,37.459999,37.669998,191300,37.669998
"2010-03-01",37.880001,38.810001,37.529999,38.650002,157100,38.650002
"2010-03-02",38.700001,39.240002,38.610001,39.189999,124500,39.189999
"2010-03-03",39.380001,39.950001,39.290001,39.549999,167000,39.549999
"2010-03-04",39.75,40.200001,39.610001,40.150002,248200,40.150002
"2010-03-05",40.290001,41.130001,40.18,40.860001,186900,40.860001
"2010-03-08",40.790001,40.98,40.549999,40.650002,85800,40.650002
"2010-03-09",40.52,41.32,40.5,40.82,83800,40.82
"2010-03-10",40.700001,41.5,40.700001,41.25,112700,41.25
"2010-03-11",41,41.5,41,41.419998,282100,41.419998
"2010-03-12",41.700001,41.700001,40.830002,41.389999,321300,41.389999
"2010-03-15",41.200001,41.560001,41.18,41.41,76600,41.41
"2010-03-16",41.470001,41.73,41.16,41.720001,123500,41.720001
"2010-03-17",41.889999,42.040001,41.720001,41.810001,71000,41.810001
"2010-03-18",41.650002,42.110001,41.619999,41.740002,70900,41.740002
"2010-03-19",41.919998,42.330002,41.639999,41.919998,276100,41.919998
"2010-03-22",41.669998,42.16,41.380001,41.900002,129400,41.900002
"2010-03-23",41.830002,42.439999,41.68,42.209999,168800,42.209999
"2010-03-24",42.16,42.25,41.59,41.75,114800,41.75
"2010-03-25",41.950001,42.029999,41.200001,41.220001,210800,41.220001
"2010-03-26",41.27,41.720001,41,41.259998,116500,41.259998
"2010-03-29",41.490002,41.759998,41.16,41.41,125500,41.41
"2010-03-30",41.509998,41.950001,41.310001,41.860001,124000,41.860001
"2010-03-31",41.630001,42.049999,41.25,41.27,111400,41.27
"2010-04-01",41.490002,41.959999,40.66,41.07,160000,41.07
"2010-04-05",41.169998,41.549999,41,41.540001,96100,41.540001
"2010-04-06",41.400002,41.669998,41.27,41.400002,90000,41.400002
"2010-04-07",41.240002,41.59,41.080002,41.299999,95600,41.299999
"2010-04-08",41.060001,41.110001,40.599998,40.689999,129700,40.689999
"2010-04-09",40.669998,40.98,40.080002,40.970001,176900,40.970001
"2010-04-12",40.970001,41.580002,40.900002,41.5,170800,41.5
"2010-04-13",41.5,41.5,40.970001,41.439999,74000,41.439999
"2010-04-14",41.639999,42,41.27,41.950001,143200,41.950001
"2010-04-15",41.900002,42.009998,41.77,41.900002,163100,41.900002
"2010-04-16",41.919998,42.139999,41.650002,42.029999,143900,42.029999
"2010-04-19",41.810001,42.41,41.75,42.34,94000,42.34
"2010-04-20",42.509998,42.889999,42.25,42.75,93400,42.75
"2010-04-21",42.939999,43.509998,42.860001,43.32,112300,43.32
"2010-04-22",42.740002,43.389999,42.73,43.369999,134500,43.369999
"2010-04-23",43.369999,43.900002,42.810001,43.880001,93200,43.880001
"2010-04-26",43.950001,44.419998,43.540001,43.630001,90100,43.630001
"2010-04-27",43.380001,43.630001,42.509998,42.560001,100300,42.560001
"2010-04-28",42.740002,43.169998,42.400002,42.900002,68700,42.900002
"2010-04-29",42.52,44.119999,42.52,44.110001,211800,44.110001
"2010-04-30",44.200001,44.470001,43.400002,43.599998,202300,43.599998
"2010-05-03",43.959999,44.57,43.77,44.099998,137100,44.099998
"2010-05-04",43.349998,43.73,42.869999,43.290001,178800,43.290001
"2010-05-05",43.220001,44.209999,42.98,43.860001,169900,43.860001
"2010-05-06",43.689999,44,39,41.919998,200900,41.919998
"2010-05-07",41.59,41.830002,39.529999,39.77,246400,39.77
"2010-05-10",41.009998,42.25,41.009998,42.23,181900,42.23
"2010-05-11",41.810001,43.369999,41.419998,42.610001,162100,42.610001
"2010-05-12",42.610001,43.560001,42.419998,43.490002,217100,43.490002
"2010-05-13",43.389999,43.810001,43.009998,43.41,222600,43.41
"2010-05-14",42.91,43.5,41.720001,42.310001,249100,42.310001
"2010-05-17",42.490002,42.970001,41.290001,42.580002,215900,42.580002
"2010-05-18",43.049999,43.310001,41.880001,41.959999,163900,41.959999
"2010-05-19",41.900002,42.169998,41,41.669998,193300,41.669998
"2010-05-20",40.84,40.84,39.18,39.209999,217400,39.209999
"2010-05-21",38.740002,39.59,38.400002,39.459999,365000,39.459999
"2010-05-24",39.459999,39.68,38.650002,38.669998,144600,38.669998
"2010-05-25",37.689999,38.650002,37.169998,38.5,250000,38.5
"2010-05-26",38.759998,39.419998,38.16,38.25,170700,38.25
"2010-05-27",39.220001,39.970001,38.669998,39.939999,158000,39.939999
"2010-05-28",39.919998,39.919998,38.849998,39.310001,163600,39.310001
"2010-06-01",38.970001,39.709999,38.299999,38.330002,169900,38.330002
"2010-06-02",38.48,39.68,38.029999,39.669998,228200,39.669998
"2010-06-03",39.549999,40.279999,39.549999,40.060001,235000,40.060001
"2010-06-04",39.049999,39.610001,38.540001,38.77,355300,38.77
"2010-06-07",38.950001,39.169998,37.529999,37.630001,331900,37.630001
"2010-06-08",37.66,37.709999,36.189999,36.68,303300,36.68
"2010-06-09",37.099998,37.389999,36.650002,36.900002,183800,36.900002
"2010-06-10",37.509998,37.900002,37.110001,37.869999,125100,37.869999
"2010-06-11",37.5,38.09,37.299999,37.810001,118700,37.810001
"2010-06-14",38.139999,38.75,37.810001,37.939999,86600,37.939999
"2010-06-15",38.200001,39.279999,37.91,39.220001,226600,39.220001
"2010-06-16",38.91,39.759998,38.57,39.490002,168500,39.490002
"2010-06-17",39.580002,39.82,38.720001,39.400002,276100,39.400002
"2010-06-18",39.470001,39.639999,39.060001,39.41,332800,39.41
"2010-06-21",40.060001,40.959999,39.82,40.16,255400,40.16
"2010-06-22",40.16,40.669998,39.880001,40,292700,40
"2010-06-23",40,40.119999,39.580002,39.810001,308000,39.810001
"2010-06-24",39.599998,40.349998,39.52,39.59,212500,39.59
"2010-06-25",39.700001,40.529999,39.360001,40.34,370500,40.34
"2010-06-28",40.419998,40.77,39.610001,39.970001,221400,39.970001
"2010-06-29",39.18,39.509998,38.689999,38.91,306500,38.91
"2010-06-30",38.91,39.5,38.43,38.580002,349200,38.580002
