"dates","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2010-06-22",67.110001,67.349998,65.309998,65.449997,1825900,50.636578
"2010-06-23",65.550003,65.629997,64.010002,64.889999,2771700,50.203327
"2010-06-24",64.669998,65.099998,63.139999,63.25,2864700,48.934521
"2010-06-25",63.349998,63.68,62.310001,63.220001,3015700,48.911312
"2010-06-28",63.419998,63.419998,62.16,62.259998,2861600,48.168587
"2010-06-29",61.330002,61.57,59.200001,59.43,4487800,45.979103
"2010-06-30",58.919998,59.689999,58.470001,58.560001,3261300,45.628468
"2010-07-01",58.610001,58.84,57.68,58.5,2983600,45.581722
"2010-07-02",58.790001,59.25,58.299999,58.700001,2281100,45.737556
"2010-07-06",59.080002,59.709999,58.119999,58.639999,2539700,45.690804
"2010-07-07",58.869999,60.27,58.580002,60.220001,3237600,46.921906
"2010-07-08",60.580002,61.080002,60.310001,60.970001,1790500,47.506287
"2010-07-09",60.779999,60.860001,60,60.84,1299300,47.404991
"2010-07-12",60.34,60.43,59.52,59.869999,1869200,46.649197
"2010-07-13",60.419998,60.830002,60.07,60.560001,1946100,47.186821
"2010-07-14",60.259998,61.610001,60.16,61.610001,2813900,48.004963
"2010-07-15",61.599998,61.830002,60.450001,61.470001,2131100,47.89587
"2010-07-16",60.970001,61.290001,58.75,58.900002,2316800,45.893402
"2010-07-19",58.84,59.040001,58.200001,58.599998,2013400,45.659641
"2010-07-20",57.91,59.220001,56.93,59.209999,3230100,46.134937
"2010-07-21",59.529999,60.439999,59,59.279999,2485900,46.189484
"2010-07-22",59.900002,61.400002,59.900002,61.029999,1922800,47.55304
"2010-07-23",60.98,61.869999,60.48,61.290001,2056600,47.755623
"2010-07-26",61.310001,63.080002,61.290001,62.490002,1486700,48.690639
"2010-07-27",62.57,62.740002,61.700001,61.77,1821900,48.129623
"2010-07-28",61.52,62.57,61.220001,61.799999,2405600,48.152996
"2010-07-29",62.299999,62.689999,61.029999,61.73,1852100,48.098454
"2010-07-30",60.990002,61.52,60.580002,61.25,2805900,47.724453
"2010-08-02",62.060001,63.150002,61.740002,62.91,2149800,49.017879
"2010-08-03",62.610001,63.200001,62.439999,62.669998,1561400,48.830879
"2010-08-04",62.93,63.459999,62.720001,63.34,1584500,49.352928
"2010-08-05",63.07,63.790001,62.889999,63.77,1617000,49.687969
"2010-08-06",63.279999,64.019997,62.970001,63.779999,2403300,49.695751
"2010-08-09",64.050003,64.400002,63.869999,64.32,1192700,50.116531
"2010-08-10",63.630001,64.440002,63.09,64.089996,2083600,49.937305
"2010-08-11",63.169998,63.18,61.02,61.32,2317600,47.778996
"2010-08-12",60.279999,61.02,60.209999,60.720001,2083400,47.311501
"2010-08-13",60.52,61.16,60.400002,60.669998,1895100,47.27253
"2010-08-16",60.27,60.700001,59.75,60.419998,1551100,47.077732
"2010-08-17",61.099998,62.790001,61.029999,62.34,2721300,48.573757
"2010-08-18",62.549999,62.669998,62,62.490002,1825200,48.690639
"2010-08-19",62.310001,62.349998,60.389999,60.619999,2418900,47.233559
"2010-08-20",60.169998,60.509998,59.709999,60.23,2368000,46.929695
"2010-08-23",60.139999,60.360001,59.240002,59.330002,1987600,46.228428
"2010-08-24",58.450001,58.790001,57.619999,57.869999,2138400,45.090843
"2010-08-25",57.509998,57.709999,56.27,56.990002,4329000,44.40517
"2010-08-26",57.150002,57.720001,56.650002,56.830002,2066100,44.280502
"2010-08-27",56.59,57.41,55.459999,57.369999,2812500,44.70126
"2010-08-30",57.130001,57.529999,56.52,56.57,2045800,44.077908
"2010-08-31",56.259998,56.43,55.68,55.869999,2418800,43.532486
"2010-09-01",56.700001,58,56.23,57.779999,1940100,45.020729
"2010-09-02",58.139999,58.959999,57.810001,58.950001,2034900,45.93235
"2010-09-03",59.540001,59.990002,59.25,59.720001,1639300,46.53231
"2010-09-07",59.240002,59.299999,57.720001,58.490002,2226000,45.573925
"2010-09-08",58.799999,59.849998,58.59,59.490002,2807400,46.353104
"2010-09-09",60,60.419998,59.259998,59.82,1839700,46.610226
"2010-09-10",60.110001,61.25,59.849998,61.130001,2462300,47.630947
"2010-09-13",61.759998,62.880001,61.759998,62.18,2813200,48.449089
"2010-09-14",61.939999,62.07,61.150002,61.459999,2156100,47.888081
"2010-09-15",61.02,61.299999,60.529999,61.27,2314000,47.740044
"2010-09-16",61.169998,61.369999,60.869999,61.310001,1887000,47.771206
"2010-09-17",61.52,62.810001,61.439999,62.689999,3122300,48.846478
"2010-09-20",63.110001,63.73,62.349998,63.630001,1824500,49.578888
"2010-09-21",63.610001,64.209999,63.25,63.610001,1347600,49.563313
"2010-09-22",63.630001,63.919998,62.580002,62.869999,1642900,48.986725
"2010-09-23",62.34,62.849998,61.860001,61.98,1484800,48.293243
"2010-09-24",62.549999,63.75,62.549999,63.68,1270400,49.617851
"2010-09-27",63.830002,63.959999,63.02,63.130001,1288500,49.189312
"2010-09-28",63.25,63.349998,62.23,63.27,2395700,49.298393
"2010-09-29",62.970001,63.189999,62.349998,63.060001,2165700,49.134758
"2010-09-30",63.490002,64.599998,62.619999,62.810001,2454000,48.939972
"2010-10-01",63.330002,63.43,62.380001,62.459999,1756900,48.667248
"2010-10-04",62.419998,62.73,61.509998,61.75,1935500,48.114037
"2010-10-05",62.389999,63.48,61.889999,63.41,2735600,49.407471
"2010-10-06",63.139999,63.77,63.02,63.639999,2134800,49.917305
"2010-10-07",63.810001,64.029999,62.799999,63.130001,1519500,49.517292
"2010-10-08",63.139999,63.650002,62.689999,63.369999,1454000,49.705532
"2010-10-11",63.48,63.529999,62.990002,63.130001,790100,49.517292
"2010-10-12",62.970001,63.57,62.130001,63.369999,1415800,49.705532
"2010-10-13",63.580002,64.519997,63.580002,64.059998,1554200,50.24675
"2010-10-14",64.120003,64.199997,62.919998,63.169998,1760200,49.54866
"2010-10-15",63.5,64.050003,62.900002,63.93,2961800,50.144779
"2010-10-18",63.939999,64.480003,63.549999,64.370003,1271700,50.489891
"2010-10-19",63.450001,63.669998,62.169998,62.959999,2166700,49.383934
"2010-10-20",63.259998,64.349998,63.23,63.830002,1795000,50.066345
"2010-10-21",64.169998,65.160004,64.169998,64.550003,1741500,50.631092
"2010-10-22",64.540001,64.730003,64.040001,64.5,1218900,50.591869
"2010-10-25",65.110001,65.129997,63.990002,64.059998,1762900,50.24675
"2010-10-26",63.830002,64.43,63.43,64.089996,2025500,50.270275
"2010-10-27",64.239998,65.529999,63.48,65.419998,3872300,51.313488
"2010-10-28",66.32,67.879997,66.019997,67.779999,5072000,53.164604
"2010-10-29",67.389999,68.129997,67.290001,68.120003,3459400,53.43129
