"dates","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2010-03-02",36.795437,36.96225,36.681297,36.742756,3260274,27.750994
"2010-03-03",36.874451,37.129063,36.786655,36.795437,3735692,27.790787
"2010-03-04",36.89201,37.041264,36.479366,36.619843,5117413,27.65815
"2010-03-05",36.874451,37.971905,36.777874,37.910446,5564812,28.632921
"2010-03-08",37.901669,37.963127,37.629501,37.884109,3948799,28.613039
"2010-03-09",37.884109,38.700615,37.84021,38.340649,5927926,28.957846
"2010-03-10",38.08604,38.560139,37.963127,38.525021,5221404,29.325417
"2010-03-11",38.472343,38.595261,38.244076,38.56892,4325466,29.358828
"2010-03-12",38.498684,38.577702,38.331871,38.463566,3051267,29.278639
"2010-03-15",38.78841,38.937664,38.516243,38.841087,3343990,29.565998
"2010-03-16",39.025459,39.025459,38.586479,38.849869,2639860,29.572697
"2010-03-17",38.858646,39.429325,38.849869,39.236172,3099219,29.86676
"2010-03-18",39.139595,39.394203,39.060577,39.262512,1961130,29.886806
"2010-03-19",39.534679,39.701492,38.718174,39.157154,4858291,29.806595
"2010-03-22",39.104477,39.411766,38.753292,39.359089,4801796,29.960318
"2010-03-23",39.499561,39.508343,39.130817,39.429325,3250364,30.013792
"2010-03-24",39.236172,39.411766,38.884987,38.928886,4508390,29.632845
"2010-03-25",39.034241,39.034241,38.577702,38.61282,4693363,29.392252
"2010-03-26",38.647938,39.016682,38.647938,38.841087,2178793,29.565998
"2010-03-29",38.946445,39.209831,38.78841,39.104477,3528280,29.766504
"2010-03-30",38.972782,39.244953,38.867428,39.148376,2358300,29.799919
"2010-03-31",39.069359,39.174713,38.867428,39.043018,3141248,29.719725
"2010-04-01",39.209831,39.209831,38.54258,38.78841,3068352,29.525906
"2010-04-05",38.964005,39.236172,38.735733,38.972782,3700383,29.666254
"2010-04-06",38.946445,39.0079,38.718174,38.884987,4426040,29.599428
"2010-04-07",38.849869,38.893764,38.437225,38.56892,3085095,29.358828
"2010-04-08",38.595261,38.647938,38.314312,38.525021,2925522,29.325417
"2010-04-09",38.639156,38.858646,38.393326,38.858646,2444408,29.579374
"2010-04-12",38.893764,38.893764,38.656715,38.814751,2219114,29.545971
"2010-04-13",38.78841,38.884987,38.516243,38.586479,3100358,29.372198
"2010-04-14",38.507462,38.797192,38.402107,38.78841,3641839,29.525906
"2010-04-15",38.849869,39.27129,38.718174,39.22739,2900464,29.860064
"2010-04-16",39.060577,39.402985,38.814751,38.884987,5138712,29.599428
"2010-04-19",38.893764,39.288849,38.893764,39.262512,2975296,29.886806
"2010-04-20",39.411766,39.543461,39.288849,39.534679,2873355,30.093967
"2010-04-21",39.482002,39.569798,39.288849,39.56102,2786222,30.114027
"2010-04-22",39.376644,39.604916,39.095699,39.569798,2598629,30.120707
"2010-04-23",39.613697,39.964882,39.306408,39.929764,3341826,30.394724
"2010-04-26",39.903423,40.158031,39.727833,39.798069,2764353,30.294466
"2010-04-27",39.499561,39.73661,38.876205,38.999123,5438953,29.68631
"2010-04-28",39.130817,39.139595,38.595261,38.753292,5075270,29.499182
"2010-04-29",38.805969,39.192272,38.454784,38.972782,5104998,29.666254
"2010-04-30",39.148376,39.148376,38.042141,38.077263,4806694,28.984589
"2010-05-03",38.393326,38.419666,37.980686,38.340649,3576688,29.185076
"2010-05-04",38.235294,38.235294,37.13784,37.629501,4911140,28.643747
"2010-05-05",37.629501,38.208954,37.243195,37.453907,4094363,28.51008
"2010-05-06",37.216858,37.805092,23.230904,36.356453,7539952,27.67469
"2010-05-07",36.040386,36.997368,35.838455,36.488148,8539083,27.774946
"2010-05-10",36.865673,37.822651,36.865673,37.295876,5912207,28.389786
"2010-05-11",37.199299,37.708515,37.102722,37.313435,4056549,28.403156
"2010-05-12",37.339771,37.787533,37.243195,37.769974,3576004,28.750662
"2010-05-13",37.611938,37.655838,37.225636,37.269535,4465450,28.36974
"2010-05-14",37.093941,37.120281,36.479366,36.69886,4500759,27.935333
"2010-05-17",36.821774,37.155399,36.435471,36.979809,4996451,28.1492
"2010-05-18",36.979809,37.295876,36.505707,36.637402,3886154,27.88855
"2010-05-19",36.426689,36.89201,36.382793,36.514484,5140421,27.794992
"2010-05-20",36.031609,36.198421,35.338017,35.399471,6262222,26.946234
"2010-05-21",34.784901,35.715542,34.697102,35.662861,5221176,27.146725
"2010-05-24",35.504829,35.759438,35.136086,35.364353,3507664,26.919508
"2010-05-25",34.907814,35.24144,34.477612,35.24144,5252043,26.825945
"2010-05-26",35.311676,35.768219,34.916595,35.039509,4553039,26.67223
"2010-05-27",35.812115,36.136963,35.539948,36.136963,3650723,27.507616
"2010-05-28",36.057945,36.251099,35.636524,35.891132,3804146,27.32049
"2010-06-01",35.776997,36.23354,35.434593,35.548725,3194098,27.059851
"2010-06-02",35.539948,36.426689,35.232658,36.40913,3961214,27.714802
"2010-06-03",36.479366,36.91835,36.286217,36.839333,4182522,28.042253
"2010-06-04",36.277435,36.277435,35.399471,35.522388,4636527,27.03982
"2010-06-07",35.496048,35.610184,35.083405,35.127304,4598143,26.739058
"2010-06-08",35.083405,36.084286,35.030727,36.066727,6818965,27.454157
"2010-06-09",35.794556,36.356453,35.575066,35.873573,6334435,27.535019
"2010-06-10",36.251099,37.050045,35.803337,36.89201,5515835,28.316721
"2010-06-11",36.417912,36.769096,36.303776,36.725197,4216009,28.188679
"2010-06-14",36.637402,37.225636,36.637402,36.777874,3253212,28.229116
"2010-06-15",37.120281,37.453907,36.804214,37.427567,3701978,28.727798
"2010-06-16",37.304653,37.418789,37.032486,37.234417,3572701,28.57954
"2010-06-17",37.18174,37.383671,36.900791,37.234417,4158717,28.57954
"2010-06-18",37.304653,37.427567,36.91835,37.120281,4119535,28.49194
"2010-06-21",37.366112,37.532925,36.479366,36.611061,5659463,28.101076
"2010-06-22",36.654961,37.014923,36.093063,36.119404,4483332,27.723709
"2010-06-23",36.049168,36.330112,35.856014,36.049168,4271250,27.66979
"2010-06-24",35.750656,35.996487,35.41703,35.627743,5695683,27.346321
"2010-06-25",35.662861,36.066727,35.478489,35.873573,6594810,27.535019
"2010-06-28",36.084286,36.136963,35.829674,35.92625,4604863,27.575453
"2010-06-29",35.548725,35.882355,35.232658,35.46093,9470899,27.218288
"2010-06-30",35.320457,35.724319,35.206322,35.346794,5441686,27.130682
"2010-07-01",35.232658,35.338017,34.609306,34.863914,8230984,26.760054
