"dates","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"2016-08-18",44.535564,44.78661,44.292889,44.485355,1045267,43.629963
"2016-08-19",44.309624,44.309624,43.271969,43.447701,1429340,42.612255
"2016-08-22",43.447701,43.548119,42.74477,42.895397,1292632,42.070572
"2016-08-23",42.97908,43.598328,42.794979,43.430962,3003752,42.59584
"2016-08-24",42.895397,43.330544,42.346443,42.98745,827896,42.217793
"2016-08-25",42.828453,43.422592,42.661087,43.196651,1654956,42.423252
"2016-08-26",43.21339,43.799164,43.121338,43.405857,1120432,42.628716
"2016-08-29",43.330544,44.175732,43.146442,43.857742,1248536,43.07251
"2016-08-30",43.673641,44.74477,43.673641,44.025105,1137760,43.23687
"2016-08-31",43.907951,44.200836,43.514645,44.075314,1976052,43.286179
"2016-09-01",44.317993,44.443516,43.631798,44.04184,1146483,43.253307
"2016-09-02",44.368202,44.74477,44.192471,44.669456,1004756,43.869694
"2016-09-06",44.769875,44.811714,43.75732,44.125523,1546091,43.335487
"2016-09-07",43.874477,44.451881,43.53138,44.301254,2083124,43.508068
"2016-09-08",44.083683,44.317993,43.740585,43.790794,1311871,43.006756
"2016-09-09",43.322178,43.523014,42.301254,42.301254,2593987,41.543884
"2016-09-12",41.857742,43.046024,41.72385,42.853558,2225568,42.086296
"2016-09-13",42.560669,43.01255,41.815899,41.874477,1920485,41.124744
"2016-09-14",41.882847,42.259415,41.539749,41.857742,1376999,41.108322
"2016-09-15",41.824268,42.343098,41.422592,42.251045,1685070,41.494583
"2016-09-16",41.933056,42.167362,41.355648,42.058578,2810521,41.30555
"2016-09-19",42.184101,43.016735,42.158997,42.493725,1165484,41.732903
"2016-09-20",42.493725,42.74477,42.016735,42.050209,1279128,41.297333
"2016-09-21",42.23431,42.686192,42.025105,42.661087,1016706,41.897278
"2016-09-22",42.970711,43.506275,42.920502,43.21339,1970794,42.439697
"2016-09-23",42.928871,43.163181,42.384937,42.577408,964604,41.81509
"2016-09-26",42.393307,43.087868,42.092049,42.861923,1274229,42.094521
"2016-09-27",42.761505,43.330544,42.719666,43.188286,1429698,42.415039
"2016-09-28",43.29707,43.322178,42.970711,43.280334,1082312,42.50544
"2016-09-29",42.753139,43.188286,42.368202,42.426777,1742430,41.66716
"2016-09-30",42.778244,42.903767,42.075314,42.594143,2333118,41.83152
"2016-10-03",42.351463,43.230125,42.351463,43.004185,1626037,42.234222
"2016-10-04",42.895397,43.054394,42.309624,42.518829,1449296,41.757553
"2016-10-05",42.694561,42.924686,42.343098,42.627617,1056978,41.864403
"2016-10-06",42.535564,42.652721,42.259415,42.426777,912980,41.66716
"2016-10-07",42.259415,42.518829,41.73222,41.782429,1261442,41.034344
"2016-10-10",42.033474,42.108788,41.75732,41.799164,1220334,41.050789
"2016-10-11",41.774059,41.974895,41.02092,41.188286,1675271,40.450848
"2016-10-12",41.338913,41.338913,40.711296,40.995815,1935900,40.26181
"2016-10-13",40.694561,41.573223,40.167362,40.853558,1445472,40.122108
"2016-10-14",41.062763,41.78661,40.845188,41.389122,1042399,40.648083
"2016-10-17",41.472801,41.49791,40.928871,41.054394,1334218,40.319351
"2016-10-18",41.548119,42.108788,41.004185,41.079498,1377357,40.343998
"2016-10-19",41.230125,41.670292,40.552299,41.330544,908081,40.590553
"2016-10-20",41.121338,41.154812,40.535564,40.753139,1696064,40.023491
"2016-10-21",40.351463,40.912132,40.27615,40.728031,2039865,39.998829
"2016-10-24",40.895397,41.221756,40.46862,40.627617,1517172,39.900211
"2016-10-25",40.585773,40.585773,40.050209,40.100418,1528883,39.382458
"2016-10-26",40,40.26778,39.782429,39.974895,1881767,39.259178
"2016-10-27",39.907951,39.907951,39.171547,39.740585,3757319,39.029057
"2016-10-28",42.033474,43.25523,41.615063,42.016735,4754666,41.264462
"2016-10-31",42.016735,42.970711,41.874477,42.719666,1866232,41.954811
"2016-11-01",42.627617,42.694561,41.832638,42.251045,2122081,41.494583
"2016-11-02",42.217571,42.803349,42.075314,42.108788,1035587,41.354858
"2016-11-03",42.083683,42.845188,41.832638,42.661087,1369112,41.897278
"2016-11-04",42.694561,43.230125,42.292889,42.769875,1873999,42.004112
"2016-11-07",43.154812,43.573223,42.707111,43.338913,1689611,42.562965
"2016-11-08",43.414227,44.184101,42.98745,44.058578,1393251,43.269745
"2016-11-09",43.506275,45.129707,43.434311,44.736401,2000311,43.935429
"2016-11-10",45.146442,46.309624,44.933056,45.355648,2146459,44.543591
"2016-11-11",45.263599,45.807529,44.585773,44.686192,1710523,43.88612
"2016-11-14",44.903767,45.238495,44.761505,45.037659,3143328,44.2313
"2016-11-15",45.138077,45.564854,44.928871,45.288704,2035563,44.477844
"2016-11-16",45.01255,45.569038,44.945606,45.556484,1832533,44.740837
"2016-11-17",45.506275,45.740585,45.121338,45.606693,1114218,44.790142
"2016-11-18",45.589958,45.815899,45.263599,45.715481,1451806,44.896988
"2016-11-21",45.397491,46.158997,45.188286,45.882847,1662604,45.061348
"2016-11-22",45.807529,46.669456,45.656902,46.334728,1593174,45.563309
"2016-11-23",46.535564,46.803349,46.251045,46.694561,1177195,45.917152
"2016-11-25",46.928871,46.98745,46.401672,46.836819,584714,46.057045
"2016-11-28",46.928871,47.062763,46.292889,46.518829,1259650,45.744347
"2016-11-29",46.326359,46.845188,46.200836,46.259415,1288210,45.489254
"2016-11-30",46.569038,46.991631,45.857742,46.016735,5639086,45.25061
"2016-12-01",46.142258,46.200836,45.188286,45.347279,3973734,44.592304
"2016-12-02",45.430962,46.050209,45.196651,45.589958,3041753,44.830944
"2016-12-05",45.832638,45.933056,44.828453,45.112972,1697856,44.361904
"2016-12-06",45.163181,45.288704,44.803349,45.188286,2726154,44.435959
"2016-12-07",45.188286,45.527199,44.694561,45.389122,3926412,44.633453
"2016-12-08",45.49791,45.573223,44.715481,44.920502,2632824,44.172634
"2016-12-09",44.778244,45.322178,44.619247,45.188286,1722473,44.435959
"2016-12-12",45.087868,45.49791,44.970711,45.179916,1832174,44.427727
"2016-12-13",45.422592,45.564854,44.560669,45.062763,3288640,44.312523
"2016-12-14",45.096233,46.305439,45.079498,45.397491,1863842,44.641682
"2016-12-15",45.364017,46.26778,45.129707,45.866108,1885830,45.102489
"2016-12-16",45.907951,46.04184,45.523014,45.882847,3162090,45.11895
"2016-12-19",45.866108,46.050209,45.514645,45.991631,1397314,45.225929
"2016-12-20",46.225941,46.410042,45.866108,46.066944,1419541,45.299999
"2016-12-21",46,46,45.121338,45.288704,1756411,44.53471
"2016-12-22",45.288704,46.008369,44.928871,45.263599,1844244,44.510025
"2016-12-23",45.464436,45.824268,44.995815,45.615063,611721,44.855633
"2016-12-27",45.815899,45.891212,45.280334,45.573223,1093903,44.81448
"2016-12-28",45.740585,45.740585,44.74477,44.97908,720227,44.230228
"2016-12-29",45.179916,45.305439,44.845188,45.196651,594154,44.444187
"2016-12-30",45.355648,45.589958,44.677822,44.878662,842595,44.131485
"2017-01-03",45.096233,45.342258,44.343098,44.962341,1930045,44.213776
"2017-01-04",45.288704,45.631798,45.163181,45.397491,1777085,44.641682
"2017-01-05",45.464436,45.774059,44.945606,45.138077,1708850,44.386578
"2017-01-06",45.104603,45.355648,44.677822,45.079498,1505700,44.328979
"2017-01-09",45.205021,45.355648,44.845188,44.962341,888244,44.213776
"2017-01-10",44.962341,45.25523,44.753139,45.02092,1567362,44.271381
"2017-01-11",45.004185,45.087868,44.569038,44.903767,4411582,44.156174
"2017-01-12",44.74477,45.096233,44.652721,44.912132,2426089,44.164394
"2017-01-13",45.523014,46.158997,45.523014,45.824268,1720083,45.061356
"2017-01-17",45.556484,45.631798,44.912132,45.29707,1475706,44.542927
"2017-01-18",45.280334,45.523014,45.062763,45.305439,1608590,44.551151
"2017-01-19",45.380753,45.75732,45.188286,45.414227,981215,44.658142
"2017-01-20",45.539749,45.75732,45.364017,45.623432,2178366,44.863853
"2017-01-23",45.456066,45.866108,44.845188,45.280334,1640496,44.52647
"2017-01-24",45.447701,46.016735,45.26276,45.774059,2044048,45.011978
"2017-01-25",45.974895,46.309624,45.774059,46.167362,2098301,45.398739
"2017-01-26",46.025105,46.845188,45.824268,46.602509,2746827,45.826633
"2017-01-27",46.635983,46.861923,46.485355,46.803349,1874597,46.02412
"2017-01-30",46.803349,46.803349,45.815899,46.393307,1876867,45.620914
"2017-01-31",46.225941,46.476986,45.949791,46.284519,2142396,45.513939
"2017-02-01",46.418411,46.569038,45.861923,46.133892,1385842,45.365826
"2017-02-02",45.857742,46.443516,45.606693,46.200836,2264764,45.431656
"2017-02-03",46.493725,47.405857,46.083683,46.878662,1729643,46.098194
"2017-02-06",46.610878,46.811714,46.451881,46.70293,1051122,45.925385
"2017-02-07",46.861923,46.962341,46.493725,46.560669,2268110,45.785484
"2017-02-08",46,47.188286,45.928032,47.01255,5530699,46.229843
"2017-02-09",46.995815,47.824268,46.995815,47.715481,1348319,46.921082
"2017-02-10",47.857742,48.050209,47.430962,47.824268,1494706,47.028049
"2017-02-13",48.083683,48.569038,48.016735,48.142258,1419421,47.340752
"2017-02-14",48.117153,48.142258,47.631798,47.941422,1205277,47.143257
"2017-02-15",47.899582,48.326359,47.766525,48.184101,1221290,47.381901
"2017-02-16",48.251045,48.736401,47.53138,48.025105,1338878,47.225544
"2017-02-17",48.04184,48.301254,47.807529,48.27615,1077890,47.472404
"2017-02-21",48.27615,48.74477,48.142258,48.644352,1856074,47.83448
"2017-02-22",48.343098,48.677822,48.158997,48.27615,1122822,47.529648
"2017-02-23",48.543934,48.661087,47.799164,47.916317,1218064,47.175369
"2017-02-24",47.774059,48.451881,47.472801,48.359833,2206807,47.612034
"2017-02-27",48.23431,48.435146,48.092049,48.24268,1065462,47.496693
"2017-02-28",48.259415,48.443516,47.95816,48.24268,1970197,47.496693
"2017-03-01",48.719666,49.573223,48.602509,49.29707,1716259,48.53479
"2017-03-02",49.29707,49.380753,48.803349,49.062763,2322602,48.304096
"2017-03-03",49.046024,49.271969,48.845188,49.146442,1718888,48.38649
"2017-03-06",48.803349,49.087868,48.539749,48.811714,1872804,48.056923
"2017-03-07",48.845188,48.995815,48.543934,48.70293,1989197,47.949825
"2017-03-08",48.711296,48.928871,48.552299,48.677822,1542148,47.925106
"2017-03-09",48.602509,48.928871,48.393307,48.552299,1563180,47.801533
"2017-03-10",48.769875,48.995815,48.518829,48.794979,1456825,48.040451
"2017-03-13",48.912132,49.347279,48.610878,49.179916,1880452,48.419437
"2017-03-14",48.937237,49.079498,48.74477,48.995815,1136445,48.238182
"2017-03-15",49.188286,50.108788,49.188286,49.95816,2131761,49.185642
"2017-03-16",49.983265,50.142258,49.707111,49.799164,1706580,49.02911
"2017-03-17",49.983265,50.054394,49.740585,49.857742,2304558,49.086777
"2017-03-20",49.874477,50.083683,49.338913,49.372383,1754021,48.608921
"2017-03-21",49.606693,49.76569,48.820084,48.962341,2218518,48.205223
"2017-03-22",48.962341,49.221756,48.778244,48.945606,1985015,48.188747
"2017-03-23",48.794979,49.238495,48.778244,48.97908,1260128,48.221706
"2017-03-24",50.359833,50.359833,49.322178,49.631798,2164384,48.86433
"2017-03-27",49.138077,49.623432,48.661087,49.439331,1127124,48.674843
"2017-03-28",49.405857,50.016735,49.163181,49.866108,977391,49.095024
"2017-03-29",50.092049,50.552299,49.799164,49.916317,1644679,49.144447
"2017-03-30",49.974895,50.200836,49.748955,49.891212,1380703,49.119732
"2017-03-31",49.849373,50.543934,49.690376,50.393307,1458737,49.614063
"2017-04-03",50.393307,50.753139,49.824268,50.317993,2292010,49.539921
"2017-04-04",50.309624,50.460251,50.046024,50.225941,1809708,49.449287
"2017-04-05",50.426777,50.870293,50.259415,50.418411,1660931,49.638779
"2017-04-06",50.435146,50.861923,50.334728,50.686192,860281,49.90242
"2017-04-07",50.694561,50.794979,50.50209,50.602509,623073,49.82003
"2017-04-10",50.627617,51.138077,50.602509,51.046024,1463397,50.256687
"2017-04-11",50.761505,51.02092,50.552299,50.853558,2960493,50.067196
"2017-04-12",50.870293,50.995815,50.401672,50.627617,1847590,49.844757
