"dates","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume","PVH.Adjusted"
"2010-01-04",40.919998,41.549999,40.52,41.099998,540500,40.385014
"2010-01-05",41.029999,42.720001,41,42.639999,834600,41.898235
"2010-01-06",42.509998,43.759998,42.509998,43.66,1111400,42.900494
"2010-01-07",43.450001,44.5,43.450001,43.66,476800,42.900494
"2010-01-08",43.389999,43.73,43.139999,43.59,332400,42.831718
"2010-01-11",43.84,43.869999,43.130001,43.5,327100,42.743271
"2010-01-12",44.759998,44.919998,42.849998,43.349998,851600,42.595886
"2010-01-13",43.619999,43.919998,43.349998,43.720001,433400,42.95945
"2010-01-14",43.549999,44.130001,43.509998,43.639999,571500,42.880848
"2010-01-15",43.290001,43.900002,43.060001,43.209999,308200,42.458317
"2010-01-19",43.32,43.599998,42.939999,43.509998,417400,42.753109
"2010-01-20",43.040001,43.439999,42.889999,43.25,509800,42.49762
"2010-01-21",43.290001,43.52,42.25,42.639999,598200,41.898235
"2010-01-22",42.669998,42.84,41.34,41.509998,397600,40.787884
"2010-01-25",41.990002,41.990002,40.950001,41.02,662300,40.306416
"2010-01-26",40.939999,41.310001,39.939999,40.009998,1022900,39.313984
"2010-01-27",39.869999,40.330002,39.540001,40.220001,602700,39.520336
"2010-01-28",40.310001,40.48,39.799999,40,877000,39.304153
"2010-01-29",40.200001,40.330002,39.200001,39.290001,635200,38.606514
"2010-02-01",39.580002,39.959999,39.299999,39.810001,440100,39.117466
"2010-02-02",39.759998,40.689999,39.689999,40.66,373300,39.952675
"2010-02-03",40.34,40.349998,39.740002,40.040001,691400,39.34346
"2010-02-04",39.669998,40.41,39.5,39.540001,747900,38.852177
"2010-02-05",39.52,39.52,38.25,38.689999,1108200,38.016949
"2010-02-08",38.860001,39.419998,38.470001,38.599998,578300,37.92852
"2010-02-09",38.939999,39.5,38.650002,39.259998,353700,38.57703
"2010-02-10",39.029999,39.509998,38.860001,39.130001,442000,38.449291
"2010-02-11",39.16,39.93,38.900002,39.869999,370500,39.17643
"2010-02-12",39.560001,40.25,39.259998,40.220001,443500,39.520336
"2010-02-16",40.459999,40.869999,40.080002,40.849998,422700,40.13937
"2010-02-17",41.599998,43.07,41.5,42.380001,1247000,41.64275
"2010-02-18",42.389999,42.73,42.279999,42.68,408900,41.937534
"2010-02-19",42.709999,42.990002,42.130001,42.380001,502100,41.64275
"2010-02-22",42.349998,42.509998,42.150002,42.360001,328900,41.6231
"2010-02-23",42.150002,42.790001,41.900002,42.5,432000,41.760677
"2010-02-24",42.560001,43.279999,42.41,43.220001,478900,42.468155
"2010-02-25",42.610001,43.029999,42.330002,42.990002,458700,42.242149
"2010-02-26",43.09,43.610001,42.970001,43.52,401800,42.762924
"2010-03-01",43.610001,44.32,43.5,44.299999,400300,43.52935
"2010-03-02",44.310001,44.59,43.849998,44.139999,513200,43.372131
"2010-03-03",43.889999,43.889999,42.380001,42.439999,1443100,41.701714
"2010-03-04",42.630001,43,42.490002,42.900002,990600,42.153732
"2010-03-05",43.189999,44.310001,43.130001,44.310001,902700,43.5392
"2010-03-08",44.419998,46.650002,44.349998,46.240002,1511700,45.435612
"2010-03-09",46.009998,46.779999,45.459999,45.709999,780600,44.914833
"2010-03-10",45.599998,46.450001,45.41,46.279999,588400,45.474922
"2010-03-11",45.939999,48.369999,45.709999,47.669998,1776800,46.840736
"2010-03-12",47.82,48.779999,47.439999,47.740002,634900,46.909523
