"dates","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2010-01-04",62.139999,62.139999,61.169998,61.669998,1338000,53.977482
"2010-01-05",61.59,61.860001,59.549999,60.209999,3081500,52.699608
"2010-01-06",60.389999,61.02,58.919998,59.419998,2491700,52.008133
"2010-01-07",59.419998,60.470001,59.419998,59.950001,1340000,52.472038
"2010-01-08",59.939999,60.470001,59.779999,60.459999,865300,52.918411
"2010-01-11",61.970001,61.970001,58.540001,59.630001,1536800,52.191952
"2010-01-12",59.419998,60.34,59.25,59.419998,1381700,52.008133
"2010-01-13",59.610001,60.360001,59.610001,60.18,660000,52.673363
"2010-01-14",60.259998,60.709999,60.130001,60.529999,1073400,52.979687
"2010-01-15",60.27,60.27,59.169998,59.189999,1671600,51.80682
"2010-01-19",58.880001,59.419998,58.299999,59.369999,1167600,51.964394
"2010-01-20",59.040001,59.040001,58.439999,58.790001,1014700,51.456722
"2010-01-21",58.700001,59.52,58.369999,58.610001,1583200,51.299187
"2010-01-22",58.630001,59.189999,57.860001,58,1871200,50.765274
"2010-01-25",58.52,59.389999,58.259998,58.919998,2043600,51.570518
"2010-01-26",62.799999,64.300003,62.560001,62.830002,6087100,54.99279
"2010-01-27",62.830002,64.059998,62.279999,63.869999,2272100,55.903069
"2010-01-28",64.080002,64.080002,63.130001,63.580002,1580300,55.64925
"2010-01-29",63.66,64.629997,63.080002,63.349998,2061500,55.447926
"2010-02-01",63.77,64.75,63.5,64.620003,1190500,56.559517
"2010-02-02",64.849998,65.620003,63.799999,65.559998,1478800,57.382256
"2010-02-03",65.330002,65.330002,63.950001,64.25,1536300,56.235672
"2010-02-04",64.129997,64.169998,63.490002,63.849998,1525500,55.885567
"2010-02-05",64.019997,64.25,62.860001,63.900002,1376000,55.929329
"2010-02-08",63.98,64.099998,63.110001,63.200001,1269800,55.316635
"2010-02-09",63.639999,64.410004,63.470001,63.77,1605700,55.815552
"2010-02-10",63.599998,63.650002,62.599998,62.98,1752100,55.124084
"2010-02-11",62.990002,63.779999,62.900002,63.73,1052700,55.780529
"2010-02-12",63.16,64.040001,62.650002,63.950001,1042100,55.973095
"2010-02-16",64.25,64.800003,64.18,64.540001,748200,56.48951
"2010-02-17",64.910004,65.419998,64.830002,65.040001,740100,56.927147
"2010-02-18",65.089996,65.339996,64.309998,65.230003,714100,57.093433
"2010-02-19",64.949997,65.639999,64.800003,65.370003,739100,57.215961
"2010-02-22",65.519997,65.739998,64.669998,64.809998,933300,56.725803
"2010-02-23",64.470001,65.029999,64.059998,64.129997,789800,56.130634
"2010-02-24",64.099998,64.57,63.860001,64.389999,646200,56.676369
"2010-02-25",63.810001,64.400002,63.34,64.339996,827000,56.632347
"2010-02-26",64.410004,64.449997,63.330002,63.380001,1090500,55.787357
"2010-03-01",63.599998,63.98,63.040001,63.740002,853600,56.104237
"2010-03-02",64.169998,64.230003,63.650002,64.080002,660200,56.403496
"2010-03-03",64.290001,64.410004,63.849998,64.010002,948700,56.341892
"2010-03-04",64.199997,65.150002,64.129997,64.730003,1065000,56.97562
"2010-03-05",65.110001,65.330002,64.769997,65.160004,707500,57.354126
"2010-03-08",65.32,65.559998,64.970001,65.260002,954800,57.442139
"2010-03-09",64.910004,65.989998,64.910004,65.5,681500,57.653389
"2010-03-10",65.389999,65.389999,64.400002,64.699997,1266900,56.949219
"2010-03-11",65.269997,65.269997,63.889999,65.25,1245200,57.433357
"2010-03-12",65.440002,65.669998,65.040001,65.540001,719400,57.688591
"2010-03-15",65.599998,65.650002,65.089996,65.610001,648600,57.750214
"2010-03-16",65.699997,65.699997,64.519997,65.07,861500,57.274902
"2010-03-17",65.120003,66.169998,64.940002,65.760002,1222100,57.882259
"2010-03-18",65.68,66.099998,65.279999,65.279999,1055900,57.459759
"2010-03-19",65.300003,65.57,65.029999,65.300003,2041100,57.477352
"2010-03-22",65.110001,66.150002,64.839996,65.760002,1189200,57.882259
"2010-03-23",65.769997,66.519997,65.43,66.459999,863400,58.498394
"2010-03-24",66.32,66.459999,65.559998,65.849998,818200,57.961464
"2010-03-25",66.199997,67.089996,65.870003,66.400002,1722700,58.445564
"2010-03-26",66.639999,67.160004,66.5,66.839996,887800,58.832848
"2010-03-29",67.129997,67.389999,66.839996,67.010002,550800,58.982494
"2010-03-30",67.040001,67.410004,66.940002,66.970001,818300,58.9473
"2010-03-31",66.800003,68.029999,66.629997,67.68,1107600,59.572243
"2010-04-01",67.809998,68.82,67.809998,68.25,988300,60.073959
"2010-04-05",68.18,69.129997,68.080002,68.989998,953800,60.725323
"2010-04-06",68.75,69.93,68.400002,69.870003,1132400,61.49987
"2010-04-07",69.779999,70.239998,69.239998,69.849998,1879300,61.482265
"2010-04-08",69.309998,71.260002,68.919998,70.839996,3189900,62.353691
"2010-04-09",70.910004,71.32,70.199997,71.209999,1382300,62.679344
"2010-04-12",71.360001,72.779999,71.019997,72.309998,2499200,63.647579
"2010-04-13",71.959999,72.379997,71.790001,72.330002,2320700,63.665184
"2010-04-14",72.510002,72.809998,71.769997,72.790001,1394600,64.070061
"2010-04-15",72.639999,73.650002,72.379997,73.489998,1264100,64.686256
"2010-04-16",73.360001,73.519997,72.629997,72.959999,1705400,64.219734
"2010-04-19",72.349998,73.18,72.139999,73.169998,1101200,64.404549
"2010-04-20",73.32,74.139999,73.230003,73.980003,1391800,65.117554
"2010-04-21",73.730003,74.68,73.730003,74.309998,1739700,65.40799
"2010-04-22",73.110001,79.550003,73.110001,79.330002,4325000,69.826607
"2010-04-23",78.029999,79.650002,77.839996,79.540001,2086600,70.011475
"2010-04-26",79.709999,80.330002,79.099998,79.940002,1202500,70.363533
"2010-04-27",79.059998,80.209999,78.410004,79.410004,2239300,69.897034
"2010-04-28",79.559998,79.730003,78.889999,79.32,2146000,69.81781
"2010-04-29",79.790001,79.860001,78.860001,79.150002,1377800,69.668205
"2010-04-30",79.290001,79.639999,78.019997,78.07,1456500,68.717575
"2010-05-03",78.18,80.220001,77.779999,80.010002,1210100,70.425163
"2010-05-04",79.360001,79.360001,77.839996,78.449997,1163700,69.05204
"2010-05-05",77.779999,78.389999,76.660004,77.050003,1881400,67.819763
"2010-05-06",76.769997,77.720001,73.669998,76.330002,2297900,67.18602
"2010-05-07",76.25,78.019997,75.480003,75.949997,3197900,66.851517
"2010-05-10",77.339996,79.529999,77.339996,79.449997,1466400,69.932251
"2010-05-11",78.519997,80.489998,78.410004,79.480003,995400,69.958626
"2010-05-12",79.809998,80.529999,79.779999,80.419998,1287200,70.786026
"2010-05-13",80.040001,80.230003,77.970001,78.220001,1272000,68.849602
"2010-05-14",77.879997,78.449997,77.07,77.739998,1579200,68.427094
"2010-05-17",78.190002,79.239998,77.400002,79.120003,1848700,69.641785
"2010-05-18",79.589996,79.669998,77.769997,78.080002,1032800,68.726364
"2010-05-19",77.25,78.199997,76.389999,77.93,1847500,68.912079
"2010-05-20",76.550003,76.839996,75.040001,75.400002,2001900,66.674835
"2010-05-21",74.82,76.279999,74,75.720001,2450100,66.957764
"2010-05-24",74.050003,77.050003,74.029999,75.879997,1794900,67.099297
"2010-05-25",74.599998,75.879997,73.790001,75.519997,1771000,66.780952
"2010-05-26",76.410004,76.910004,74.779999,75.059998,2454600,66.374184
"2010-05-27",76.260002,77.120003,75.449997,77.099998,1398700,68.178123
"2010-05-28",76.980003,77.239998,75.989998,76.629997,1370400,67.762505
"2010-06-01",76.010002,78.230003,76.010002,76.400002,1394900,67.559105
"2010-06-02",76.550003,77.480003,76.120003,77.25,1539300,68.310776
"2010-06-03",77.370003,77.790001,76.32,76.879997,855800,67.983589
"2010-06-04",75.830002,76.099998,74.669998,74.910004,1838400,66.241539
"2010-06-07",74.82,75.260002,73.599998,73.599998,2361900,65.08313
"2010-06-08",73.559998,73.970001,72.779999,73.870003,2099100,65.321892
"2010-06-09",74.470001,75.230003,73.82,74.089996,1243800,65.516418
"2010-06-10",75.07,76.300003,74.699997,76.169998,1120100,67.355736
"2010-06-11",75.800003,76.639999,75.400002,76.639999,936100,67.771317
"2010-06-14",76.790001,77.980003,76.580002,76.629997,806300,67.762505
"2010-06-15",77.089996,77.919998,76.870003,77.919998,1183100,68.903236
"2010-06-16",77.690002,78.400002,76.849998,77.239998,906000,68.30191
"2010-06-17",77.620003,77.650002,76.010002,76.599998,979100,67.735962
"2010-06-18",76.889999,77.089996,75.980003,76.18,2365500,67.364563
"2010-06-21",76.949997,77.18,76.190002,76.440002,1254000,67.59449
"2010-06-22",76.589996,76.779999,74.639999,74.760002,1360000,66.108887
"2010-06-23",74.5,74.739998,73,74.139999,1565800,65.560646
"2010-06-24",73.650002,73.760002,71.620003,71.650002,1690700,63.358788
"2010-06-25",71.82,72.010002,71.059998,71.480003,2020500,63.208469
"2010-06-28",71.5,72.029999,71.059998,71.080002,1108100,62.85474
"2010-06-29",70.550003,70.730003,69.360001,70.400002,1956200,62.253422
"2010-06-30",70.059998,71.089996,69.059998,69.190002,1695900,61.183449
"2010-07-01",69.150002,70.220001,67.919998,69.940002,1825800,61.846645
"2010-07-02",69.940002,70.349998,68.980003,69.43,837800,61.39566
"2010-07-06",69.959999,70.309998,69.080002,69.82,1271900,61.74054
"2010-07-07",69.910004,72.150002,69.57,72.059998,1217600,63.72134
"2010-07-08",72.349998,73,71.849998,72.620003,1464800,64.216545
"2010-07-09",72.790001,72.82,71.860001,72.230003,896400,63.871655
"2010-07-12",72.099998,72.650002,71.739998,72.019997,595700,63.685966
"2010-07-13",72.610001,73.769997,72.57,73.220001,832900,64.747116
"2010-07-14",70.529999,71.709999,70.5,71.639999,1658500,63.349941
"2010-07-15",71.730003,71.839996,70.160004,71.07,1300500,62.845894
"2010-07-16",70.790001,70.989998,69.370003,69.440002,934400,61.404526
"2010-07-19",69.639999,70.110001,69.169998,69.809998,831900,61.731689
"2010-07-20",67.720001,69.940002,67.580002,69.849998,1679900,61.76709
"2010-07-21",70.43,70.43,69.160004,69.559998,1910700,61.510635
"2010-07-22",67.010002,69.650002,66.32,66.879997,4006200,59.140743
"2010-07-23",67.220001,70.099998,67.080002,68.989998,1985600,61.006596
"2010-07-26",68.82,69.849998,68.800003,69.68,1294400,61.616764
"2010-07-27",70.269997,70.269997,69.339996,69.5,1569400,61.457569
"2010-07-28",69.510002,69.800003,69.239998,69.389999,1418200,61.360283
"2010-07-29",69.849998,70.190002,67.599998,68.589996,1630500,60.652866
"2010-07-30",68.010002,69.300003,67.809998,69.150002,1094800,61.148056
"2010-08-02",69.580002,71.150002,69.150002,70.93,1306100,62.722095
"2010-08-03",70.720001,70.93,70,70.489998,823200,62.333023
"2010-08-04",70.620003,71.029999,70.169998,70.589996,1539000,62.421444
"2010-08-05",70.480003,70.690002,69.790001,69.93,975400,61.837799
"2010-08-06",69.5,69.690002,68.660004,69.690002,908000,61.625591
"2010-08-09",69.769997,70.080002,69.629997,69.860001,956400,61.775909
"2010-08-10",69.449997,69.849998,68.709999,69.540001,1900100,61.492943
"2010-08-11",68.489998,69.360001,68.269997,68.93,1470400,60.953541
"2010-08-12",68.209999,69.650002,67.93,69.400002,1371600,61.369133
"2010-08-13",69.190002,69.610001,68.75,69.099998,1210900,61.103844
"2010-08-16",68.709999,68.800003,67.889999,68.269997,1062800,60.369896
"2010-08-17",68.919998,70.040001,68.75,69.68,840400,61.616764
"2010-08-18",69.330002,70.089996,68.93,69.559998,614800,61.830074
"2010-08-19",69.269997,69.5,67.449997,67.629997,1356100,60.114548
"2010-08-20",67.239998,68.720001,67.239998,68.339996,986700,60.745625
"2010-08-23",68.360001,69.160004,67.550003,67.639999,721000,60.123428
"2010-08-24",67.029999,67.389999,66.129997,67.150002,1346100,59.687889
"2010-08-25",66.760002,69.599998,66.760002,69.150002,1782900,61.465637
"2010-08-26",69.419998,70.019997,68.860001,68.989998,1332400,61.323399
"2010-08-27",69.43,70.269997,68.760002,70.239998,1022400,62.434475
"2010-08-30",70.18,70.699997,69.239998,69.239998,602800,61.545624
"2010-08-31",68.949997,70.510002,68.459999,70.379997,1596300,62.558949
"2010-09-01",69.989998,71.459999,69.849998,70.879997,1575900,63.003372
"2010-09-02",71.239998,72.699997,71.220001,72.480003,992600,64.425606
"2010-09-03",73.040001,73.239998,72.080002,72.32,838200,64.283356
"2010-09-07",71.900002,72.589996,71.489998,71.860001,648500,63.874466
"2010-09-08",72,72.580002,71.900002,72.309998,644600,64.274445
"2010-09-09",73.050003,73.239998,71.889999,72.029999,556100,64.025597
"2010-09-10",72.059998,72.690002,71.849998,72.269997,607200,64.23893
"2010-09-13",72.809998,73.449997,72.5,72.940002,762100,64.83448
"2010-09-14",72.660004,72.860001,72.07,72.459999,911000,64.407822
"2010-09-15",71.889999,72.43,71.190002,72.099998,869600,64.087807
"2010-09-16",71.739998,72.559998,71.309998,72.410004,940700,64.363373
"2010-09-17",72.419998,72.919998,71.639999,72.470001,1039200,64.416718
"2010-09-20",72.709999,75.089996,72.709999,74.709999,1243200,66.407768
"2010-09-21",74.900002,76.059998,74.339996,75.360001,1457000,66.985558
"2010-09-22",75.25,76.160004,74.980003,75.470001,1251100,67.083336
"2010-09-23",75.139999,75.599998,74.300003,74.43,724800,66.158897
"2010-09-24",75.059998,75.349998,74.510002,75.260002,926400,66.896637
"2010-09-27",75.410004,75.910004,74.849998,75.339996,634000,66.967751
"2010-09-28",75.589996,76.919998,74.68,76.589996,920700,68.078857
"2010-09-29",76.099998,76.150002,74.879997,75.900002,776100,67.465538
"2010-09-30",75.730003,76.160004,74.769997,75.139999,881400,66.789978
"2010-10-01",75.120003,75.790001,73.889999,74.040001,1605500,65.812225
"2010-10-04",74,74.209999,73.330002,73.709999,791800,65.518898
"2010-10-05",74.300003,75.279999,74.010002,74.720001,893700,66.416656
"2010-10-06",74.580002,75.18,73.739998,74,1036300,65.776672
"2010-10-07",74.099998,74.220001,73.010002,73.669998,908200,65.48336
"2010-10-08",73.760002,73.970001,73.389999,73.480003,653200,65.314438
"2010-10-11",72.760002,72.900002,71.120003,72.040001,1468100,64.034462
"2010-10-12",72,73.029999,71.550003,72.720001,907700,64.638908
"2010-10-13",72.93,73.480003,72.660004,73.25,756600,65.110016
"2010-10-14",73.139999,73.610001,72.580002,73.110001,840300,64.985573
"2010-10-15",73.480003,73.639999,71.879997,72,1320600,63.99894
"2010-10-18",71.720001,72.449997,71.309998,72.169998,725100,64.150032
"2010-10-19",71.440002,73.870003,71.370003,72.739998,1570000,64.656693
"2010-10-20",72.889999,73.080002,71.949997,72.790001,738700,64.701141
"2010-10-21",73.120003,73.510002,71.970001,72.459999,989100,64.407822
"2010-10-22",72.639999,73.760002,72.419998,72.980003,785900,64.870026
"2010-10-25",73.449997,74.839996,73.449997,74.57,1612300,66.283318
"2010-10-26",70.699997,72,69.559998,71.949997,4685600,63.954502
"2010-10-27",71.330002,72.07,70.900002,71.959999,1461600,63.963371
"2010-10-28",72.220001,72.449997,71.410004,71.75,986600,63.776711
"2010-10-29",71.449997,73.050003,71.050003,72.970001,1222500,64.86116
"2010-11-01",73.099998,73.419998,71.779999,72.32,1083600,64.283356
"2010-11-02",72.620003,73.040001,72.290001,72.379997,760500,64.336693
"2010-11-03",72.559998,72.720001,71.25,72.150002,792700,64.132248
"2010-11-04",72.690002,72.849998,71.68,72.839996,1201800,64.74556
"2010-11-05",72.860001,73.830002,72.519997,73.269997,1067800,65.127777
"2010-11-08",72.940002,73.510002,72.870003,73.150002,592500,65.021133
"2010-11-09",73.400002,74.139999,72.959999,73.150002,1150000,65.021133
"2010-11-10",73.019997,73.739998,72.660004,73.57,741100,65.394455
"2010-11-11",73.239998,73.940002,72.839996,73.809998,857000,65.60778
"2010-11-12",73.410004,73.860001,72.57,73.059998,668000,64.941139
"2010-11-15",73.169998,74.080002,73.059998,73.510002,713600,65.341118
"2010-11-16",73.080002,73.669998,72.699997,73.559998,1028500,65.385574
"2010-11-17",73.18,73.330002,72.419998,72.800003,757400,65.028252
"2010-11-18",73.279999,73.620003,72.660004,72.730003,834300,64.965736
"2010-11-19",72.709999,73.489998,72.400002,73.379997,582800,65.546349
"2010-11-22",73.019997,74.959999,72.830002,74.739998,939000,66.761147
"2010-11-23",74.269997,74.650002,73.82,74.089996,643300,66.180534
"2010-11-24",74.550003,75.279999,74.290001,75.099998,644600,67.082733
"2010-11-26",74.629997,75.050003,74.5,74.739998,180400,66.761147
"2010-11-29",74.379997,74.449997,73.260002,74.220001,523100,66.296661
"2010-11-30",73.620003,74.860001,73.379997,74.169998,642600,66.252014
"2010-12-01",74.989998,76.139999,74.980003,75.989998,732900,67.877724
"2010-12-02",75.730003,76.889999,75.550003,76.209999,818800,68.074242
"2010-12-03",75.940002,77.260002,75.809998,77.029999,779900,68.806702
"2010-12-06",76.970001,77.120003,76.559998,76.970001,385500,68.75312
"2010-12-07",77.540001,77.910004,76.599998,76.75,409200,68.556595
"2010-12-08",76.730003,77.529999,76.559998,77.239998,692600,68.994278
"2010-12-09",77.559998,77.709999,76.709999,77.5,507900,69.226555
"2010-12-10",77.220001,78.089996,77.220001,77.760002,400100,69.458755
"2010-12-13",78.019997,78.879997,77.760002,78.18,935100,69.833939
"2010-12-14",78.279999,79.5,78.279999,79.379997,1086200,70.905823
"2010-12-15",79.150002,82.75,79.019997,81,2291300,72.352867
"2010-12-16",80.75,82,80.75,81.970001,1020900,73.219322
"2010-12-17",81.910004,82.410004,81.720001,82.019997,901300,73.264008
"2010-12-20",81.760002,83.080002,81.760002,82.949997,549600,74.094688
"2010-12-21",83.029999,83.75,82.839996,83.290001,601300,74.398415
"2010-12-22",83.269997,84.529999,83.269997,84.5,804300,75.479218
"2010-12-23",84.300003,84.989998,84,84.110001,623900,75.13089
"2010-12-27",84.32,84.389999,83.919998,84.260002,260300,75.264862
"2010-12-28",84.300003,84.529999,83.550003,83.75,610800,74.809349
"2010-12-29",83.919998,84.230003,83.459999,83.870003,520100,74.916466
