"dates","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2010-01-04",62.200001,62.290001,61.419998,62.18,773700,46.526424
"2010-01-05",62.220001,62.34,61.580002,61.889999,677800,46.309422
"2010-01-06",61.880001,62.380001,61.810001,62.110001,1060200,46.474033
"2010-01-07",62.439999,62.439999,61.52,61.939999,981500,46.346821
"2010-01-08",61.889999,62.139999,61.18,62.080002,635900,46.451599
"2010-01-11",62.389999,62.490002,61.709999,61.939999,449700,46.346821
"2010-01-12",61.91,62.669998,61.810001,62.650002,770600,46.878098
"2010-01-13",62.650002,63,62.41,62.630001,478300,46.863132
"2010-01-14",62.459999,62.669998,62.099998,62.110001,653100,46.474033
"2010-01-15",62.009998,62.580002,61.59,61.900002,693900,46.316902
"2010-01-19",61.790001,62.5,61.790001,62.439999,464700,46.720963
"2010-01-20",62.150002,62.150002,61.139999,61.619999,549100,46.107399
"2010-01-21",61.540001,62.119999,60.279999,60.57,1038500,45.321724
"2010-01-22",60.369999,60.52,59.720001,59.970001,858600,44.872772
"2010-01-25",60.330002,60.529999,59.700001,60.369999,467200,45.172073
"2010-01-26",60.259998,60.810001,59.639999,60.709999,786300,45.426476
"2010-01-27",60.59,61.220001,60.59,61.139999,643600,45.748226
"2010-01-28",61.139999,61.27,60.66,60.990002,577200,45.635986
"2010-01-29",61.110001,61.110001,59.939999,60.07,802100,44.947609
"2010-02-01",60.18,61.169998,60.110001,61.119999,657500,45.733261
"2010-02-02",61.209999,62.400002,61.209999,62.349998,781800,46.653614
"2010-02-03",62.34,62.34,61.439999,61.869999,499400,46.294441
"2010-02-04",61.599998,61.66,60.27,60.299999,652500,45.119705
"2010-02-05",60.040001,60.23,59.040001,59.509998,1000100,44.528576
"2010-02-08",59.549999,59.98,59.18,59.380001,378200,44.431309
"2010-02-09",59.919998,60.759998,59.75,60.040001,638400,44.925167
"2010-02-10",59.939999,59.950001,59.450001,59.709999,359300,44.940205
"2010-02-11",59.59,59.869999,58.939999,59.700001,620800,44.932678
"2010-02-12",59.330002,59.720001,58.700001,59.02,939200,44.420879
"2010-02-16",59.139999,60,59.02,59.849998,655200,45.04557
"2010-02-17",59.790001,60.59,59.689999,60.34,695400,45.414375
"2010-02-18",60.330002,61.049999,60.32,60.900002,447100,45.835857
"2010-02-19",60.740002,61.200001,60.459999,60.549999,821800,45.572426
"2010-02-22",60.75,60.959999,60.27,60.389999,802100,45.451988
"2010-02-23",60.349998,60.560001,59.709999,60.110001,1380600,45.241253
"2010-02-24",60.150002,60.150002,57.720001,58.669998,3051200,44.157444
"2010-02-25",58.119999,59.41,57.75,59.389999,1258100,44.699364
"2010-02-26",59.52,59.919998,59.029999,59.68,1118700,44.917625
"2010-03-01",59.919998,59.93,59.32,59.509998,780900,44.789673
"2010-03-02",59.549999,59.950001,59.439999,59.849998,819000,45.04557
"2010-03-03",59.849998,59.950001,59.400002,59.560001,702700,44.827305
"2010-03-04",59.599998,59.849998,59.380001,59.700001,739900,44.932678
"2010-03-05",59.869999,59.950001,59.419998,59.66,602800,44.902565
"2010-03-08",59.48,59.560001,58.91,59.169998,932300,44.533775
"2010-03-09",59.169998,59.529999,59.029999,59.200001,939900,44.556355
"2010-03-10",59.279999,59.279999,58.869999,59.189999,665500,44.54884
"2010-03-11",59.009998,59.18,58.509998,58.950001,864900,44.368202
"2010-03-12",58.919998,59.330002,58.880001,59.18,658600,44.541302
"2010-03-15",59.16,59.509998,59.130001,59.380001,689400,44.691826
