"dates","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2010-01-04",67.695999,68.695999,67.503998,68.482002,2660500,44.038776
"2010-01-05",68.085999,68.856003,67.587997,68.426003,2835000,44.002773
"2010-01-06",68.101997,68.400002,67.615997,67.961998,2522500,43.704395
"2010-01-07",67.886002,68.421997,67.624001,68.045998,2940500,43.758408
"2010-01-08",67.882004,70.010002,67.540001,69.863998,4470500,44.927525
"2010-01-11",70.024002,70.606003,69.241997,69.849998,2242500,44.918518
"2010-01-12",69.758003,70.260002,68.267998,68.433998,2433000,44.0079
"2010-01-13",68.688004,68.898003,66.902,68.646004,3101000,44.144257
"2010-01-14",68.400002,68.846001,67.998001,68.349998,1585500,43.953918
"2010-01-15",68.349998,68.601997,67.400002,67.447998,2306500,43.373848
"2010-01-19",67.410004,68.222,66.93,67.638,2519000,43.496033
"2010-01-20",66.739998,67.197998,65.641998,65.998001,3049500,42.44141
"2010-01-21",66.134003,66.134003,61.169998,62.203999,9080000,40.001583
"2010-01-22",61.632,63.599998,61.630001,62.425999,5768500,40.144348
"2010-01-25",63.285999,63.612,61.312,61.397999,3680000,39.48328
"2010-01-26",60.259998,60.324001,57.208,57.240002,6832500,36.809399
"2010-01-27",57.518002,59.099998,56.722,58.866001,6649000,37.855019
"2010-01-28",59.695999,60,57.852001,58.102001,5256500,37.363708
"2010-01-29",58.722,59.276001,57.167999,57.363998,3903000,36.889118
"2010-02-01",57.618,58.529999,56.706001,58.243999,3722000,37.455032
"2010-02-02",58.200001,59.144001,57.622002,58.641998,3470000,37.710979
"2010-02-03",58.458,59.195999,58.015999,58.422001,3455000,37.5695
"2010-02-04",57.299999,57.299999,53.150002,53.858002,11223000,34.634514
"2010-02-05",54.200001,56.534,54.200001,56.16,8544500,36.114876
"2010-02-08",57,58.765999,56.035999,56.056,7100000,36.047989
"2010-02-09",56.939999,57.560001,56.042,56.636002,3779500,36.420963
"2010-02-10",56.304001,56.316002,55.183998,55.27,5282000,35.542526
"2010-02-11",56.09,57.290001,55.636002,57.014,5299500,36.664051
"2010-02-12",56.598,58.316002,56.242001,58.214001,4503000,37.435741
"2010-02-16",59.004002,59.698002,58.5,59.43,3283500,38.217731
"2010-02-17",59.647999,59.667999,58.414001,58.616001,2089500,37.694237
"2010-02-18",58.532001,58.872002,58.102001,58.338001,2511000,37.515465
"2010-02-19",58.066002,59.698002,57.900002,58.360001,5206000,37.529636
"2010-02-22",57.883999,58.610001,57.169998,57.408001,4063500,36.917423
"2010-02-23",57.487999,57.863998,55.208,55.313999,4706500,35.570827
"2010-02-24",55.854,58.256001,55.638,58.113998,6629500,37.371429
"2010-02-25",57.41,59.139999,57.363998,59.088001,5392000,37.997791
"2010-02-26",59.132,60.338001,58.771999,60.338001,5462000,38.801628
"2010-03-01",60.403999,60.598,59.5,60.206001,3462000,38.716747
"2010-03-02",60.349998,62.535999,60.015999,61.891998,4407500,39.800961
"2010-03-03",61.98,62.228001,60.473999,61.172001,3644000,39.337955
"2010-03-04",61.349998,61.841999,60.438,61.504002,3022500,39.551449
"2010-03-05",62,62.377998,61.666,62.026001,2115500,39.887127
"2010-03-08",62.043999,62.799999,61.119999,62.625999,5004500,40.422855
"2010-03-09",62.141998,62.200001,61.243999,61.627998,5859500,39.778683
"2010-03-10",61.507999,61.821999,61.028,61.580002,3362500,39.747704
"2010-03-11",61.389999,62.655998,61.183998,62.655998,2841000,40.442234
"2010-03-12",63.189999,63.59,62.664001,62.883999,2536500,40.589386
"2010-03-15",62.576,62.911999,61.919998,62.830002,2474000,40.554527
"2010-03-16",62.933998,63.198002,62.396,62.866001,2152000,40.577763
"2010-03-17",63.396,63.509998,62.900002,63.200001,1783000,40.793358
"2010-03-18",63.318001,63.318001,62.014,62.178001,2612000,40.133705
"2010-03-19",62.995998,62.998001,61.924,62.327999,3966500,40.230511
"2010-03-22",62.018002,62.66,61.812,62.321999,1765000,40.226639
"2010-03-23",62.400002,62.580002,61.674,62.118,4332000,40.094971
"2010-03-24",61.928001,64.377998,61.830002,63.779999,3881500,41.167721
"2010-03-25",64.092003,65,63.82,63.970001,2848500,41.290363
"2010-03-26",64.199997,64.970001,62.877998,63.139999,3558500,40.754631
"2010-03-29",63.16,63.599998,62.799999,63.127998,2739500,40.746891
"2010-03-30",63.236,63.48,62.700001,63.23,2149500,40.812725
"2010-03-31",62.790001,63.514,62.674,63.222,2568000,40.80756
"2010-04-01",63.695999,64.473999,63.476002,63.942001,2365000,41.272297
"2010-04-05",64.267998,64.779999,63.09,63.424,3424000,40.937935
"2010-04-06",62.889999,63.66,62.124001,63.380001,2873000,40.909538
"2010-04-07",62.641998,63.666,62.632,62.862,2603500,40.575184
"2010-04-08",62.883999,62.886002,62.125999,62.354,3399500,40.247292
"2010-04-09",62.366001,62.869999,62.133999,62.419998,2043000,40.28989
"2010-04-12",62.658001,62.688,62.062,62.098,1943500,40.082058
"2010-04-13",62.318001,62.318001,61.546001,62.040001,2660000,40.044621
"2010-04-14",62.178001,63.952,61.869999,63.894001,4632500,41.241314
"2010-04-15",63.832001,64.874001,63.557999,64.223999,2619500,41.454319
"2010-04-16",63.835999,64.213997,62.018002,62.438,4238000,40.301506
"2010-04-19",62.604,64.699997,62.521999,64.213997,3461000,41.447857
"2010-04-20",64.688004,65.138,63.804001,64.071999,3080500,41.356201
"2010-04-21",64.068001,64.741997,64.003998,64.5,2774000,41.632462
"2010-04-22",64.297997,68.835999,64.101997,67.594002,8065000,43.629513
"2010-04-23",67.599998,68.349998,66.514,66.972,3618000,43.228062
"2010-04-26",66.973999,69.5,66.251999,68.349998,5133500,44.117504
"2010-04-27",67.912003,69.199997,66.400002,66.652,3971000,43.0215
"2010-04-28",67.038002,67.598,62.804001,66.061996,3996000,42.640678
"2010-04-29",66.598,67.632004,64.101997,66.300003,4449000,42.794308
"2010-04-30",66.800003,67.699997,65.662003,65.853996,3354000,42.50642
"2010-05-03",66.124001,67.033997,65.641998,65.790001,2338000,42.465118
"2010-05-04",64.912003,65.458,63.938,64.43,2971000,41.58728
"2010-05-05",63.675999,66.281998,63.466,64.933998,3173000,41.91259
"2010-05-06",64.657997,65.879997,61.481998,64.278,5217500,41.48917
"2010-05-07",64.599998,65.001999,62.271999,63.037998,6207000,40.688789
"2010-05-10",64.896004,66.599998,64.891998,66.599998,4831000,42.987934
"2010-05-11",65.795998,66.774002,65.491997,65.839996,2922500,42.497387
"2010-05-12",66.195999,66.400002,65.598,65.849998,2702000,42.50383
"2010-05-13",65.832001,66.056,64.769997,64.769997,2003000,41.806725
"2010-05-14",64.517998,64.589996,62.506001,63.082001,3891000,40.717194
"2010-05-17",63.518002,63.646,62.015999,63.209999,2622500,40.799805
"2010-05-18",64,64.556,61.346001,61.647999,3596500,39.791599
"2010-05-19",61.599998,62.442001,60.32,62.138,3393500,40.10788
"2010-05-20",61.195999,62.478001,60.48,60.599998,6452000,39.115143
"2010-05-21",60.012001,63.737999,60.012001,63.702,6643000,41.117382
"2010-05-24",64.447998,66.197998,63.006001,64.601997,5651000,41.698292
"2010-05-25",62.806,63.599998,61.321999,62.459999,5791500,40.315727
"2010-05-26",63.155998,63.778,61.799999,61.931999,4728000,39.974899
"2010-05-27",63.189999,63.917999,62.646,63.787998,3463500,41.172886
"2010-05-28",63.883999,64.419998,63.150002,63.330002,2852000,40.877258
"2010-06-01",63.094002,64.199997,62.231998,62.326,2406500,40.229233
"2010-06-02",63.119999,64.584,62.821999,64.584,3651000,41.686687
"2010-06-03",64.837997,65.040001,63.650002,64.697998,2584500,41.760254
"2010-06-04",63.514,64.206001,61.849998,62.127998,3159000,40.101418
"2010-06-07",62.484001,62.779999,59.886002,59.911999,3949500,38.671062
"2010-06-08",60.25,60.484001,58.18,59.622002,4295500,38.632172
"2010-06-09",59.891998,60.563999,58.226002,58.293999,3323000,37.771706
"2010-06-10",59.529999,60.900002,58.799999,60.717999,3480500,39.342346
"2010-06-11",60,61.155998,59.812,60.490002,2883000,39.194614
"2010-06-14",60.658001,62.487999,60.110001,61.442001,4898000,39.811462
"2010-06-15",62.116001,62.610001,61.554001,61.950001,5041000,40.140625
"2010-06-16",61.428001,62.759998,61.428001,62.130001,2502500,40.257256
"2010-06-17",61.956001,62.495998,61.183998,61.903999,3982500,40.110806
"2010-06-18",62.214001,62.299999,61.099998,61.428001,3663000,39.802414
"2010-06-21",62.02,62.675999,61.132,61.459999,3063500,39.823116
"2010-06-22",61.605999,62.810001,60.703999,60.813999,3765000,39.404552
"2010-06-23",60.807999,61.577999,59.880001,60.113998,2455000,38.950985
"2010-06-24",59.765999,60.178001,57.933998,58.037998,3161000,37.605846
"2010-06-25",58.973999,60.195999,58.652,59.456001,5665500,38.524632
"2010-06-28",59.841999,60.712002,59.360001,59.360001,3740500,38.462429
"2010-06-29",58.669998,58.900002,57.403999,57.582001,3775500,37.310371
"2010-06-30",57.431999,58.09,56.155998,56.310001,3432000,36.486179
"2010-07-01",56.259998,56.790001,54.554001,55.700001,7860500,36.090927
"2010-07-02",55.804001,55.998001,54.726002,54.972,3372000,35.619213
"2010-07-06",55.931999,56.18,54.48,54.903999,4058000,35.575153
"2010-07-07",54.702,55.683998,54.702,55.625999,3082500,36.042961
"2010-07-08",55.852001,56.560001,55.327999,56.326,3354500,36.49654
"2010-07-09",56.330002,56.588001,55,55.438,2885000,35.921154
"2010-07-12",55.136002,55.855999,55,55.403999,3386500,35.899132
"2010-07-13",55.776001,56.175999,55.433998,55.66,2769000,36.065014
"2010-07-14",55.380001,55.790001,54.237999,55.098,3698500,35.700863
"2010-07-15",54.98,55.436001,54.377998,55.27,3153000,35.812313
"2010-07-16",54.962002,55.217999,52.903999,53.245998,5664500,34.500851
"2010-07-19",53.383999,54.004002,53.084,53.493999,2215000,34.661541
"2010-07-20",53.158001,55.189999,53.012001,55.048,3853000,35.668468
"2010-07-21",55.188,55.368,54.566002,54.630001,4436500,35.397617
"2010-07-22",55.174,56.638,55.028,56.344002,3436000,36.508205
"2010-07-23",56.062,57.537998,55.993999,57.312,2766500,37.135437
"2010-07-26",57.257999,57.563999,56.400002,56.734001,2140000,36.760902
