"dates","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2010-04-21",82.824409,83.562119,81.540604,82.278313,4495328,55.789677
"2010-04-22",81.483124,81.837608,80.678352,81.722641,4756167,55.41288
"2010-04-23",81.866348,83.849533,81.032837,83.811211,4830170,56.829079
"2010-04-26",83.983665,85.056694,83.523796,83.744148,4043269,56.783607
"2010-04-27",83.178894,83.868698,80.51548,80.812485,5735227,54.795757
"2010-04-28",81.310677,81.741798,80.352608,81.339417,5132656,55.153053
"2010-04-29",81.368156,82.977699,81.166962,82.632797,5680012,56.030048
"2010-04-30",83.006439,86.637497,82.79567,84.941727,10390670,57.595654
"2010-05-03",85.430336,87.174011,85.248306,86.21595,6950181,58.459663
"2010-05-04",84.318985,84.405212,81.674736,82.910637,6012871,56.218433
"2010-05-05",81.454384,81.693893,78.88678,79.404129,9211727,53.840794
"2010-05-06",78.88678,80.132256,71.088158,77.047302,12066972,52.242733
"2010-05-07",76.903587,78.187393,74.518021,77.229332,12910655,52.36618
"2010-05-10",79.739449,81.713058,79.164612,80.630447,8535883,54.672337
"2010-05-11",79.595741,80.994514,79.174194,79.547836,5616133,53.938244
"2010-05-12",79.691551,81.435219,79.691551,81.195702,5150922,55.055603
"2010-05-13",80.8508,81.243607,79.739449,79.921486,4875992,54.191612
"2010-05-14",79.260422,79.758614,76.91317,78.522713,5704227,53.243168
"2010-05-17",78.628098,79.107132,75.993431,77.152687,7276986,52.314198
"2010-05-18",78.561035,79.298744,77.19101,77.535912,8227656,52.574043
"2010-05-19",77.123947,77.593391,74.891663,76.204208,8239555,51.671055
"2010-05-20",74.364723,76.261688,73.397087,74.403053,11224646,50.449768
"2010-05-21",72.889313,76.376656,72.458183,76.079659,9469226,51.586617
"2010-05-24",76.165886,76.300011,74.508438,74.632988,5909538,50.605682
"2010-05-25",72.812668,75.715591,71.758797,75.629372,7879244,51.281292
"2010-05-26",76.558685,77.028137,74.661728,74.901245,6853005,50.787579
"2010-05-27",76.644913,79.059227,76.357498,78.973,6592688,53.548481
"2010-05-28",78.953842,80.36219,78.196976,79.049644,6950703,53.600441
"2010-06-01",78.082008,79.950226,76.644913,76.711975,9831416,52.015358
"2010-06-02",77.344299,78.493973,76.089241,78.417328,7543880,53.171719
"2010-06-03",78.503555,79.921486,76.836525,79.442451,7397438,53.866795
"2010-06-04",77.392204,78.340683,74.335983,75.13118,8711133,50.943493
"2010-06-07",75.495239,77.076042,75.198242,75.437759,6097730,51.151375
"2010-06-08",75.246147,76.932335,74.815018,76.73114,5125872,52.280663
"2010-06-09",77.899971,78.522713,76.060493,76.616173,5995962,52.202351
"2010-06-10",77.938293,80.141838,77.746681,79.988548,5614149,54.500114
"2010-06-11",79.049644,81.540604,78.800552,81.444801,5943043,55.492313
"2010-06-14",82.144188,83.542953,81.061577,81.157387,6765641,55.296467
"2010-06-15",81.952576,83.408829,81.607674,83.102249,5179522,56.621628
"2010-06-16",82.450768,84.098633,81.866348,83.427986,4087421,56.843555
"2010-06-17",83.715408,83.93576,81.952576,82.987282,4324462,56.543282
"2010-06-18",83.035187,83.878281,82.565735,83.332184,5035272,56.778282
"2010-06-21",84.42437,85.114174,81.531029,82.201668,6672432,56.008003
"2010-06-22",82.431602,82.728607,79.892738,80.151421,5439004,54.611084
"2010-06-23",79.701134,81.090317,79.231682,80.295128,4360159,54.708977
"2010-06-24",80.065193,80.467583,77.679619,78.043686,5420425,53.17498
"2010-06-25",78.48439,79.222099,77.210167,78.302361,9883291,53.351223
"2010-06-28",78.714325,79.030487,77.258072,77.516747,3847248,52.815952
"2010-06-29",77.143105,77.143105,74.5755,75.226982,6227680,51.255806
"2010-06-30",75.428177,76.156303,73.837791,73.914436,6066834,50.361515
"2010-07-01",74.125214,74.786278,72.276154,73.531212,6779210,50.100407
"2010-07-02",73.674927,74.556343,72.534828,73.167152,3784309,49.852345
"2010-07-06",73.837791,75.121597,72.870155,73.770729,5170232,50.26358
"2010-07-07",74.163536,76.280853,74.019829,76.242531,5812884,51.947765
"2010-07-08",77.210167,77.852074,76.529945,77.516747,4626530,52.815952
"2010-07-09",77.401779,78.062843,77.076042,77.708359,4110384,52.946499
"2010-07-12",77.420944,78.35984,76.932335,77.516747,2748676,52.815952
"2010-07-13",78.474808,79.202934,78.206551,78.848457,3789841,53.723312
"2010-07-14",78.379005,79.222099,77.938293,78.628098,2815060,53.57317
"2010-07-15",79.145454,79.202934,76.903587,78.656845,3831800,53.592762
"2010-07-16",78.292778,78.292778,75.571884,76.050919,5704958,51.817196
"2010-07-19",76.347916,77.06646,75.610207,76.185043,3136020,51.908581
"2010-07-20",75.207825,77.765846,75.207825,77.555069,3634423,52.842041
"2010-07-21",77.938293,78.436485,76.146721,76.692818,4756689,52.254559
"2010-07-22",77.928719,79.164612,77.478424,78.676003,4374041,53.605804
"2010-07-23",78.3311,78.723907,77.305977,78.695168,4590624,53.618858
"2010-07-26",78.73349,79.691551,78.589775,79.442451,4203071,54.128014
"2010-07-27",79.528679,79.528679,76.050919,76.587433,6075915,52.182755
"2010-07-28",76.616173,77.123947,75.18866,75.571884,4519648,51.490814
"2010-07-29",76.156303,76.4533,73.962341,74.431793,6239475,50.714012
"2010-07-30",73.847374,75.102432,73.636604,74.661728,3875117,50.870682
"2010-08-02",76.261688,77.497589,75.935951,76.826942,4964713,52.345921
"2010-08-03",76.050919,76.54911,75.255722,75.370689,5761530,51.353733
"2010-08-04",75.255722,76.223366,75.083275,75.485657,5070865,51.432056
"2010-08-05",74.834175,75.073692,73.789894,74.345566,5790756,50.655266
"2010-08-06",73.588699,74.115631,72.189926,73.12883,6631621,49.826248
"2010-08-09",73.866539,74.173119,73.234215,73.722824,4754497,50.230961
"2010-08-10",72.688118,74.862923,72.668961,74.546761,6539351,50.792343
"2010-08-11",72.831825,73.770729,72.716866,73.138412,6442280,49.832771
"2010-08-12",72.343216,74.010246,72.333633,73.253372,4151926,49.911102
"2010-08-13",72.9468,73.579117,72.142029,72.228249,3651436,49.212627
"2010-08-16",71.988731,72.831825,70.800735,72.716866,4917952,49.545547
"2010-08-17",73.579117,73.914436,72.678535,73.607857,3913319,50.152615
"2010-08-18",73.205475,73.320442,71.969574,72.448608,4847810,49.362774
"2010-08-19",72.228249,72.525253,71.145638,72.228249,4881211,49.212627
"2010-08-20",71.624672,72.621056,71.346832,71.912086,5715709,48.997211
"2010-08-23",72.113281,73.18631,71.959991,72.400703,5146643,49.33012
"2010-08-24",71.509705,72.103699,70.666611,70.915703,5045501,48.31834
"2010-08-25",70.589966,70.589966,69.133713,69.842674,6634648,47.587227
"2010-08-26",70.446259,71.011513,69.104973,69.200775,4910228,47.149864
"2010-08-27",69.660645,72.391121,69.43071,72.256989,6032599,49.232189
"2010-08-30",71.873772,72.094124,70.666611,70.695351,4117064,48.168194
"2010-08-31",70.407936,71.136063,69.785194,70.015129,4573819,47.704723
"2010-09-01",71.298927,73.770729,71.298927,73.636604,5527203,50.172203
"2010-09-02",73.531212,74.5755,73.15757,74.5755,3442577,50.811909
"2010-09-03",75.054535,75.610207,74.230598,75.03537,3235909,51.125271
"2010-09-07",74.335983,74.345566,72.75518,73.243797,4007989,49.904583
"2010-09-08",72.831825,74.058151,72.831825,73.981506,3689743,50.659012
