"dates","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2010-01-04",84.209999,84.620003,82.150002,82.620003,448000,58.430046
"2010-01-05",82.720001,83.25,81.290001,83.120003,542300,58.783657
"2010-01-06",83.230003,84.650002,83.120003,83.699997,473000,59.193851
"2010-01-07",83.419998,85.290001,83,84.57,284400,59.809132
"2010-01-08",84.349998,84.779999,82.93,83.699997,214100,59.193851
"2010-01-11",84.110001,84.480003,83.620003,83.760002,181800,59.236279
"2010-01-12",83.029999,83.769997,82.07,82.650002,298000,58.451275
"2010-01-13",82.93,84.449997,82.639999,84.290001,209100,59.611115
"2010-01-14",83.599998,85.129997,83.389999,84.860001,250100,60.014225
"2010-01-15",84.769997,85.059998,84,84.290001,244900,59.611115
"2010-01-19",84.25,85.610001,84.150002,85.440002,304000,60.424389
"2010-01-20",85.110001,86.669998,84.32,85.690002,520600,60.6012
"2010-01-21",85.699997,86.669998,83.410004,83.459999,327400,59.024117
"2010-01-22",83.529999,84.800003,80.68,80.879997,431400,57.199528
"2010-01-25",81.709999,82.349998,80.230003,81.449997,295000,57.602604
"2010-01-26",80.559998,82.18,80.550003,81,211100,57.284359
"2010-01-27",80.800003,82.339996,79.449997,82,248500,57.991566
"2010-01-28",82.25,82.269997,80.550003,81.419998,170500,57.581364
"2010-01-29",81.889999,82.18,79.550003,79.690002,372500,56.357922
"2010-02-01",80.18,81.190002,79.370003,80.989998,235200,57.277294
"2010-02-02",81.32,82.529999,80.480003,82.389999,191000,58.267391
"2010-02-03",81.690002,82.019997,79.589996,80.019997,415100,56.59129
"2010-02-04",79.150002,79.150002,77.269997,77.660004,509800,54.922264
"2010-02-05",77.849998,78.489998,76.349998,78.25,504100,55.339523
"2010-02-08",78.690002,79.760002,77.809998,77.870003,339700,55.070793
"2010-02-09",78.739998,78.949997,77.260002,78.25,442200,55.339523
"2010-02-10",78.309998,79.25,76.480003,78.419998,349500,55.459728
"2010-02-11",78.419998,79.529999,77.75,79.440002,190600,56.18111
"2010-02-12",78.5,80.279999,78.379997,80.209999,332900,56.725658
"2010-02-16",81.080002,82.389999,80.650002,82.220001,301200,58.14716
"2010-02-17",82.389999,83.650002,82.230003,83.650002,253400,59.158478
"2010-02-18",83.419998,84.519997,82.849998,84.25,281700,59.582802
"2010-02-19",83.839996,84.410004,83.629997,84.190002,341900,59.540394
"2010-02-22",84.480003,84.940002,83.580002,84.620003,300200,59.844486
"2010-02-23",84.419998,84.970001,83.669998,84.589996,247700,59.823273
"2010-02-24",84.940002,85.239998,84.309998,85.220001,373100,60.26881
"2010-02-25",84.18,85.57,83.75,85.419998,274600,60.410248
"2010-02-26",85.470001,87.050003,85.040001,85.900002,560100,60.749702
"2010-03-01",86.209999,86.57,85.480003,86.519997,195600,61.188179
"2010-03-02",86.989998,87.290001,86.480003,87.099998,348800,61.598389
"2010-03-03",87.07,87.480003,86.599998,87.129997,257400,61.619606
"2010-03-04",87.199997,88.129997,87.150002,88.059998,398500,62.277287
"2010-03-05",88.669998,90.57,88.199997,90.379997,473300,63.91803
"2010-03-08",90.040001,91.269997,89.5,90.540001,339800,64.031197
"2010-03-09",90.110001,90.93,89.410004,89.839996,636900,63.536133
"2010-03-10",89.949997,90.059998,88.860001,89.860001,498800,63.550285
"2010-03-11",89.400002,90.5,89.07,90.459999,390500,63.974617
"2010-03-12",90.959999,91.57,90.18,91.099998,251700,64.427238
"2010-03-15",91,91.849998,89.980003,90.459999,298100,63.974617
"2010-03-16",90.589996,92.370003,90.589996,92.370003,543800,65.325394
"2010-03-17",92.089996,93.980003,92.089996,93.419998,308600,66.067963
"2010-03-18",93.510002,93.860001,92.800003,92.919998,250200,65.714378
"2010-03-19",92.169998,93.510002,91.989998,92.169998,402100,65.18396
"2010-03-22",91.550003,92.959999,91.550003,92.900002,353000,65.700188
"2010-03-23",92.080002,92.849998,90.550003,91.769997,356200,64.901047
"2010-03-24",91.470001,92.5,91.43,91.75,270700,64.886902
"2010-03-25",92.089996,92.559998,90.919998,91.120003,482200,64.441376
"2010-03-26",90.970001,91.589996,89.550003,89.809998,594900,63.514946
"2010-03-29",88.889999,90.239998,88.419998,88.5,536500,63.31675
"2010-03-30",88.449997,90.050003,88.419998,89.82,319400,64.261147
"2010-03-31",89.120003,90.519997,88.540001,89.949997,593200,64.354149
"2010-04-01",90.129997,91.050003,89.230003,90.860001,603300,65.005203
"2010-04-05",91,93.379997,90.970001,93.349998,381500,66.786659
"2010-04-06",92.910004,96.019997,92.860001,96,454400,68.682579
"2010-04-07",95.300003,95.889999,94.480003,94.919998,956300,67.909927
"2010-04-08",94.43,95.5,94.419998,95.050003,333800,68.002892
"2010-04-09",95.639999,98.160004,95.639999,97.720001,525700,69.913124
"2010-04-12",97.25,98.18,97.25,97.739998,733300,69.927437
"2010-04-13",97.849998,100.989998,97.709999,100.629997,353400,71.995079
"2010-04-14",101,101.059998,99.110001,99.32,300600,71.057861
"2010-04-15",99.07,99.57,97.349998,97.410004,381600,69.691353
"2010-04-16",96.75,97.779999,96.279999,96.349998,474500,68.932953
"2010-04-19",95.889999,97.419998,95.269997,96.150002,256200,68.789871
"2010-04-20",96.389999,98.230003,95.349998,98.169998,190200,70.2351
