"dates","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2010-01-04",9.096296,9.220741,8.592593,8.678519,3572438,8.537363
"2010-01-05",8.642963,8.894815,8.444444,8.865185,4010850,8.720994
"2010-01-06",8.847407,9.241481,8.847407,9.028148,2568038,8.881308
"2010-01-07",8.782222,9.111111,8.586667,8.592593,3115800,8.452836
"2010-01-08",8.681481,8.844444,8.574815,8.711111,3129638,8.569426
"2010-01-11",8.737778,8.794074,8.586667,8.660741,1351688,8.519874
"2010-01-12",8.631111,8.785185,8.494815,8.616296,2257538,8.476151
"2010-01-13",8.637037,8.717037,8.515556,8.663704,1354725,8.522788
"2010-01-14",8.435556,8.906667,8.435556,8.642963,1779300,8.502391
"2010-01-15",8.66963,8.66963,8.308148,8.420741,2904188,8.283778
"2010-01-19",8.391111,8.45037,8.16,8.260741,2438100,8.126383
"2010-01-20",8.24,8.24,8.044444,8.157037,1614600,8.024363
"2010-01-21",8.177778,8.293333,7.925926,7.958519,2253825,7.829074
"2010-01-22",7.955556,8.020741,7.816296,7.863704,1582538,7.735802
"2010-01-25",7.940741,7.991111,7.804444,7.908148,1424925,7.779523
"2010-01-26",7.911111,8.053333,7.851852,8,1481963,7.869881
"2010-01-27",8,8.088889,7.985185,8.071111,2987888,7.939836
"2010-01-28",8.311111,8.61037,8.112593,8.183704,5139788,8.050597
"2010-01-29",8.192593,8.29037,8.100741,8.148148,2334825,8.01562
"2010-02-01",8.171852,8.388148,8.148148,8.328889,2196788,8.19342
"2010-02-02",8.373333,8.376296,8.234074,8.305185,1942650,8.170103
"2010-02-03",8.26963,8.447407,8.219259,8.405926,1371938,8.269203
"2010-02-04",8.376296,8.376296,8.24,8.24,1406025,8.105977
"2010-02-05",8.231111,8.346667,8.02963,8.177778,2020613,8.044768
"2010-02-08",8.192593,8.382222,8.062222,8.174815,1789088,8.041852
"2010-02-09",8.281481,8.423704,8.18963,8.379259,1379363,8.24297
"2010-02-10",8.331852,8.379259,8.192593,8.343704,1581863,8.207995
"2010-02-11",8.299259,8.471111,8.148148,8.414815,1932188,8.277948
"2010-02-12",8.373333,8.453333,8.225185,8.45037,1229513,8.312926
"2010-02-16",8.465185,8.465185,8.278519,8.391111,1438088,8.25463
"2010-02-17",8.438519,8.580741,8.405926,8.571852,2121863,8.432432
"2010-02-18",8.548148,8.708148,8.518519,8.542222,2072588,8.403283
"2010-02-19",8.548148,8.657778,8.518519,8.637037,1360125,8.496557
"2010-02-22",8.634074,8.859259,8.61037,8.832593,1718550,8.688931
