"dates","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2016-07-12",171.779999,171.949997,169.600006,170.539993,927900,166.041245
"2016-07-13",170.360001,171.259995,169.509995,170.070007,1172400,165.583694
"2016-07-14",171.389999,172.699997,171.119995,172.020004,516100,167.482224
"2016-07-15",172.509995,173.570007,171,171.910004,439100,167.375107
"2016-07-18",171.5,171.979996,170.470001,170.710007,367100,166.206818
"2016-07-19",170.020004,171.240005,169.699997,171.220001,426100,166.703323
"2016-07-20",172.059998,174.559998,172.059998,173.729996,671900,169.147079
"2016-07-21",173.539993,174.020004,171.570007,171.850006,334100,167.316757
"2016-07-22",171.660004,173.369995,170.699997,173.309998,602000,168.73822
"2016-07-25",165,166.869995,159.279999,163.330002,4247400,159.021454
"2016-07-26",162.619995,166.130005,162.119995,165.470001,1389400,161.105011
"2016-07-27",165.559998,167.600006,165.160004,167.539993,1503800,163.120392
"2016-07-28",167.160004,169.429993,166.979996,169.119995,822500,164.658752
"2016-07-29",168.820007,171.610001,168.490005,170.360001,1030900,165.866028
"2016-08-01",170.089996,172,170.089996,171.479996,708900,166.956497
"2016-08-02",171.229996,171.419998,169.220001,169.580002,628600,165.106583
"2016-08-03",169.5,170.289993,168.490005,169.070007,489900,164.610046
"2016-08-04",169.770004,170.220001,169.130005,169.570007,460200,165.096848
"2016-08-05",170.25,171.070007,169.639999,170.710007,338300,166.206818
"2016-08-08",171.119995,171.729996,170.589996,171.679993,411600,167.151184
"2016-08-09",171.940002,172.610001,170.809998,171.339996,322400,166.82019
"2016-08-10",171.610001,171.860001,170.509995,171.710007,275700,167.180435
"2016-08-11",171.860001,174.600006,171.860001,174.449997,458400,169.848145
"2016-08-12",174.080002,174.080002,172.050003,172.710007,331500,168.154037
"2016-08-15",172.649994,174.259995,172.220001,173.789993,392700,169.205551
"2016-08-16",173.529999,173.75,172.610001,172.720001,341400,168.163788
"2016-08-17",172.869995,173.229996,171.850006,172.880005,553900,168.319534
"2016-08-18",172.720001,173.220001,172.070007,173.220001,302000,168.650604
"2016-08-19",172.729996,176.429993,172.059998,176.399994,1481700,171.746704
"2016-08-22",176,177.130005,175.229996,176.509995,543000,171.853836
"2016-08-23",177,177.470001,176.419998,176.990005,385800,172.321136
"2016-08-24",176.820007,177.149994,176.070007,176.559998,431100,171.902466
"2016-08-25",175.970001,176.880005,175.779999,176.830002,222000,172.165359
"2016-08-26",177.229996,178.960007,176.729996,177.800003,606200,173.109741
"2016-08-29",177.669998,178.669998,177.649994,178.570007,284500,173.859482
"2016-08-30",178.729996,179.169998,178.210007,178.800003,387300,174.083344
"2016-08-31",178.460007,178.770004,176.729996,177.550003,584300,172.866379
"2016-09-01",177.119995,180.869995,176.929993,180.710007,560700,175.942993
"2016-09-02",181.080002,182.240005,180.710007,182.149994,383300,177.345032
"2016-09-06",182.199997,182.199997,179.509995,180.419998,546400,175.660675
"2016-09-07",180.089996,180.330002,179.020004,179.710007,390500,174.969437
"2016-09-08",179.639999,181.509995,178.910004,180.210007,539100,175.456177
"2016-09-09",178.75,179.289993,176.059998,176.059998,516500,171.41568
"2016-09-12",175.270004,180.029999,174.449997,179.800003,462300,175.057022
"2016-09-13",178.580002,178.949997,177.279999,177.580002,432900,172.895569
"2016-09-14",177.360001,178.610001,175.479996,176.259995,378400,171.610367
"2016-09-15",175.809998,178.5,175.490005,178.190002,375000,173.489517
"2016-09-16",177.539993,177.550003,175.389999,177.190002,601500,172.515869
"2016-09-19",177.880005,178.429993,176.270004,176.699997,261300,172.038773
"2016-09-20",177.830002,177.830002,175.979996,175.990005,569700,171.347534
"2016-09-21",176.119995,178.240005,176.089996,178.050003,289300,173.35321
"2016-09-22",178.309998,182.350006,178.309998,182.130005,457000,177.325562
"2016-09-23",182.199997,182.210007,180.100006,180.100006,278900,175.349121
"2016-09-26",179.610001,179.610001,178.039993,178.350006,319900,173.645279
"2016-09-27",178.259995,179.779999,177.380005,179.580002,392300,174.842834
"2016-09-28",179.929993,183.029999,179.889999,182.839996,463500,178.016815
"2016-09-29",181.919998,183.119995,180.550003,181.300003,566600,176.517426
"2016-09-30",182.419998,183.490005,180.880005,182.470001,539200,177.65657
"2016-10-03",181.160004,183,181.009995,182.089996,327300,177.286575
"2016-10-04",182.279999,182.690002,180.75,181.949997,524500,177.150284
"2016-10-05",181.479996,182.949997,181.309998,182.309998,312000,177.793945
"2016-10-06",181.720001,181.789993,179.779999,181.309998,419900,176.818726
"2016-10-07",181.190002,181.190002,178.809998,179.880005,419800,175.424118
"2016-10-10",180.600006,181.229996,179,179.399994,223800,174.956009
"2016-10-11",179.229996,179.229996,175.289993,176.860001,644400,172.478928
"2016-10-12",176.520004,177.270004,175.860001,176.369995,327900,172.001068
"2016-10-13",174.860001,175.020004,173.580002,173.880005,375800,169.572769
"2016-10-14",173.869995,175.589996,172.919998,172.940002,483400,168.656067
"2016-10-17",172.690002,172.919998,171.320007,171.429993,450500,167.183411
"2016-10-18",172.559998,172.610001,170.419998,172.520004,531500,168.24646
"2016-10-19",172.860001,174.699997,172.169998,174.559998,438000,170.235916
"2016-10-20",174.479996,174.610001,172.619995,173.179993,401100,168.890045
"2016-10-21",171.470001,172.929993,170.399994,172.399994,352000,168.12941
"2016-10-24",173.710007,174.869995,171.470001,171.509995,365400,167.261444
"2016-10-25",171.470001,172.360001,170.449997,171.339996,471900,167.095673
"2016-10-26",171.130005,171.259995,169.440002,169.729996,758300,165.525558
"2016-10-27",170.300003,170.520004,167.75,168.479996,678200,164.306519
"2016-10-28",168.979996,169.440002,167.5,167.910004,851900,163.750641
"2016-10-31",168.559998,174.880005,168.559998,173.309998,2106900,169.016876
"2016-11-01",172.869995,174.789993,171.270004,171.580002,2830100,167.329758
"2016-11-02",171.679993,171.970001,169.960007,170.070007,724200,165.857132
"2016-11-03",170.470001,171.309998,169.669998,170.360001,439000,166.139954
"2016-11-04",170.809998,171.320007,169.419998,169.470001,1033700,165.272003
"2016-11-07",171.320007,173.039993,171.270004,172.850006,550000,168.568283
"2016-11-08",173.119995,174.889999,172.139999,174.039993,756800,169.72876
"2016-11-09",173.259995,177.229996,171.570007,176.949997,970000,172.566681
"2016-11-10",177.089996,180.5,176.600006,179.809998,1157500,175.35585
"2016-11-11",179.570007,180.309998,178.009995,178.949997,713700,174.517181
"2016-11-14",179.059998,180.25,178.960007,179.580002,729500,175.131577
"2016-11-15",179.449997,181.779999,178.190002,181.649994,832900,177.150284
"2016-11-16",181.380005,181.710007,180.020004,181.279999,611100,176.789429
"2016-11-17",181.490005,182.25,180.75,181.419998,956000,176.92598
"2016-11-18",181.100006,181.860001,179.960007,180.119995,318400,175.658218
"2016-11-21",181.149994,182.039993,180.779999,182.039993,573900,177.530655
"2016-11-22",182.699997,183.869995,181.779999,183.789993,581700,179.237274
"2016-11-23",183.25,184.429993,183.25,184.199997,377700,179.637115
"2016-11-25",184.220001,184.600006,182.199997,183.130005,172100,178.593628
"2016-11-28",182.800003,183.350006,181.160004,182.080002,415000,177.569626
"2016-11-29",181.630005,182.199997,180.979996,181.100006,293200,176.613937
"2016-11-30",181.690002,182.309998,180.940002,181.110001,740700,176.623672
"2016-12-01",181.410004,182.639999,181.229996,181.830002,668200,177.325882
"2016-12-02",181.660004,182.690002,181.320007,182.320007,518300,177.803696
"2016-12-05",183.169998,184.929993,181.160004,181.639999,569400,177.140533
"2016-12-06",183.779999,185.360001,182.009995,183.050003,924300,178.51561
"2016-12-07",183.720001,183.949997,182.789993,183.509995,962100,178.964218
"2016-12-08",182.630005,183.770004,182.630005,183.289993,1462500,178.74968
"2016-12-09",183.119995,185.929993,182.960007,185.800003,792900,181.19751
"2016-12-12",185.720001,185.809998,184.130005,184.889999,401000,180.310013
"2016-12-13",186,189.440002,185.509995,188.039993,1369800,183.381989
"2016-12-14",187.740005,188.820007,186.330002,186.660004,868500,182.036179
"2016-12-15",186.100006,187.190002,185.259995,186.970001,699200,182.338531
"2016-12-16",187.75,188.470001,184.820007,185,1113700,180.417297
"2016-12-19",185.089996,185.850006,183.860001,184.429993,410000,179.861435
"2016-12-20",185.330002,186.889999,184.919998,186.330002,395500,181.714371
"2016-12-21",186.279999,186.630005,185.789993,185.809998,376400,181.207245
"2016-12-22",186,186.380005,184.699997,186.009995,486500,181.402283
"2016-12-23",186.429993,186.589996,185.619995,185.929993,190000,181.324265
"2016-12-27",185.860001,187.050003,185.860001,186.199997,264800,181.587601
"2016-12-28",186.460007,187.029999,183.740005,183.809998,312900,179.25679
"2016-12-29",184.110001,185.330002,182.639999,183.130005,376300,178.593628
"2016-12-30",184.089996,184.139999,182.029999,183.080002,372300,178.544876
"2017-01-03",184.820007,185.710007,183.740005,184.929993,421400,180.34903
"2017-01-04",185.309998,186.429993,184.449997,185.289993,436900,180.700134
"2017-01-05",184.679993,186.990005,184.300003,185.270004,342700,181.022552
"2017-01-06",187.149994,189.190002,186.419998,187.869995,647800,183.562958
"2017-01-09",188.039993,188.039993,185.970001,186.309998,285300,182.038727
"2017-01-10",185.630005,186.429993,184.550003,186,500700,181.735855
"2017-01-11",185.710007,189.789993,185.059998,188.970001,670500,184.637756
"2017-01-12",188.759995,188.759995,185.630005,187.660004,446300,183.357758
"2017-01-13",189.509995,190.009995,188.119995,188.5,622500,184.178513
"2017-01-17",188.050003,188.389999,185.429993,186.020004,381800,181.755386
"2017-01-18",186.720001,189.089996,185.330002,186.910004,709600,182.624969
"2017-01-19",187.649994,188.220001,185.100006,185.419998,341500,181.169128
"2017-01-20",186.119995,186.869995,185.110001,186.220001,464100,181.95079
"2017-01-23",185.850006,186.710007,185.119995,186.360001,669000,182.08757
"2017-01-24",186.699997,188.479996,186.009995,187.880005,491200,183.572739
"2017-01-25",188.550003,190.899994,188.199997,190.580002,602600,186.210831
"2017-01-26",191.009995,191.940002,189.5,190.440002,457100,186.074081
"2017-01-27",191.119995,191.119995,189.520004,190.75,289900,186.376938
"2017-01-30",190.110001,190.479996,188.360001,190.399994,436200,186.034927
"2017-01-31",190.160004,191.940002,189.580002,191.850006,739700,187.451706
"2017-02-01",192.070007,192.75,190.449997,191.360001,493000,186.972946
"2017-02-02",190.360001,191.899994,189.740005,191.759995,352100,187.363754
"2017-02-03",192.210007,192.919998,191.440002,192.860001,566100,188.438538
"2017-02-06",192.289993,192.990005,191.320007,192.699997,376500,188.282211
"2017-02-07",193.270004,193.339996,191.669998,192.350006,428000,187.940262
"2017-02-08",192.490005,193.110001,191.220001,193.009995,483600,188.585114
"2017-02-09",195.080002,205.690002,194.029999,202.199997,1325000,197.564423
"2017-02-10",203.5,205.779999,203.009995,204.559998,849200,199.870316
"2017-02-13",205.910004,207.380005,204.630005,205.740005,573500,201.02327
"2017-02-14",205.490005,206.690002,204.960007,205.369995,461500,200.661774
"2017-02-15",204.210007,207.600006,203.839996,206.740005,413400,202.000351
"2017-02-16",206.949997,207.130005,204.470001,206.809998,497700,202.068695
"2017-02-17",206.490005,207.220001,205.279999,207.139999,1076800,202.391174
"2017-02-21",207.619995,207.869995,205.970001,207.380005,497000,202.625687
"2017-02-22",206.649994,208.970001,206.649994,207.869995,402300,203.104416
"2017-02-23",209.830002,210.169998,207.330002,209.449997,557100,204.648209
"2017-02-24",209.220001,210,208.460007,209.910004,624900,205.097672
"2017-02-27",209.830002,210.559998,208.729996,210.039993,845000,205.224686
"2017-02-28",210.039993,211.990005,208.339996,209.199997,645300,204.403961
"2017-03-01",211.679993,213.330002,210.669998,212.960007,506000,208.077759
"2017-03-02",212.830002,213.389999,211.589996,212.779999,342400,207.901886
"2017-03-03",211.429993,213.050003,211.270004,212.850006,290900,207.970306
"2017-03-06",211.929993,213.240005,211.229996,212.330002,281900,207.462189
"2017-03-07",211.860001,212.960007,211.320007,211.75,598300,206.895508
"2017-03-08",211.199997,211.869995,210.050003,210.279999,637300,205.459198
"2017-03-09",210.520004,211.690002,210.119995,210.619995,443700,205.791412
"2017-03-10",210.830002,212.550003,209.770004,211.369995,369200,206.524216
"2017-03-13",211.009995,211.740005,210.089996,211.160004,699300,206.319016
"2017-03-14",210.490005,211.539993,209.889999,211.300003,453300,206.455765
"2017-03-15",211.5,214.410004,211.139999,213.929993,526600,209.025497
"2017-03-16",213.679993,214.440002,210.720001,210.949997,627600,206.113815
"2017-03-17",211.160004,211.669998,209.990005,210.940002,742000,206.104034
"2017-03-20",211.059998,211.330002,210.020004,210.229996,279000,205.410355
"2017-03-21",211.210007,211.210007,207.979996,208,491800,203.231445
"2017-03-22",208.669998,209.529999,207.440002,208.690002,340700,203.90564
"2017-03-23",208.830002,209.029999,207.009995,207.460007,673400,202.703842
"2017-03-24",206.509995,207.740005,205.580002,206.5,607700,201.765808
