"dates","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2013-12-12",43.7076,44.979839,43.605,44.118,12935478,42.244148
"2013-12-13",45.123482,45.923759,44.2206,45.349201,1224854,43.423046
"2013-12-16",47.360161,52.839001,44.159039,44.159039,4717690,42.283443
"2013-12-17",44.343719,45.123482,44.282162,44.75412,2313840,42.853245
"2013-12-18",44.795158,45.513359,44.44632,44.795158,2857846,42.892548
"2013-12-19",44.631001,45.985321,44.2206,45.718559,1469103,43.776722
"2013-12-20",46.169998,46.272598,44.85672,45.000359,994834,43.08902
"2013-12-23",45.16452,45.533878,44.241119,44.241119,1220712,42.36203
"2013-12-24",44.3232,44.466839,43.399799,44.138519,1234064,42.263798
"2013-12-26",44.241119,45.06192,44.2206,44.5284,1309211,42.637112
"2013-12-27",44.3232,44.815681,44.2206,44.3232,1090302,42.440624
"2013-12-30",44.569439,45.082439,44.3232,44.918282,871832,43.010437
"2013-12-31",45.144001,46.10844,45.041401,45.657001,1134308,43.717789
"2014-01-02",45.657001,45.862202,44.672039,44.85672,1763791,42.951496
"2014-01-03",44.733601,45.328678,44.631001,45.16452,461257,43.24622
"2014-01-06",45.123482,45.39024,44.65152,45.144001,1172320,43.22657
"2014-01-07",45.144001,45.349201,44.938801,45.144001,1992593,43.22657
"2014-01-08",45.205559,45.205559,44.733601,45.205559,1154240,43.285519
"2014-01-09",45.144001,45.18504,44.54892,44.877239,459600,42.97113
"2014-01-10",44.65152,44.85672,44.261639,44.507881,812329,42.61747
"2014-01-13",44.241119,44.795158,44.241119,44.569439,728216,42.676414
"2014-01-14",44.54892,45.36972,44.405281,45.349201,1251608,43.423046
"2014-01-15",45.246601,45.49284,44.795158,44.95932,915253,43.049732
"2014-01-16",44.938801,45.205559,44.507881,45.06192,1130019,43.147976
"2014-01-17",45.06192,46.293121,44.733601,45.657001,2702290,43.717789
"2014-01-21",46.190521,46.354679,44.815681,44.979839,1280214,43.069374
"2014-01-22",45.123482,46.149479,44.938801,46.087921,1428655,44.130398
"2014-01-23",46.02636,46.498322,45.349201,46.498322,936062,44.523365
"2014-01-24",45.862202,46.12896,45.328678,46.067402,891033,44.110748
"2014-01-27",46.067402,46.067402,44.918282,45.123482,1099610,43.206928
"2014-01-28",44.815681,45.144001,44.631001,44.938801,686209,43.030087
"2014-01-29",44.75412,44.897758,44.241119,44.44632,437865,42.558525
"2014-01-30",44.65152,44.774639,44.3232,44.44632,520273,42.558525
