"dates","TFX.Open","TFX.High","TFX.Low","TFX.Close","TFX.Volume","TFX.Adjusted"
"2010-01-04",55.68,55.93,55.130001,55.490002,288400,48.292942
"2010-01-05",55.48,55.5,54.869999,54.900002,205900,47.779465
"2010-01-06",54.93,55.529999,54.740002,55.450001,303400,48.258114
"2010-01-07",55.610001,56.07,55.349998,55.959999,110100,48.701984
"2010-01-08",55.939999,56.330002,55.799999,56.290001,66600,48.989174
"2010-01-11",57.619999,61.470001,57.23,60.689999,448700,52.818485
"2010-01-12",60.580002,61.52,60.029999,60.18,196700,52.374653
"2010-01-13",60.610001,61.310001,58.82,60,118100,52.217991
"2010-01-14",60.09,60.41,59.459999,59.810001,191300,52.052628
"2010-01-15",59.419998,59.98,58.77,58.82,225900,51.191036
"2010-01-19",59,60.889999,59,60.84,213600,52.949043
"2010-01-20",60.630001,60.720001,59.669998,60.580002,111400,52.722763
"2010-01-21",60.369999,61.099998,59.720001,60.110001,124400,52.313713
"2010-01-22",59.919998,59.93,58.630001,58.82,177100,51.191036
"2010-01-25",58.939999,59.290001,58.16,58.529999,156300,50.938648
"2010-01-26",58.32,59.02,58.169998,58.549999,103800,50.956047
"2010-01-27",58.360001,58.619999,58,58.43,154300,50.851604
"2010-01-28",58.43,58.669998,58,58.310001,72100,50.747185
"2010-01-29",58.189999,58.720001,56.990002,57.16,235600,49.746323
"2010-02-01",57.32,57.799999,56.779999,57.720001,113500,50.233711
"2010-02-02",57.59,58.740002,57.59,58.540001,71500,50.947357
"2010-02-03",58.57,58.889999,57.77,58.299999,68300,50.738487
"2010-02-04",58,58.049999,56.889999,56.939999,85800,49.554867
"2010-02-05",56.84,56.889999,55.990002,56.77,144600,49.406921
"2010-02-08",56.98,57.68,56.689999,57.220001,122700,49.798553
"2010-02-09",57.389999,57.919998,57.049999,57.849998,115300,50.346844
"2010-02-10",57.549999,57.799999,57.110001,57.369999,77400,49.929104
"2010-02-11",57.25,57.82,57.060001,57.75,75000,50.259808
"2010-02-12",57.27,57.900002,56.880001,57.849998,132300,50.346844
"2010-02-16",58.150002,59.189999,57.549999,59.099998,82900,51.434711
"2010-02-17",59.349998,59.490002,58.93,59.09,120400,51.426018
"2010-02-18",59.279999,59.279999,57.209999,59.02,242200,51.365101
"2010-02-19",58.950001,59.759998,58.700001,59.75,114700,52.000416
"2010-02-22",59.98,60.02,59.34,59.639999,83800,51.904675
"2010-02-23",59.43,60,58.84,59.799999,159800,52.04393
"2010-02-24",59.799999,60.48,58.639999,59.740002,212100,51.991714
"2010-02-25",59.200001,59.84,57.759998,59.689999,128300,51.948193
"2010-02-26",59.889999,61.07,59.619999,60.939999,153400,53.036064
"2010-03-01",60.849998,61.450001,60.650002,61.34,115800,53.683712
"2010-03-02",61.630001,63.32,61.630001,63.23,228600,55.337807
"2010-03-03",63,63.66,62.900002,63.209999,152700,55.320286
"2010-03-04",63.169998,63.549999,62.459999,62.709999,183500,54.882698
"2010-03-05",63.009998,63.720001,62.73,63.610001,303000,55.670372
"2010-03-08",63.389999,63.73,63.09,63.25,95100,55.355309
"2010-03-09",63.25,63.59,62.849998,63.110001,78200,55.232792
"2010-03-10",63.279999,63.279999,62.779999,62.900002,213000,55.048985
"2010-03-11",62.560001,62.619999,61.799999,62.060001,223000,54.313835
"2010-03-12",62.080002,62.43,61.5,62.240002,132500,54.471367
"2010-03-15",62.049999,62.380001,61.599998,61.93,112000,54.200058
"2010-03-16",62.169998,62.689999,61.560001,62.110001,188900,54.357586
"2010-03-17",62.369999,62.889999,61.93,62.66,59600,54.838966
"2010-03-18",62.580002,63.68,62.240002,63.599998,94900,55.661625
"2010-03-19",62.740002,63.630001,62.349998,62.740002,241900,54.908958
"2010-03-22",62.279999,63.849998,62.02,63.73,145200,55.775387
"2010-03-23",63.98,64.169998,63.060001,64.029999,108900,56.037945
"2010-03-24",64.029999,64.040001,62.66,62.77,161700,54.935223
"2010-03-25",63.43,63.799999,62.810001,63.279999,174200,55.381554
"2010-03-26",63.529999,63.59,62.5,62.98,86000,55.119011
"2010-03-29",63.200001,64.529999,63.099998,64.519997,141300,56.466774
"2010-03-30",64.830002,65,64.370003,64.459999,92400,56.414268
"2010-03-31",64.459999,65,64.07,64.07,116400,56.072964
"2010-04-01",64.309998,64.669998,63.669998,64.300003,89600,56.274242
"2010-04-05",64.529999,64.790001,64.279999,64.720001,69400,56.641827
"2010-04-06",64.089996,64.669998,64.080002,64.489998,113800,56.440533
"2010-04-07",64.190002,64.529999,63.630001,64.389999,130600,56.353012
"2010-04-08",64.110001,64.160004,63.380001,63.66,95400,55.71413
"2010-04-09",63.630001,63.990002,63.490002,63.970001,119800,55.985435
"2010-04-12",64.129997,64.129997,63.48,63.509998,178600,55.582844
"2010-04-13",63.349998,63.849998,63.209999,63.689999,127100,55.740391
"2010-04-14",63.740002,65.730003,63.73,65.720001,158300,57.51701
"2010-04-15",65.489998,65.919998,65.07,65.389999,144600,57.228191
"2010-04-16",65.349998,65.349998,64.370003,64.410004,99500,56.370518
"2010-04-19",64.129997,64.900002,64.050003,64.699997,119000,56.624306
"2010-04-20",64.860001,66.07,64.860001,66.019997,75700,57.779564
"2010-04-21",65.879997,66.029999,65.370003,65.57,106400,57.385735
"2010-04-22",64.970001,64.970001,63.759998,64.459999,163000,56.414268
"2010-04-23",64.68,65.870003,64.5,65.300003,154600,57.149429
"2010-04-26",65.379997,65.860001,64.669998,64.849998,128200,56.755596
"2010-04-27",63.299999,63.490002,60.950001,61.549999,504400,53.867496
"2010-04-28",61.799999,62.650002,61.650002,62.110001,233600,54.357586
"2010-04-29",62.68,63.599998,62.639999,63.34,190900,55.434067
"2010-04-30",63.580002,64.209999,61.279999,61.32,236000,53.666191
"2010-05-03",61.5,62.18,61.139999,61.990002,221900,54.252571
"2010-05-04",61.5,61.5,60.349998,60.529999,103400,52.974804
"2010-05-05",60.27,60.310001,58.860001,59.889999,133300,52.414688
"2010-05-06",59.52,60.119999,56.5,58.43,176100,51.136913
"2010-05-07",58.549999,59.049999,57.25,58.119999,428700,50.86562
"2010-05-10",60.860001,60.869999,59.060001,59.75,121100,52.292168
"2010-05-11",59.43,60.27,59.189999,59.860001,127100,52.388432
"2010-05-12",59.740002,60.779999,59.200001,60.52,149600,53.268616
"2010-05-13",60.16,60.450001,59.310001,59.540001,115600,52.406036
