"dates","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"2010-01-04",38.259998,38.48,37.610001,37.75,481200,37.52446
"2010-01-05",37.52,38.209999,37.48,38.189999,310900,37.961826
"2010-01-06",37.939999,38.48,37.860001,38.169998,390700,37.94194
"2010-01-07",37.900002,38.700001,37.779999,38.57,350600,38.339558
"2010-01-08",38.25,38.43,37.790001,37.950001,235800,37.723263
"2010-01-11",38,38.150002,37.700001,38,206300,37.772961
"2010-01-12",37.619999,38.220001,37.540001,37.630001,203700,37.405178
"2010-01-13",37.759998,38.66,37.740002,38.66,330000,38.429016
"2010-01-14",38.360001,38.900002,38.110001,38.52,554300,38.319588
"2010-01-15",38.259998,38.310001,37.580002,37.689999,354600,37.493916
"2010-01-19",37.810001,38.59,37.709999,38.25,243700,38.050991
"2010-01-20",38.060001,38.34,37.970001,38.07,230900,37.871933
"2010-01-21",38.259998,38.259998,36.509998,37.040001,498900,36.84729
"2010-01-22",37.02,37.290001,36.529999,36.669998,435400,36.47921
"2010-01-25",36.82,37.060001,36.119999,36.439999,640200,36.250412
"2010-01-26",36.349998,36.759998,35.91,36.16,264300,35.97187
"2010-01-27",36.009998,36.259998,35.43,35.830002,312300,35.643593
"2010-01-28",36.049999,36.060001,35.360001,35.43,228900,35.245667
"2010-01-29",35.669998,35.849998,35.32,35.32,327600,35.136242
"2010-02-01",35.66,35.68,34.900002,35.150002,558800,34.967133
"2010-02-02",35.150002,35.950001,35.150002,35.799999,645500,35.613743
"2010-02-03",35.77,35.799999,35.259998,35.259998,200400,35.07655
"2010-02-04",35.099998,36.59,34.849998,36.450001,677000,36.260357
"2010-02-05",36.419998,36.490002,35.799999,36.169998,466000,35.981815
"2010-02-08",36.259998,36.73,36.060001,36.200001,229800,36.011665
"2010-02-09",36.299999,36.75,35.869999,36.650002,359700,36.459316
"2010-02-10",36.689999,37.049999,36.349998,36.970001,4e+05,36.777657
"2010-02-11",36.849998,37.669998,36.75,37.66,318900,37.464066
"2010-02-12",37.549999,38.400002,37.259998,38.330002,773900,38.130585
"2010-02-16",38.389999,38.470001,37.610001,38.139999,288500,37.941566
"2010-02-17",38.110001,38.799999,38.110001,38.73,254200,38.528496
"2010-02-18",38.509998,38.610001,38.09,38.419998,205600,38.220108
"2010-02-19",38.23,38.599998,38.080002,38.439999,180000,38.239998
"2010-02-22",38.57,39.23,38.029999,39.18,433500,38.976151
"2010-02-23",39.169998,39.459999,38.759998,39.18,655900,38.976151
"2010-02-24",39.139999,40.189999,39.080002,40.080002,391900,39.871479
"2010-02-25",39.75,40.240002,39.650002,40.200001,445700,39.990845
"2010-02-26",40.110001,40.41,39.84,40.060001,419900,39.851578
"2010-03-01",40.279999,40.98,40.029999,40.709999,311200,40.498196
"2010-03-02",40.700001,41,40.490002,40.959999,399200,40.746891
"2010-03-03",41.18,41.240002,39.709999,39.77,624500,39.563087
"2010-03-04",40,40.290001,39.799999,40.200001,492500,39.990845
"2010-03-05",39.41,40.139999,38.150002,38.509998,1297000,38.309639
"2010-03-08",38.639999,39.330002,38.5,39.25,546900,39.045784
"2010-03-09",39.25,39.25,38.73,39.080002,262800,38.876678
"2010-03-10",39.009998,39.919998,38.810001,39.75,264400,39.543194
"2010-03-11",39.810001,39.810001,39.09,39.470001,282300,39.264652
"2010-03-12",39.470001,39.669998,38.709999,38.869999,188600,38.667751
"2010-03-15",38.900002,39.130001,38.540001,38.990002,147400,38.787151
"2010-03-16",38.810001,39.099998,38.240002,39.040001,181100,38.836891
"2010-03-17",39.189999,39.66,39.049999,39.639999,201900,39.433762
"2010-03-18",39.799999,40,39.580002,39.880001,164000,39.67252
"2010-03-19",40.07,40.59,39.619999,40.07,422900,39.861523
"2010-03-22",39.790001,41.549999,39.790001,41.009998,283500,40.796635
"2010-03-23",41.029999,41.029999,40.09,40.68,187600,40.468349
"2010-03-24",40.700001,40.779999,40.09,40.25,164000,40.040581
"2010-03-25",40.380001,40.439999,39.650002,39.689999,203100,39.483494
"2010-03-26",39.790001,39.790001,37.259998,38.02,1260200,37.822197
"2010-03-29",38.150002,38.700001,37.959999,38.509998,805200,38.309639
"2010-03-30",38.549999,38.950001,38.290001,38.720001,587700,38.518547
"2010-03-31",38.610001,39.099998,38.439999,38.880001,497400,38.677719
"2010-04-01",38.990002,39.389999,38.669998,38.970001,292700,38.76725
"2010-04-05",38.889999,39.400002,38.84,39.16,236500,38.956264
"2010-04-06",38.970001,38.970001,38.330002,38.389999,373600,38.190266
"2010-04-07",38.25,38.279999,37.709999,38.049999,242400,37.852032
"2010-04-08",38.080002,38.34,37.639999,38.25,618900,38.050991
"2010-04-09",38.349998,38.759998,38.220001,38.759998,206300,38.558334
"2010-04-12",38.91,39.580002,38.66,39.450001,515300,39.244751
"2010-04-13",39.900002,40.09,38.919998,39.169998,342700,38.966202
"2010-04-14",39.310001,39.360001,38.619999,38.799999,287500,38.598125
"2010-04-15",38.830002,38.830002,38.34,38.57,211300,38.369328
"2010-04-16",38.560001,38.59,37.900002,38.119999,281700,37.921669
"2010-04-19",38.099998,38.549999,37.900002,38.009998,305500,37.812237
"2010-04-20",38.209999,39.57,38.16,39.240002,393400,39.035854
"2010-04-21",39.18,39.25,38.709999,39,222900,38.797096
"2010-04-22",38.869999,38.939999,38.450001,38.650002,238300,38.448929
"2010-04-23",38.709999,38.91,38.360001,38.849998,102800,38.647869
"2010-04-26",38.91,39.220001,38.91,39.060001,236000,38.856781
"2010-04-27",38.880001,39.16,38.779999,38.830002,337900,38.627979
"2010-04-28",38.880001,39.34,38.700001,39.040001,275200,38.836891
"2010-04-29",39.07,39.439999,38.869999,39.400002,184400,39.195015
"2010-04-30",39.349998,39.560001,38.860001,38.889999,318500,38.687668
"2010-05-03",39,39.060001,38.549999,38.889999,268700,38.687668
"2010-05-04",38.57,38.810001,37.369999,37.610001,339900,37.414322
"2010-05-05",37.23,38,36.66,37.700001,319000,37.503845
"2010-05-06",37.57,37.91,35.639999,37.23,435600,37.03632
"2010-05-07",37.07,37.299999,36.110001,36.25,654900,36.061398
"2010-05-10",37.259998,37.73,36.450001,36.73,474400,36.538898
"2010-05-11",36.57,36.700001,36.310001,36.580002,660100,36.389683
"2010-05-12",36.57,37.16,36.57,37.09,400200,36.897026
"2010-05-13",36.959999,37.5,36.959999,37.27,226500,37.076096
"2010-05-14",37.130001,37.130001,36.189999,36.400002,376900,36.210617
"2010-05-17",36.57,37.049999,35.950001,36.619999,376100,36.429482
"2010-05-18",36.73,37.139999,36.540001,36.599998,252600,36.409576
"2010-05-19",36.549999,36.720001,35.970001,36.290001,183800,36.101196
"2010-05-20",36,36.299999,34.759998,35.09,466600,34.907436
"2010-05-21",34.700001,35.209999,34.279999,34.849998,287900,34.668686
"2010-05-24",35.91,37.41,35.700001,35.799999,761600,35.613743
"2010-05-25",35.759998,35.759998,34.700001,35.57,513000,35.384945
"2010-05-26",35.560001,36.369999,35.330002,35.459999,348500,35.275505
"2010-05-27",35.93,37.060001,35.880001,37.02,302100,36.827396
"2010-05-28",37.07,37.27,36.810001,36.860001,218100,36.668224
"2010-06-01",36.709999,36.970001,35.990002,36.049999,233400,35.862438
"2010-06-02",36.110001,37.259998,35.799999,37.130001,349200,36.936821
"2010-06-03",37.150002,38.509998,37.150002,37.959999,626800,37.762505
"2010-06-04",36.939999,38.380001,36.790001,37.220001,943800,37.026356
"2010-06-07",37.310001,37.580002,36.700001,37.029999,556200,36.837337
"2010-06-08",36.950001,37.110001,35.470001,35.700001,822200,35.514267
"2010-06-09",35.91,36.66,35.779999,36,589300,35.812702
"2010-06-10",36.419998,36.419998,35.93,36.150002,336900,35.961914
"2010-06-11",36.040001,36.860001,35.889999,36.799999,377900,36.608543
"2010-06-14",37,37.490002,36.830002,36.919998,329000,36.727917
"2010-06-15",37.07,38.400002,37.07,38.360001,501200,38.160423
"2010-06-16",38.189999,38.869999,38.189999,38.560001,367200,38.359383
"2010-06-17",38.799999,38.919998,38.369999,38.860001,241500,38.657825
"2010-06-18",39.060001,39.919998,38.82,39.799999,712000,39.592926
"2010-06-21",40.369999,41.240002,40.27,40.900002,792100,40.687218
"2010-06-22",40.560001,41.5,40.470001,40.900002,1104800,40.687218
"2010-06-23",40.700001,40.990002,40.220001,40.259998,514600,40.050537
"2010-06-24",40.02,40.360001,39.790001,39.959999,529200,39.752098
"2010-06-25",40.009998,41.810001,39.669998,41.57,1276000,41.353725
"2010-06-28",41.73,41.830002,40.970001,41.540001,1037600,41.323883
"2010-06-29",41.23,41.23,39.950001,40.029999,715800,39.821735
"2010-06-30",40.130001,40.459999,39.669998,39.790001,604600,39.582981
"2010-07-01",39.799999,39.799999,38.959999,39.380001,659800,39.175125
"2010-07-02",39.540001,39.849998,39.040001,39.200001,323700,38.996059
"2010-07-06",39.599998,39.950001,39.07,39.099998,652300,38.896572
"2010-07-07",39.200001,39.66,38.959999,39.610001,634300,39.403923
"2010-07-08",39.84,39.990002,39.290001,39.560001,687200,39.354179
"2010-07-09",39.610001,39.779999,39.349998,39.779999,200300,39.573044
"2010-07-12",39.639999,39.82,39.360001,39.560001,142800,39.354179
"2010-07-13",39.869999,40.200001,39.740002,40.02,226400,39.81179
"2010-07-14",40.189999,40.189999,39.490002,39.830002,305300,39.622776
"2010-07-15",39.889999,39.889999,39.209999,39.290001,426600,39.085594
"2010-07-16",39.139999,39.360001,38.610001,38.630001,480900,38.458385
"2010-07-19",38.75,38.75,37.91,38.189999,639500,38.020332
"2010-07-20",37.93,38.27,37.43,38.27,345300,38.099983
"2010-07-21",38.450001,38.799999,37.700001,37.880001,452400,37.711723
"2010-07-22",38.279999,38.799999,37.950001,38.779999,277800,38.607712
"2010-07-23",38.630001,39.419998,38.630001,39.07,597600,38.896431
"2010-07-26",38.970001,39.900002,38.970001,39.880001,343000,39.702827
"2010-07-27",39.950001,40.040001,39.110001,39.470001,243200,39.294643
"2010-07-28",39.27,39.439999,38.630001,38.849998,239400,38.677402
"2010-07-29",39.060001,39.139999,38.509998,38.939999,295700,38.767006
"2010-07-30",38.400002,39.200001,38.299999,38.860001,338500,38.687366
"2010-08-02",39.150002,39.66,39,39.59,411700,39.41412
"2010-08-03",39.57,40.09,39.259998,39.759998,290700,39.583363
"2010-08-04",39.82,40.790001,39.73,40.68,366900,40.499279
"2010-08-05",40.490002,40.700001,40.200001,40.43,350800,40.250389
"2010-08-06",40.150002,41.23,39.98,41.189999,346000,41.007008
"2010-08-09",41.23,41.369999,40.75,41.02,263000,40.837769
"2010-08-10",40.77,41.040001,40.75,40.950001,337400,40.768078
"2010-08-11",40.459999,40.669998,40.110001,40.200001,435200,40.021404
"2010-08-12",40.049999,40.57,39.900002,40.5,247300,40.32008
"2010-08-13",40.5,40.650002,40.040001,40.099998,322300,39.921852
"2010-08-16",40,41,39.970001,40.939999,383900,40.758121
"2010-08-17",41.32,42.259998,41.209999,41.900002,307600,41.713852
"2010-08-18",41.939999,41.939999,41.360001,41.400002,506400,41.21608
"2010-08-19",41.150002,41.23,40.279999,40.860001,331000,40.678474
"2010-08-20",40.799999,40.869999,40.27,40.810001,137300,40.628693
"2010-08-23",41,41.59,40.970001,41.240002,390100,41.056786
"2010-08-24",41,41.23,40.400002,41.169998,336900,40.987106
"2010-08-25",41.07,41.130001,40.330002,40.650002,397100,40.46941
"2010-08-26",40.700001,40.919998,39.880001,40.02,207600,39.842209
"2010-08-27",40.099998,40.099998,39.369999,39.849998,439500,39.67297
"2010-08-30",39.75,40.040001,39.439999,39.830002,545000,39.653053
"2010-08-31",39.790001,40.599998,39.43,40.34,539400,40.160782
"2010-09-01",40.650002,41,40.490002,40.810001,428400,40.628693
"2010-09-02",40.900002,41.43,40.790001,41.259998,400600,41.076698
"2010-09-03",45,45,43.740002,44.18,2259100,43.983723
"2010-09-07",43.830002,44.310001,43.650002,43.669998,567700,43.475998
"2010-09-08",43.779999,44.060001,43.5,43.66,546300,43.466038
"2010-09-09",43.950001,44.07,43.73,44,458400,43.804531
"2010-09-10",44.119999,44.130001,43.759998,44.049999,452600,43.854301
"2010-09-13",44.599998,46.330002,44.380001,46.150002,1154200,45.944981
"2010-09-14",45.810001,45.810001,45.099998,45.32,703400,45.11866
"2010-09-15",45.279999,46.360001,45.139999,46.259998,425100,46.054485
"2010-09-16",46.099998,46.369999,45.77,46.240002,349500,46.03458
"2010-09-17",46.27,46.529999,45.799999,46.490002,468400,46.28347
"2010-09-20",46.529999,46.619999,46.099998,46.52,390200,46.313339
"2010-09-21",46.610001,46.610001,46.09,46.189999,515400,45.984798
"2010-09-22",45.880001,45.970001,44.869999,45.27,554000,45.068882
"2010-09-23",45.07,45.299999,44.84,44.889999,277400,44.690582
"2010-09-24",45.32,45.84,44.77,45.82,432200,45.616436
"2010-09-27",45.98,46.450001,45.709999,46.419998,679700,46.213776
"2010-09-28",46.450001,46.560001,45.830002,46.380001,620100,46.173958
"2010-09-29",46.200001,46.849998,46.02,46.84,298000,46.631912
"2010-09-30",47.009998,47.279999,46.200001,46.220001,673200,46.014671
"2010-10-01",46.580002,46.990002,46.240002,46.91,423300,46.701599
"2010-10-04",47.82,48.18,45.939999,46.68,716600,46.472622
"2010-10-05",47.049999,47.82,46.970001,47.5,810300,47.288982
"2010-10-06",47.259998,47.75,47.209999,47.509998,503900,47.298935
"2010-10-07",47.84,48.380001,47.52,48.23,490400,48.015739
"2010-10-08",48.220001,48.450001,47.93,48.279999,326800,48.065514
"2010-10-11",48.360001,49.080002,48.150002,48.82,288100,48.603111
"2010-10-12",48.880001,49.470001,48.700001,49.360001,385000,49.140724
"2010-10-13",49.529999,50.610001,49.240002,50.580002,764100,50.355297
"2010-10-14",50.509998,51.09,50.509998,50.779999,590300,50.554405
"2010-10-15",51.040001,51.040001,50.23,50.5,445500,50.275658
"2010-10-18",50.389999,50.970001,50.34,50.82,210700,50.594219
"2010-10-19",50.369999,50.900002,49.650002,49.84,634400,49.618584
"2010-10-20",49.889999,50.959999,49.889999,50.82,311900,50.594219
"2010-10-21",51.049999,51.32,50.369999,50.799999,304400,50.574318
"2010-10-22",50.950001,51.009998,50.470001,50.66,198600,50.434937
"2010-10-25",50.990002,51.099998,50.029999,50.040001,326000,49.817699
"2010-10-26",50,50.27,49.57,49.599998,299100,49.379642
"2010-10-27",49.419998,49.939999,49.110001,49.93,344700,49.708187
"2010-10-28",49.880001,50.970001,49.799999,49.880001,250200,49.658409
"2010-10-29",49.73,49.860001,49.119999,49.34,511100,49.120804
"2010-11-01",49.459999,49.91,49.23,49.57,321400,49.349785
"2010-11-02",49.790001,50.549999,49.73,50.48,200800,50.255745
"2010-11-03",50.490002,50.509998,49.299999,50.049999,330300,49.82766
"2010-11-04",50.349998,50.700001,49.830002,50.029999,307400,49.807739
"2010-11-05",49.939999,50.57,49.779999,50.18,367100,49.957066
"2010-11-08",50.169998,50.169998,49.48,49.619999,169900,49.39957
"2010-11-09",49.77,49.98,49,49.400002,289000,49.180542
"2010-11-10",49.470001,50,49.139999,49.889999,218000,49.668362
"2010-11-11",49.459999,50,49.25,49.66,254700,49.439388
"2010-11-12",49.349998,49.68,49.130001,49.52,217600,49.299995
