"dates","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2010-03-24",102.550003,103.519997,102,102.32,3191100,86.097343
"2010-03-25",103.510002,103.669998,98.970001,99.07,4599100,83.362617
"2010-03-26",99.309998,99.480003,97.089996,98.309998,5131300,82.723106
"2010-03-29",98.980003,100.199997,98.589996,99.800003,4797500,83.976875
"2010-03-30",100.080002,100.239998,99,99.720001,4022100,83.909561
"2010-03-31",100.190002,102.349998,99.949997,101.5,3847900,85.407349
"2010-04-01",102.800003,103.980003,102.650002,103.870003,3331200,87.401566
"2010-04-05",104.230003,106.550003,103.550003,106.209999,3475200,89.370575
"2010-04-06",105.839996,107.040001,105.360001,106.540001,2227700,89.64827
"2010-04-07",106,106.550003,104.660004,105.470001,3953900,88.747894
"2010-04-08",104.779999,106.489998,104.349998,106.290001,2835600,89.437912
"2010-04-09",106.629997,107.379997,106.080002,106.760002,2944300,89.833382
"2010-04-12",106.82,108.099998,106.370003,107.110001,2723400,90.127876
"2010-04-13",107,107,105.330002,106.790001,2077100,89.858612
"2010-04-14",107.639999,108.190002,106.510002,108.059998,2112000,90.927261
"2010-04-15",103.940002,107.290001,103.75,106.669998,9769500,89.757652
"2010-04-16",105.620003,106.790001,104.529999,105.440002,5417900,88.722641
"2010-04-19",104.089996,105.599998,103.849998,105.18,2895500,88.503899
"2010-04-20",106.089996,108.43,106.07,107.809998,3356700,90.846451
"2010-04-21",108.110001,108.480003,107.080002,108.059998,2999100,91.057144
"2010-04-22",106.93,108.470001,105.959999,108.239998,3203600,91.208801
"2010-04-23",107.910004,109.989998,106.699997,109.870003,3774300,92.582321
"2010-04-26",109.860001,111,109.07,109.489998,3466700,92.262123
"2010-04-27",108.970001,109.25,105.5,105.860001,3838600,89.203293
"2010-04-28",106.459999,107.150002,104.830002,106.580002,2877600,89.80999
"2010-04-29",107.099998,107.449997,102.220001,102.919998,7898700,86.725883
"2010-04-30",102.779999,103,96.059998,101.760002,14487600,85.748421
"2010-05-03",101.879997,105.550003,101.150002,104.550003,5995800,88.099403
"2010-05-04",102.07,102.410004,99.75,100.919998,4989000,85.040558
"2010-05-05",99.309998,100.809998,98,99.300003,4577600,83.675484
