"dates","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume","GPN.Adjusted"
"2010-03-11",22.68,22.68,22.385,22.629999,1322800,22.262074
"2010-03-12",22.665001,22.735001,22.4,22.6,1298600,22.232563
"2010-03-15",22.514999,22.59,22.174999,22.309999,1133400,21.947275
"2010-03-16",22.309999,22.504999,22.205,22.5,781400,22.13419
"2010-03-17",22.535,23.155001,22.535,23.030001,1786800,22.655563
"2010-03-18",23.01,23.305,23.01,23.219999,1018600,22.84248
"2010-03-19",23.01,23.465,22.870001,23.01,1747000,22.635895
"2010-03-22",22.945,23.379999,22.879999,23.370001,930000,22.990044
"2010-03-23",23.415001,23.415001,23.01,23.190001,972800,22.812965
"2010-03-24",23.084999,23.084999,22.49,22.555,1634800,22.188292
"2010-03-25",22.715,22.844999,22.495001,22.725,1335400,22.355534
"2010-03-26",22.690001,22.825001,22.684999,22.799999,1681600,22.42931
"2010-03-29",22.805,22.945,22.735001,22.934999,1008800,22.562109
"2010-03-30",22.98,23.309999,22.98,23.16,2114400,22.783459
"2010-03-31",23.16,23.334999,22.68,22.775,3135000,22.404715
"2010-04-01",24.120001,24.48,22.754999,22.82,7231600,22.448982
"2010-04-05",22.885,22.885,22.245001,22.344999,4005200,21.981701
"2010-04-06",22.295,22.719999,22.125,22.610001,2748400,22.242403
"2010-04-07",22.52,22.57,21.99,22.105,3634800,21.745605
"2010-04-08",21.950001,22.049999,21.745001,21.825001,2802800,21.47016
"2010-04-09",21.775,21.805,21.450001,21.635,1893400,21.283249
"2010-04-12",21.535,21.985001,21.535,21.959999,2554400,21.602961
"2010-04-13",21.91,21.940001,21.67,21.775,2185200,21.420977
"2010-04-14",21.915001,22.145,21.780001,22.129999,2762800,21.770203
"2010-04-15",22.395,22.844999,22.370001,22.815001,3820800,22.444065
"2010-04-16",22.75,23.225,22.700001,22.934999,5495000,22.562109
"2010-04-19",22.865,22.940001,22.48,22.924999,3900000,22.552273
"2010-04-20",22.985001,23.02,22.59,22.684999,2938200,22.316179
"2010-04-21",22.75,22.815001,22.344999,22.745001,2796800,22.375198
"2010-04-22",22.6,22.705,22.405001,22.629999,2485400,22.262074
"2010-04-23",22.629999,22.969999,22.495001,22.955,2326600,22.581787
"2010-04-26",22.9,23.01,22.639999,22.65,2158200,22.28174
"2010-04-27",22.620001,22.75,22.245001,22.295,2835600,21.93251
"2010-04-28",22.375,22.495001,22.165001,22.209999,1642200,21.848902
"2010-04-29",22.264999,22.290001,22.004999,22.139999,2200200,21.780039
"2010-04-30",22.09,22.33,21.385,21.405001,3140800,21.056988
"2010-05-03",21.4,21.754999,21.305,21.610001,2612200,21.258657
"2010-05-04",21.469999,21.48,21.18,21.434999,2260600,21.0865
"2010-05-05",21.155001,21.565001,21.155001,21.5,2705200,21.150444
"2010-05-06",21.4,22.245001,20.875,21.459999,6863200,21.111101
"2010-05-07",21.504999,21.504999,20.1,20.24,5665800,19.910931
"2010-05-10",21.035,21.035,20.575001,20.805,3078200,20.466743
"2010-05-11",20.610001,20.780001,20.535,20.575001,2409400,20.24048
"2010-05-12",20.665001,21.01,20.665001,20.99,1801200,20.648737
"2010-05-13",20.965,21.575001,20.865,21.43,4655000,21.091635
"2010-05-14",21.129999,21.315001,20.665001,20.805,3894400,20.4765
"2010-05-17",20.82,21.205,20.77,21.17,3706800,20.835737
"2010-05-18",21.325001,21.535,21.120001,21.254999,4040200,20.919394
"2010-05-19",21.145,21.469999,20.895,21.165001,3694800,20.830818
"2010-05-20",20.785,21.030001,20.440001,20.51,4786200,20.186159
"2010-05-21",20.385,21.025,20.115,21.014999,4205200,20.683184
"2010-05-24",20.924999,21.02,20.645,20.645,2557200,20.319025
"2010-05-25",20.280001,20.620001,20.09,20.59,3276600,20.264894
"2010-05-26",20.709999,20.959999,20.51,20.610001,3301600,20.284582
"2010-05-27",20.93,21.15,20.83,21.15,1838000,20.816053
"2010-05-28",21.049999,21.309999,20.975,21.094999,2111200,20.761915
"2010-06-01",20.99,21.084999,20.705,20.719999,2912000,20.392832
"2010-06-02",20.780001,20.83,20.405001,20.790001,1654800,20.461739
"2010-06-03",20.860001,21.184999,20.74,21.15,1828800,20.816053
"2010-06-04",20.790001,20.945,20.370001,20.434999,1495200,20.112339
"2010-06-07",20.42,20.540001,20.014999,20.030001,1445600,19.713736
"2010-06-08",20.125,20.16,19.85,20.049999,1415600,19.733414
"2010-06-09",20.129999,20.415001,19.940001,20,1412400,19.684212
"2010-06-10",20.264999,20.77,20.200001,20.745001,1511400,20.417452
"2010-06-11",20.540001,20.83,20.485001,20.785,1231000,20.456818
"2010-06-14",20.969999,21.055,20.719999,20.73,862600,20.402687
"2010-06-15",20.805,21.344999,20.764999,21.32,1157200,20.983364
"2010-06-16",21.290001,21.440001,21.219999,21.275,1398000,20.939077
"2010-06-17",21.280001,21.385,21.209999,21.280001,713800,20.943998
"2010-06-18",21.25,21.370001,21.16,21.305,643000,20.968603
"2010-06-21",21.424999,21.424999,19.17,19.445,8140400,19.13797
"2010-06-22",19.42,19.959999,19.315001,19.700001,3561800,19.388948
"2010-06-23",19.745001,19.745001,19.42,19.455,2010800,19.14781
"2010-06-24",19.4,19.48,19.045,19.075001,1657800,18.773813
"2010-06-25",19.08,19.42,18.965,19.325001,1966200,19.019867
"2010-06-28",19.344999,19.405001,19.165001,19.295,897400,18.990341
"2010-06-29",19.065001,19.08,18.5,18.59,1565600,18.296473
"2010-06-30",18.514999,18.610001,18.219999,18.27,2489800,17.981518
"2010-07-01",18.295,18.33,17.795,18.049999,2630000,17.765003
"2010-07-02",18.17,18.219999,17.905001,18.084999,875800,17.79945
"2010-07-06",18.379999,18.459999,18.01,18.125,1403400,17.838814
"2010-07-07",18.1,18.725,18.1,18.715,1150200,18.419498
"2010-07-08",18.735001,18.834999,18.370001,18.545,1416600,18.252188
"2010-07-09",18.57,18.83,18.504999,18.799999,941000,18.503157
"2010-07-12",18.725,18.855,18.66,18.780001,847200,18.483475
"2010-07-13",18.889999,19.174999,18.889999,19.129999,1216200,18.827951
"2010-07-14",19.110001,19.219999,19.035,19.195,679600,18.891918
"2010-07-15",19.125,19.18,18.865,19.120001,966000,18.818108
"2010-07-16",19.01,19.02,18.465,18.475,1073400,18.18329
"2010-07-19",18.57,18.690001,18.475,18.615,673000,18.321075
"2010-07-20",18.41,18.715,18.235001,18.695,1109600,18.399815
"2010-07-21",18.75,18.825001,18.495001,18.695,1283000,18.399815
"2010-07-22",18.889999,19.434999,18.889999,19.395,1437200,19.08877
"2010-07-23",19.325001,19.855,19.280001,19.84,1560800,19.526739
"2010-07-26",19.895,20.045,19.809999,20.035,1317200,19.718655
"2010-07-27",20.145,20.280001,19.885,19.965,1599400,19.649769
"2010-07-28",17.65,18.285,17.305,18.275,9337600,17.986439
"2010-07-29",18.309999,18.775,18.299999,18.700001,3220600,18.404734
"2010-07-30",18.485001,18.895,18.379999,18.865,2133000,18.567129
"2010-08-02",19.035,19.299999,18.879999,19.264999,2133600,18.960817
"2010-08-03",19.17,19.25,19.059999,19.145,1635800,18.842709
"2010-08-04",19.235001,19.245001,19.014999,19.115,2423400,18.813183
"2010-08-05",19.040001,19.18,18.945,19.075001,974000,18.773813
"2010-08-06",18.950001,19.34,18.870001,19.295,1149200,18.990341
"2010-08-09",19.395,19.605,19.360001,19.57,907600,19.261
"2010-08-10",19.365,19.495001,19.190001,19.4,907200,19.093678
"2010-08-11",19.195,19.209999,18.9,18.955,1505000,18.655706
"2010-08-12",18.809999,18.91,18.549999,18.75,1285600,18.453953
"2010-08-13",18.66,18.75,18.555,18.594999,876400,18.311159
"2010-08-16",18.514999,18.775,18.434999,18.674999,541600,18.389936
"2010-08-17",18.77,19.014999,18.74,18.860001,793400,18.572115
"2010-08-18",18.825001,19.075001,18.719999,18.995001,520600,18.705059
"2010-08-19",18.915001,18.915001,18.65,18.799999,701200,18.513033
"2010-08-20",18.76,18.98,18.58,18.945,852600,18.655815
"2010-08-23",18.975,19.065001,18.73,18.73,469800,18.444092
"2010-08-24",18.5,18.805,18.4,18.700001,1698400,18.414557
"2010-08-25",18.620001,18.9,18.58,18.844999,898000,18.557341
"2010-08-26",18.945,18.969999,18.805,18.889999,752000,18.601656
"2010-08-27",19.02,19.174999,18.775,19.174999,667200,18.882305
"2010-08-30",19.120001,19.295,18.950001,18.965,925400,18.675514
"2010-08-31",18.895,19.049999,18.695,18.815001,1099200,18.527803
"2010-09-01",19.049999,19.395,19.02,19.395,1183400,19.098949
"2010-09-02",19.309999,19.555,19.285,19.530001,641800,19.23189
"2010-09-03",19.875,19.875,19.605,19.75,627200,19.448524
"2010-09-07",19.674999,19.690001,19.405001,19.424999,685200,19.12849
"2010-09-08",19.424999,19.65,19.405001,19.51,669800,19.212193
"2010-09-09",19.735001,19.889999,19.59,19.785,670000,19.48299
"2010-09-10",19.85,19.995001,19.754999,19.945,460200,19.640553
"2010-09-13",20.094999,20.33,20.059999,20.275,739400,19.965519
"2010-09-14",20.205,20.35,20.16,20.209999,532400,19.901508
"2010-09-15",20.120001,20.370001,20.040001,20.32,880000,20.009825
"2010-09-16",20.23,20.5,20.23,20.440001,820800,20.127998
"2010-09-17",20.540001,20.65,20.385,20.389999,963000,20.078754
"2010-09-20",20.485001,20.684999,20.24,20.665001,955400,20.34956
"2010-09-21",20.615,20.674999,20.415001,20.459999,873800,20.147688
"2010-09-22",20.415001,20.6,20.334999,20.370001,432000,20.059063
"2010-09-23",20.215,20.5,20.094999,20.184999,885600,19.876892
"2010-09-24",20.275,20.75,20.275,20.709999,800400,20.393866
"2010-09-27",20.754999,21.01,20.57,20.959999,905800,20.640049
"2010-09-28",21.025,21.049999,20.700001,20.995001,841400,20.674528
"2010-09-29",20.875,21.280001,20.844999,21.235001,926800,20.910866
"2010-09-30",21.32,21.59,21.184999,21.445,1430600,21.117661
"2010-10-01",21.625,21.76,20.780001,21.035,1941400,20.713911
"2010-10-04",21.02,21.115,20.58,20.825001,949400,20.507124
"2010-10-05",21,21.035,20.76,20.950001,1129200,20.630213
"2010-10-06",20.924999,21.025,20.76,20.885,516000,20.5662
"2010-10-07",21,21,20.815001,20.889999,597000,20.571121
"2010-10-08",20.895,21.094999,20.754999,21.014999,591600,20.694218
"2010-10-11",21.110001,21.375,21,21.17,868400,20.846851
"2010-10-12",19.459999,19.65,18.84,19.450001,9053600,19.153109
"2010-10-13",19.469999,19.525,19.195,19.379999,2535400,19.084173
"2010-10-14",19.325001,19.58,19.254999,19.295,1386400,19.000477
"2010-10-15",19.43,19.504999,19.25,19.450001,1439800,19.153109
"2010-10-18",19.514999,19.565001,19.42,19.535,1080800,19.236811
"2010-10-19",19.365,19.405001,19.07,19.184999,1459800,18.892157
"2010-10-20",19.275,19.545,19.17,19.205,1929800,18.911852
"2010-10-21",19.285,19.465,19.084999,19.219999,2144400,18.926619
"2010-10-22",19.219999,19.674999,19.049999,19.65,1750400,19.350058
"2010-10-25",19.77,20,19.715,19.92,2608200,19.615934
"2010-10-26",19.809999,20.035,19.6,19.93,1681000,19.625782
"2010-10-27",19.780001,19.844999,19.549999,19.65,1863000,19.350058
"2010-10-28",19.709999,19.75,19.379999,19.504999,831000,19.20727
"2010-10-29",19.5,19.58,19.475,19.48,738000,19.182653
