"dates","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume","ARE.Adjusted"
"2010-01-04",64.690002,65.349998,62.919998,63.549999,467100,45.243408
"2010-01-05",63.5,63.77,62.349998,62.880001,527000,44.766415
"2010-01-06",62.990002,63.380001,62.139999,62.549999,566700,44.531475
"2010-01-07",62.549999,63.490002,62.099998,63.130001,850900,44.944397
"2010-01-08",63.060001,63.529999,62.68,62.919998,665200,44.794895
"2010-01-11",63.639999,63.919998,62.700001,63.25,443100,45.029831
"2010-01-12",62.700001,63.580002,62.599998,63.34,1281900,45.093914
"2010-01-13",63.700001,64.190002,63.200001,63.509998,827500,45.214935
"2010-01-14",63.470001,63.709999,62.810001,63.490002,438400,45.200691
"2010-01-15",63.299999,64.169998,62.709999,62.709999,692900,44.645378
"2010-01-19",62.880001,63.790001,62.650002,63.450001,1163200,45.172222
"2010-01-20",64.07,64.400002,63.029999,63.990002,961100,45.556667
"2010-01-21",64.120003,64.139999,61.959999,62.299999,867900,44.353493
"2010-01-22",62.299999,63.02,61.049999,61.880001,975100,44.054485
"2010-01-25",62.57,62.57,61.32,62.049999,681300,44.17551
"2010-01-26",61.43,61.5,60.580002,60.860001,671900,43.328304
"2010-01-27",60.740002,61.150002,59.450001,60.869999,418800,43.335423
"2010-01-28",60.990002,60.990002,59.68,60.259998,344400,42.90115
"2010-01-29",60.360001,60.939999,59.310001,59.73,613700,42.523811
"2010-02-01",60.18,61.009998,59.889999,60.720001,423000,43.228642
"2010-02-02",60.720001,61.59,60.119999,61.5,467200,43.783947
"2010-02-03",61,61.540001,60.349998,61.360001,576800,43.684265
"2010-02-04",60.77,60.950001,58.639999,58.669998,595500,41.769169
"2010-02-05",58.669998,59.630001,57.540001,59.279999,381100,42.203449
"2010-02-08",59.509998,59.509998,57.34,57.369999,346400,40.843655
"2010-02-09",58.299999,58.299999,56.5,57.25,604600,40.758224
"2010-02-10",57.150002,57.740002,56.119999,57.34,425200,40.822296
"2010-02-11",57.040001,57.389999,55.540001,56.889999,579700,40.501926
"2010-02-12",56.130001,58.459999,56.130001,58.380001,518300,41.56271
"2010-02-16",59.189999,61.400002,59.139999,61.200001,551100,43.570374
"2010-02-17",61.27,61.669998,60.580002,61.07,277200,43.477814
"2010-02-18",60.82,62,60.810001,61.689999,496600,43.919212
"2010-02-19",61.470001,62.029999,61.259998,61.59,326700,43.848026
"2010-02-22",62.02,62.18,61.310001,61.349998,402600,43.677155
"2010-02-23",61.209999,62.169998,61.09,61.759998,799300,43.969048
"2010-02-24",61.68,62.040001,61.360001,61.68,554300,43.912094
"2010-02-25",60.93,62.130001,60.490002,62,528400,44.139908
"2010-02-26",62.040001,62.580002,61.380001,61.619999,606700,43.869381
"2010-03-01",61.900002,62.16,61.549999,61.900002,299800,44.068726
"2010-03-02",62.360001,62.490002,61.689999,62.400002,571100,44.424694
"2010-03-03",62.389999,62.950001,61.720001,62.43,581600,44.446041
"2010-03-04",62.459999,63.07,61.950001,62.189999,531000,44.275185
"2010-03-05",62.57,63.599998,62.25,63.279999,582000,45.051197
"2010-03-08",63.25,64.669998,63.029999,64.470001,259600,45.898388
"2010-03-09",64.040001,65.889999,63.82,64.620003,358500,46.005177
"2010-03-10",64.459999,65,64.050003,64.82,321200,46.147556
"2010-03-11",64.330002,65.300003,64.239998,64.900002,360900,46.204521
"2010-03-12",65.089996,65.440002,64.540001,65.010002,233300,46.282841
"2010-03-15",65.029999,65.529999,64.139999,65.260002,421000,46.460819
"2010-03-16",65.300003,67,65.080002,66.919998,550700,47.642643
"2010-03-17",66.93,67.620003,66.690002,67.339996,325200,47.941631
"2010-03-18",67.339996,68.260002,67.269997,67.449997,397400,48.019943
"2010-03-19",66.589996,67.580002,66.510002,66.589996,280200,47.407696
"2010-03-22",66.029999,67.790001,65.720001,67.5,226900,48.055546
"2010-03-23",67.110001,67.139999,65.830002,66.989998,468500,47.692455
"2010-03-24",66.629997,67.940002,66.459999,67.400002,705900,47.984348
"2010-03-25",67.82,69.029999,67.690002,67.870003,364400,48.31897
"2010-03-26",67.800003,68.68,67.480003,68.230003,445200,48.575256
"2010-03-29",68.559998,68.809998,67.910004,68.599998,222400,48.838692
"2010-03-30",68.279999,68.510002,67.790001,68.169998,416400,48.781425
"2010-03-31",67.989998,68.419998,67.309998,67.599998,549500,48.373558
"2010-04-01",67.919998,68.410004,67.550003,68.029999,641600,48.681252
"2010-04-05",68.25,69.93,67.959999,69.769997,320500,49.926357
"2010-04-06",69.57,71.93,69.080002,71.839996,1089800,51.407623
"2010-04-07",71.839996,72.410004,70.580002,71.019997,481100,50.820847
"2010-04-08",70.82,71.599998,70.550003,71.199997,306300,50.94965
"2010-04-09",71.25,72.660004,71.199997,72.559998,410200,51.922844
"2010-04-12",72.57,72.690002,71.129997,71.5,298900,51.164333
"2010-04-13",71.529999,73.309998,71.389999,72.760002,277900,52.06596
"2010-04-14",73.129997,73.419998,71.43,71.849998,494300,51.414772
"2010-04-15",71.760002,72.269997,70.080002,70.239998,587300,50.262684
"2010-04-16",70.029999,70.709999,68.790001,69.400002,451900,49.661606
"2010-04-19",68.900002,70.400002,68.440002,69.529999,269500,49.75462
"2010-04-20",70,70.620003,68.989998,70.589996,258800,50.513145
