"dates","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2010-02-26",83.540001,84.440002,82.989998,84.160004,1013700,63.34737
"2010-03-01",84.5,85.919998,83.669998,85.889999,884200,64.649536
"2010-03-02",86.349998,86.940002,85.910004,86.379997,961600,65.018333
"2010-03-03",86.489998,87.519997,86.089996,86.690002,884900,65.251709
"2010-03-04",86.809998,86.959999,85.309998,85.5,1046200,64.35601
"2010-03-05",86.190002,86.989998,85.800003,86.669998,796600,65.236641
"2010-03-08",86.839996,87.220001,86.260002,86.870003,838400,65.387177
"2010-03-09",86.769997,88.080002,86.540001,87.25,998900,65.673203
"2010-03-10",87.07,87.760002,86.489998,86.940002,829300,65.439896
"2010-03-11",86.870003,86.870003,85.760002,86.529999,939700,65.131264
"2010-03-12",86.730003,86.889999,85.580002,86,891400,64.73233
"2010-03-15",85.690002,87.760002,84.959999,86.290001,1434000,64.950615
"2010-03-16",86.360001,88.230003,85.940002,88.07,998500,66.290428
"2010-03-17",88.370003,89.160004,88.050003,88.610001,1045600,66.696892
"2010-03-18",88.620003,89.400002,88.620003,88.900002,807100,66.915154
"2010-03-19",86.279999,88.900002,85.980003,86.279999,1575800,64.943092
"2010-03-22",85.93,88.769997,85.5,88.449997,1049700,66.576439
"2010-03-23",88.830002,89.949997,88.339996,89.830002,960200,67.615204
"2010-03-24",89.580002,89.879997,88.720001,89.139999,704000,67.095802
"2010-03-25",90.050003,91.110001,89.059998,89.129997,723800,67.08828
"2010-03-26",89.610001,90.839996,89,90.010002,728400,67.750671
"2010-03-29",90.239998,90.639999,89.510002,90.080002,339400,67.803383
"2010-03-30",90.029999,90.300003,88.57,89,714600,66.990448
"2010-03-31",88.449997,88.860001,86.919998,87.25,848400,65.673203
"2010-04-01",88.080002,88.989998,86.860001,87.769997,849800,66.064621
"2010-04-05",88.139999,90.989998,88.139999,90.739998,1077200,68.300133
"2010-04-06",90.57,91.620003,89.739998,91.480003,909300,68.85714
"2010-04-07",91.199997,91.599998,88.800003,89.110001,1115200,67.073227
"2010-04-08",88.68,92.309998,88.660004,92.059998,1461400,69.293694
"2010-04-09",92.129997,93.540001,91.120003,93.309998,1588800,70.234581
"2010-04-12",93.470001,94.910004,93.040001,94.440002,1316100,71.085152
"2010-04-13",93.980003,94.25,91.68,92.129997,1768000,69.346375
"2010-04-14",92.650002,93.019997,91.580002,92.860001,1151200,69.895859
"2010-04-15",92.230003,94.709999,92.080002,93.220001,1420400,70.166824
"2010-04-16",94.610001,94.739998,91.599998,93.410004,1424500,70.30986
"2010-04-19",92.809998,94.309998,91.690002,93.599998,1129700,70.452866
"2010-04-20",94.339996,96.910004,94.339996,96.089996,1679900,72.327095
"2010-04-21",96.050003,98.949997,95.879997,98.769997,1463700,74.344322
"2010-04-22",97.910004,101.529999,97.769997,101.120003,2174100,76.113174
"2010-04-23",100.089996,102.419998,99.199997,102.220001,1573600,76.941177
"2010-04-26",114.57,118.440002,112.279999,112.419998,8098200,84.618706
"2010-04-27",111.75,113.330002,107.510002,107.730003,4105000,81.088547
"2010-04-28",106.019997,111.25,104.82,110.68,3641500,83.309029
"2010-04-29",111.089996,111.629997,109.489998,110.760002,1646800,83.369247
"2010-04-30",110.809998,111.440002,108.849998,108.870003,1642300,81.946625
"2010-05-03",110.279999,112.379997,109.309998,111.709999,1831000,84.084297
"2010-05-04",110.839996,110.949997,108.379997,109.139999,1886100,82.149849
"2010-05-05",107.980003,108,102.449997,104.209999,3094100,78.439018
"2010-05-06",103.809998,105.660004,95.389999,102.900002,2688700,77.453003
"2010-05-07",103.43,104.110001,97.559998,98.139999,2476700,73.87014
"2010-05-10",101.75,106.690002,101.739998,106.639999,2241200,80.268082
"2010-05-11",104.379997,107.879997,104.089996,105.239998,1853700,79.214317
"2010-05-12",106.040001,111.779999,105.75,111.410004,1786000,83.858475
"2010-05-13",111.209999,111.839996,108.080002,108.730003,1327500,81.841255
"2010-05-14",107.349998,107.830002,104.82,106.690002,981400,80.30574
"2010-05-17",106.889999,108.57,103.860001,108.120003,1503100,81.382095
"2010-05-18",109.150002,111,103.940002,104.470001,1636900,78.634727
"2010-05-19",103.510002,104,97.660004,99.620003,3178600,75.294052
"2010-05-20",96.279999,97.489998,92.639999,93.150002,3046700,70.403946
"2010-05-21",92.080002,99.290001,90.790001,99.040001,2928400,74.855675
"2010-05-24",97.68,100.190002,97.260002,97.360001,1254200,73.585915
"2010-05-25",95.260002,99.150002,94.110001,99.040001,1797500,74.855675
