"dates","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2010-05-21",21.129999,22.120001,20.955,21.73,1014200,20.817419
"2010-05-24",21.700001,21.915001,21.360001,21.43,474600,20.530012
"2010-05-25",20.83,21.18,20.559999,21.155001,1095800,20.266563
"2010-05-26",21.35,21.76,21.049999,21.139999,811400,20.252197
"2010-05-27",21.6,22.065001,21.459999,22.065001,724800,21.13835
"2010-05-28",22.065001,22.065001,21.365,21.674999,426200,20.764734
"2010-06-01",21.459999,21.795,20.965,20.98,303400,20.098917
"2010-06-02",21.09,21.525,20.924999,21.52,500400,20.616241
"2010-06-03",21.504999,22.08,21.504999,22.035,567000,21.10961
"2010-06-04",21.295,21.725,20.895,20.98,1290000,20.098917
"2010-06-07",21.105,21.105,20.375,20.4,585400,19.543272
"2010-06-08",20.405001,20.700001,20.190001,20.610001,527200,19.744455
"2010-06-09",20.82,21.475,20.715,20.799999,591800,19.926474
"2010-06-10",21.25,21.77,21.25,21.66,455200,20.750359
"2010-06-11",21.34,21.91,21.23,21.655001,342400,20.745565
"2010-06-14",21.825001,22.215,21.709999,21.780001,347000,20.865322
"2010-06-15",21.965,22.440001,21.85,22.395,356000,21.454491
"2010-06-16",22.264999,22.545,22.18,22.34,308400,21.401796
"2010-06-17",22.344999,22.469999,21.934999,22.145,272400,21.214983
"2010-06-18",22.18,22.184999,21.85,22.014999,449400,21.090445
"2010-06-21",22.34,22.540001,21.725,21.83,353800,20.913212
"2010-06-22",21.879999,22.219999,21.105,21.145,587800,20.256989
"2010-06-23",21.07,21.115,20.42,20.965,895600,20.084539
"2010-06-24",20.764999,20.879999,20.360001,20.434999,536800,19.576799
"2010-06-25",20.514999,20.764999,20.334999,20.615,1988800,19.749245
"2010-06-28",20.605,21.049999,20.469999,20.715,430400,19.845036
"2010-06-29",20.375,20.485001,19.895,20.040001,726600,19.198391
"2010-06-30",19.985001,20.26,19.855,19.945,577200,19.107382
"2010-07-01",19.93,20.155001,19.59,19.844999,862200,19.011581
"2010-07-02",19.93,20.025,19.629999,19.809999,493600,18.97805
"2010-07-06",20.1,20.334999,19.219999,19.35,586400,18.537369
"2010-07-07",19.34,19.690001,19.24,19.66,784600,18.834347
"2010-07-08",19.799999,20.165001,19.73,20.125,693600,19.279827
"2010-07-09",20.040001,20.559999,20,20.5,450600,19.639076
"2010-07-12",20.375,20.514999,20.155001,20.205,414000,19.356457
"2010-07-13",20.389999,21.245001,20.389999,21.145,660000,20.256989
"2010-07-14",21.125,21.459999,20.875,21.360001,789200,20.462963
"2010-07-15",21.440001,22.184999,21.385,21.965,1326800,21.042547
"2010-07-16",21.844999,21.879999,21.07,21.200001,753600,20.309681
"2010-07-19",21.23,21.514999,21.055,21.434999,525800,20.534807
"2010-07-20",21.125,21.715,20.975,21.700001,583600,20.788683
"2010-07-21",21.77,21.905001,21.424999,21.525,411000,20.621021
"2010-07-22",21.860001,22.365,21.825001,22.225,543200,21.291626
"2010-07-23",22.209999,22.594999,22.025,22.594999,513600,21.646088
"2010-07-26",22.655001,22.915001,22.49,22.91,453200,21.947863
"2010-07-27",22.5,23.115,21.705,22.48,1060400,21.535919
"2010-07-28",22.504999,22.504999,22,22.18,383400,21.248516
"2010-07-29",22.405001,22.5,21.879999,22.184999,400200,21.253309
"2010-07-30",21.895,22.344999,21.790001,22.305,397800,21.368269
"2010-08-02",22.77,22.915001,22.434999,22.690001,626000,21.737106
"2010-08-03",22.629999,22.655001,22.25,22.434999,404400,21.492807
"2010-08-04",22.530001,22.690001,22.42,22.67,204200,21.717943
"2010-08-05",22.514999,22.695,22.434999,22.565001,203000,21.617346
"2010-08-06",22.145,22.43,21.84,22.264999,369600,21.329947
"2010-08-09",22.35,22.605,22.26,22.559999,281400,21.612558
"2010-08-10",22.26,22.635,21.995001,22.344999,584400,21.406591
"2010-08-11",21.84,21.84,21.09,21.245001,462000,20.352791
"2010-08-12",20.815001,21.16,20.725,21.02,325600,20.137238
"2010-08-13",20.91,21.01,20.780001,20.815001,221600,19.945591
"2010-08-16",20.620001,21.025,20.535,20.965,328000,20.089319
"2010-08-17",21.18,21.9,21.145,21.84,434200,20.927773
"2010-08-18",21.815001,22.1,21.639999,21.9,316000,20.985268
"2010-08-19",21.745001,21.799999,21.235001,21.370001,427200,20.477407
"2010-08-20",21.245001,21.385,21.075001,21.34,280000,20.448664
"2010-08-23",21.540001,21.575001,21.25,21.27,612400,20.38158
"2010-08-24",20.915001,21.415001,20.855,21.219999,754600,20.333672
"2010-08-25",21.059999,21.16,20.59,21.065001,806600,20.185146
"2010-08-26",21.139999,21.434999,21.01,21.035,408800,20.156393
"2010-08-27",21.209999,21.635,20.975,21.52,467800,20.621138
"2010-08-30",21.48,21.65,21.09,21.09,428400,20.209103
"2010-08-31",21.065001,21.594999,20.934999,21.264999,392400,20.376797
"2010-09-01",21.535,22.105,21.42,22.075001,337400,21.152966
"2010-09-02",22.075001,22.5,21.855,22.495001,206000,21.555422
"2010-09-03",22.775,23.035,22.74,22.9,391600,21.943502
"2010-09-07",22.875,23.115,22.75,22.92,586600,21.962667
"2010-09-08",22.91,23.385,22.889999,23.215,541400,22.245346
"2010-09-09",23.385,23.51,23.065001,23.17,555000,22.20223
"2010-09-10",23.305,23.459999,23.23,23.379999,286000,22.40345
"2010-09-13",23.584999,23.84,23.530001,23.75,313800,22.757998
"2010-09-14",23.639999,23.940001,23.455,23.58,368200,22.595097
"2010-09-15",23.57,23.825001,23.4,23.674999,326400,22.686123
"2010-09-16",23.655001,23.75,23.49,23.530001,353400,22.547192
"2010-09-17",23.615,23.945,23.485001,23.639999,624000,22.65259
"2010-09-20",23.719999,23.745001,23.49,23.695,646000,22.705299
"2010-09-21",23.709999,23.934999,23.655001,23.719999,503600,22.72925
"2010-09-22",23.620001,23.834999,23.34,23.42,404200,22.441778
"2010-09-23",23.25,23.445,22.959999,23.059999,771600,22.096817
"2010-09-24",23.424999,23.674999,23.35,23.674999,330400,22.686123
"2010-09-27",23.674999,23.674999,23.290001,23.455,599400,22.475317
"2010-09-28",23.51,24.24,23.42,24.205,721600,23.193996
"2010-09-29",24.120001,24.200001,23.934999,23.995001,557600,22.992767
"2010-09-30",24.18,24.280001,23.690001,23.895,437000,22.896942
"2010-10-01",24.145,24.215,23.594999,23.82,524200,22.825071
"2010-10-04",23.795,23.85,23.24,23.495001,255000,22.513645
"2010-10-05",23.74,24.18,23.74,24.094999,322800,23.088591
"2010-10-06",24.105,24.24,23.969999,24.110001,247600,23.102962
"2010-10-07",24.219999,24.219999,23.77,24.02,230000,23.01672
"2010-10-08",24.065001,24.415001,23.995001,24.299999,237200,23.28503
"2010-10-11",24.35,24.455,24.215,24.24,220000,23.227524
"2010-10-12",24.235001,24.275,23.705,24.07,344400,23.064631
"2010-10-13",24.25,24.605,24.16,24.405001,497000,23.385639
"2010-10-14",24.4,24.4,24.030001,24.195,242200,23.184412
"2010-10-15",24.365,24.495001,23.975,24.084999,351800,23.079006
"2010-10-18",24.125,24.135,24.004999,24.1,271200,23.09338
"2010-10-19",23.785,23.9,23.33,23.605,403600,22.619047
"2010-10-20",23.725,24.110001,23.674999,24.055,433000,23.050253
"2010-10-21",24.115,24.25,23.805,24.014999,549600,23.011925
"2010-10-22",24.110001,24.110001,23.785,23.950001,659200,22.949646
"2010-10-25",24.084999,24.215,23.889999,23.945,535400,22.944853
"2010-10-26",23.75,24.245001,23.665001,23.879999,728000,22.882568
"2010-10-27",23.450001,23.865,23.195,23.575001,556400,22.590302
"2010-10-28",23.684999,23.73,23.094999,23.184999,403200,22.216599
"2010-10-29",23.1,23.59,23.1,23.42,462600,22.441778
"2010-11-01",23.540001,23.799999,23.34,23.465,399200,22.484905
"2010-11-02",23.695,23.879999,23.635,23.735001,281400,22.743626
"2010-11-03",23.75,23.865,23.51,23.815001,358200,22.820284
"2010-11-04",24.15,24.33,23.91,24.16,408200,23.150869
"2010-11-05",24.15,24.405001,24.08,24.24,386200,23.227524
"2010-11-08",24.190001,24.264999,24.025,24.195,306200,23.184412
"2010-11-09",24.325001,24.565001,24.040001,24.15,692800,23.141287
"2010-11-10",24.195,24.195,23.844999,24,656400,22.997547
"2010-11-11",23.725,24.055,23.645,23.940001,477200,22.94006
"2010-11-12",23.75,23.895,23.32,23.475,310400,22.499187
"2010-11-15",23.58,23.639999,23.325001,23.375,4e+05,22.403339
"2010-11-16",23.215,23.295,22.860001,23.025,504000,22.067886
"2010-11-17",23.094999,23.16,22.99,23.110001,327800,22.149359
"2010-11-18",23.325001,23.709999,23.325001,23.465,276200,22.489603
"2010-11-19",23.465,23.639999,23.33,23.530001,310600,22.551899
"2010-11-22",23.370001,23.540001,23.200001,23.504999,289600,22.527941
