"dates","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2010-01-04",42.740002,43.060001,42.509998,42.860001,268000,33.924984
"2010-01-05",42.630001,43.009998,42.439999,42.84,392700,33.909149
"2010-01-06",42.84,43.169998,42.619999,43.080002,658400,34.099121
"2010-01-07",42.860001,43.799999,42.860001,43.799999,405200,34.669022
"2010-01-08",43.580002,44.779999,43.490002,44.709999,384600,35.389324
"2010-01-11",44.84,44.959999,44.540001,44.900002,521100,35.539711
"2010-01-12",44.459999,44.610001,43.73,43.959999,462300,34.795654
"2010-01-13",44,44.299999,43.779999,44.240002,244800,35.017292
"2010-01-14",44.060001,44.41,43.93,44.099998,267000,34.906479
"2010-01-15",43.939999,44.209999,43.169998,43.400002,407800,34.352406
"2010-01-19",43.34,44.009998,43.34,44.009998,310300,34.835236
"2010-01-20",43.48,43.779999,42.98,43.490002,277600,34.423649
"2010-01-21",43.389999,43.75,42.919998,43.389999,686700,34.344486
"2010-01-22",43.419998,43.77,43.060001,43.209999,558100,34.202026
"2010-01-25",43.610001,43.689999,42.799999,43.07,409800,34.091209
"2010-01-26",43.060001,43.259998,42.66,42.669998,404400,33.77459
"2010-01-27",42.439999,42.639999,41.360001,42.200001,432500,33.40258
"2010-01-28",42.139999,42.200001,40.900002,41.259998,340600,32.658531
"2010-01-29",41.34,41.82,40.779999,40.880001,335200,32.357746
"2010-02-01",41.110001,41.700001,41.07,41.689999,209400,32.99889
"2010-02-02",41.650002,43.110001,41.650002,42.990002,413500,34.027889
"2010-02-03",42.939999,43.48,42.59,42.93,497200,33.9804
"2010-02-04",42.73,43.060001,40.209999,40.400002,1638000,31.977819
"2010-02-05",40.470001,40.59,39.310001,40.310001,1197400,31.90657
"2010-02-08",40.23,40.619999,39.790001,40.119999,540900,31.756187
"2010-02-09",40.470001,41.16,40.34,41.009998,475100,32.460655
"2010-02-10",41.099998,41.619999,40.919998,41.009998,372800,32.460655
"2010-02-11",41.009998,41.450001,40.52,41.43,450400,32.793102
"2010-02-12",41.040001,41.650002,40.880001,41.610001,302900,32.93557
"2010-02-16",42.130001,42.34,41.75,42.25,279800,33.44215
"2010-02-17",42.25,42.619999,41.860001,42.470001,215900,33.616299
"2010-02-18",42.310001,42.580002,42.23,42.57,388700,33.695438
"2010-02-19",42.540001,43.029999,42.380001,42.900002,325900,33.956646
"2010-02-22",43.119999,43.119999,42.540001,42.869999,191800,33.932892
"2010-02-23",42.57,42.810001,41.779999,42.16,266300,33.606079
"2010-02-24",42.400002,42.560001,41.799999,42.27,484500,33.693779
"2010-02-25",41.639999,42.209999,41.200001,42.119999,264900,33.5742
"2010-02-26",42.119999,42.290001,41.82,42.220001,357500,33.653908
"2010-03-01",42.5,42.98,42.16,42.810001,315800,34.124214
"2010-03-02",43.18,43.48,42.939999,43.02,244900,34.291595
"2010-03-03",43.330002,43.540001,42.82,42.959999,233500,34.243767
"2010-03-04",43.150002,43.290001,42.75,43.07,149500,34.331459
"2010-03-05",43.459999,43.669998,43.209999,43.450001,251600,34.634354
"2010-03-08",43.59,43.59,42.939999,43.169998,253900,34.411167
"2010-03-09",43.060001,43.389999,42.98,43.18,255400,34.419132
"2010-03-10",43.18,43.82,43.029999,43.650002,328500,34.793774
"2010-03-11",43.59,43.59,43.189999,43.52,312600,34.690159
"2010-03-12",43.700001,43.700001,43.080002,43.310001,346900,34.522755
"2010-03-15",43.169998,43.32,42.860001,43.169998,190700,34.411167
"2010-03-16",43.240002,43.380001,42.93,43.310001,359800,34.522755
"2010-03-17",43.349998,43.689999,43.130001,43.529999,414100,34.69812
"2010-03-18",43.419998,43.880001,43.419998,43.740002,433100,34.865517
"2010-03-19",42.880001,44.02,42.779999,42.880001,492300,34.180008
"2010-03-22",42.580002,43.119999,42.560001,43.029999,338100,34.299572
"2010-03-23",43.02,43.509998,42.84,43.380001,391400,34.578552
"2010-03-24",43.23,43.240002,42.700001,42.93,259600,34.219849
"2010-03-25",43.130001,43.259998,42.560001,42.610001,208700,33.964775
"2010-03-26",42.77,43.049999,42.610001,42.799999,312300,34.116234
"2010-03-29",42.990002,43.349998,42.759998,43.060001,259300,34.323471
"2010-03-30",43.029999,43.740002,43.029999,43.59,290800,34.745949
"2010-03-31",43.540001,43.75,43.139999,43.34,268200,34.546673
"2010-04-01",43.66,43.880001,43.299999,43.669998,145000,34.809727
"2010-04-05",43.810001,44.540001,43.630001,44.419998,210600,35.407555
"2010-04-06",44.310001,44.57,44.189999,44.470001,197300,35.447403
"2010-04-07",44.360001,44.599998,44.18,44.560001,396100,35.519146
"2010-04-08",44.349998,44.639999,43.93,44.580002,185300,35.535088
"2010-04-09",44.610001,44.91,44.380001,44.900002,247100,35.790161
"2010-04-12",44.950001,45.23,44.810001,45.16,280200,35.997402
"2010-04-13",45.200001,45.380001,44.779999,45.299999,206000,36.109001
"2010-04-14",45.490002,45.59,45.130001,45.57,181100,36.324223
"2010-04-15",45.380001,45.66,45.110001,45.43,178800,36.212627
"2010-04-16",45.310001,45.810001,44.59,44.939999,326600,35.822044
"2010-04-19",44.73,44.900002,44.34,44.799999,364500,35.710442
"2010-04-20",47.869999,49,46.509998,48.59,1184900,38.731499
"2010-04-21",48.720001,48.93,48.32,48.419998,492400,38.595989
"2010-04-22",48.02,49.369999,47.610001,49.360001,373900,39.345249
"2010-04-23",49.419998,49.610001,48.490002,49.220001,466200,39.233677
"2010-04-26",49.400002,49.98,48.830002,48.869999,377400,38.954678
"2010-04-27",48.560001,48.869999,47.790001,47.939999,487100,38.213371
"2010-04-28",48.25,48.830002,48.049999,48.459999,369300,38.627865
"2010-04-29",48.810001,49.59,48.630001,49.540001,343400,39.488739
"2010-04-30",49.52,49.93,48.110001,48.18,415700,38.404675
"2010-05-03",48.34,48.869999,48.200001,48.759998,322900,38.867001
"2010-05-04",48.080002,48.080002,47.060001,47.240002,516400,37.655392
"2010-05-05",46.759998,47.209999,46.169998,46.310001,694000,36.914097
"2010-05-06",46.169998,46.860001,42.200001,44.599998,1041200,35.551018
"2010-05-07",44.32,44.810001,43.150002,43.5,634300,34.674202
"2010-05-10",45.540001,46.509998,45.240002,46.509998,429200,37.073502
"2010-05-11",46.040001,47.139999,45.73,46.540001,382000,37.097412
"2010-05-12",46.630001,47.689999,46.549999,47.57,269700,37.918438
