"dates","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2014-10-22",80.769997,81.760002,78.790001,79.010002,1929900,74.924049
"2014-10-23",80.010002,81.199997,79.5,79.839996,1911500,75.711121
"2014-10-24",79.660004,81.629997,78.800003,81.529999,1641900,77.313713
"2014-10-27",80.980003,81.099998,78.949997,80.379997,2477100,76.223198
"2014-10-28",80.809998,80.839996,79.900002,80.599998,1302000,76.431824
"2014-10-29",80.849998,80.849998,79.010002,79.540001,2639000,75.426659
"2014-10-30",79.059998,81.040001,77.739998,80.730003,5816900,76.555115
"2014-10-31",84.300003,85.75,83.099998,84.970001,5979000,80.575836
"2014-11-03",84.739998,86.739998,84.489998,85.93,2654400,81.486176
"2014-11-04",85.190002,85.309998,82.449997,83.889999,3161300,79.551697
"2014-11-05",84.010002,84.839996,82.970001,83.050003,2347500,78.755119
"2014-11-06",83.110001,84.650002,82.699997,84.059998,1763300,79.712883
"2014-11-07",84.139999,85.139999,83.849998,85.120003,1558600,80.718071
"2014-11-10",85.010002,86.410004,84.790001,86,1281300,81.552567
"2014-11-11",86.18,87.160004,85.75,86.459999,2149000,81.988792
"2014-11-12",86.139999,87.220001,85.800003,87.110001,1775700,82.605164
"2014-11-13",87.110001,87.440002,85.809998,86.489998,1236600,82.01722
"2014-11-14",86.230003,87.940002,86.059998,87.940002,1395200,83.392242
"2014-11-17",87.629997,88,86.769997,86.940002,1164000,82.443947
"2014-11-18",86.559998,88.739998,86.5,88.370003,1644800,83.973877
"2014-11-19",88.5,88.589996,86.980003,87.040001,1189700,82.710014
"2014-11-20",86.449997,86.800003,85.519997,86.080002,1740100,81.797791
"2014-11-21",87.25,87.32,84.400002,84.690002,2259400,80.476921
"2014-11-24",84.889999,85.989998,84.75,85.660004,1600200,81.398682
"2014-11-25",86,86.449997,85.099998,85.809998,1457800,81.541206
"2014-11-26",85.809998,86.160004,85.139999,85.589996,1488700,81.33213
"2014-11-28",86.349998,87.400002,86.220001,87.110001,712100,82.77655
"2014-12-01",87.25,87.830002,85.900002,86.489998,1829600,82.187378
"2014-12-02",86.620003,87.849998,86.620003,87.519997,1790500,83.166138
"2014-12-03",87.68,88.900002,87.190002,88.589996,2420000,84.182915
"2014-12-04",88.400002,90.449997,88.199997,89.550003,2108100,85.095161
"2014-12-05",90.169998,92.080002,90.029999,91.349998,2734900,86.805611
"2014-12-08",91.129997,91.550003,89.610001,90.309998,1771600,85.817345
"2014-12-09",89.540001,91.019997,88.309998,90.699997,1352400,86.18795
"2014-12-10",90.199997,90.849998,87.379997,87.779999,2352600,83.4132
"2014-12-11",88.209999,89.550003,87.160004,87.32,1210500,82.976082
"2014-12-12",86.059998,87.949997,85.699997,87.529999,1758900,83.175636
"2014-12-15",88.190002,88.660004,86.68,87.330002,2009500,82.985596
"2014-12-16",87.239998,88.150002,85.980003,86.040001,1766800,81.759773
"2014-12-17",86.57,87.190002,85.290001,86.860001,2181400,82.538979
"2014-12-18",87.599998,88.300003,87.150002,87.790001,1751900,83.422714
"2014-12-19",88.330002,88.660004,87.410004,88.059998,5206200,83.679268
"2014-12-22",88.400002,89.900002,88.349998,89.330002,1693100,84.886108
"2014-12-23",89.75,89.970001,88.870003,88.919998,1404900,84.496498
"2014-12-24",89,89.559998,88.919998,89.010002,266000,84.582016
"2014-12-26",89.339996,89.919998,89.07,89.309998,853900,84.867096
"2014-12-29",89.339996,89.379997,87.949997,88.199997,1064000,83.812317
"2014-12-30",87.699997,87.860001,85.410004,85.970001,1769100,81.693245
"2014-12-31",86.410004,86.470001,85.260002,85.360001,1224000,81.113602
"2015-01-02",85.580002,86.260002,84.480003,85.760002,1257600,81.493698
"2015-01-05",85.449997,85.870003,83.809998,84.199997,1683200,80.011307
"2015-01-06",84.720001,85.779999,83.309998,84.169998,2079800,79.982796
"2015-01-07",85.010002,85.629997,83.809998,84.169998,1663600,79.982796
"2015-01-08",84.660004,88.190002,84.099998,87.889999,2263300,83.517746
"2015-01-09",88.029999,88.760002,87.220001,87.550003,1593500,83.194633
"2015-01-12",87.389999,87.900002,84.919998,85.169998,1480500,80.933052
"2015-01-13",85.839996,87.18,83.879997,85.019997,1466400,80.790497
