"dates","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2010-01-04",97.239998,97.970001,96.199997,97.239998,535200,78.823387
"2010-01-05",96.959999,97.489998,96.139999,97.279999,594500,78.855812
"2010-01-06",97.269997,98.25,97.269997,97.650002,486800,79.155762
"2010-01-07",97.269997,98.699997,96.709999,98.57,650100,79.901512
"2010-01-08",98,99.849998,97.769997,99.730003,705600,80.841797
"2010-01-11",99.459999,100.379997,99.220001,100.150002,561000,81.182281
"2010-01-12",99.459999,100.220001,99.25,100.110001,559900,81.149841
"2010-01-13",100.160004,100.599998,99.599998,100.550003,330000,81.506516
"2010-01-14",100.57,100.68,99.75,100.389999,413800,81.376831
"2010-01-15",100.019997,100.470001,99.129997,100.040001,771500,81.093094
"2010-01-19",100.080002,102,99.57,101.339996,768000,82.146873
"2010-01-20",101.029999,101.089996,99.779999,100.870003,618600,81.765915
"2010-01-21",101,101.239998,99.040001,99.57,827500,80.71212
"2010-01-22",98.949997,99.610001,98.629997,98.889999,1060300,80.160889
"2010-01-25",99.449997,101.379997,99.120003,100.940002,1901600,81.822624
"2010-01-26",100.160004,101.489998,98.150002,99.419998,2164200,80.590546
"2010-01-27",99.550003,100.339996,99,100.120003,1209600,81.157951
"2010-01-28",100.239998,101.309998,99.239998,100.760002,1004100,81.676765
"2010-01-29",100.860001,102.129997,99.279999,99.279999,892300,80.477028
"2010-02-01",99.669998,100.360001,98.260002,99.940002,795000,81.012054
"2010-02-02",100.400002,102.449997,99.940002,102.389999,895100,82.998001
"2010-02-03",102.019997,103,101.970001,102.260002,696700,82.892632
"2010-02-04",101.5,101.5,99.120003,99.18,931200,80.759254
"2010-02-05",98.900002,100.110001,97.879997,99.330002,729700,80.881386
"2010-02-08",98.980003,100,97.989998,98.57,681200,80.262566
"2010-02-09",99.360001,101.080002,98.730003,100.260002,780100,81.638657
"2010-02-10",100.260002,100.919998,99.089996,99.650002,484600,81.141991
"2010-02-11",99.809998,100.870003,98.730003,100.809998,949500,82.086517
"2010-02-12",99.900002,101.110001,99.339996,100.849998,662300,82.119072
"2010-02-16",101,102.040001,100.699997,102.040001,540200,83.088081
"2010-02-17",102.169998,102.860001,101.610001,102.639999,640300,83.57663
"2010-02-18",102.690002,104.32,102.32,104.269997,613700,84.903893
"2010-02-19",103.900002,104.910004,103.550003,104.139999,816900,84.798027
"2010-02-22",104.68,104.809998,103.519997,103.639999,392800,84.390892
"2010-02-23",103.32,104.43,102.75,102.839996,685500,83.739471
"2010-02-24",103.400002,104,102.910004,103.510002,544400,84.285049
"2010-02-25",102.209999,102.760002,100.980003,102.489998,1059300,83.454521
"2010-02-26",102.43,102.919998,101.099998,101.650002,1140800,82.7705
"2010-03-01",101.800003,104.400002,101.800003,104.209999,835700,84.855011
"2010-03-02",104.379997,104.839996,103.32,103.580002,612100,84.342041
"2010-03-03",103.940002,104.769997,103.75,104.540001,726700,85.123741
"2010-03-04",104.540001,105.169998,103.860001,104.699997,495000,85.254005
"2010-03-05",104.900002,106.970001,104.790001,106.889999,622000,87.037292
"2010-03-08",107,107.610001,106.540001,106.650002,563700,86.84185
"2010-03-09",106.279999,107.730003,106.279999,107.559998,449900,87.582886
"2010-03-10",107.370003,108.330002,107.089996,108.080002,610900,88.006264
"2010-03-11",107.550003,108.809998,107.139999,108.669998,561500,88.486656
"2010-03-12",108.480003,108.669998,106.529999,107.830002,896700,87.802689
"2010-03-15",107.519997,107.989998,106.410004,107.129997,590900,87.232697
"2010-03-16",107.650002,107.889999,107.059998,107.75,437400,87.737556
"2010-03-17",108.260002,108.860001,107.970001,108.349998,448200,88.22612
"2010-03-18",108.050003,109.099998,107.959999,108.370003,490900,88.242409
"2010-03-19",107.559998,109.07,106.940002,107.559998,778100,87.582886
"2010-03-22",107.099998,108.669998,107.099998,108.400002,466500,88.26683
"2010-03-23",108.370003,109.419998,107.980003,109.339996,420700,89.032234
"2010-03-24",109.190002,109.190002,108.279999,108.879997,538000,88.657654
"2010-03-25",109.370003,109.980003,108.690002,108.75,513100,88.551804
"2010-03-26",108.980003,109.760002,108.669998,109.050003,303800,88.796112
"2010-03-29",109.169998,109.730003,109.089996,109.470001,229300,89.138077
"2010-03-30",109.620003,109.959999,108.93,109.260002,583800,88.967087
"2010-03-31",108.970001,109.349998,107.959999,108.120003,582300,88.038811
"2010-04-01",108.790001,109.879997,108.75,109.529999,413200,89.186974
"2010-04-05",109.970001,112.870003,109.610001,112.190002,599800,91.352905
"2010-04-06",111.809998,112.970001,111.510002,112.699997,348700,91.768181
"2010-04-07",112.860001,115.559998,112.099998,113.919998,909000,92.761604
"2010-04-08",113.459999,114.669998,113.019997,114.169998,689700,92.965172
"2010-04-09",114.639999,114.910004,113.419998,114.769997,610600,93.45372
"2010-04-12",114.550003,115.370003,113.959999,114.230003,440800,93.014
"2010-04-13",115.139999,116.07,114.080002,115.639999,1009400,94.16214
"2010-04-14",110.940002,113.589996,110.349998,111.150002,2882900,90.506058
"2010-04-15",109.5,109.5,106.910004,107.779999,2309300,87.761963
"2010-04-16",107.839996,107.959999,104.150002,104.93,1514200,85.441338
"2010-04-19",104.800003,106.510002,104.370003,105.75,1121800,86.109009
"2010-04-20",106.830002,107.660004,106.199997,107.510002,1047800,87.542122
"2010-04-21",107.800003,108.150002,107.110001,107.589996,816300,87.607246
"2010-04-22",106.730003,110.769997,106.720001,110.650002,892800,90.098915
"2010-04-23",110.019997,111.459999,109.730003,110.919998,753900,90.318764
"2010-04-26",110.910004,111.25,110.089996,110.199997,504700,89.732498
"2010-04-27",110.199997,110.830002,107.769997,108.150002,715700,88.063248
"2010-04-28",108.410004,108.860001,107.879997,108.43,679000,88.29126
"2010-04-29",108.440002,111.379997,108.440002,111.379997,527500,90.693359
"2010-04-30",111.32,111.989998,110.459999,110.540001,921600,90.009384
"2010-05-03",110.790001,112.919998,110.32,112.269997,875500,91.418045
"2010-05-04",111.050003,111.050003,108.419998,109.110001,1053700,88.844963
"2010-05-05",108.120003,109.580002,107.360001,108.599998,927200,88.429703
"2010-05-06",107.919998,109.040001,101.169998,106.5,1133000,87.153069
"2010-05-07",106.550003,107.470001,104.209999,104.940002,1351700,85.87648
"2010-05-10",108.699997,111.050003,108.550003,110.709999,937600,90.598274
"2010-05-11",109.599998,111.400002,109.269997,110.330002,683300,90.287308
"2010-05-12",108.919998,110.5,107.599998,110.370003,1104000,90.320045
"2010-05-13",109.879997,110.32,108.519997,108.900002,663500,89.117065
"2010-05-14",108.779999,108.779999,106.260002,107.669998,687100,88.110519
"2010-05-17",108.089996,108.580002,106.389999,108.309998,905000,88.634254
"2010-05-18",108.870003,109.779999,107,107.050003,745400,87.603165
"2010-05-19",106.400002,106.989998,103.860001,104.910004,1147200,85.851921
"2010-05-20",103.400002,103.400002,100.139999,100.139999,1160200,81.948425
"2010-05-21",98.779999,103.139999,98.459999,102.769997,1167100,84.10067
"2010-05-24",102.5,102.5,100.790001,100.860001,505100,82.537651
"2010-05-25",98.279999,101.459999,97.919998,101.239998,618100,82.848595
"2010-05-26",101.779999,102.519997,99.82,100.139999,759000,81.948425
"2010-05-27",102.010002,103.339996,101.190002,103.339996,661700,84.567108
"2010-05-28",103.18,103.300003,101.239998,101.75,756100,83.265961
"2010-06-01",101.269997,102.779999,100.220001,100.220001,622600,82.013916
"2010-06-02",100.290001,103.099998,99.760002,103.099998,709400,84.370712
"2010-06-03",102.830002,104.470001,102.32,103.550003,663000,84.738968
"2010-06-04",100.779999,101.879997,98.720001,99.190002,685200,81.170998
"2010-06-07",99.220001,99.529999,97.260002,97.290001,742000,79.616188
"2010-06-08",97.629997,99.120003,96.5,98.910004,783900,80.941872
"2010-06-09",99.480003,101.199997,99.029999,99.379997,770900,81.326477
"2010-06-10",101.230003,103.949997,101.029999,103.800003,610300,84.943581
"2010-06-11",102.07,104.639999,102.07,104.260002,626300,85.32
"2010-06-14",104.32,105.779999,104.32,104.639999,628400,85.630959
"2010-06-15",104.949997,107.559998,104.75,107.480003,370700,87.95504
"2010-06-16",107.169998,107.989998,106.779999,107.699997,270900,88.135086
"2010-06-17",107.650002,107.989998,106.32,107.82,375400,88.233299
"2010-06-18",108.07,108.269997,107.089996,108.260002,730400,88.593353
"2010-06-21",109.57,109.57,107.169998,107.860001,651100,88.266014
"2010-06-22",107.739998,108.139999,104.620003,104.889999,634900,85.835564
"2010-06-23",104.349998,105.610001,103.150002,105.239998,489900,86.121971
"2010-06-24",104.870003,105.089996,102.650002,102.910004,464100,84.215263
"2010-06-25",103.410004,104.050003,102.410004,103.379997,514200,84.599846
"2010-06-28",103.599998,104.879997,102.889999,103.910004,293900,85.033585
"2010-06-29",102.540001,102.779999,99.330002,100.040001,719100,81.866623
"2010-06-30",99.739998,101.440002,99.220001,99.449997,652200,81.383766
"2010-07-01",99.620003,99.900002,96.809998,98.75,1226800,80.810944
"2010-07-02",99.209999,99.580002,97.470001,98.169998,492100,80.336296
"2010-07-06",98.690002,99.980003,96.839996,97.540001,740600,79.82077
"2010-07-07",97.440002,100,97.440002,99.82,529700,81.686584
"2010-07-08",100.379997,101.620003,100.239998,101.57,787900,83.118675
"2010-07-09",101.800003,103.339996,101.349998,102.989998,604900,84.280701
"2010-07-12",102.550003,103.93,102.059998,103.779999,660600,84.927208
"2010-07-13",104.860001,106.230003,104.279999,105.489998,847100,86.326538
"2010-07-14",104.239998,105.5,103.5,103.75,879000,84.902641
