"dates","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2010-01-04",59.220001,59.650002,58.939999,59.34,822900,46.046932
"2010-01-05",59.18,59.490002,57.389999,58.110001,2352700,45.092461
"2010-01-06",57.82,57.990002,57.200001,57.34,1685500,44.494957
"2010-01-07",57.080002,57.139999,56.18,56.790001,1939600,44.068165
"2010-01-08",56.700001,57.619999,56.599998,57.549999,1332500,44.657921
"2010-01-11",57.5,57.91,57.220001,57.720001,1227300,44.789833
"2010-01-12",57.470001,57.639999,56.790001,56.990002,1425700,44.223366
"2010-01-13",57,57.470001,56.34,57.32,1513300,44.479446
"2010-01-14",57.02,57.880001,57.02,57.619999,818100,44.712231
"2010-01-15",57.509998,58.110001,57.23,57.720001,1592400,44.789833
"2010-01-19",57.700001,58.470001,57.639999,58.130001,1061200,45.107994
"2010-01-20",57.529999,57.849998,56.889999,57.779999,1157700,44.836391
"2010-01-21",57.689999,58.369999,56.98,57.630001,1659200,44.719994
"2010-01-22",57.709999,58.150002,57.240002,57.349998,1558100,44.502712
"2010-01-25",57.490002,57.849998,56.790001,57.459999,1167300,44.588074
"2010-01-26",57.189999,57.59,56.939999,57.099998,1347100,44.30872
"2010-01-27",56.830002,57.599998,56.619999,57.459999,881300,44.588074
"2010-01-28",57.639999,57.639999,56.200001,56.540001,1173200,43.874168
"2010-01-29",56.68,57.279999,56.630001,56.630001,1527800,43.944
"2010-02-01",56.84,57.650002,56.689999,57.400002,981500,44.541515
"2010-02-02",57.240002,57.540001,56.68,57.419998,1470300,44.557026
"2010-02-03",52.84,54.380001,51.5,53.540001,8727300,41.546223
"2010-02-04",53.310001,53.950001,52.669998,53.25,3974300,41.321186
"2010-02-05",53.16,54.080002,51.16,52.439999,2833000,40.692638
"2010-02-08",52.650002,52.970001,52.009998,52.080002,2046300,40.413288
"2010-02-09",52.639999,53.68,52.110001,52.669998,2709800,40.871109
"2010-02-10",52,52.509998,51.310001,51.84,1904200,40.227039
"2010-02-11",51.630001,53.299999,51.459999,53.099998,2533300,41.204796
"2010-02-12",52.470001,52.700001,51.68,52.119999,2414800,40.444313
"2010-02-16",52.389999,53.290001,52.389999,52.75,1511000,40.933197
"2010-02-17",53.049999,53.43,52.57,53,1345300,41.12719
"2010-02-18",53.049999,53.080002,52.77,52.900002,1032000,41.049587
"2010-02-19",52.779999,53.970001,52.779999,53.5,1768100,41.515182
"2010-02-22",53.77,54.310001,53.310001,54.16,1625500,42.027332
"2010-02-23",54.240002,54.5,53.139999,53.560001,2650100,41.561737
"2010-02-24",54,54.240002,53.310001,53.68,1822500,41.654858
"2010-02-25",53,53.540001,52.5,53.490002,1612200,41.507416
"2010-02-26",53.490002,53.560001,52.700001,53.330002,1701400,41.383274
"2010-03-01",53.290001,63.650002,53.02,53.560001,2163600,41.561737
"2010-03-02",53.5,53.740002,53.169998,53.209999,1597700,41.29015
"2010-03-03",52.82,53.080002,52.380001,52.470001,2205500,40.908119
"2010-03-04",52.700001,52.91,52.25,52.669998,1610000,41.064041
"2010-03-05",52.68,53.380001,52.669998,53.25,1621000,41.516243
"2010-03-08",54.049999,54.099998,53.299999,53.32,1488500,41.57082
"2010-03-09",53.25,53.560001,53.02,53.389999,1060200,41.625397
"2010-03-10",53.52,54.07,53.09,53.669998,1695600,41.843689
"2010-03-11",53.360001,53.650002,53.040001,53.459999,1975500,41.679955
"2010-03-12",53.57,54.07,53.119999,53.869999,1710800,41.999611
