"dates","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2010-04-20",17.15,17.309999,16.907499,16.9825,1404400,15.062857
"2010-04-21",17.01,17.355,16.8375,17.295,1816800,15.340031
"2010-04-22",17.0725,17.58,17.035,17.467501,2490800,15.493037
"2010-04-23",17.4375,17.475,17.1775,17.442499,1151600,15.470856
"2010-04-26",17.8025,17.965,17.512501,17.549999,1218400,15.566206
"2010-04-27",17.415001,17.497499,16.877501,16.91,1939600,14.998552
"2010-04-28",16.9375,17.165001,16.655001,16.7575,1415600,14.863288
"2010-04-29",16.8125,17.477501,16.8125,17.41,1511600,15.442037
"2010-04-30",17.497499,17.497499,16.7925,16.7925,2260000,14.894331
"2010-05-03",16.807501,17.094999,16.684999,16.9825,903600,15.062857
"2010-05-04",16.75,16.92,16.51,16.622499,1540400,14.743551
"2010-05-05",16.397499,16.809999,16.299999,16.475,2352400,14.612727
"2010-05-06",16.3125,16.395,14.8125,16.014999,2527200,14.204718
"2010-05-07",16.012501,16.262501,15.4425,15.77,1978400,13.987414
"2010-05-10",16.375,16.692499,16.262501,16.692499,1491200,14.805633
"2010-05-11",16.504999,17.18,16.4575,16.959999,1548800,15.042898
"2010-05-12",17.049999,17.469999,16.9,17.445,1840800,15.473072
"2010-05-13",17.362499,17.75,17.26,17.385,3296400,15.450857
"2010-05-14",17.2225,17.297501,16.852501,17.102501,1537600,15.199787
"2010-05-17",17.200001,17.3925,16.7425,17.385,1711600,15.450857
"2010-05-18",17.615,17.905001,16.674999,16.690001,2203600,14.83318
"2010-05-19",16.525,16.952499,16.395,16.764999,1636000,14.899833
"2010-05-20",16.379999,16.77,16.15,16.299999,2176800,14.486567
"2010-05-21",16.057501,16.725,16.002501,16.434999,2442800,14.606544
"2010-05-24",16.375,16.727501,16.195,16.455,1227600,14.624322
"2010-05-25",16.075001,16.5275,15.875,16.497499,1206800,14.662098
"2010-05-26",16.6325,16.8475,16.059999,16.1625,2492400,14.364365
"2010-05-27",16.540001,17.129999,16.225,17.112499,2551600,15.208674
"2010-05-28",17.1175,17.422501,16.8475,16.940001,1846800,15.055366
"2010-06-01",16.8675,17.09,16.57,16.57,2090800,14.726531
"2010-06-02",16.5975,16.9575,16.405001,16.887501,22908000,15.008703
"2010-06-03",16.887501,17.344999,16.647499,16.9,3351200,15.019816
"2010-06-04",16.647499,16.657499,16.01,16.059999,3034800,14.273268
"2010-06-07",16.115,16.254999,15.6,15.62,1752400,13.882219
"2010-06-08",15.7225,15.9875,15.275,15.9475,3206800,14.173283
"2010-06-09",16.094999,16.615,15.975,16.0625,2065600,14.275491
"2010-06-10",16.317499,16.385,15.88,16.3375,2508000,14.519897
"2010-06-11",16.145,16.6775,16.125,16.625,1734400,14.775411
"2010-06-14",16.754999,17.219999,16.754999,16.969999,1878400,15.082029
"2010-06-15",17.135,17.1525,16.805,17.102501,1017200,15.199787
"2010-06-16",16.977501,17.172501,16.7575,17.004999,1130400,15.113133
"2010-06-17",17.092501,17.1325,16.530001,16.637501,1208800,14.786515
"2010-06-18",16.627501,16.932501,16.5075,16.797501,3882400,14.928719
"2010-06-21",17.120001,17.18,16.4025,16.477501,2711200,14.64432
"2010-06-22",16.540001,16.709999,15.805,15.8275,2793200,14.066631
"2010-06-23",15.77,16.195,15.6125,16.094999,2892400,14.304375
