"dates","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2010-04-21",36.93,37.25,35.82,35.990002,1347700,34.277222
"2010-04-22",35.689999,36.299999,35.41,35.869999,1113000,34.162941
"2010-04-23",35.970001,37.07,35.970001,36.509998,1997300,34.772476
"2010-04-26",36.580002,36.639999,35.860001,35.970001,1178200,34.258179
"2010-04-27",35.93,38.209999,35.93,36.889999,3694900,35.134399
"2010-04-28",36.98,37.189999,36.549999,36.75,1379600,35.00106
"2010-04-29",36.869999,38.279999,36.75,38.18,1264500,36.362999
"2010-04-30",38.200001,38.68,37.099998,37.119999,1487900,35.353436
"2010-05-03",37.32,38.16,36.919998,37.849998,1290900,36.048702
"2010-05-04",37.669998,37.669998,36.400002,36.459999,1218800,34.724857
"2010-05-05",36.290001,36.860001,35.880001,36.009998,1316600,34.296272
"2010-05-06",35.799999,36.450001,33.419998,35.029999,1816800,33.362911
"2010-05-07",35.099998,35.900002,34.810001,35.470001,2637500,33.781963
"2010-05-10",36.75,36.970001,36.169998,36.650002,1332700,34.905819
"2010-05-11",36.32,37.689999,36.060001,37.48,1682200,35.69632
"2010-05-12",37.689999,38.099998,37.380001,37.939999,1087100,36.134422
"2010-05-13",37.810001,38.540001,37.66,37.700001,1291800,35.905842
"2010-05-14",37.48,40.810001,36.900002,39.040001,4621900,37.182072
"2010-05-17",43.200001,43.470001,41,42.139999,7216400,40.134552
"2010-05-18",41.98,42.5,41.459999,41.75,3878000,39.763119
"2010-05-19",41.529999,42.209999,41.360001,42.099998,1721700,40.096443
"2010-05-20",41.240002,42.59,41.16,41.810001,2875700,39.820263
"2010-05-21",41.490002,42.360001,40.759998,41.990002,2491600,39.991684
"2010-05-24",41.790001,42.310001,41.400002,41.48,1815000,39.505947
"2010-05-25",40.900002,41.959999,40.709999,41.84,1911300,39.848831
"2010-05-26",42.07,43.119999,41.759998,42.34,1836700,40.325024
"2010-05-27",43.169998,43.630001,42.860001,43.060001,1654000,41.059258
"2010-05-28",42.959999,43.169998,42.209999,42.380001,1224000,40.410835
"2010-06-01",42.09,42.759998,41.759998,41.900002,1217300,39.953152
"2010-06-02",42.040001,43.110001,42.040001,43.099998,1334700,41.097378
"2010-06-03",43.459999,43.799999,42.630001,43.360001,1033200,41.345306
"2010-06-04",42.639999,43.240002,41.349998,41.57,1217400,39.638485
"2010-06-07",41.639999,42.240002,41.029999,41.240002,1105400,39.323811
"2010-06-08",41.240002,41.490002,39.73,40.32,2064200,38.446564
"2010-06-09",40.610001,41.639999,40.529999,40.880001,1559600,38.980545
"2010-06-10",41.560001,41.93,40.880001,41.900002,1107900,39.953152
"2010-06-11",41.459999,42.139999,41.380001,42.139999,875800,40.182003
"2010-06-14",42.299999,42.700001,42.150002,42.279999,925800,40.315502
"2010-06-15",42.68,43.27,42.580002,43.23,759100,41.221352
"2010-06-16",42.91,43.34,42.439999,42.759998,1704200,40.773174
"2010-06-17",42.900002,43.09,42.189999,42.459999,1495700,40.487129
"2010-06-18",42.459999,42.509998,41.25,41.330002,1759700,39.409637
"2010-06-21",41.57,41.82,40.02,40.259998,1660800,38.389339
"2010-06-22",40.34,40.84,39.209999,39.23,1622800,37.407211
"2010-06-23",39.110001,40.290001,38.73,39.779999,1729200,37.931656
"2010-06-24",40.380001,40.630001,39.869999,40.25,2076200,38.379803
"2010-06-25",40.240002,40.560001,39.939999,40.07,1963800,38.208164
"2010-06-28",40.07,40.080002,39.220001,39.48,1498500,37.64558
"2010-06-29",38.939999,39.040001,38.080002,38.669998,1431700,36.87323
"2010-06-30",38.529999,38.849998,38.119999,38.150002,1512800,36.377396
"2010-07-01",38.360001,38.360001,36.43,37.16,1676500,35.43338
"2010-07-02",37.290001,37.290001,36.330002,36.59,1251000,34.88987
