"dates","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
"2010-01-04",49.380001,51.150002,49.380001,50.98,1524100,48.755753
"2010-01-05",51.060001,51.779999,50.790001,51,1666100,48.774879
"2010-01-06",51,52.369999,50.560001,51.889999,2130300,49.626064
"2010-01-07",51.389999,52.689999,50.290001,52.349998,1491400,50.065983
"2010-01-08",51.599998,53.349998,51.380001,53.25,1374800,50.92672
"2010-01-11",53.700001,54.029999,51.75,52.279999,1214400,49.999035
"2010-01-12",51.290001,51.990002,50.759998,51.139999,1345700,48.90876
"2010-01-13",51.459999,52,49.93,51.900002,1302700,49.635624
"2010-01-14",51.689999,52.700001,51.509998,52.529999,794000,50.238132
"2010-01-15",52.279999,52.68,50.189999,50.529999,2090300,48.325397
"2010-01-19",51.900002,52.189999,48.93,50.259998,3115200,48.067169
"2010-01-20",49.259998,49.77,48.560001,49.529999,1493000,47.369019
"2010-01-21",49.52,50.400002,47.720001,48.130001,1556100,46.030094
"2010-01-22",47.82,48.220001,46.439999,46.529999,1840800,44.499912
"2010-01-25",47.139999,48.119999,46.869999,46.919998,1276900,44.872887
"2010-01-26",46.439999,47.52,45.799999,45.939999,1624500,43.935665
"2010-01-27",46,46.240002,44.5,45.400002,1968900,43.419209
"2010-01-28",45.709999,46.09,43.880001,45.23,1357000,43.256622
"2010-01-29",45.779999,46.599998,43.610001,43.98,1933300,42.061169
"2010-02-01",44.57,45.93,44.549999,45.84,1319100,43.840015
"2010-02-02",46.09,47.07,45.389999,46.779999,1666300,44.739002
"2010-02-03",46.650002,47.540001,45.580002,45.869999,1989900,43.868713
"2010-02-04",45.689999,45.689999,44,44.119999,2793700,42.195049
"2010-02-05",44.110001,44.16,41.880001,43.619999,2851800,41.716862
"2010-02-08",43.529999,44.669998,43.009998,44.27,2495700,42.338509
"2010-02-09",45.279999,46.849998,44.860001,46.310001,2468800,44.289509
"2010-02-10",46.200001,46.200001,44.580002,45.369999,3295300,43.390522
"2010-02-11",45.299999,47.450001,45.110001,47.330002,1634600,45.265003
"2010-02-12",46.43,47.360001,45.720001,47.099998,1603800,45.04504
"2010-02-16",47.790001,48.889999,47.790001,48.799999,1010700,46.670872
"2010-02-17",48.810001,49.240002,48.049999,48.73,918900,46.603916
"2010-02-18",48.610001,49.310001,48.32,49.259998,1306900,47.11079
"2010-02-19",47.84,49.639999,47.84,49.490002,1660300,47.330772
"2010-02-22",49.689999,49.73,47.889999,48.02,1979800,45.924896
"2010-02-23",47.91,48.25,46.07,46.18,2342300,44.165173
"2010-02-24",46.049999,47.02,45.82,46.299999,1868400,44.279945
"2010-02-25",45.560001,46.830002,44.57,46.669998,1877600,44.633793
"2010-02-26",45.93,46.790001,45.439999,46.650002,1729200,44.61467
"2010-03-01",46.93,47.59,46.740002,47.150002,1437900,45.092865
"2010-03-02",47.240002,48.369999,47.240002,47.84,1541200,45.752754
"2010-03-03",48.009998,48.950001,47.889999,48,1287400,45.905769
"2010-03-04",48.009998,48.509998,47.380001,47.689999,1290100,45.609295
"2010-03-05",48.290001,49.150002,48.110001,48.98,1329300,46.843018
"2010-03-08",48.939999,49.48,48.450001,48.540001,1282100,46.422222
"2010-03-09",48.310001,49.799999,48.07,49.43,1804800,47.273384
"2010-03-10",49.220001,51.16,49.040001,50.970001,2757700,48.746197
"2010-03-11",50.740002,51.32,50.25,51.09,1790000,48.860958
"2010-03-12",51.560001,52.849998,51.5,52.779999,2565100,50.477222
"2010-03-15",52.41,52.57,51.139999,52.099998,1663900,49.826885
"2010-03-16",52.490002,53.880001,52.16,53.75,1715200,51.4049
"2010-03-17",54.02,54.490002,53.130001,53.290001,1675900,50.964977
"2010-03-18",53.110001,53.23,52.09,53.07,2541500,50.754566
"2010-03-19",53.029999,53.380001,51.84,53.029999,2468300,50.716312
"2010-03-22",52.23,52.900002,51.639999,52.599998,1299100,50.305077
"2010-03-23",52.040001,54.150002,52.040001,53.790001,1810500,51.443157
"2010-03-24",53.23,54.32,53.009998,53.900002,1484600,51.548359
