"dates","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"2010-01-04",39.099998,39.970001,38.919998,39.880001,2238700,30.612188
"2010-01-05",39.77,40.810001,39.73,40.810001,2782200,31.326061
"2010-01-06",41.369999,41.549999,40.860001,41.380001,3575200,31.763599
"2010-01-07",41.299999,41.950001,41.099998,41.689999,2992900,32.001545
"2010-01-08",41.380001,41.900002,41.34,41.84,1463600,32.116688
"2010-01-11",41.98,42.98,41.91,42.380001,3510700,32.5312
"2010-01-12",42.060001,42.43,41.32,41.700001,2711400,32.00922
"2010-01-13",41.91,42.279999,41.419998,42.209999,2946700,32.4007
"2010-01-14",41.990002,42.189999,41.59,42.02,1698400,32.254864
"2010-01-15",41.799999,41.849998,41.450001,41.619999,2017600,31.947821
"2010-01-19",41.490002,42.200001,41.290001,42.060001,2086500,32.285564
"2010-01-20",41.75,41.950001,41.32,41.900002,1721200,32.162743
"2010-01-21",41.880001,42.150002,40.34,40.75,2616500,31.279995
"2010-01-22",40.68,40.919998,39.669998,39.759998,2967100,30.520063
"2010-01-25",40.279999,40.959999,40.07,40.43,1541200,31.034369
"2010-01-26",40.18,40.880001,39.889999,40.099998,1996400,30.781054
"2010-01-27",40.139999,40.93,39.880001,40.91,1991000,31.402826
"2010-01-28",41.18,41.279999,39.220001,39.970001,2013300,30.681276
"2010-01-29",40.099998,40.150002,38.009998,38.240002,4036600,29.35331
"2010-02-01",38.5,39.830002,38.41,39.759998,2153600,30.520063
"2010-02-02",39.970001,40.52,39.57,39.98,2020400,30.688931
"2010-02-03",39.75,40,39.029999,39.189999,2333500,30.082533
"2010-02-04",39.360001,39.549999,37.619999,37.619999,4183000,28.87739
"2010-02-05",37.52,38.099998,36.139999,37.93,3264200,29.115347
"2010-02-08",37.619999,38.02,37.23,37.23,2631600,28.578028
"2010-02-09",37.650002,38.07,36.990002,37.93,3471500,29.115347
"2010-02-10",37.549999,38.759998,37.549999,38.540001,3022800,29.716772
"2010-02-11",38.41,38.5,37.91,38.060001,2574500,29.346663
"2010-02-12",37.700001,38.32,37.139999,38.259998,2551400,29.500874
"2010-02-16",38.610001,39.27,38.32,39.259998,1964000,30.271942
"2010-02-17",39.450001,39.970001,39.209999,39.82,2164500,30.703728
"2010-02-18",39.759998,39.889999,39.529999,39.779999,1631000,30.672884
"2010-02-19",39.610001,40.380001,39.560001,40.139999,2382300,30.95048
"2010-02-22",40.189999,40.77,40.110001,40.48,1535900,31.212639
"2010-02-23",40.310001,40.490002,39.59,39.77,1826000,30.665178
"2010-02-24",39.919998,40.689999,39.75,40.650002,2459600,31.343714
"2010-02-25",39.900002,40.259998,39.580002,40.169998,4720200,30.9736
"2010-02-26",40.360001,40.360001,39.84,40.029999,2232700,30.865658
"2010-03-01",40.18,40.5,39.82,40.290001,1734100,31.066126
"2010-03-02",40.419998,40.630001,40.279999,40.5,2380300,31.228062
"2010-03-03",40.740002,40.990002,40.470001,40.66,1492800,31.351433
"2010-03-04",40.73,41.299999,40.650002,41.259998,2376500,31.814062
"2010-03-05",41.59,43,41.580002,42.900002,3868200,33.078613
"2010-03-08",43.009998,43.130001,42.439999,43.040001,2299500,33.186562
"2010-03-09",42.799999,43.029999,42.380001,42.799999,2724500,33.001507
"2010-03-10",42.919998,43.23,42.59,42.849998,3196000,33.040062
"2010-03-11",42.709999,42.849998,42.240002,42.849998,1802700,33.040062
"2010-03-12",43.029999,43.580002,43,43.330002,1792300,33.410164
"2010-03-15",43.169998,43.540001,42.810001,43.450001,1927300,33.502697
"2010-03-16",43.560001,44.040001,43.360001,43.970001,1468200,33.903641
"2010-03-17",44.279999,45.049999,44.049999,44.880001,1715900,34.605324
"2010-03-18",44.709999,45.099998,44.540001,44.82,1364700,34.559059
"2010-03-19",44.18,45.220001,44.060001,44.18,2563400,34.065567
"2010-03-22",43.75,44.450001,43.16,44.389999,1705700,34.227497
"2010-03-23",44.279999,44.84,44.049999,44.689999,1620800,34.458813
"2010-03-24",44.439999,44.91,44.25,44.68,1722400,34.451099
"2010-03-25",45,45.880001,44.68,44.700001,2345800,34.466515
"2010-03-26",44.560001,44.759998,43.720001,43.959999,2515300,33.895935
"2010-03-29",44.18,44.549999,43.950001,44.5,1734600,34.312317
"2010-03-30",44.5,45.450001,44.34,45.27,2377000,34.906033
"2010-03-31",44.959999,45.630001,44.900002,45.360001,2482200,34.97543
"2010-04-01",45.91,46.169998,45.549999,46.169998,2242800,35.599983
"2010-04-05",46.27,46.599998,45.82,46.240002,2876000,35.653961
"2010-04-06",46.02,46.09,45.549999,45.990002,2856400,35.461189
