"dates","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2010-01-04",51.740002,53,51.619999,52.709999,2033000,41.461426
"2010-01-05",52.59,53.549999,52.169998,53.48,2474100,42.067108
"2010-01-06",53.43,54.91,53.27,54.82,3035800,43.121155
"2010-01-07",54.619999,57.07,54.529999,56.75,4276400,44.639275
"2010-01-08",56.439999,57.68,56.439999,57.419998,1441400,45.166302
"2010-01-11",57.57,57.68,56.529999,57.07,1595300,44.890987
"2010-01-12",56.709999,56.77,55.799999,56.18,1208500,44.190914
"2010-01-13",56.41,56.950001,56,56.709999,1129300,44.607811
"2010-01-14",56.549999,56.639999,55.93,56.549999,1430500,44.481953
"2010-01-15",56.450001,56.650002,55.439999,55.740002,1661200,43.844814
"2010-01-19",55.720001,56.540001,55.68,56.299999,1349800,44.285301
"2010-01-20",55.740002,55.810001,55,55.540001,1396300,43.687496
"2010-01-21",55.48,55.529999,54.16,54.18,1973500,42.617725
"2010-01-22",54.029999,54.279999,53.200001,53.330002,1363500,41.949116
"2010-01-25",53.82,54.040001,53.470001,53.82,1522400,42.334553
"2010-01-26",53.380001,54.25,53.150002,53.310001,1608600,41.933392
"2010-01-27",52.93,53.34,51.540001,52.470001,3563600,41.272644
"2010-01-28",52.619999,52.880001,51.369999,51.389999,1948400,40.423122
"2010-01-29",51.790001,52.150002,51,51.25,2658100,40.313007
"2010-02-01",51.57,52.34,51.209999,52.23,1360400,41.08387
"2010-02-02",52.259998,54.360001,52.200001,54.25,2981100,42.672783
"2010-02-03",54.82,57.360001,54.689999,56.34,5723900,44.316765
"2010-02-04",55.810001,56,54.59,54.639999,2338100,42.979565
"2010-02-05",54.57,54.73,52.759998,54.43,2440400,42.814365
"2010-02-08",54.5,54.5,53.48,53.529999,1676900,42.10643
"2010-02-09",54.290001,54.59,53.470001,54.220001,1586900,42.649178
"2010-02-10",54.299999,54.400002,53.380001,53.77,1067700,42.295231
"2010-02-11",53.68,54.360001,53.259998,54.110001,1460600,42.56266
"2010-02-12",53.849998,54.32,53.27,54.290001,2179600,42.704258
"2010-02-16",54.779999,54.889999,54.130001,54.869999,1504500,43.160469
