"dates","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2010-01-04",29.65,30.32,29.495001,30.299999,2413400,24.571676
"2010-01-05",30.200001,30.57,30.200001,30.32,2258600,24.5879
"2010-01-06",30.209999,31,30.209999,30.795,3028800,24.973091
"2010-01-07",30.674999,30.945,30.445,30.934999,2439600,25.08663
"2010-01-08",30.860001,30.995001,30.635,30.875,2696400,25.037971
"2010-01-11",30.940001,31,30.645,30.84,1988800,25.009598
"2010-01-12",30.504999,30.66,30.08,30.415001,2229400,24.664938
"2010-01-13",30.59,30.76,30.209999,30.735001,1718400,24.92444
"2010-01-14",31.405001,31.84,31.215,31.395,4485400,25.459669
"2010-01-15",31.370001,31.485001,30.83,31.025,3006000,25.159622
"2010-01-19",31.105,32.130001,31.01,32.115002,3332800,26.043554
"2010-01-20",31.924999,32.060001,31.135,31.565001,4235200,25.59753
"2010-01-21",30.629999,31.235001,29.5,29.549999,10949000,23.963472
"2010-01-22",29.65,30.469999,29.455,29.959999,5955000,24.295956
"2010-01-25",30.375,30.715,30.27,30.540001,3568400,24.766312
"2010-01-26",30.344999,30.65,29.924999,29.985001,2647600,24.316235
"2010-01-27",29.91,29.91,29.195,29.754999,3261600,24.129715
"2010-01-28",29.91,29.91,28.889999,29.504999,2994400,23.926973
"2010-01-29",29.68,30.08,29.32,29.34,4006800,23.793169
"2010-02-01",29.635,29.77,29.434999,29.76,2728800,24.133774
"2010-02-02",29.725,30.25,29.445,29.969999,2168400,24.304073
"2010-02-03",29.795,30.174999,29.424999,29.605,2963600,24.008078
"2010-02-04",29.35,29.475,28.775,28.865,2892800,23.40797
"2010-02-05",28.82,29.25,28.48,29.17,4340000,23.655313
"2010-02-08",29.18,29.424999,28.705,28.84,3074000,23.387695
"2010-02-09",29.184999,29.764999,28.969999,29.58,3064400,23.987801
"2010-02-10",29.549999,30.030001,29.18,29.875,3580800,24.227026
"2010-02-11",29.790001,30.200001,29.514999,30.115,2874600,24.421658
"2010-02-12",29.719999,30.370001,29.540001,30.18,2951400,24.474365
"2010-02-16",30.495001,30.709999,30.26,30.709999,1913000,24.904171
"2010-02-17",30.645,30.975,30.535,30.905001,2847600,25.284605
"2010-02-18",30.879999,31.129999,30.725,31.055,1992200,25.407324
"2010-02-19",30.889999,31.440001,30.75,31.24,2013400,25.558681
"2010-02-22",31.27,31.360001,30.860001,31.035,1686800,25.390965
"2010-02-23",30.955,31.030001,30.530001,30.725,1978600,25.137341
"2010-02-24",30.860001,31.24,30.66,31.049999,2376800,25.403233
"2010-02-25",30.57,30.625,30.264999,30.530001,3766400,24.977806
