"dates","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2013-01-02",34.919998,35.400002,34.099998,35.119999,13767900,25.103134
"2013-01-03",35,35,34.16,34.830002,16739300,24.895849
"2013-01-04",34.619999,34.889999,34.25,34.389999,21372100,24.581341
"2013-01-07",34.150002,35.450001,34.150002,34.459999,17897100,24.631376
"2013-01-08",34.290001,34.639999,33.360001,33.709999,17863300,24.095289
"2013-01-09",33.610001,33.950001,33.610001,33.900002,18800400,24.231102
"2013-01-10",33.66,34,33.330002,34,15658100,24.302576
"2013-01-11",33.59,33.900002,33.349998,33.849998,11191500,24.483398
"2013-01-14",34.009998,34.25,33.799999,34.09,11584900,24.656996
"2013-01-15",33.709999,34.720001,33.709999,34.599998,13040200,25.025873
"2013-01-16",34.470001,35.540001,34.450001,35.540001,16512700,25.705767
"2013-01-17",35.75,36.700001,35.75,36.419998,14424800,26.342262
"2013-01-18",36.43,37.32,36.040001,37.32,17842200,26.993223
"2013-01-22",36.98,37.25,35.93,36.419998,15809700,26.342262
"2013-01-23",36.91,37.84,36.5,37.799999,10981600,27.340395
"2013-01-24",37.790001,38.52,37.23,37.459999,11327100,27.094479
"2013-01-25",37.52,37.84,36.639999,37.599998,8934600,27.195742
"2013-01-28",37.650002,37.869999,36.709999,36.889999,7140100,26.682205
"2013-01-29",36.709999,37.459999,36.25,37.310001,8838500,26.985992
"2013-01-30",36.810001,37.529999,36.810001,36.93,10841800,26.71114
"2013-01-31",36.84,36.93,36.27,36.689999,10720700,26.537544
"2013-02-01",36.84,37.200001,36.52,37.18,9527500,26.89196
"2013-02-04",36.639999,37.299999,36.549999,37.279999,6348000,26.964287
"2013-02-05",37.419998,37.73,37.18,37.200001,7284400,26.906422
"2013-02-06",36.959999,37.279999,36.860001,37.139999,5738900,26.863029
"2013-02-07",37.57,37.57,35.799999,36.419998,9872500,26.342262
"2013-02-08",36.369999,36.419998,35.830002,36.25,13858700,26.219303
"2013-02-11",36.130001,36.18,35.75,35.849998,6032100,25.929977
"2013-02-12",35.77,35.900002,35.200001,35.419998,7473800,25.618965
"2013-02-13",35.419998,35.57,35.150002,35.27,4859800,25.510471
"2013-02-14",35.049999,36.73,35.009998,36.57,7570100,26.450754
"2013-02-15",36.93,37.810001,36.93,37.580002,13296300,27.181276
"2013-02-19",37.540001,38.330002,37.110001,38.189999,8292700,27.622486
"2013-02-20",38.16,39.130001,37.610001,38.610001,8096400,27.926262
"2013-02-21",38.490002,39.029999,38.189999,38.779999,7260900,28.049229
"2013-02-22",38.790001,38.849998,38.139999,38.459999,4490400,27.817776
"2013-02-25",38.540001,38.610001,37.369999,37.369999,4665600,27.029381
"2013-02-26",37.599998,37.599998,36.959999,37.09,4463000,26.826857
"2013-02-27",36.970001,36.98,36.400002,36.73,12238400,26.566477
"2013-02-28",36.66,37.139999,36.5,36.919998,10321000,26.703901
"2013-03-01",36.799999,38.07,36.549999,37.810001,8929400,27.347631
"2013-03-04",37.529999,38.25,37.529999,38.240002,5420800,27.658648
"2013-03-05",38.450001,38.57,37.290001,37.509998,6650400,27.130644
"2013-03-06",37.560001,37.860001,37.369999,37.740002,5489500,27.296999
"2013-03-07",37.650002,38.009998,37.439999,37.490002,4442500,27.116177
"2013-03-08",37.639999,37.650002,37.16,37.34,4114500,27.007683
"2013-03-11",37.25,38.150002,37.080002,37.669998,4614400,27.246363
"2013-03-12",37.700001,38.299999,37.049999,37.169998,6523900,26.88472
"2013-03-13",37.200001,37.59,37.040001,37.169998,3710600,26.88472
"2013-03-14",37.43,37.59,36.860001,37.560001,9859700,27.166811
"2013-03-15",37.439999,38.540001,37.279999,38.5,12208300,27.846701
"2013-03-18",38.049999,38.490002,37.990002,38.16,5178700,27.600782
"2013-03-19",38.25,38.400002,37.84,38.360001,5108400,27.745441
"2013-03-20",38.5,39.189999,38.41,39.060001,7072900,28.251741
"2013-03-21",38.82,38.970001,38.48,38.490002,4736100,27.83947
"2013-03-22",38.57,38.970001,38.299999,38.970001,3323400,28.186651
"2013-03-25",39.119999,39.52,38.93,39.32,6065000,28.439798
"2013-03-26",39.57,40.52,39.57,40.209999,7249500,29.083534
"2013-03-27",40.220001,40.290001,39.66,40.150002,4274800,29.040127
"2013-03-28",40.259998,40.799999,39.779999,40.779999,7263400,29.495802
"2013-04-01",39.959999,41.139999,39.959999,41.119999,5740000,29.741722
"2013-04-02",41.220001,41.220001,40.52,40.709999,5510700,29.445175
"2013-04-03",40.75,41.450001,40.349998,40.57,4122100,29.343914
"2013-04-04",40.77,41.779999,40.619999,41.599998,20687600,30.0889
"2013-04-05",41.310001,41.5,41.09,41.310001,14089800,29.879152
"2013-04-08",41.27,41.869999,41.07,41.77,16449200,30.211876
"2013-04-09",41.959999,43.560001,41.799999,42.549999,8673900,30.77603
"2013-04-10",42.650002,43.77,42.5,43.619999,7809200,31.549952
"2013-04-11",43.419998,43.709999,43.110001,43.200001,6494100,31.535357
"2013-04-12",42.970001,43.290001,42.619999,43.09,4199800,31.455055
"2013-04-15",42.869999,43.029999,41.41,41.439999,7152500,30.25058
"2013-04-16",41.669998,42.529999,41.130001,42.450001,6998000,30.987864
"2013-04-17",42.139999,42.43,41.419998,42.240002,5046200,30.83457
"2013-04-18",42.369999,42.639999,41.889999,42.32,5009000,30.892962
"2013-04-19",42.509998,42.580002,42.200001,42.389999,6493200,30.944065
"2013-04-22",43,44.830002,42.880001,44.200001,8531300,32.265339
"2013-04-23",44.610001,46.32,44.400002,45.139999,9378100,32.951527
"2013-04-24",45.139999,45.34,43.939999,44.32,5541300,32.352932
